,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,12116,11357.0,10899.4,10929.0,11173.0,,10930.1,11118.0,10505.8,10439.9,,12319.0,11832.0,11329.1,12007.9,8106.8,12065.3,10284.1,10958.9,10999.0,,7426.6,10013.9,10383.0,11757.2,10800.7,10776.0,-759.0,-1216.6,-1187.0,-943.0,,-1185.9,-998.0,-1610.2,-1676.1,,203.0,-284.0,-786.9,-108.1,-4009.2,-50.7,-1831.9,-1157.1,-1117.0,,-4689.4,-2102.1,-1733.0,-358.8,-1315.3,-1340.0,False,False,False,,False,False,False,False,,True,True,False,True,False,True,False,False,False,,False,False,False,True,False,False
Hawaii,763,895.0,906.7,907.0,916.0,,948.9,1173.0,1267.2,340.6,,,,757.6,1171.7,1306.4,1458.8,820.2,801.9,866.0,,770.0,367.7,1026.4,959.8,684.1,844.0,132.0,143.7,144.0,153.0,,185.9,410.0,504.2,-422.4,,,,-5.4,408.7,543.4,695.8,57.2,38.9,103.0,,7.0,-395.3,263.4,196.8,-78.9,81.0,False,False,False,,False,False,False,False,,,,True,False,False,False,True,True,True,,True,False,False,False,True,True
Idaho,2080,1693.0,1666.9,1796.0,1151.0,,1499.6,1820.0,2757.1,1678.7,,2058.0,2590.0,1724.8,2055.2,1960.8,1683.3,1797.4,1432.1,1774.0,,618.2,1842.3,1602.8,1748.4,2081.4,1649.0,-387.0,-413.1,-284.0,-929.0,,-580.4,-260.0,677.1,-401.3,,-22.0,510.0,-355.2,-24.8,-119.2,-396.7,-282.6,-647.9,-306.0,,-1461.8,-237.7,-477.2,-331.6,1.4,-431.0,False,True,False,,False,True,False,False,,True,False,True,True,True,False,True,False,True,,False,True,False,True,True,False
Illinois,13042,11897.0,11697.6,11787.0,12860.0,,11749.1,6045.0,12507.4,11193.3,,13158.0,14458.0,14722.7,15127.0,11010.8,20212.3,10471.4,11142.6,13669.0,,10187.8,19722.8,11202.7,13143.5,11877.1,11754.0,-1145.0,-1344.4,-1255.0,-182.0,,-1292.9,-6997.0,-534.6,-1848.7,,116.0,1416.0,1680.7,2085.0,-2031.2,7170.3,-2570.6,-1899.4,627.0,,-2854.2,6680.8,-1839.3,101.5,-1164.9,-1288.0,False,False,True,,False,False,True,False,,True,False,False,False,False,False,False,False,True,,False,False,False,True,False,False
Indiana,6198,5600.0,5956.8,5975.0,5996.0,,6740.2,5127.0,5956.0,5506.0,,5914.0,5462.0,5583.0,6410.8,6178.9,6968.2,7548.4,6607.1,7001.0,,4504.5,8978.7,5179.1,5887.0,8263.7,5572.0,-598.0,-241.2,-223.0,-202.0,,542.2,-1071.0,-242.0,-692.0,,-284.0,-736.0,-615.0,212.8,-19.1,770.2,1350.4,409.1,803.0,,-1693.5,2780.7,-1018.9,-311.0,2065.7,-626.0,True,True,True,,True,False,True,False,,True,False,False,True,True,False,False,True,False,,False,False,False,True,False,False
Iowa,5599,4515.0,4328.7,4262.0,5599.0,,5016.6,5958.0,4349.8,3404.6,,5049.0,4766.0,4430.8,5628.2,2912.2,8850.7,4069.9,3932.8,4772.0,,3794.5,4185.3,4099.8,4039.8,3706.8,4234.0,-1084.0,-1270.3,-1337.0,0.0,,-582.4,359.0,-1249.2,-2194.4,,-550.0,-833.0,-1168.2,29.2,-2686.8,3251.7,-1529.1,-1666.2,-827.0,,-1804.5,-1413.7,-1499.2,-1559.2,-1892.2,-1365.0,False,False,True,,True,True,False,False,,True,True,False,True,False,False,False,False,True,,False,False,False,False,False,False
Kansas,3807,3002.0,3027.3,2971.0,2972.0,,2453.4,3472.0,2498.3,2548.3,,3191.0,4239.0,2843.3,4186.0,3170.0,4173.7,1712.1,2411.8,2739.0,,1746.9,5145.7,2729.4,3239.6,1838.4,2576.0,-805.0,-779.7,-836.0,-835.0,,-1353.6,-335.0,-1308.7,-1258.7,,-616.0,432.0,-963.7,379.0,-637.0,366.7,-2094.9,-1395.2,-1068.0,,-2060.1,1338.7,-1077.6,-567.4,-1968.6,-1231.0,True,False,False,,False,True,False,False,,True,True,False,True,True,True,False,False,False,,False,False,False,True,False,False
Kentucky,4691,3951.0,3889.2,4270.0,4362.0,,4620.8,4312.0,7279.3,3720.7,,4528.0,6046.0,4785.3,4894.7,3832.5,4695.5,4227.2,4212.6,4423.0,,3228.6,5535.2,3494.4,3626.9,4492.1,3780.0,-740.0,-801.8,-421.0,-329.0,,-70.2,-379.0,2588.3,-970.3,,-163.0,1355.0,94.3,203.7,-858.5,4.5,-463.8,-478.4,-268.0,,-1462.4,844.2,-1196.6,-1064.1,-198.9,-911.0,False,True,True,,True,True,False,False,,True,False,True,True,False,True,True,True,True,,False,False,False,False,True,False
Louisiana,4213,4701.0,4791.2,4704.0,4296.0,,4673.3,3769.0,12633.7,4964.2,,3898.0,5056.0,3827.5,4217.3,2517.0,2196.4,5532.0,4707.8,5519.0,,2525.6,1653.7,4912.4,5641.8,4822.7,3617.0,488.0,578.2,491.0,83.0,,460.3,-444.0,8420.7,751.2,,-315.0,843.0,-385.5,4.3,-1696.0,-2016.6,1319.0,494.8,1306.0,,-1687.4,-2559.3,699.4,1428.8,609.7,-596.0,False,False,True,,True,True,False,False,,True,False,True,True,False,False,False,False,False,,False,False,False,False,False,False
Maine,200,201.0,194.8,191.0,142.0,,186.4,95.0,164.0,215.7,,203.0,388.0,209.4,232.1,283.5,187.2,186.8,187.9,207.0,,149.9,85.3,202.0,184.9,234.4,174.0,1.0,-5.2,-9.0,-58.0,,-13.6,-105.0,-36.0,15.7,,3.0,188.0,9.4,32.1,83.5,-12.8,-13.2,-12.1,7.0,,-50.1,-114.7,2.0,-15.1,34.4,-26.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Maryland,4211,3926.0,3902.8,3744.0,5235.0,,4155.0,614.0,3739.4,3888.8,,4061.0,4133.0,4524.5,3740.7,3352.7,2936.1,3690.1,4045.2,4288.0,,2862.1,4851.7,3747.3,4513.5,4076.2,4179.0,-285.0,-308.2,-467.0,1024.0,,-56.0,-3597.0,-471.6,-322.2,,-150.0,-78.0,313.5,-470.3,-858.3,-1274.9,-520.9,-165.8,77.0,,-1348.9,640.7,-463.7,302.5,-134.8,-32.0,False,False,False,,True,False,False,False,,True,True,False,False,False,False,False,True,True,,False,False,False,False,True,True
Massachusetts,2641,2344.0,3205.8,2256.0,2512.0,,556.6,132.0,2190.0,2156.5,,2021.0,1953.0,2510.8,59.6,2210.5,3039.8,2305.9,2328.7,1380.0,,1670.4,1454.7,2206.3,,3498.6,2096.0,-297.0,564.8,-385.0,-129.0,,-2084.4,-2509.0,-451.0,-484.5,,-620.0,-688.0,-130.2,-2581.4,-430.5,398.8,-335.1,-312.3,-1261.0,,-970.6,-1186.3,-434.7,,857.6,-545.0,False,False,True,,False,False,False,False,,False,False,True,False,False,False,False,False,False,,False,False,False,,False,False
Michigan,5029,5867.0,5966.3,5627.0,6051.0,,4799.0,2670.0,4351.2,6055.1,,5975.0,5727.0,6402.1,5758.7,6873.1,5674.6,3594.8,4442.7,4827.0,,1314.2,7685.3,6467.1,4472.3,4948.8,6096.0,838.0,937.3,598.0,1022.0,,-230.0,-2359.0,-677.8,1026.1,,946.0,698.0,1373.1,729.7,1844.1,645.6,-1434.2,-586.3,-202.0,,-3714.8,2656.3,1438.1,-556.7,-80.2,1067.0,False,True,False,,True,False,True,False,,False,True,False,True,False,True,False,True,True,,False,False,False,True,True,False
Minnesota,5133,3708.0,3731.0,3846.0,3887.0,,4766.0,1310.0,4277.4,3695.5,,4033.0,4663.0,3821.1,4406.9,4042.4,5465.8,3790.4,3873.8,4188.0,,3655.0,6651.2,3430.8,3561.9,4023.3,3383.0,-1425.0,-1402.0,-1287.0,-1246.0,,-367.0,-3823.0,-855.6,-1437.5,,-1100.0,-470.0,-1311.9,-726.1,-1090.6,332.8,-1342.6,-1259.2,-945.0,,-1478.0,1518.2,-1702.2,-1571.1,-1109.7,-1750.0,True,True,True,,True,False,True,False,,True,True,True,True,True,True,True,True,True,,False,False,False,False,True,False
Mississippi,3467,3142.0,3177.0,2890.0,2249.0,,2818.1,2973.0,3290.4,3090.8,,3331.0,3636.0,3058.5,3289.5,2716.1,3142.7,2692.6,2649.1,2740.0,,2168.2,1350.2,2791.8,4063.2,2550.3,2887.0,-325.0,-290.0,-577.0,-1218.0,,-648.9,-494.0,-176.6,-376.2,,-136.0,169.0,-408.5,-177.5,-750.9,-324.3,-774.4,-817.9,-727.0,,-1298.8,-2116.8,-675.2,596.2,-916.7,-580.0,True,False,False,,False,False,True,False,,True,True,False,True,False,True,False,False,False,,False,False,False,False,False,False
Missouri,10594,9119.0,9112.8,8741.0,8566.0,,10541.1,7830.0,8380.0,8813.7,,10125.0,8306.0,11150.3,10197.0,7002.4,8050.8,11460.8,9965.5,11340.0,,6498.1,21683.3,8143.2,8990.4,11977.0,9368.0,-1475.0,-1481.2,-1853.0,-2028.0,,-52.9,-2764.0,-2214.0,-1780.3,,-469.0,-2288.0,556.3,-397.0,-3591.6,-2543.2,866.8,-628.5,746.0,,-4095.9,11089.3,-2450.8,-1603.6,1383.0,-1226.0,False,False,False,,True,False,False,False,,True,False,True,True,False,False,True,True,True,,False,False,False,False,True,True
Montana,1238,761.0,734.9,719.0,538.0,,823.8,660.0,710.1,757.0,,773.0,1046.0,909.2,1009.6,735.1,866.0,783.5,703.7,790.0,,507.7,1415.1,586.8,810.1,788.7,755.0,-477.0,-503.1,-519.0,-700.0,,-414.2,-578.0,-527.9,-481.0,,-465.0,-192.0,-328.8,-228.4,-502.9,-372.0,-454.5,-534.3,-448.0,,-730.3,177.1,-651.2,-427.9,-449.3,-483.0,False,False,False,,True,False,False,False,,True,True,True,True,False,True,True,False,True,,False,True,False,True,True,False
Nebraska,2677,2315.0,2437.3,1889.0,1825.0,,1939.7,254.0,1718.6,2209.6,,2398.0,2133.0,2650.3,2539.8,1548.4,2543.3,1683.6,1824.7,2004.0,,1273.5,1813.9,2323.9,1873.3,1952.1,2191.0,-362.0,-239.7,-788.0,-852.0,,-737.3,-2423.0,-958.4,-467.4,,-279.0,-544.0,-26.7,-137.2,-1128.6,-133.7,-993.4,-852.3,-673.0,,-1403.5,-863.1,-353.1,-803.7,-724.9,-486.0,True,False,False,,False,False,False,False,,True,False,True,True,False,True,False,False,False,,False,False,True,False,False,False
Nevada,2199,2118.0,2118.8,2062.0,2030.0,,2421.7,2341.0,2186.5,1368.2,,2205.0,2219.0,1684.7,2075.7,1433.4,2460.5,1802.0,1823.8,1755.0,,1489.4,6426.0,2029.3,2433.9,1766.7,1842.0,-81.0,-80.2,-137.0,-169.0,,222.7,142.0,-12.5,-830.8,,6.0,20.0,-514.3,-123.3,-765.6,261.5,-397.0,-375.2,-444.0,,-709.6,4227.0,-169.7,234.9,-432.3,-357.0,True,False,False,,False,False,True,False,,True,True,False,False,False,False,False,False,False,,False,False,False,False,False,False
New Hampshire,268,228.0,223.8,230.0,402.0,,254.4,2.0,197.4,317.3,,232.0,204.0,296.1,237.8,331.1,53.1,258.4,260.0,314.0,,211.1,28.2,232.2,268.8,314.2,290.0,-40.0,-44.2,-38.0,134.0,,-13.6,-266.0,-70.6,49.3,,-36.0,-64.0,28.1,-30.2,63.1,-214.9,-9.6,-8.0,46.0,,-56.9,-239.8,-35.8,0.8,46.2,22.0,False,True,False,,True,False,False,False,,True,False,True,True,False,False,True,True,False,,False,False,True,True,False,True
New Jersey,3334,2590.0,2575.8,2634.0,2918.0,,2208.1,65.0,2257.2,2628.3,,1822.0,3061.0,3138.3,2171.8,3525.8,2939.7,2343.3,2678.1,2474.0,,3050.0,869.7,2817.6,2365.7,1980.1,2669.0,-744.0,-758.2,-700.0,-416.0,,-1125.9,-3269.0,-1076.8,-705.7,,-1512.0,-273.0,-195.7,-1162.2,191.8,-394.3,-990.7,-655.9,-860.0,,-284.0,-2464.3,-516.4,-968.3,-1353.9,-665.0,False,True,True,,False,False,False,True,,False,True,True,False,True,True,False,True,False,,True,False,True,False,False,True
New Mexico,851,613.0,605.3,630.0,527.0,,687.2,464.0,683.5,369.2,,662.0,944.0,661.1,739.3,746.6,519.6,693.9,679.8,663.0,,409.4,3308.0,557.5,994.2,660.9,575.0,-238.0,-245.7,-221.0,-324.0,,-163.8,-387.0,-167.5,-481.8,,-189.0,93.0,-189.9,-111.7,-104.4,-331.4,-157.1,-171.2,-188.0,,-441.6,2457.0,-293.5,143.2,-190.1,-276.0,False,True,False,,True,False,True,False,,True,True,True,True,True,False,True,True,True,,False,False,False,True,True,False
New York,5627,4868.0,4899.0,4865.0,6034.0,,4404.7,31.0,4734.2,5020.5,,2755.0,2990.0,5648.8,4780.4,6840.0,4649.2,4673.5,5380.6,5043.0,,4325.0,1428.8,5063.4,5430.0,5128.0,4917.0,-759.0,-728.0,-762.0,407.0,,-1222.3,-5596.0,-892.8,-606.5,,-2872.0,-2637.0,21.8,-846.6,1213.0,-977.8,-953.5,-246.4,-584.0,,-1302.0,-4198.2,-563.6,-197.0,-499.0,-710.0,True,False,True,,False,False,False,True,,False,False,True,False,False,False,False,True,True,,False,False,True,True,True,True
North Carolina,9321,7923.0,7749.4,7956.0,8283.0,,8561.3,13154.0,7999.0,6131.3,,8546.0,9136.0,8115.3,9316.8,7392.0,8160.9,7989.9,8028.9,8549.0,,6560.8,19991.4,6902.4,9205.3,7499.8,6929.0,-1398.0,-1571.6,-1365.0,-1038.0,,-759.7,3833.0,-1322.0,-3189.7,,-775.0,-185.0,-1205.7,-4.2,-1929.0,-1160.1,-1331.1,-1292.1,-772.0,,-2760.2,10670.4,-2418.6,-115.7,-1821.2,-2392.0,False,True,True,,True,False,True,False,,True,True,True,True,False,True,True,True,True,,False,False,False,True,False,False
North Dakota,2456,1817.0,1771.2,1798.0,1509.0,,2531.6,18.0,1832.3,1650.9,,2025.0,1475.0,2218.7,1849.8,817.6,2636.2,2705.2,2022.5,2606.0,,1913.5,1596.0,1687.9,1890.9,3084.7,1847.0,-639.0,-684.8,-658.0,-947.0,,75.6,-2438.0,-623.7,-805.1,,-431.0,-981.0,-237.3,-606.2,-1638.4,180.2,249.2,-433.5,150.0,,-542.5,-860.0,-768.1,-565.1,628.7,-609.0,False,False,False,,True,False,True,False,,True,False,True,True,False,True,True,True,True,,True,False,False,True,True,True
Ohio,6979,6783.0,6842.9,6720.0,7202.0,,7595.3,6000.0,5973.6,6753.1,,7218.0,6658.0,8066.4,7590.1,8489.6,6702.5,6568.9,7012.6,7326.0,,4135.1,5479.1,5824.9,6860.8,7403.1,6771.0,-196.0,-136.1,-259.0,223.0,,616.3,-979.0,-1005.4,-225.9,,239.0,-321.0,1087.4,611.1,1510.6,-276.5,-410.1,33.6,347.0,,-2843.9,-1499.9,-1154.1,-118.2,424.1,-208.0,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False
Oklahoma,7145,5472.0,5560.7,5105.0,6130.0,,5922.6,4177.0,4276.7,5306.5,,6056.0,5050.0,6792.1,6786.4,4956.1,4664.7,5159.0,5486.6,6154.0,,3947.3,16549.3,4761.8,4829.6,6098.3,5699.0,-1673.0,-1584.3,-2040.0,-1015.0,,-1222.4,-2968.0,-2868.3,-1838.5,,-1089.0,-2095.0,-352.9,-358.6,-2188.9,-2480.3,-1986.0,-1658.4,-991.0,,-3197.7,9404.3,-2383.2,-2315.4,-1046.7,-1446.0,True,False,True,,True,False,False,False,,True,False,True,True,False,False,False,True,True,,False,False,False,False,True,True
Oregon,1443,1300.0,1302.1,1301.0,1095.0,,1299.3,1288.0,1164.3,1064.3,,1403.0,1507.0,1333.4,1552.9,2469.5,1418.6,1243.8,1333.7,1272.0,,938.8,3143.3,1127.2,1367.0,1482.0,1341.0,-143.0,-140.9,-142.0,-348.0,,-143.7,-155.0,-278.7,-378.7,,-40.0,64.0,-109.6,109.9,1026.5,-24.4,-199.2,-109.3,-171.0,,-504.2,1700.3,-315.8,-76.0,39.0,-102.0,True,True,False,,False,False,False,False,,True,True,True,True,False,True,False,True,False,,False,False,False,True,True,True
Pennsylvania,5601,5355.0,5384.6,4578.0,6264.0,,4787.3,784.0,3756.2,5394.3,,5097.0,4732.0,6519.9,5325.1,6484.0,4757.0,3145.1,4423.6,4434.0,,1506.9,12147.4,4790.5,5308.1,4281.6,5801.0,-246.0,-216.4,-1023.0,663.0,,-813.7,-4817.0,-1844.8,-206.7,,-504.0,-869.0,918.9,-275.9,883.0,-844.0,-2455.9,-1177.4,-1167.0,,-4094.1,6546.4,-810.5,-292.9,-1319.4,200.0,True,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True
Rhode Island,715,662.0,655.5,528.0,449.0,,345.2,0.0,1940.8,640.3,,593.0,2034.0,566.5,535.4,964.5,864.1,318.9,422.4,305.0,,427.8,773.2,685.5,698.5,519.9,551.0,-53.0,-59.5,-187.0,-266.0,,-369.8,-715.0,1225.8,-74.7,,-122.0,1319.0,-148.5,-179.6,249.5,149.1,-396.1,-292.6,-410.0,,-287.2,58.2,-29.5,-16.5,-195.1,-164.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,True,True,False,False
South Carolina,7262,5689.0,5703.8,5517.0,5170.0,,7550.8,3328.0,5723.3,4910.5,,5853.0,5437.0,7094.3,6131.6,2263.9,3778.1,10344.5,7364.4,9124.0,,3295.1,12204.5,4809.5,6630.0,11380.0,5736.0,-1573.0,-1558.2,-1745.0,-2092.0,,288.8,-3934.0,-1538.7,-2351.5,,-1409.0,-1825.0,-167.7,-1130.4,-4998.1,-3483.9,3082.5,102.4,1862.0,,-3966.9,4942.5,-2452.5,-632.0,4118.0,-1526.0,True,False,False,,True,False,True,False,,True,False,True,True,False,False,False,True,False,,False,False,False,True,False,True
