,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Missouri,61232,74186.0,,136298.3,58524.4,61416.0,26074.9,89401.6,55430.7,97415.0,12954.0,,75066.3,-2707.6,184.0,-35157.1,28169.6,-5801.3,36183.0,,False,True,True,False,False,True,False
Montana,6082,5754.0,,11080.3,3379.7,8431.0,5490.9,3497.1,6618.4,6325.0,-328.0,,4998.3,-2702.3,2349.0,-591.1,-2584.9,536.4,243.0,,False,False,False,False,False,False,True
Nebraska,14406,13972.0,,21064.2,30226.7,11707.0,8532.2,20941.8,16425.6,8873.0,-434.0,,6658.2,15820.7,-2699.0,-5873.8,6535.8,2019.6,-5533.0,,False,False,False,False,False,False,False
Nevada,26345,50806.0,,56802.5,119662.6,42695.0,34403.4,38381.6,36501.7,25451.0,24461.0,,30457.5,93317.6,16350.0,8058.4,12036.6,10156.7,-894.0,,False,False,True,True,True,True,True
New Hampshire,1306,1393.0,,1717.3,3443.0,1137.0,654.8,1507.1,3010.0,1047.0,87.0,,411.3,2137.0,-169.0,-651.2,201.1,1704.0,-259.0,,False,False,False,False,False,False,False
New Jersey,17280,22197.0,,12280.6,56540.5,16311.0,9725.6,17095.7,36512.0,36928.0,4917.0,,-4999.4,39260.5,-969.0,-7554.4,-184.3,19232.0,19648.0,,False,False,True,False,True,False,False
New Mexico,6716,14056.0,,14870.1,13695.2,12472.0,6324.0,13334.3,5372.5,11470.0,7340.0,,8154.1,6979.2,5756.0,-392.0,6618.3,-1343.5,4754.0,,False,True,True,True,True,True,True
New York,33271,31969.0,,23556.4,94724.6,15306.0,15675.7,35601.5,30083.5,26097.0,-1302.0,,-9714.6,61453.6,-17965.0,-17595.3,2330.5,-3187.5,-7174.0,,False,False,False,False,False,False,False
North Carolina,71186,88095.0,,82452.9,114322.5,108392.0,43241.4,66271.8,45231.2,59666.0,16909.0,,11266.9,43136.5,37206.0,-27944.6,-4914.2,-25954.8,-11520.0,,True,False,False,False,True,False,True
North Dakota,11005,6062.0,,10837.6,4216.7,5312.0,2635.8,7293.2,3440.7,4210.0,-4943.0,,-167.4,-6788.3,-5693.0,-8369.2,-3711.8,-7564.3,-6795.0,,True,False,False,False,True,False,False
Ohio,51460,62321.0,,59853.5,124014.5,57865.0,31884.9,51084.9,45533.2,43879.0,10861.0,,8393.5,72554.5,6405.0,-19575.1,-375.1,-5926.8,-7581.0,,True,False,True,False,True,True,True
Oklahoma,38073,53550.0,,54160.5,53689.7,56113.0,22505.7,35703.3,25569.6,42896.0,15477.0,,16087.5,15616.7,18040.0,-15567.3,-2369.7,-12503.4,4823.0,,False,False,False,False,True,True,True
Oregon,11782,16275.0,,16927.8,16853.9,11509.0,9824.0,13940.2,14697.0,14899.0,4493.0,,5145.8,5071.9,-273.0,-1958.0,2158.2,2915.0,3117.0,,False,False,True,True,True,True,True
Pennsylvania,36768,44471.0,,50653.7,55065.8,31808.0,18624.9,45937.3,32272.6,34848.0,7703.0,,13885.7,18297.8,-4960.0,-18143.1,9169.3,-4495.4,-1920.0,,False,False,True,False,False,True,True
Rhode Island,4598,5586.0,,6738.4,2424.5,3822.0,1381.0,4778.0,3801.8,2553.0,988.0,,2140.4,-2173.5,-776.0,-3217.0,180.0,-796.2,-2045.0,,False,False,True,False,True,True,False
South Carolina,46641,74137.0,,57979.9,79176.0,65668.0,39101.2,48185.9,37531.2,38834.0,27496.0,,11338.9,32535.0,19027.0,-7539.8,1544.9,-9109.8,-7807.0,,True,False,True,True,True,True,True
South Dakota,9577,3934.0,,4196.3,3956.5,3436.0,2551.7,10418.8,7161.2,3537.0,-5643.0,,-5380.7,-5620.5,-6141.0,-7025.3,841.8,-2415.8,-6040.0,,True,True,False,False,True,True,False
Tennessee,73255,121716.0,,123962.7,65672.1,95457.0,51750.9,118013.3,72861.5,71188.0,48461.0,,50707.7,-7582.9,22202.0,-21504.1,44758.3,-393.5,-2067.0,,False,True,True,True,True,True,True
Texas,265545,381164.0,,386286.8,1394725.6,432351.0,93326.7,262396.0,145059.0,155428.0,115619.0,,120741.8,1129180.6,166806.0,-172218.3,-3149.0,-120486.0,-110117.0,,False,False,False,False,True,False,True
Utah,22150,21553.0,,27412.4,18543.9,18978.0,11613.8,20927.5,11241.0,11385.0,-597.0,,5262.4,-3606.1,-3172.0,-10536.2,-1222.5,-10909.0,-10765.0,,False,False,False,False,False,False,False
Vermont,289,175.0,,88.6,4.9,194.0,74.3,496.9,126.5,101.0,-114.0,,-200.4,-284.1,-95.0,-214.7,207.9,-162.5,-188.0,,False,False,True,False,False,False,False
Virginia,48854,50344.0,,68892.7,10063.1,39078.0,26494.0,68538.6,32803.9,0.0,1490.0,,20038.7,-38790.9,-9776.0,-22360.0,19684.6,-16050.1,-48854.0,,False,False,False,False,False,False,False
Washington,24658,39844.0,,46987.2,34777.8,28918.0,23319.6,39086.7,37688.7,29840.0,15186.0,,22329.2,10119.8,4260.0,-1338.4,14428.7,13030.7,5182.0,,False,True,True,True,True,True,True
West Virginia,7151,6741.0,,7140.6,1055.9,6777.0,4826.2,6795.6,9125.1,8381.0,-410.0,,-10.4,-6095.1,-374.0,-2324.8,-355.4,1974.1,1230.0,,True,False,True,False,True,False,False
Wisconsin,45560,42924.0,,52458.7,61683.9,34623.0,29302.0,37207.7,37971.4,28860.0,-2636.0,,6898.7,16123.9,-10937.0,-16258.0,-8352.3,-7588.6,-16700.0,,False,False,False,False,False,False,False
Wyoming,2028,2261.0,,2725.6,97.7,1898.0,1289.6,2575.8,1661.0,2198.0,233.0,,697.6,-1930.3,-130.0,-738.4,547.8,-367.0,170.0,,False,False,True,False,False,False,True
US,2149007,3090318.0,1744277.0,3247412.7,4944105.2,2882128.0,1411949.7,2612766.5,1846810.5,1712196.0,941311.0,-404730.0,1098405.7,2795098.2,733121.0,-737057.3,463759.5,-302196.5,-436811.0,True,False,False,True,True,True,True,True
