,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,871,1144.0,,,,,986.0,,3315.2,,,273.0,,,,,115.0,,2444.2,,,,,,,True,,False,,
01023,80,168.0,,,,,371.0,,78.1,,,88.0,,,,,291.0,,-1.9,,,,,,,False,,True,,
01025,603,440.0,,,,,825.0,,273.9,,,-163.0,,,,,222.0,,-329.1,,,,,,,False,,False,,
01027,371,320.0,,,,,113.0,,188.9,,,-51.0,,,,,-258.0,,-182.1,,,,,,,False,,False,,
01029,272,184.0,,,,,120.0,,669.5,,,-88.0,,,,,-152.0,,397.5,,,,,,,False,,False,,
01031,622,792.0,419.7,,,,1492.0,,662.6,,,170.0,-202.3,,,,870.0,,40.6,,,False,,,,False,,True,,
01033,711,1312.0,1278.2,,,,1403.0,,1930.9,,,601.0,567.2,,,,692.0,,1219.9,,,True,,,,False,,False,,
01035,184,400.0,,,,,379.0,99.8,242.6,,,216.0,,,,,195.0,-84.2,58.6,,,,,,,True,True,True,,
01037,86,96.0,,,,,55.0,,68.6,,,10.0,,,,,-31.0,,-17.4,,,,,,,False,,False,,
01039,598,840.0,,,,,1357.0,280.8,558.3,,,242.0,,,,,759.0,-317.2,-39.7,,,,,,,False,False,True,,
01041,283,576.0,,,,,327.0,80.0,178.6,,,293.0,,,,,44.0,-203.0,-104.4,,,,,,,True,True,True,,
01043,850,1264.0,1514.8,,,,2014.0,868.6,2001.5,,,414.0,664.8,,,,1164.0,18.6,1151.5,,,False,,,,False,True,False,,
01045,633,1352.0,,,,,1247.0,418.8,2015.5,,,719.0,,,,,614.0,-214.2,1382.5,,,,,,,True,True,False,,
01047,494,664.0,,,,,1032.0,120.5,362.2,,,170.0,,,,,538.0,-373.5,-131.8,,,,,,,False,False,True,,
01049,833,1584.0,1992.2,,,,2033.0,557.9,932.3,,,751.0,1159.2,,,,1200.0,-275.1,99.3,,,False,,,,False,True,True,,
01051,1074,1664.0,939.6,,,,1694.0,563.1,830.0,,,590.0,-134.4,,,,620.0,-510.9,-244.0,,,True,,,,False,True,True,,
01053,693,1728.0,,,,,1690.0,310.6,837.8,,,1035.0,,,,,997.0,-382.4,144.8,,,,,,,True,True,True,,
01055,1666,2808.0,2735.5,,,,2598.0,913.0,1913.0,,,1142.0,1069.5,,,,932.0,-753.0,247.0,,,True,,,,True,True,True,,
01057,279,136.0,,,,,260.0,157.4,17.3,,,-143.0,,,,,-19.0,-121.6,-261.7,,,,,,,True,True,False,,
01059,643,512.0,,,,,1206.0,67.9,189.4,,,-131.0,,,,,563.0,-575.1,-453.6,,,,,,,False,False,False,,
01061,371,392.0,,,,,921.0,236.3,337.8,,,21.0,,,,,550.0,-134.7,-33.2,,,,,,,False,False,False,,
01063,63,112.0,,,,,142.0,1.4,32.6,,,49.0,,,,,79.0,-61.6,-30.4,,,,,,,False,False,True,,
01065,191,208.0,,,,,375.0,9.9,71.6,,,17.0,,,,,184.0,-181.1,-119.4,,,,,,,False,False,False,,
01067,244,200.0,,,,,213.0,76.6,129.3,,,-44.0,,,,,-31.0,-167.4,-114.7,,,,,,,True,False,False,,
01069,1615,2288.0,1507.4,,,,2862.0,1157.5,4018.3,,,673.0,-107.6,,,,1247.0,-457.5,2403.3,,,True,,,,False,True,False,,
01071,840,736.0,1866.8,,,,998.0,467.0,5132.6,,,-104.0,1026.8,,,,158.0,-373.0,4292.6,,,False,,,,False,False,False,,
01073,8572,13560.0,23177.0,,,,18281.0,6106.5,11862.3,,,4988.0,14605.0,,,,9709.0,-2465.5,3290.3,,,False,,,,False,True,True,,
01075,178,360.0,,,,,296.0,129.1,147.3,,,182.0,,,,,118.0,-48.9,-30.7,,,,,,,True,True,True,,
01077,746,1232.0,1322.6,,,,2188.0,854.3,931.8,,,486.0,576.6,,,,1442.0,108.3,185.8,,,False,,,,False,True,True,,
01079,332,456.0,,,,,548.0,287.6,562.4,,,124.0,,,,,216.0,-44.4,230.4,,,,,,,False,True,False,,
01081,3295,2080.0,4568.9,,,,3163.0,1415.2,763.4,,,-1215.0,1273.9,,,,-132.0,-1879.8,-2531.6,,,False,,,,True,False,False,,
01083,977,1496.0,2076.8,,,,1938.0,1055.3,1389.6,,,519.0,1099.8,,,,961.0,78.3,412.6,,,False,,,,False,True,True,,
01085,106,152.0,,,,,188.0,2.8,47.7,,,46.0,,,,,82.0,-103.2,-58.3,,,,,,,False,False,False,,
01087,179,288.0,,,,,220.0,84.8,438.4,,,109.0,,,,,41.0,-94.2,259.4,,,,,,,True,True,False,,
01089,3308,6552.0,8621.1,,,,7020.0,3606.2,54456.4,,,3244.0,5313.1,,,,3712.0,298.2,51148.4,,,False,,,,False,True,False,,
01091,224,480.0,,,,,691.0,148.2,657.3,,,256.0,,,,,467.0,-75.8,433.3,,,,,,,False,True,False,,
01093,433,432.0,,,,,664.0,231.0,3083.6,,,-1.0,,,,,231.0,-202.0,2650.6,,,,,,,False,False,False,,
01095,1171,2696.0,3374.7,,,,3173.0,921.6,1296.3,,,1525.0,2203.7,,,,2002.0,-249.4,125.3,,,False,,,,False,True,True,,
01097,5825,9576.0,5914.7,,,,11971.0,3023.2,25181.6,,,3751.0,89.7,,,,6146.0,-2801.8,19356.6,,,True,,,,False,True,False,,
01099,174,304.0,,,,,659.0,159.9,69.7,,,130.0,,,,,485.0,-14.1,-104.3,,,,,,,False,True,True,,
01101,2903,4952.0,5472.3,,,,6682.0,1707.4,4288.2,,,2049.0,2569.3,,,,3779.0,-1195.6,1385.2,,,False,,,,False,True,True,,
01103,1226,2336.0,2095.6,,,,3153.0,896.1,1661.0,,,1110.0,869.6,,,,1927.0,-329.9,435.0,,,True,,,,False,True,True,,
01105,132,520.0,,,,,134.0,60.0,383.5,,,388.0,,,,,2.0,-72.0,251.5,,,,,,,True,True,True,,
01107,302,248.0,,,,,431.0,123.5,128.0,,,-54.0,,,,,129.0,-178.5,-174.0,,,,,,,False,False,False,,
01109,539,408.0,,,,,977.0,134.6,190.9,,,-131.0,,,,,438.0,-404.4,-348.1,,,,,,,False,False,False,,
01111,242,456.0,,,,,317.0,152.1,300.7,,,214.0,,,,,75.0,-89.9,58.7,,,,,,,True,True,True,,
01113,627,1168.0,1464.1,,,,981.0,429.6,1153.8,,,541.0,837.1,,,,354.0,-197.4,526.8,,,False,,,,True,True,True,,
01115,1191,1560.0,1322.5,,,,1363.0,1041.5,4337.7,,,369.0,131.5,,,,172.0,-149.5,3146.7,,,True,,,,True,True,False,,
01117,2912,3576.0,4131.8,,,,4434.0,1848.8,3650.5,,,664.0,1219.8,,,,1522.0,-1063.2,738.5,,,False,,,,False,False,False,,
01119,79,184.0,,,,,304.0,1.8,66.8,,,105.0,,,,,225.0,-77.2,-12.2,,,,,,,False,True,True,,
01121,1235,1080.0,3213.9,,,,1568.0,915.5,5394.2,,,-155.0,1978.9,,,,333.0,-319.5,4159.2,,,False,,,,False,False,False,,
01123,340,512.0,,,,,757.0,144.7,320.1,,,172.0,,,,,417.0,-195.3,-19.9,,,,,,,False,False,True,,
01125,3664,3504.0,7461.6,,,,5602.0,1419.6,2453.6,,,-160.0,3797.6,,,,1938.0,-2244.4,-1210.4,,,False,,,,False,False,False,,
01127,828,1040.0,3164.6,,,,1784.0,395.7,471.5,,,212.0,2336.6,,,,956.0,-432.3,-356.5,,,False,,,,False,False,False,,
01129,267,568.0,,,,,602.0,94.1,703.6,,,301.0,,,,,335.0,-172.9,436.6,,,,,,,False,True,False,,
01131,138,312.0,,,,,160.0,59.1,142.9,,,174.0,,,,,22.0,-78.9,4.9,,,,,,,True,True,True,,
01133,324,296.0,,,,,489.0,197.7,205.5,,,-28.0,,,,,165.0,-126.3,-118.5,,,,,,,False,False,False,,
02013,8,8.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
02016,9,8.0,,,,,,,5.4,,,-1.0,,,,,,,-3.6,,,,,,,,,False,,
02020,2680,2480.0,3931.1,,,,,2381.6,2399.3,,,-200.0,1251.1,,,,,-298.4,-280.7,,,False,,,,,False,False,,
02050,75,16.0,,,,,,,,,,-59.0,,,,,,,,,,,,,,,,,,
02060,0,8.0,,,,,,,9.8,,,8.0,,,,,,,9.8,,,,,,,,,False,,
02068,2,8.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
02070,7,0.0,,,,,,,0.0,,,-7.0,,,,,,,-7.0,,,,,,,,,False,,
02090,612,464.0,861.0,,,,,667.0,2731.6,,,-148.0,249.0,,,,,55.0,2119.6,,,False,,,,,True,False,,
02100,1,8.0,,,,,,,8.4,,,7.0,,,,,,,7.4,,,,,,,,,False,,
02105,0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
02110,237,120.0,,,,,,,56.8,,,-117.0,,,,,,,-180.2,,,,,,,,,False,,
02122,263,296.0,948.9,,,,,439.8,264.4,,,33.0,685.9,,,,,176.8,1.4,,,False,,,,,False,True,,
02130,25,64.0,,,,,,,31.5,,,39.0,,,,,,,6.5,,,,,,,,,True,,
02150,51,0.0,,,,,,,3.7,,,-51.0,,,,,,,-47.3,,,,,,,,,True,,
02158,8,0.0,,,,,,,2.9,,,-8.0,,,,,,,-5.1,,,,,,,,,True,,
02164,25,0.0,,,,,,,,,,-25.0,,,,,,,,,,,,,,,,,,
02170,361,392.0,568.5,,,,,716.7,357.3,,,31.0,207.5,,,,,355.7,-3.7,,,False,,,,,False,True,,
02180,35,16.0,,,,,,,,,,-19.0,,,,,,,,,,,,,,,,,,
02185,86,16.0,,,,,,,23.9,,,-70.0,,,,,,,-62.1,,,,,,,,,True,,
02188,71,48.0,,,,,,,41.8,,,-23.0,,,,,,,-29.2,,,,,,,,,False,,
02195,2,0.0,,,,,,,0.0,,,-2.0,,,,,,,-2.0,,,,,,,,,True,,
02198,28,0.0,,,,,,,0.0,,,-28.0,,,,,,,-28.0,,,,,,,,,True,,
02220,31,24.0,,,,,,,21.7,,,-7.0,,,,,,,-9.3,,,,,,,,,False,,
02230,0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
02240,12,24.0,,,,,,,16.4,,,12.0,,,,,,,4.4,,,,,,,,,True,,
02261,45,160.0,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,
02275,10,0.0,,,,,,,0.1,,,-10.0,,,,,,,-9.9,,,,,,,,,True,,
02282,23,8.0,,,,,,,,,,-15.0,,,,,,,,,,,,,,,,,,
02290,39,176.0,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,
04001,560,1384.0,1080.3,,,,891.0,53.8,589.5,,,824.0,520.3,,,,331.0,-506.2,29.5,,,True,,,,True,True,True,,
04003,522,1168.0,6618.6,,,,1552.0,842.9,551.2,,,646.0,6096.6,,,,1030.0,320.9,29.2,,,False,,,,False,True,True,,
04005,891,1616.0,1819.1,,,,1816.0,603.8,2478.1,,,725.0,928.1,,,,925.0,-287.2,1587.1,,,False,,,,False,True,False,,
04007,560,1080.0,912.6,,,,826.0,372.0,490.3,,,520.0,352.6,,,,266.0,-188.0,-69.7,,,True,,,,True,True,True,,
04009,434,672.0,,,,,359.0,307.9,2010.4,,,238.0,,,,,-75.0,-126.1,1576.4,,,,,,,True,True,False,,
04011,23,8.0,,,,,178.0,,0.2,,,-15.0,,,,,155.0,,-22.8,,,,,,,False,,False,,
04012,76,224.0,,,,,215.0,37.6,97.1,,,148.0,,,,,139.0,-38.4,21.1,,,,,,,True,True,True,,
04013,32295,107368.0,162625.5,,,,90828.0,46579.5,49778.0,,,75073.0,130330.5,,,,58533.0,14284.5,17483.0,,,False,,,,True,True,True,,
04015,1219,3616.0,8735.8,,,,3455.0,1683.9,2824.1,,,2397.0,7516.8,,,,2236.0,464.9,1605.1,,,False,,,,True,True,True,,
04017,701,2248.0,3709.6,,,,1670.0,181.1,878.1,,,1547.0,3008.6,,,,969.0,-519.9,177.1,,,False,,,,True,True,True,,
04019,9719,12240.0,26280.6,,,,12666.0,6225.5,6683.4,,,2521.0,16561.6,,,,2947.0,-3493.5,-3035.6,,,False,,,,False,False,False,,
04021,2971,6736.0,14303.4,,,,4269.0,2480.6,2303.0,,,3765.0,11332.4,,,,1298.0,-490.4,-668.0,,,False,,,,True,True,True,,
04023,355,1800.0,,,,,1510.0,54.8,770.3,,,1445.0,,,,,1155.0,-300.2,415.3,,,,,,,True,True,True,,
04025,927,1632.0,3098.3,,,,2723.0,1532.7,622.0,,,705.0,2171.3,,,,1796.0,605.7,-305.0,,,False,,,,False,True,True,,
04027,2395,8416.0,3396.6,,,,5224.0,464.4,7483.1,,,6021.0,1001.6,,,,2829.0,-1930.6,5088.1,,,True,,,,True,True,True,,
05001,181,480.0,,,,,342.0,112.7,212.6,,,299.0,,,,,161.0,-68.3,31.6,,,,,,,True,True,True,,
05003,247,376.0,,,,,419.0,228.6,464.8,,,129.0,,,,,172.0,-18.4,217.8,,,,,,,False,True,False,,
05005,213,120.0,,,,,329.0,,81.7,,,-93.0,,,,,116.0,,-131.3,,,,,,,False,,False,,
05007,2016,2936.0,8842.9,,,,4231.0,841.8,1757.5,,,920.0,6826.9,,,,2215.0,-1174.2,-258.5,,,False,,,,False,False,True,,
05009,500,256.0,,,,,380.0,324.1,330.5,,,-244.0,,,,,-120.0,-175.9,-169.5,,,,,,,True,True,True,,
05011,220,184.0,,,,,195.0,98.1,97.5,,,-36.0,,,,,-25.0,-121.9,-122.5,,,,,,,True,False,False,,
05013,27,40.0,,,,,24.0,,25.9,,,13.0,,,,,-3.0,,-1.1,,,,,,,True,,True,,
05015,290,416.0,,,,,203.0,247.8,654.9,,,126.0,,,,,-87.0,-42.2,364.9,,,,,,,True,True,False,,
05017,703,320.0,,,,,346.0,13.7,357.6,,,-383.0,,,,,-357.0,-689.3,-345.4,,,,,,,True,False,True,,
05019,183,280.0,,,,,316.0,154.4,671.7,,,97.0,,,,,133.0,-28.6,488.7,,,,,,,False,True,False,,
05021,159,112.0,,,,,157.0,91.4,73.7,,,-47.0,,,,,-2.0,-67.6,-85.3,,,,,,,True,False,False,,
05023,140,160.0,,,,,383.0,169.7,59.9,,,20.0,,,,,243.0,29.7,-80.1,,,,,,,False,False,False,,
05025,123,112.0,,,,,84.0,,154.8,,,-11.0,,,,,-39.0,,31.8,,,,,,,False,,False,,
05027,212,240.0,,,,,486.0,224.4,164.2,,,28.0,,,,,274.0,12.4,-47.8,,,,,,,False,True,False,,
05029,124,80.0,,,,,507.0,173.3,169.3,,,-44.0,,,,,383.0,49.3,45.3,,,,,,,False,False,False,,
05031,1653,1840.0,2316.5,,,,2538.0,1064.6,2555.9,,,187.0,663.5,,,,885.0,-588.4,902.9,,,False,,,,False,False,False,,
05033,795,728.0,640.0,,,,1558.0,720.4,830.3,,,-67.0,-155.0,,,,763.0,-74.6,35.3,,,False,,,,False,False,True,,
05035,796,1144.0,,,,,1262.0,264.4,519.3,,,348.0,,,,,466.0,-531.6,-276.7,,,,,,,False,False,True,,
05037,255,272.0,,,,,433.0,100.2,260.7,,,17.0,,,,,178.0,-154.8,5.7,,,,,,,False,False,True,,
05039,130,72.0,,,,,75.0,,,,,-58.0,,,,,-55.0,,,,,,,,,True,,,,
05041,153,216.0,,,,,241.0,119.8,332.7,,,63.0,,,,,88.0,-33.2,179.7,,,,,,,False,True,False,,
05043,220,144.0,,,,,377.0,163.4,132.2,,,-76.0,,,,,157.0,-56.6,-87.8,,,,,,,False,True,False,,
05045,1155,1264.0,4117.7,,,,2152.0,1034.9,6513.8,,,109.0,2962.7,,,,997.0,-120.1,5358.8,,,False,,,,False,False,False,,
05047,168,232.0,,,,,271.0,,188.1,,,64.0,,,,,103.0,,20.1,,,,,,,False,,True,,
05049,96,24.0,,,,,89.0,,50.6,,,-72.0,,,,,-7.0,,-45.4,,,,,,,True,,True,,
05051,1094,1600.0,634.0,,,,2036.0,1551.7,1854.1,,,506.0,-460.0,,,,942.0,457.7,760.1,,,True,,,,False,True,False,,
05053,136,272.0,,,,,219.0,170.7,215.5,,,136.0,,,,,83.0,34.7,79.5,,,,,,,True,True,True,,
05055,569,384.0,,,,,836.0,395.1,208.0,,,-185.0,,,,,267.0,-173.9,-361.0,,,,,,,False,True,False,,
05057,192,408.0,,,,,374.0,189.8,431.4,,,216.0,,,,,182.0,-2.2,239.4,,,,,,,True,True,False,,
05059,440,384.0,,,,,945.0,18.0,200.8,,,-56.0,,,,,505.0,-422.0,-239.2,,,,,,,False,False,False,,
05061,227,488.0,,,,,260.0,129.3,540.1,,,261.0,,,,,33.0,-97.7,313.1,,,,,,,True,True,False,,
05063,826,640.0,,,,,1084.0,450.7,559.7,,,-186.0,,,,,258.0,-375.3,-266.3,,,,,,,False,False,False,,
05065,117,48.0,,,,,73.0,,32.6,,,-69.0,,,,,-44.0,,-84.4,,,,,,,True,,False,,
05067,236,64.0,,,,,489.0,,101.9,,,-172.0,,,,,253.0,,-134.1,,,,,,,False,,True,,
05069,1698,1416.0,584.9,,,,1499.0,282.2,1310.1,,,-282.0,-1113.1,,,,-199.0,-1415.8,-387.9,,,False,,,,True,False,False,,
05071,255,672.0,,,,,744.0,103.2,271.6,,,417.0,,,,,489.0,-151.8,16.6,,,,,,,False,True,True,,
05073,44,72.0,,,,,48.0,,49.2,,,28.0,,,,,4.0,,5.2,,,,,,,True,,True,,
05075,205,176.0,,,,,333.0,87.0,123.5,,,-29.0,,,,,128.0,-118.0,-81.5,,,,,,,False,False,False,,
05077,173,96.0,,,,,183.0,18.1,1127.4,,,-77.0,,,,,10.0,-154.9,954.4,,,,,,,True,False,False,,
05079,774,200.0,,,,,279.0,2.3,9.4,,,-574.0,,,,,-495.0,-771.7,-764.6,,,,,,,True,False,False,,
05081,266,144.0,,,,,214.0,,114.5,,,-122.0,,,,,-52.0,,-151.5,,,,,,,True,,False,,
05083,272,136.0,,,,,462.0,194.5,129.4,,,-136.0,,,,,190.0,-77.5,-142.6,,,,,,,False,True,False,,
05085,694,696.0,711.4,,,,1140.0,765.9,733.4,,,2.0,17.4,,,,446.0,71.9,39.4,,,False,,,,False,False,False,,
05087,86,144.0,,,,,180.0,73.7,248.6,,,58.0,,,,,94.0,-12.3,162.6,,,,,,,False,True,False,,
05089,58,24.0,,,,,107.0,,,,,-34.0,,,,,49.0,,,,,,,,,False,,,,
05091,371,592.0,,,,,932.0,508.8,338.2,,,221.0,,,,,561.0,137.8,-32.8,,,,,,,False,True,True,,
05093,1049,1072.0,,,,,1223.0,448.2,997.8,,,23.0,,,,,174.0,-600.8,-51.2,,,,,,,False,False,False,,
05095,74,96.0,,,,,58.0,,120.9,,,22.0,,,,,-16.0,,46.9,,,,,,,True,,False,,
05097,119,56.0,,,,,68.0,,,,,-63.0,,,,,-51.0,,,,,,,,,True,,,,
05099,80,56.0,,,,,144.0,16.5,105.6,,,-24.0,,,,,64.0,-63.5,25.6,,,,,,,False,False,False,,
05101,129,552.0,,,,,78.0,,,,,423.0,,,,,-51.0,,,,,,,,,True,,,,
05103,182,136.0,,,,,382.0,,173.3,,,-46.0,,,,,200.0,,-8.7,,,,,,,False,,True,,
05105,41,16.0,,,,,92.0,,5.8,,,-25.0,,,,,51.0,,-35.2,,,,,,,False,,False,,
05107,211,296.0,,,,,626.0,25.1,361.9,,,85.0,,,,,415.0,-185.9,150.9,,,,,,,False,False,False,,
05109,163,200.0,,,,,119.0,,,,,37.0,,,,,-44.0,,,,,,,,,False,,,,
05111,486,216.0,,,,,623.0,188.4,548.7,,,-270.0,,,,,137.0,-297.6,62.7,,,,,,,True,False,True,,
05113,132,152.0,,,,,362.0,137.2,143.9,,,20.0,,,,,230.0,5.2,11.9,,,,,,,False,True,True,,
05115,981,1632.0,2919.6,,,,1316.0,619.0,3027.5,,,651.0,1938.6,,,,335.0,-362.0,2046.5,,,False,,,,True,True,False,,
05117,80,96.0,,,,,62.0,,90.6,,,16.0,,,,,-18.0,,10.6,,,,,,,False,,True,,
05119,4259,5752.0,11555.3,,,,6963.0,3424.3,4194.1,,,1493.0,7296.3,,,,2704.0,-834.7,-64.9,,,False,,,,False,True,True,,
05121,243,336.0,,,,,210.0,194.7,591.0,,,93.0,,,,,-33.0,-48.3,348.0,,,,,,,True,True,False,,
05123,415,864.0,,,,,933.0,15.1,511.9,,,449.0,,,,,518.0,-399.9,96.9,,,,,,,False,True,True,,
05125,1194,1240.0,1649.3,,,,2222.0,1439.5,717.2,,,46.0,455.3,,,,1028.0,245.5,-476.8,,,False,,,,False,False,False,,
05127,65,88.0,,,,,130.0,,91.9,,,23.0,,,,,65.0,,26.9,,,,,,,False,,False,,
05129,118,32.0,,,,,94.0,,,,,-86.0,,,,,-24.0,,,,,,,,,True,,,,
05131,2056,2016.0,2208.3,,,,4560.0,1353.5,1213.1,,,-40.0,152.3,,,,2504.0,-702.5,-842.9,,,False,,,,False,False,False,,
05133,297,400.0,,,,,672.0,34.7,169.6,,,103.0,,,,,375.0,-262.3,-127.4,,,,,,,False,False,False,,
05135,110,80.0,,,,,91.0,,45.0,,,-30.0,,,,,-19.0,,-65.0,,,,,,,True,,False,,
05137,261,120.0,,,,,85.0,,118.5,,,-141.0,,,,,-176.0,,-142.5,,,,,,,False,,False,,
05139,478,448.0,,,,,915.0,185.7,238.1,,,-30.0,,,,,437.0,-292.3,-239.9,,,,,,,False,False,False,,
05141,125,40.0,,,,,214.0,,27.7,,,-85.0,,,,,89.0,,-97.3,,,,,,,False,,False,,
05143,3338,4136.0,4240.0,,,,4850.0,929.5,2361.8,,,798.0,902.0,,,,1512.0,-2408.5,-976.2,,,False,,,,False,False,False,,
05145,503,352.0,403.0,,,,1699.0,490.5,1107.4,,,-151.0,-100.0,,,,1196.0,-12.5,604.4,,,True,,,,False,True,False,,
05147,24,0.0,,,,,62.0,,,,,-24.0,,,,,38.0,,,,,,,,,False,,,,
05149,278,336.0,,,,,575.0,13.9,569.8,,,58.0,,,,,297.0,-264.1,291.8,,,,,,,False,False,False,,
06001,10164,9760.0,13711.5,,,,11887.0,9101.2,11246.0,,,-404.0,3547.5,,,,1723.0,-1062.8,1082.0,,,False,,,,False,False,False,,
06003,0,0.0,,,,,0.0,,0.0,,,0.0,,,,,0.0,,0.0,,,,,,,True,,False,,
06005,215,160.0,,,,,219.0,,82.7,,,-55.0,,,,,4.0,,-132.3,,,,,,,True,,False,,
06007,1980,1888.0,2202.3,,,,2004.0,2145.3,2174.1,,,-92.0,222.3,,,,24.0,165.3,194.1,,,False,,,,True,False,False,,
06009,212,96.0,,,,,254.0,,1083.8,,,-116.0,,,,,42.0,,871.8,,,,,,,True,,False,,
06011,249,720.0,,,,,255.0,113.5,730.5,,,471.0,,,,,6.0,-135.5,481.5,,,,,,,True,True,False,,
06013,9101,9856.0,7515.5,,,,9197.0,10907.1,9075.5,,,755.0,-1585.5,,,,96.0,1806.1,-25.5,,,False,,,,True,False,True,,
06015,50,168.0,,,,,155.0,,90.7,,,118.0,,,,,105.0,,40.7,,,,,,,True,,True,,
06017,551,952.0,1774.9,,,,1613.0,2171.6,423.2,,,401.0,1223.9,,,,1062.0,1620.6,-127.8,,,False,,,,False,False,True,,
06019,14996,20880.0,27474.8,,,,25280.0,8126.5,18407.5,,,5884.0,12478.8,,,,10284.0,-6869.5,3411.5,,,False,,,,False,False,True,,
06021,315,408.0,,,,,250.0,212.6,449.0,,,93.0,,,,,-65.0,-102.4,134.0,,,,,,,True,False,False,,
06023,277,192.0,121.1,,,,383.0,299.8,193.2,,,-85.0,-155.9,,,,106.0,22.8,-83.8,,,False,,,,False,True,True,,
06025,2491,4288.0,3068.8,,,,4186.0,262.2,1606.2,,,1797.0,577.8,,,,1695.0,-2228.8,-884.8,,,True,,,,True,False,True,,
06027,169,56.0,,,,,126.0,,48.4,,,-113.0,,,,,-43.0,,-120.6,,,,,,,True,,False,,
06029,17069,51712.0,42022.7,,,,33341.0,9844.3,32159.0,,,34643.0,24953.7,,,,16272.0,-7224.7,15090.0,,,True,,,,True,True,True,,
06031,3496,4504.0,596.5,,,,5836.0,962.1,3351.0,,,1008.0,-2899.5,,,,2340.0,-2533.9,-145.0,,,False,,,,False,False,True,,
06033,292,224.0,210.5,,,,167.0,381.2,541.9,,,-68.0,-81.5,,,,-125.0,89.2,249.9,,,False,,,,False,False,False,,
06035,201,512.0,,,,,235.0,127.9,948.3,,,311.0,,,,,34.0,-73.1,747.3,,,,,,,True,True,False,,
06037,87492,153384.0,158861.3,,,,143666.0,79113.3,115711.6,,,65892.0,71369.3,,,,56174.0,-8378.7,28219.6,,,False,,,,True,True,True,,
06039,2666,3608.0,6945.2,,,,4533.0,1617.6,5197.8,,,942.0,4279.2,,,,1867.0,-1048.4,2531.8,,,False,,,,False,False,False,,
06041,1969,3680.0,17764.8,,,,1682.0,2510.1,764.7,,,1711.0,15795.8,,,,-287.0,541.1,-1204.3,,,False,,,,True,True,True,,
