,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01091,95,92.0,87.4,,80.0,86.0,,,,,,159.0,78.2,,22.5,78.0,59.0,51.0,,47.4,,137.5,,,,,103.0,-3.0,-7.6,,-15.0,-9.0,,,,,,64.0,-16.8,,-72.5,-17.0,-36.0,-44.0,,-47.6,,42.5,,,,,8.0,False,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01093,292,196.0,175.7,,152.0,186.0,,,,,,193.0,167.8,,123.1,178.7,86.0,88.0,,49.5,,133.4,,,,,179.2,-96.0,-116.3,,-140.0,-106.0,,,,,,-99.0,-124.2,,-168.9,-113.3,-206.0,-204.0,,-242.5,,-158.6,,,,,-112.8,False,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01095,424,728.0,719.7,,530.0,841.0,,,,,,604.0,469.4,,362.9,509.5,398.0,320.0,,342.1,,605.7,,,,,715.7,304.0,295.7,,106.0,417.0,,,,,,180.0,45.4,,-61.1,85.5,-26.0,-104.0,,-81.9,,181.7,,,,,291.7,True,,True,False,,,,,,True,True,,True,True,True,True,,True,,True,,,,,True
01097,1529,2196.0,2347.9,2008.4,1841.0,977.0,,,,,,2393.0,2561.5,,1681.7,1304.4,1245.0,1219.0,,691.0,,2479.7,774.0,,,,2423.4,667.0,818.9,479.4,312.0,-552.0,,,,,,864.0,1032.5,,152.7,-224.6,-284.0,-310.0,,-838.0,,950.7,-755.0,,,,894.4,False,True,True,True,,,,,,False,False,,True,True,True,True,,False,,False,False,,,,False
01099,150,56.0,50.1,,49.0,18.0,,,,,,133.0,70.6,,13.1,53.8,49.0,78.0,,60.5,,36.9,,,,,80.7,-94.0,-99.9,,-101.0,-132.0,,,,,,-17.0,-79.4,,-136.9,-96.2,-101.0,-72.0,,-89.5,,-113.1,,,,,-69.3,False,,False,False,,,,,,True,True,,False,False,False,True,,True,,False,,,,,True
01101,1231,1312.0,1365.4,987.8,661.0,765.0,,,,,,1193.0,661.0,,476.2,695.5,762.0,756.0,,427.1,,492.3,496.0,,,,1708.2,81.0,134.4,-243.2,-570.0,-466.0,,,,,,-38.0,-570.0,,-754.8,-535.5,-469.0,-475.0,,-803.9,,-738.7,-735.0,,,,477.2,False,False,False,False,,,,,,True,False,,False,False,False,False,,False,,False,False,,,,False
01103,569,496.0,509.8,,398.0,507.0,,,,,,672.0,388.8,,157.0,330.1,284.0,179.0,,269.0,,482.7,,,,,642.8,-73.0,-59.2,,-171.0,-62.0,,,,,,103.0,-180.2,,-412.0,-238.9,-285.0,-390.0,,-300.0,,-86.3,,,,,73.8,True,,False,True,,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01105,72,52.0,33.9,,34.0,27.0,,,,,,71.0,42.3,,26.9,64.2,50.0,0.0,,31.5,,94.1,,,,,75.6,-20.0,-38.1,,-38.0,-45.0,,,,,,-1.0,-29.7,,-45.1,-7.8,-22.0,-72.0,,-40.5,,22.1,,,,,3.6,False,,False,False,,,,,,True,False,,False,True,False,False,,False,,False,,,,,True
01107,140,232.0,233.1,,199.0,221.0,,,,,,160.0,100.2,,200.1,178.0,,116.0,,210.1,,227.2,,,,,158.8,92.0,93.1,,59.0,81.0,,,,,,20.0,-39.8,,60.1,38.0,,-24.0,,70.1,,87.2,,,,,18.8,False,,True,True,,,,,,True,True,,True,True,,True,,True,,True,,,,,True
01109,377,208.0,176.2,,163.0,142.0,,,,,,191.0,113.4,,97.0,179.4,103.0,240.0,,157.8,,166.1,,,,,161.7,-169.0,-200.8,,-214.0,-235.0,,,,,,-186.0,-263.6,,-280.0,-197.6,-274.0,-137.0,,-219.2,,-210.9,,,,,-215.3,False,,False,False,,,,,,False,False,,False,False,False,True,,False,,False,,,,,False
