,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,23473,27580.0,26923.4,26464.0,27375.0,,23703.8,27605.0,26921.9,,30124.0,27778.0,23078.5,27896.6,19012.5,26428.7,21797.9,26693.9,,,16931.7,24307.9,28621.2,22124.7,23678.0,4107.0,3450.4,2991.0,3902.0,,230.8,4132.0,3448.9,,6651.0,4305.0,-394.5,4423.6,-4460.5,2955.7,-1675.1,3220.9,,,-6541.3,834.9,5148.2,-1348.3,205.0,True,True,True,,True,False,True,,False,False,True,False,False,True,True,True,,,False,True,False,True,True
Hawaii,1633,3108.0,3127.5,2776.0,2692.0,,2957.6,2719.0,3267.5,,,,3324.3,5289.3,3699.4,3680.2,2648.1,2703.3,,,2037.3,5293.1,3363.6,2487.9,3030.0,1475.0,1494.5,1143.0,1059.0,,1324.6,1086.0,1634.5,,,,1691.3,3656.3,2066.4,2047.2,1015.1,1070.3,,,404.3,3660.1,1730.6,854.9,1397.0,False,True,True,,True,True,False,,,,False,False,False,False,True,True,,,True,False,False,True,True
Idaho,3773,3612.0,3604.5,3608.0,1857.0,,3301.4,3835.0,5571.7,,4072.0,3834.0,2947.8,4481.6,4593.6,3696.4,2853.7,3385.3,,,399.8,3153.8,3659.1,1132.1,3189.0,-161.0,-168.5,-165.0,-1916.0,,-471.6,62.0,1798.7,,299.0,61.0,-825.2,708.6,820.6,-76.6,-919.3,-387.7,,,-3373.2,-619.2,-113.9,-2640.9,-584.0,False,False,False,,False,True,False,,False,True,False,False,False,True,False,False,,,False,False,True,False,False
Illinois,24939,34072.0,34237.9,32565.0,48695.0,,27941.5,10121.0,31095.7,,33592.0,24958.0,29069.5,49707.4,26457.5,40641.8,22854.1,30388.4,,,23599.7,37362.1,27657.0,42121.9,33707.0,9133.0,9298.9,7626.0,23756.0,,3002.5,-14818.0,6156.7,,8653.0,19.0,4130.5,24768.4,1518.5,15702.8,-2084.9,5449.4,,,-1339.3,12423.1,2718.0,17182.9,8768.0,False,True,False,,True,False,True,,True,True,True,False,True,False,True,True,,,True,False,True,False,True
Indiana,11798,13054.0,12872.1,12930.0,14014.0,,13268.0,10417.0,13333.3,,13984.0,11132.0,13494.4,15071.3,14246.7,14508.3,11239.6,13012.2,,,10106.8,11799.2,11801.2,13035.9,12990.0,1256.0,1074.1,1132.0,2216.0,,1470.0,-1381.0,1535.3,,2186.0,-666.0,1696.4,3273.3,2448.7,2710.3,-558.4,1214.2,,,-1691.2,1.2,3.2,1237.9,1192.0,True,True,False,,False,False,False,,False,True,False,False,False,False,True,True,,,False,True,True,True,True
Iowa,10114,12156.0,11911.2,11644.0,11779.0,,13092.7,14286.0,11813.6,,12447.0,13113.0,16629.9,16148.1,6427.9,21435.0,8449.0,10548.3,,,8101.0,10868.3,9571.1,8667.1,10425.0,2042.0,1797.2,1530.0,1665.0,,2978.7,4172.0,1699.6,,2333.0,2999.0,6515.9,6034.1,-3686.1,11321.0,-1665.0,434.3,,,-2013.0,754.3,-542.9,-1446.9,311.0,True,True,True,,False,False,True,,False,False,False,False,False,False,True,True,,,True,True,True,True,True
Kansas,6830,8122.0,8024.3,7081.0,9158.0,,7498.1,6319.0,7775.1,,8359.0,8640.0,8586.3,13031.7,7249.8,8210.1,4952.0,6896.2,,,4243.8,6205.7,7706.4,5707.1,7247.0,1292.0,1194.3,251.0,2328.0,,668.1,-511.0,945.1,,1529.0,1810.0,1756.3,6201.7,419.8,1380.1,-1878.0,66.2,,,-2586.2,-624.3,876.4,-1122.9,417.0,True,True,False,,True,True,True,,False,False,False,False,True,False,False,True,,,False,True,True,True,True
Kentucky,8642,9774.0,9798.8,9579.0,10920.0,,9653.5,8622.0,17331.6,,11593.0,11568.0,10528.1,12370.1,9188.4,9526.8,6931.3,9029.9,,,5988.5,8897.0,7569.0,9367.9,9831.0,1132.0,1156.8,937.0,2278.0,,1011.5,-20.0,8689.6,,2951.0,2926.0,1886.1,3728.1,546.4,884.8,-1710.7,387.9,,,-2653.5,255.0,-1073.0,725.9,1189.0,False,True,False,,True,True,False,,False,False,False,False,True,True,False,True,,,False,True,True,True,False
Louisiana,8810,10460.0,9667.8,9372.0,13035.0,,8874.1,8256.0,22570.5,,8979.0,9799.0,10049.1,8104.9,5344.8,4663.8,10099.2,9837.2,,,6750.9,9284.6,11195.1,9360.2,7619.0,1650.0,857.8,562.0,4225.0,,64.1,-554.0,13760.5,,169.0,989.0,1239.1,-705.1,-3465.2,-4146.2,1289.2,1027.2,,,-2059.1,474.6,2385.1,550.2,-1191.0,True,True,False,,True,True,False,,True,True,True,True,False,False,True,True,,,False,True,False,True,True
Maine,402,282.0,294.3,343.0,256.0,,346.6,194.0,435.1,,286.0,284.0,385.6,474.2,585.4,362.1,333.4,367.8,,,345.1,269.2,358.5,443.4,319.0,-120.0,-107.7,-59.0,-146.0,,-55.4,-208.0,33.1,,-116.0,-118.0,-16.4,72.2,183.4,-39.9,-68.6,-34.2,,,-56.9,-132.8,-43.5,41.4,-83.0,True,True,False,,True,False,True,,True,True,True,True,False,True,True,True,,,True,False,True,True,True
Maryland,8137,8626.0,8738.6,8361.0,10742.0,,8166.8,838.0,8171.7,,8765.0,8178.0,8773.0,8697.0,7597.7,5774.2,7235.3,8386.0,,,4751.6,8895.2,9553.5,10830.5,9050.0,489.0,601.6,224.0,2605.0,,29.8,-7299.0,34.7,,628.0,41.0,636.0,560.0,-539.3,-2362.8,-901.7,249.0,,,-3385.4,758.2,1416.5,2693.5,913.0,False,True,False,,True,False,True,,False,True,False,False,False,False,False,True,,,False,False,False,False,False
Massachusetts,4985,0.0,0.0,3525.0,4919.0,,30060.8,672.0,5208.4,,3602.0,3723.0,4891.6,190.1,3764.6,5956.5,3178.7,5049.5,,,4021.2,24.1,,6302.1,0.0,-4985.0,-4985.0,-1460.0,-66.0,,25075.8,-4313.0,223.4,,-1383.0,-1262.0,-93.4,-4794.9,-1220.4,971.5,-1806.3,64.5,,,-963.8,-4960.9,,1317.1,-4985.0,False,True,True,,False,True,True,,True,True,True,True,True,True,True,True,,,True,True,,True,False
Michigan,10896,12110.0,11968.0,11580.0,16463.0,,8836.2,5492.0,9850.9,,10030.0,11210.0,10938.6,12357.7,14716.2,11386.0,6238.8,8020.3,,,1859.3,15235.1,8785.5,7664.9,9590.0,1214.0,1072.0,684.0,5567.0,,-2059.8,-5404.0,-1045.1,,-866.0,314.0,42.6,1461.7,3820.2,490.0,-4657.2,-2875.7,,,-9036.7,4339.1,-2110.5,-3231.1,-1306.0,True,True,False,,False,False,True,,True,True,True,False,False,True,False,False,,,False,False,False,False,False
Minnesota,8841,11246.0,11536.4,10893.0,12753.0,,11540.3,1438.0,10864.2,,11961.0,12431.0,12226.7,12262.3,9281.0,11071.7,9452.0,10506.3,,,9261.6,10662.0,9949.6,11660.5,12411.0,2405.0,2695.4,2052.0,3912.0,,2699.3,-7403.0,2023.2,,3120.0,3590.0,3385.7,3421.3,440.0,2230.7,611.0,1665.3,,,420.6,1821.0,1108.6,2819.5,3570.0,False,True,False,,False,False,True,,False,False,False,False,True,True,True,True,,,True,True,True,False,False
Mississippi,6609,8898.0,8573.4,7819.0,8281.0,,7783.6,6508.0,8776.0,,9611.0,9675.0,8576.2,8660.3,6397.2,6797.0,6737.6,7752.9,,,4729.3,8046.1,9069.2,6868.2,7462.0,2289.0,1964.4,1210.0,1672.0,,1174.6,-101.0,2167.0,,3002.0,3066.0,1967.2,2051.3,-211.8,188.0,128.6,1143.9,,,-1879.7,1437.1,2460.2,259.2,853.0,True,True,True,,True,True,True,,False,False,True,True,True,True,True,True,,,True,True,False,True,True
Missouri,19693,20006.0,19650.7,18461.0,23045.0,,18296.8,15410.0,17987.8,,23076.0,16987.0,22187.9,21384.3,15050.7,15074.0,18346.2,19237.7,,,12446.4,17543.6,15976.8,24649.0,20370.0,313.0,-42.3,-1232.0,3352.0,,-1396.2,-4283.0,-1705.2,,3383.0,-2706.0,2494.9,1691.3,-4642.3,-4619.0,-1346.8,-455.3,,,-7246.6,-2149.4,-3716.2,4956.0,677.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False
Montana,1999,1826.0,1829.2,1695.0,1379.0,,1845.7,1356.0,1651.3,,2041.0,2356.0,1973.2,2646.6,1605.5,1721.6,1834.1,1715.4,,,1357.7,1217.9,1837.5,2012.5,2121.0,-173.0,-169.8,-304.0,-620.0,,-153.3,-643.0,-347.7,,42.0,357.0,-25.8,647.6,-393.5,-277.4,-164.9,-283.6,,,-641.3,-781.1,-161.5,13.5,122.0,True,False,False,,True,False,False,,True,False,True,False,False,False,True,False,,,False,False,True,True,True
Nebraska,4992,4104.0,4206.2,3372.0,3178.0,,4007.7,690.0,3634.1,,3830.0,5214.0,4798.2,4850.2,3300.5,5179.8,2377.3,3200.4,,,1552.2,3791.3,3570.5,2846.9,4338.0,-888.0,-785.8,-1620.0,-1814.0,,-984.3,-4302.0,-1357.9,,-1162.0,222.0,-193.8,-141.8,-1691.5,187.8,-2614.7,-1791.6,,,-3439.8,-1200.7,-1421.5,-2145.1,-654.0,True,False,False,,False,False,False,,False,True,True,True,False,True,False,False,,,False,False,False,False,True
Nevada,4317,5282.0,5338.9,5157.0,4045.0,,5547.1,5783.0,5949.5,,5968.0,5339.0,5162.2,5350.1,3665.1,5582.3,4737.1,5180.3,,,3312.4,4687.7,5928.9,4828.9,4645.0,965.0,1021.9,840.0,-272.0,,1230.1,1466.0,1632.5,,1651.0,1022.0,845.2,1033.1,-651.9,1265.3,420.1,863.3,,,-1004.6,370.7,1611.9,511.9,328.0,False,True,True,,False,False,False,,False,False,True,False,True,False,True,True,,,False,True,False,True,True
New Hampshire,496,356.0,342.0,346.0,514.0,,321.9,5.0,356.0,,397.0,244.0,308.1,358.1,631.2,83.0,329.8,407.4,,,259.2,331.1,520.1,476.4,430.0,-140.0,-154.0,-150.0,18.0,,-174.1,-491.0,-140.0,,-99.0,-252.0,-187.9,-137.9,135.2,-413.0,-166.2,-88.6,,,-236.8,-164.9,24.1,-19.6,-66.0,False,False,True,,False,False,False,,True,False,False,True,True,False,False,True,,,False,False,True,True,True
New Jersey,5562,4854.0,4840.0,4982.0,6150.0,,3352.6,47.0,4908.4,,2916.0,5785.0,4861.0,4911.7,7132.1,6040.9,3865.1,4988.1,,,5899.3,4926.0,4380.9,4320.6,5241.0,-708.0,-722.0,-580.0,588.0,,-2209.4,-5515.0,-653.6,,-2646.0,223.0,-701.0,-650.3,1570.1,478.9,-1696.9,-573.9,,,337.3,-636.0,-1181.1,-1241.4,-321.0,False,True,True,,False,False,True,,False,True,True,True,False,True,False,True,,,True,True,False,False,True
New Mexico,1464,1740.0,1757.0,1567.0,1573.0,,1536.0,1044.0,1541.5,,1879.0,1940.0,1675.8,1714.1,1936.6,1123.1,1398.9,1486.9,,,861.1,1687.3,2207.6,1500.9,1672.0,276.0,293.0,103.0,109.0,,72.0,-420.0,77.5,,415.0,476.0,211.8,250.1,472.6,-340.9,-65.1,22.9,,,-602.9,223.3,743.6,36.9,208.0,False,True,True,,True,False,True,,False,False,True,True,False,False,True,True,,,False,True,False,True,True
New York,10266,10740.0,10597.2,10619.0,14360.0,,7258.9,71.0,10461.6,,5879.0,5552.0,10293.2,11120.9,14726.8,9236.9,8581.1,11353.3,,,13166.0,10070.5,11064.1,10541.5,11438.0,474.0,331.2,353.0,4094.0,,-3007.1,-10195.0,195.6,,-4387.0,-4714.0,27.2,854.9,4460.8,-1029.1,-1684.9,1087.3,,,2900.0,-195.5,798.1,275.5,1172.0,True,True,False,,False,False,True,,False,False,True,False,False,False,False,False,,,False,True,False,True,False
North Carolina,17571,21478.0,21387.8,19797.0,22100.0,,20744.8,26822.0,18820.8,,22878.0,23462.0,24030.6,26209.2,17018.3,16343.1,15407.2,20254.0,,,11692.5,18058.9,21850.1,18590.3,23156.0,3907.0,3816.8,2226.0,4529.0,,3173.8,9251.0,1249.8,,5307.0,5891.0,6459.6,8638.2,-552.7,-1227.9,-2163.8,2683.0,,,-5878.5,487.9,4279.1,1019.3,5585.0,True,True,False,,True,False,True,,False,False,False,False,True,True,True,True,,,False,True,False,True,False
North Dakota,4273,3700.0,3820.5,3869.0,3925.0,,4672.6,48.0,3932.8,,4367.0,3661.0,4327.2,4696.0,1660.4,5073.2,4287.5,3729.8,,,3890.5,4144.5,4445.3,5021.7,4132.0,-573.0,-452.5,-404.0,-348.0,,399.6,-4225.0,-340.2,,94.0,-612.0,54.2,423.0,-2612.6,800.2,14.5,-543.2,,,-382.5,-128.5,172.3,748.7,-141.0,True,True,True,,True,False,True,,True,False,True,True,False,False,True,True,,,True,True,True,False,True
Ohio,13762,16930.0,16692.1,16207.0,18613.0,,15410.1,11898.0,14848.9,,17828.0,15833.0,18309.2,18711.8,18707.8,13491.7,12127.8,16521.8,,,7807.3,15273.2,14359.7,17029.4,17806.0,3168.0,2930.1,2445.0,4851.0,,1648.1,-1864.0,1086.9,,4066.0,2071.0,4547.2,4949.8,4945.8,-270.3,-1634.2,2759.8,,,-5954.7,1511.2,597.7,3267.4,4044.0,True,True,False,,True,True,True,,False,True,False,False,False,True,True,True,,,False,True,True,False,False
Oklahoma,12617,11668.0,11763.4,10333.0,15189.0,,10622.4,8627.0,9166.2,,13413.0,10927.0,12791.6,15727.2,10600.1,9030.6,8611.4,10279.1,,,7076.3,10196.4,9541.1,12690.3,12741.0,-949.0,-853.6,-2284.0,2572.0,,-1994.6,-3990.0,-3450.8,,796.0,-1690.0,174.6,3110.2,-2016.9,-3586.4,-4005.6,-2337.9,,,-5540.7,-2420.6,-3075.9,73.3,124.0,True,False,False,,False,False,False,,True,False,True,False,False,False,False,False,,,False,False,False,True,True
Oregon,2743,3126.0,3075.5,3015.0,2866.0,,2853.7,2904.0,2958.9,,3217.0,3100.0,2934.3,4097.0,5627.9,3023.6,2539.7,2967.3,,,2211.1,2557.3,2983.3,3327.0,3070.0,383.0,332.5,272.0,123.0,,110.7,161.0,215.9,,474.0,357.0,191.3,1354.0,2884.9,280.6,-203.3,224.3,,,-531.9,-185.7,240.3,584.0,327.0,True,True,True,,True,True,True,,False,True,True,False,False,True,True,True,,,False,True,True,False,True
Pennsylvania,10956,11408.0,10814.2,10844.0,17074.0,,10548.6,1639.0,10298.7,,10641.0,8678.0,12255.7,12336.3,13576.2,9501.6,8647.3,10874.0,,,5370.1,12434.6,10568.4,12900.3,12859.0,452.0,-141.8,-112.0,6118.0,,-407.4,-9317.0,-657.3,,-315.0,-2278.0,1299.7,1380.3,2620.2,-1454.4,-2308.7,-82.0,,,-5585.9,1478.6,-387.6,1944.3,1903.0,True,True,False,,True,False,False,,True,False,False,False,False,False,False,True,,,False,False,True,False,False
Rhode Island,1377,1120.0,1134.9,1009.0,1016.0,,734.8,1.0,2584.6,,747.0,2147.0,1152.5,897.8,1415.3,1817.8,469.5,855.6,,,141.0,1261.9,1283.9,1023.2,736.0,-257.0,-242.1,-368.0,-361.0,,-642.2,-1376.0,1207.6,,-630.0,770.0,-224.5,-479.2,38.3,440.8,-907.5,-521.4,,,-1236.0,-115.1,-93.1,-353.8,-641.0,True,False,False,,False,False,False,,False,False,True,False,True,False,False,False,,,False,True,True,False,False
South Carolina,12951,14080.0,13349.8,12486.0,17855.0,,11795.3,6729.0,10874.4,,14960.0,12539.0,15225.0,18180.0,4869.3,7805.6,10607.3,12969.4,,,6030.9,12857.4,14584.7,13891.3,15007.0,1129.0,398.8,-465.0,4904.0,,-1155.7,-6222.0,-2076.6,,2009.0,-412.0,2274.0,5229.0,-8081.7,-5145.4,-2343.7,18.4,,,-6920.1,-93.6,1633.7,940.3,2056.0,True,True,False,,False,False,False,,False,True,False,False,False,False,False,True,,,False,True,False,True,False
South Dakota,3555,3894.0,3729.0,3702.0,5613.0,,4448.8,129.0,3843.8,,3579.0,3936.0,5228.5,4951.0,819.1,5231.8,2998.4,3250.5,,,3211.6,4944.8,4497.4,3127.1,3975.0,339.0,174.0,147.0,2058.0,,893.8,-3426.0,288.8,,24.0,381.0,1673.5,1396.0,-2735.9,1676.8,-556.6,-304.5,,,-343.4,1389.8,942.4,-427.9,420.0,True,True,False,,False,False,True,,True,False,False,False,False,False,False,True,,,False,False,False,False,False
Tennessee,19077,20164.0,20272.1,18719.0,18964.0,,20830.7,13439.0,20473.2,,22655.0,16834.0,20269.6,20987.5,15455.3,13923.1,19571.1,21896.0,,,13911.6,16360.9,19939.7,21334.7,17677.0,1087.0,1195.1,-358.0,-113.0,,1753.7,-5638.0,1396.2,,3578.0,-2243.0,1192.6,1910.5,-3621.7,-5153.9,494.1,2819.0,,,-5165.4,-2716.1,862.7,2257.7,-1400.0,False,True,True,,False,False,False,,False,False,False,False,False,False,True,False,,,False,False,True,False,False
Texas,52125,58128.0,57979.1,53773.0,73911.0,,48606.6,52596.0,56878.0,,65586.0,67931.0,45142.6,59744.8,42878.6,58830.0,35721.2,50117.7,,,30339.6,48376.2,65564.7,46140.7,55528.0,6003.0,5854.1,1648.0,21786.0,,-3518.4,471.0,4753.0,,13461.0,15806.0,-6982.4,7619.8,-9246.4,6705.0,-16403.8,-2007.3,,,-21785.4,-3748.8,13439.7,-5984.3,3403.0,True,True,False,,True,True,True,,False,False,False,False,False,False,False,True,,,False,True,False,True,True
Utah,8580,5732.0,5591.5,5184.0,4801.0,,6407.7,3338.0,5089.0,,5950.0,4888.0,6117.3,5852.0,3389.3,7331.1,5135.3,5797.3,,,2902.5,5126.7,5713.1,5333.0,5850.0,-2848.0,-2988.5,-3396.0,-3779.0,,-2172.3,-5242.0,-3491.0,,-2630.0,-3692.0,-2462.7,-2728.0,-5190.7,-1248.9,-3444.7,-2782.7,,,-5677.5,-3453.3,-2866.9,-3247.0,-2730.0,False,False,False,,True,False,False,,True,False,True,True,False,True,False,True,,,False,False,False,False,True
Vermont,63,84.0,84.6,85.0,127.0,,77.4,26.0,81.2,,72.0,103.0,117.3,168.1,248.2,138.2,21.3,57.5,,,55.4,100.3,104.1,59.8,83.0,21.0,21.6,22.0,64.0,,14.4,-37.0,18.2,,9.0,40.0,54.3,105.1,185.2,75.2,-41.7,-5.5,,,-7.6,37.3,41.1,-3.2,20.0,False,False,False,,True,False,True,,True,False,False,False,False,False,False,True,,,True,False,False,True,True
