,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01055,1140,1320.0,2295.4,893.0,,,,1042.1,759.9,,,180.0,1155.4,-247.0,,,,-97.9,-380.1,,,False,False,,,,True,False,,
01057,200,222.0,,377.0,,,,258.8,157.9,,,22.0,,177.0,,,,58.8,-42.1,,,,False,,,,False,False,,
01059,443,630.0,,835.0,,,,263.7,481.1,,,187.0,,392.0,,,,-179.3,38.1,,,,False,,,,True,True,,
01061,284,246.0,,256.0,,,,36.3,111.3,,,-38.0,,-28.0,,,,-247.7,-172.7,,,,True,,,,False,False,,
01063,42,66.0,,42.0,,,,10.3,47.4,,,24.0,,0.0,,,,-31.7,5.4,,,,True,,,,False,True,,
01065,124,150.0,,141.0,,,,25.7,161.3,,,26.0,,17.0,,,,-98.3,37.3,,,,True,,,,False,False,,
01067,189,126.0,,122.0,,,,30.0,59.1,,,-63.0,,-67.0,,,,-159.0,-129.9,,,,False,,,,False,False,,
01069,1252,666.0,2170.1,208.0,,,,275.4,3475.2,,,-586.0,918.1,-1044.0,,,,-976.6,2223.2,,,False,False,,,,False,False,,
01071,484,1110.0,1841.9,2542.0,,,,897.4,757.5,,,626.0,1357.9,2058.0,,,,413.4,273.5,,,False,False,,,,True,True,,
01073,5687,9024.0,10949.5,14028.0,,,,8318.7,5959.6,,,3337.0,5262.5,8341.0,,,,2631.7,272.6,,,False,False,,,,True,True,,
01075,113,174.0,,207.0,,,,81.9,67.6,,,61.0,,94.0,,,,-31.1,-45.4,,,,False,,,,True,True,,
01077,460,774.0,1533.2,588.0,,,,399.5,641.5,,,314.0,1073.2,128.0,,,,-60.5,181.5,,,False,True,,,,True,True,,
01079,224,300.0,,266.0,,,,109.5,525.6,,,76.0,,42.0,,,,-114.5,301.6,,,,True,,,,False,False,,
01081,2829,1230.0,3946.0,1439.0,,,,1102.8,766.2,,,-1599.0,1117.0,-1390.0,,,,-1726.2,-2062.8,,,True,True,,,,False,False,,
01083,641,978.0,2616.0,1010.0,,,,860.4,963.1,,,337.0,1975.0,369.0,,,,219.4,322.1,,,False,False,,,,True,True,,
01085,66,156.0,,33.0,,,,15.4,74.9,,,90.0,,-33.0,,,,-50.6,8.9,,,,True,,,,True,True,,
01087,126,180.0,,131.0,,,,30.4,168.5,,,54.0,,5.0,,,,-95.6,42.5,,,,True,,,,False,True,,
01089,2125,2982.0,6922.2,2048.0,,,,2202.5,2524.2,,,857.0,4797.2,-77.0,,,,77.5,399.2,,,False,True,,,,True,True,,
01091,138,282.0,,223.0,,,,90.4,408.9,,,144.0,,85.0,,,,-47.6,270.9,,,,True,,,,True,False,,
01093,327,252.0,,131.0,,,,123.5,248.1,,,-75.0,,-196.0,,,,-203.5,-78.9,,,,False,,,,False,False,,
01095,615,1512.0,3145.8,1389.0,,,,1095.2,754.0,,,897.0,2530.8,774.0,,,,480.2,139.0,,,False,True,,,,True,True,,
01097,3046,8220.0,9338.3,6363.0,,,,5855.3,11525.8,,,5174.0,6292.3,3317.0,,,,2809.3,8479.8,,,False,True,,,,True,False,,
01099,98,204.0,,134.0,,,,31.7,137.6,,,106.0,,36.0,,,,-66.3,39.6,,,,True,,,,True,True,,
01101,1812,3096.0,5916.9,3683.0,,,,2676.7,3153.6,,,1284.0,4104.9,1871.0,,,,864.7,1341.6,,,False,False,,,,True,False,,
01103,761,1278.0,2184.7,1245.0,,,,631.8,694.1,,,517.0,1423.7,484.0,,,,-129.2,-66.9,,,False,True,,,,True,True,,
01105,63,126.0,,102.0,,,,27.7,88.0,,,63.0,,39.0,,,,-35.3,25.0,,,,True,,,,True,True,,
01107,229,198.0,,165.0,,,,143.9,99.8,,,-31.0,,-64.0,,,,-85.1,-129.2,,,,False,,,,False,False,,
01109,395,354.0,,303.0,,,,85.6,423.3,,,-41.0,,-92.0,,,,-309.4,28.3,,,,False,,,,False,True,,
01111,194,60.0,,9.0,,,,21.9,186.3,,,-134.0,,-185.0,,,,-172.1,-7.7,,,,False,,,,False,True,,
01113,312,1038.0,1347.9,1248.0,,,,605.6,1420.2,,,726.0,1035.9,936.0,,,,293.6,1108.2,,,False,False,,,,True,False,,
01115,797,954.0,1830.1,830.0,,,,631.2,563.0,,,157.0,1033.1,33.0,,,,-165.8,-234.0,,,False,True,,,,False,False,,
01117,2180,1836.0,4403.3,1850.0,,,,1414.9,1303.1,,,-344.0,2223.3,-330.0,,,,-765.1,-876.9,,,False,True,,,,False,False,,
01119,52,0.0,,42.0,,,,0.3,32.3,,,-52.0,,-10.0,,,,-51.7,-19.7,,,,True,,,,True,True,,
01121,786,882.0,2809.3,737.0,,,,580.9,1480.9,,,96.0,2023.3,-49.0,,,,-205.1,694.9,,,False,True,,,,False,False,,
01123,211,318.0,,307.0,,,,122.1,373.4,,,107.0,,96.0,,,,-88.9,162.4,,,,True,,,,True,False,,
01125,2881,2034.0,1757.1,2262.0,,,,1313.0,1252.0,,,-847.0,-1123.9,-619.0,,,,-1568.0,-1629.0,,,False,True,,,,False,False,,
01127,656,420.0,380.0,163.0,,,,125.2,237.1,,,-236.0,-276.0,-493.0,,,,-530.8,-418.9,,,False,False,,,,False,False,,
01129,149,492.0,,462.0,,,,177.3,327.7,,,343.0,,313.0,,,,28.3,178.7,,,,True,,,,True,True,,
01131,89,156.0,,117.0,,,,46.5,96.0,,,67.0,,28.0,,,,-42.5,7.0,,,,True,,,,True,True,,
01133,246,144.0,,103.0,,,,78.3,73.7,,,-102.0,,-143.0,,,,-167.7,-172.3,,,,False,,,,False,False,,
02013,7,6.0,,0.0,,,,,,,,-1.0,,-7.0,,,,,,,,,False,,,,,,,
02016,6,0.0,,0.0,,,,,,,,-6.0,,-6.0,,,,,,,,,False,,,,,,,
02020,1735,1986.0,4352.5,696.0,,,,942.3,3034.2,,,251.0,2617.5,-1039.0,,,,-792.7,1299.2,,,False,False,,,,False,False,,
02050,71,12.0,,0.0,,,,0.9,,,,-59.0,,-71.0,,,,-70.1,,,,,False,,,,False,,,
02060,0,18.0,,0.0,,,,1.4,14.5,,,18.0,,0.0,,,,1.4,14.5,,,,True,,,,True,True,,
02068,2,0.0,,0.0,,,,,,,,-2.0,,-2.0,,,,,,,,,False,,,,,,,
02070,6,0.0,,0.0,,,,0.0,,,,-6.0,,-6.0,,,,-6.0,,,,,False,,,,True,,,
02090,528,168.0,492.3,,,,,124.3,338.7,,,-360.0,-35.7,,,,,-403.7,-189.3,,,True,,,,,False,True,,
02100,1,0.0,,0.0,,,,,,,,-1.0,,-1.0,,,,,,,,,False,,,,,,,
02105,0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,True,,,,,,,
02110,179,84.0,,84.0,,,,35.1,399.4,,,-95.0,,-95.0,,,,-143.9,220.4,,,,False,,,,False,False,,
02122,118,96.0,869.5,89.0,,,,24.6,61.0,,,-22.0,751.5,-29.0,,,,-93.4,-57.0,,,False,False,,,,False,False,,
02130,17,12.0,,0.0,,,,1.4,23.1,,,-5.0,,-17.0,,,,-15.6,6.1,,,,False,,,,False,False,,
02150,31,0.0,,0.0,,,,0.1,2.2,,,-31.0,,-31.0,,,,-30.9,-28.8,,,,False,,,,True,True,,
02158,5,12.0,,0.0,,,,,,,,7.0,,-5.0,,,,,,,,,True,,,,,,,
02164,17,0.0,,0.0,,,,,,,,-17.0,,-17.0,,,,,,,,,False,,,,,,,
02170,251,222.0,655.9,441.0,,,,136.2,112.2,,,-29.0,404.9,190.0,,,,-114.8,-138.8,,,False,False,,,,False,False,,
02180,33,12.0,,0.0,,,,0.5,,,,-21.0,,-33.0,,,,-32.5,,,,,False,,,,False,,,
02185,72,30.0,,0.0,,,,0.4,,,,-42.0,,-72.0,,,,-71.6,,,,,False,,,,False,,,
02188,46,66.0,,3.0,,,,1.7,,,,20.0,,-43.0,,,,-44.3,,,,,False,,,,False,,,
02195,2,0.0,,0.0,,,,0.1,0.4,,,-2.0,,-2.0,,,,-1.9,-1.6,,,,False,,,,True,True,,
02198,23,18.0,,0.0,,,,0.2,6.2,,,-5.0,,-23.0,,,,-22.8,-16.8,,,,False,,,,False,False,,
02220,19,24.0,,0.0,,,,0.9,46.5,,,5.0,,-19.0,,,,-18.1,27.5,,,,False,,,,False,False,,
02230,0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,True,,,,,,,
02240,9,12.0,,0.0,,,,1.4,,,,3.0,,-9.0,,,,-7.6,,,,,False,,,,False,,,
02261,26,30.0,,2.0,,,,2.2,,,,4.0,,-24.0,,,,-23.8,,,,,False,,,,False,,,
02275,5,24.0,,0.0,,,,,,,,19.0,,-5.0,,,,,,,,,True,,,,,,,
02282,15,0.0,,0.0,,,,,0.7,,,-15.0,,-15.0,,,,,-14.3,,,,False,,,,,True,,
02290,29,36.0,,0.0,,,,5.1,,,,7.0,,-29.0,,,,-23.9,,,,,False,,,,False,,,
04001,313,606.0,476.9,925.0,,,,236.6,545.3,,,293.0,163.9,612.0,,,,-76.4,232.3,,,True,False,,,,True,True,,
04003,282,462.0,1722.8,297.0,,,,68.9,313.7,,,180.0,1440.8,15.0,,,,-213.1,31.7,,,False,True,,,,False,True,,
04005,664,672.0,2521.9,408.0,,,,341.9,523.8,,,8.0,1857.9,-256.0,,,,-322.1,-140.2,,,False,False,,,,False,False,,
04007,330,498.0,1225.5,602.0,,,,322.8,409.7,,,168.0,895.5,272.0,,,,-7.2,79.7,,,False,False,,,,True,True,,
04009,250,366.0,,538.0,,,,213.5,738.5,,,116.0,,288.0,,,,-36.5,488.5,,,,False,,,,True,False,,
04011,3,12.0,,0.0,,,,0.1,14.6,,,9.0,,-3.0,,,,-2.9,11.6,,,,True,,,,True,False,,
04012,60,36.0,,5.0,,,,0.6,43.1,,,-24.0,,-55.0,,,,-59.4,-16.9,,,,False,,,,False,True,,
04013,14041,37500.0,59280.9,13727.0,,,,26119.4,17507.2,,,23459.0,45239.9,-314.0,,,,12078.4,3466.2,,,False,True,,,,True,True,,
04015,750,960.0,5969.3,349.0,,,,451.5,1751.9,,,210.0,5219.3,-401.0,,,,-298.5,1001.9,,,False,False,,,,False,False,,
04017,382,678.0,2269.2,457.0,,,,251.9,681.7,,,296.0,1887.2,75.0,,,,-130.1,299.7,,,False,True,,,,True,False,,
04019,6791,7518.0,20122.0,4479.0,,,,6281.1,3862.6,,,727.0,13331.0,-2312.0,,,,-509.9,-2928.4,,,False,False,,,,True,False,,
04021,1986,1218.0,4701.1,460.0,,,,332.6,796.9,,,-768.0,2715.1,-1526.0,,,,-1653.4,-1189.1,,,False,False,,,,False,False,,
04023,190,288.0,,210.0,,,,67.7,145.1,,,98.0,,20.0,,,,-122.3,-44.9,,,,True,,,,False,True,,
04025,486,1212.0,3636.0,1060.0,,,,854.5,758.7,,,726.0,3150.0,574.0,,,,368.5,272.7,,,False,True,,,,True,True,,
04027,1021,2604.0,4760.3,2145.0,,,,656.0,3282.6,,,1583.0,3739.3,1124.0,,,,-365.0,2261.6,,,False,True,,,,True,False,,
05001,136,108.0,,48.0,,,,24.7,389.4,,,-28.0,,-88.0,,,,-111.3,253.4,,,,False,,,,False,False,,
05003,97,504.0,,816.0,,,,618.8,644.9,,,407.0,,719.0,,,,521.8,547.9,,,,False,,,,False,False,,
05005,195,66.0,,139.0,,,,16.4,53.5,,,-129.0,,-56.0,,,,-178.6,-141.5,,,,True,,,,False,False,,
05007,1417,1560.0,973.7,1329.0,,,,471.1,1029.5,,,143.0,-443.3,-88.0,,,,-945.9,-387.5,,,False,True,,,,False,False,,
05009,398,276.0,,445.0,,,,126.8,855.2,,,-122.0,,47.0,,,,-271.2,457.2,,,,True,,,,False,False,,
05011,148,264.0,,336.0,,,,149.4,131.3,,,116.0,,188.0,,,,1.4,-16.7,,,,False,,,,True,True,,
05013,20,18.0,,0.0,,,,,,,,-2.0,,-20.0,,,,,,,,,False,,,,,,,
05015,251,96.0,,17.0,,,,22.4,171.5,,,-155.0,,-234.0,,,,-228.6,-79.5,,,,False,,,,False,True,,
05017,266,1242.0,,898.0,,,,337.9,807.1,,,976.0,,632.0,,,,71.9,541.1,,,,True,,,,True,True,,
05019,134,150.0,,127.0,,,,20.0,313.6,,,16.0,,-7.0,,,,-114.0,179.6,,,,True,,,,False,False,,
05021,128,150.0,,151.0,,,,185.3,74.0,,,22.0,,23.0,,,,57.3,-54.0,,,,False,,,,False,False,,
05023,119,90.0,,40.0,,,,60.3,41.8,,,-29.0,,-79.0,,,,-58.7,-77.2,,,,False,,,,False,False,,
05025,81,180.0,,219.0,,,,21.1,212.8,,,99.0,,138.0,,,,-59.9,131.8,,,,False,,,,True,False,,
05027,160,168.0,,237.0,,,,17.4,134.3,,,8.0,,77.0,,,,-142.6,-25.7,,,,False,,,,False,False,,
05029,95,96.0,,80.0,,,,51.7,186.6,,,1.0,,-15.0,,,,-43.3,91.6,,,,False,,,,False,False,,
05031,1248,1392.0,1888.9,2258.0,,,,580.0,1587.3,,,144.0,640.9,1010.0,,,,-668.0,339.3,,,False,False,,,,False,False,,
05033,613,588.0,1201.6,535.0,,,,214.0,631.8,,,-25.0,588.6,-78.0,,,,-399.0,18.8,,,False,False,,,,False,True,,
05035,517,960.0,,1183.0,,,,285.5,840.0,,,443.0,,666.0,,,,-231.5,323.0,,,,False,,,,True,True,,
05037,207,198.0,,408.0,,,,49.4,381.8,,,-9.0,,201.0,,,,-157.6,174.8,,,,False,,,,False,False,,
05039,98,30.0,,46.0,,,,37.4,,,,-68.0,,-52.0,,,,-60.6,,,,,True,,,,True,,,
05041,86,288.0,,567.0,,,,152.1,168.3,,,202.0,,481.0,,,,66.1,82.3,,,,False,,,,True,True,,
05043,151,258.0,,348.0,,,,235.6,205.0,,,107.0,,197.0,,,,84.6,54.0,,,,False,,,,True,True,,
05045,911,600.0,1804.8,320.0,,,,439.9,1164.7,,,-311.0,893.8,-591.0,,,,-471.1,253.7,,,False,False,,,,False,True,,
05047,108,126.0,,99.0,,,,89.4,450.0,,,18.0,,-9.0,,,,-18.6,342.0,,,,True,,,,False,False,,
05049,79,78.0,,109.0,,,,17.0,77.4,,,-1.0,,30.0,,,,-62.0,-1.6,,,,False,,,,False,False,,
05051,744,930.0,1379.3,558.0,,,,1102.1,3565.7,,,186.0,635.3,-186.0,,,,358.1,2821.7,,,False,False,,,,False,False,,
05053,112,66.0,,12.0,,,,14.1,19.8,,,-46.0,,-100.0,,,,-97.9,-92.2,,,,False,,,,False,False,,
05055,312,684.0,,1041.0,,,,538.1,814.9,,,372.0,,729.0,,,,226.1,502.9,,,,False,,,,True,False,,
05057,116,192.0,,166.0,,,,65.5,197.9,,,76.0,,50.0,,,,-50.5,81.9,,,,True,,,,True,False,,
05059,302,474.0,,44.0,,,,403.4,216.6,,,172.0,,-258.0,,,,101.4,-85.4,,,,False,,,,True,True,,
05061,119,252.0,,222.0,,,,114.9,108.5,,,133.0,,103.0,,,,-4.1,-10.5,,,,True,,,,True,True,,
05063,521,882.0,,812.0,,,,679.7,1042.8,,,361.0,,291.0,,,,158.7,521.8,,,,True,,,,True,False,,
05065,99,48.0,,76.0,,,,12.7,77.1,,,-51.0,,-23.0,,,,-86.3,-21.9,,,,True,,,,False,True,,
05067,179,306.0,,675.0,,,,1802.7,228.8,,,127.0,,496.0,,,,1623.7,49.8,,,,False,,,,False,True,,
05069,1325,1224.0,576.9,1374.0,,,,842.2,1148.8,,,-101.0,-748.1,49.0,,,,-482.8,-176.2,,,False,True,,,,False,False,,
05071,152,276.0,,116.0,,,,63.0,205.4,,,124.0,,-36.0,,,,-89.0,53.4,,,,True,,,,True,True,,
05073,36,24.0,,25.0,,,,16.4,22.3,,,-12.0,,-11.0,,,,-19.6,-13.7,,,,True,,,,False,False,,
05075,151,162.0,,191.0,,,,48.2,142.8,,,11.0,,40.0,,,,-102.8,-8.2,,,,False,,,,False,True,,
05077,151,48.0,,0.0,,,,2.3,334.2,,,-103.0,,-151.0,,,,-148.7,183.2,,,,False,,,,False,False,,
05079,705,264.0,,,,,,54.4,348.7,,,-441.0,,,,,,-650.6,-356.3,,,,,,,,False,True,,
05081,164,168.0,,226.0,,,,126.4,178.9,,,4.0,,62.0,,,,-37.6,14.9,,,,False,,,,False,False,,
05083,140,666.0,,1872.0,,,,711.5,460.9,,,526.0,,1732.0,,,,571.5,320.9,,,,False,,,,False,True,,
05085,519,552.0,687.5,500.0,,,,172.3,618.1,,,33.0,168.5,-19.0,,,,-346.7,99.1,,,False,True,,,,False,False,,
05087,61,96.0,,54.0,,,,2.9,155.1,,,35.0,,-7.0,,,,-58.1,94.1,,,,True,,,,False,False,,
05089,50,12.0,,29.0,,,,12.9,15.7,,,-38.0,,-21.0,,,,-37.1,-34.3,,,,True,,,,True,True,,
05091,266,306.0,,285.0,,,,131.6,161.5,,,40.0,,19.0,,,,-134.4,-104.5,,,,True,,,,False,False,,
05093,602,1380.0,,1943.0,,,,1589.8,778.4,,,778.0,,1341.0,,,,987.8,176.4,,,,False,,,,False,True,,
05095,56,42.0,,42.0,,,,31.6,30.2,,,-14.0,,-14.0,,,,-24.4,-25.8,,,,False,,,,False,False,,
05097,104,54.0,,0.0,,,,6.6,,,,-50.0,,-104.0,,,,-97.4,,,,,False,,,,False,,,
05099,66,48.0,,0.0,,,,11.2,59.6,,,-18.0,,-66.0,,,,-54.8,-6.4,,,,False,,,,False,True,,
05101,107,54.0,,50.0,,,,3.8,,,,-53.0,,-57.0,,,,-103.2,,,,,False,,,,False,,,
05103,145,132.0,,172.0,,,,71.3,156.0,,,-13.0,,27.0,,,,-73.7,11.0,,,,False,,,,False,True,,
05105,32,6.0,,0.0,,,,30.5,5.8,,,-26.0,,-32.0,,,,-1.5,-26.2,,,,False,,,,True,False,,
05107,142,228.0,,297.0,,,,128.8,190.2,,,86.0,,155.0,,,,-13.2,48.2,,,,False,,,,True,True,,
05109,117,144.0,,155.0,,,,44.0,,,,27.0,,38.0,,,,-73.0,,,,,False,,,,False,,,
05111,334,678.0,,1158.0,,,,444.7,654.5,,,344.0,,824.0,,,,110.7,320.5,,,,False,,,,True,True,,
05113,112,72.0,,95.0,,,,21.3,89.1,,,-40.0,,-17.0,,,,-90.7,-22.9,,,,True,,,,False,True,,
05115,696,792.0,1280.4,466.0,,,,201.6,1390.3,,,96.0,584.4,-230.0,,,,-494.4,694.3,,,False,False,,,,False,False,,
05117,46,162.0,,125.0,,,,51.8,156.1,,,116.0,,79.0,,,,5.8,110.1,,,,True,,,,True,True,,
05119,3076,4062.0,5108.2,8434.0,,,,3866.2,2815.7,,,986.0,2032.2,5358.0,,,,790.2,-260.3,,,False,False,,,,True,True,,
05121,170,234.0,,311.0,,,,136.8,933.2,,,64.0,,141.0,,,,-33.2,763.2,,,,False,,,,True,False,,
05123,272,456.0,,782.0,,,,135.3,427.3,,,184.0,,510.0,,,,-136.7,155.3,,,,False,,,,True,True,,
05125,910,894.0,1593.6,894.0,,,,559.2,753.4,,,-16.0,683.6,-16.0,,,,-350.8,-156.6,,,False,False,,,,False,False,,
05127,37,102.0,,105.0,,,,40.3,224.0,,,65.0,,68.0,,,,3.3,187.0,,,,False,,,,True,False,,
05129,111,24.0,,22.0,,,,4.7,26.7,,,-87.0,,-89.0,,,,-106.3,-84.3,,,,False,,,,False,True,,
05131,1277,2454.0,3792.0,2896.0,,,,1412.8,2047.7,,,1177.0,2515.0,1619.0,,,,135.8,770.7,,,False,False,,,,True,True,,
05133,205,330.0,,108.0,,,,69.1,154.5,,,125.0,,-97.0,,,,-135.9,-50.5,,,,True,,,,False,True,,
05135,85,54.0,,83.0,,,,7.1,77.4,,,-31.0,,-2.0,,,,-77.9,-7.6,,,,True,,,,False,True,,
05137,236,90.0,,113.0,,,,14.5,93.6,,,-146.0,,-123.0,,,,-221.5,-142.4,,,,True,,,,False,True,,
05139,361,288.0,,494.0,,,,163.5,374.8,,,-73.0,,133.0,,,,-197.5,13.8,,,,False,,,,False,True,,
05141,115,18.0,,0.0,,,,8.0,11.5,,,-97.0,,-115.0,,,,-107.0,-103.5,,,,False,,,,False,False,,
05143,2646,1896.0,2835.3,1460.0,,,,405.5,1328.5,,,-750.0,189.3,-1186.0,,,,-2240.5,-1317.5,,,True,False,,,,False,False,,
05145,397,384.0,479.4,647.0,,,,348.7,870.8,,,-13.0,82.4,250.0,,,,-48.3,473.8,,,False,False,,,,False,False,,
05147,20,12.0,,0.0,,,,7.1,,,,-8.0,,-20.0,,,,-12.9,,,,,False,,,,False,,,
05149,164,318.0,,184.0,,,,32.0,521.7,,,154.0,,20.0,,,,-132.0,357.7,,,,True,,,,True,False,,
06001,7281,10374.0,12333.7,16242.0,,,,6870.4,15581.3,,,3093.0,5052.7,8961.0,,,,-410.6,8300.3,,,False,False,,,,True,False,,
06003,0,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,0.0,,,,,True,,,,False,,,
06005,122,234.0,,563.0,,,,86.9,261.6,,,112.0,,441.0,,,,-35.1,139.6,,,,False,,,,True,False,,
06007,1643,924.0,2196.4,932.0,,,,217.0,2419.3,,,-719.0,553.4,-711.0,,,,-1426.0,776.3,,,True,True,,,,False,False,,
06009,164,132.0,,224.0,,,,8.4,205.9,,,-32.0,,60.0,,,,-155.6,41.9,,,,False,,,,False,False,,
06011,150,234.0,,151.0,,,,6.5,293.7,,,84.0,,1.0,,,,-143.5,143.7,,,,True,,,,False,False,,
06013,6712,7296.0,11754.5,16420.0,,,,8046.6,5779.7,,,584.0,5042.5,9708.0,,,,1334.6,-932.3,,,False,False,,,,False,False,,
06015,38,66.0,,42.0,,,,11.2,83.5,,,28.0,,4.0,,,,-26.8,45.5,,,,True,,,,True,False,,
06017,335,552.0,1701.0,401.0,,,,133.3,296.5,,,217.0,1366.0,66.0,,,,-201.7,-38.5,,,False,True,,,,True,True,,
06019,10529,15552.0,25302.5,21119.0,,,,11225.5,13836.8,,,5023.0,14773.5,10590.0,,,,696.5,3307.8,,,False,False,,,,True,True,,
06021,220,210.0,,151.0,,,,40.3,263.4,,,-10.0,,-69.0,,,,-179.7,43.4,,,,False,,,,False,False,,
06023,200,294.0,270.8,520.0,,,,52.4,201.2,,,94.0,70.8,320.0,,,,-147.6,1.2,,,True,False,,,,False,True,,
06025,1865,1704.0,8152.5,1303.0,,,,676.8,807.2,,,-161.0,6287.5,-562.0,,,,-1188.2,-1057.8,,,False,False,,,,False,False,,
06027,123,78.0,,18.0,,,,35.2,66.0,,,-45.0,,-105.0,,,,-87.8,-57.0,,,,False,,,,False,False,,
