,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,17905,18042.3,22412.3,18129.5,19184.0,14991.0,,14974.8,18602.0,,17747.8,13260.8,137.3,4507.3,224.5,1279.0,-2914.0,,-2930.2,697.0,,-157.2,-4644.2,False,False,False,False,,False,False,,False,False
Hawaii,443,410.1,427.9,403.3,493.0,375.4,,415.8,,,372.5,356.4,-32.9,-15.1,-39.7,50.0,-67.6,,-27.2,,,-70.5,-86.6,True,False,False,False,,True,,,False,False
Idaho,1879,2107.6,1988.0,2144.1,1904.0,1975.2,,2152.3,2165.0,,2072.5,1871.6,228.6,109.0,265.1,25.0,96.2,,273.3,286.0,,193.5,-7.4,True,False,True,True,,False,False,,True,True
Illinois,23003,25240.9,27905.6,25693.4,28209.0,24136.5,,25132.4,25015.0,,22190.4,23166.0,2237.9,4902.6,2690.4,5206.0,1133.5,,2129.4,2012.0,,-812.6,163.0,False,False,False,True,,True,True,,True,True
Indiana,12726,11538.6,13056.0,11534.9,12282.0,12142.5,,12564.7,11748.0,,10364.9,10415.3,104.6,1622.0,100.9,848.0,708.5,,1130.7,314.0,,-1069.1,-1018.7,False,True,False,False,,False,False,,False,False
Iowa,5552,5591.6,5362.2,5679.1,8394.0,5683.1,,5256.3,5958.0,,5893.8,5059.6,39.6,-189.8,127.1,2842.0,131.1,,-295.7,406.0,,341.8,-492.4,False,False,False,False,,False,False,,False,False
Kansas,4768,5875.3,7147.5,5924.3,6981.0,5175.9,,5490.8,5325.0,,5270.7,4411.7,1107.3,2379.5,1156.3,2213.0,407.9,,722.8,557.0,,502.7,-356.3,False,False,False,True,,True,True,,True,True
Kentucky,4806,4676.7,4663.4,4612.3,5816.0,4487.1,,4311.7,4624.0,,4966.7,3674.6,-129.3,-142.6,-193.7,1010.0,-318.9,,-494.3,-182.0,,160.7,-1131.4,False,False,False,False,,False,False,,False,False
Louisiana,9716,10465.9,10101.6,9809.7,12444.0,10513.8,,9877.0,11055.0,,10151.8,8959.5,749.9,385.6,93.7,2728.0,797.8,,161.0,1339.0,,435.8,-756.5,True,True,False,False,,True,False,,True,False
Maine,704,1052.7,1160.2,1032.0,1113.0,809.2,,798.9,990.0,,812.5,659.9,348.7,456.2,328.0,409.0,105.2,,94.9,286.0,,108.5,-44.1,False,True,False,True,,True,True,,True,True
Maryland,7941,8589.9,8209.1,8605.3,9369.0,8682.0,,8391.6,8429.0,,8265.1,7106.8,648.9,268.1,664.3,1428.0,741.0,,450.6,488.0,,324.1,-834.2,True,False,False,False,,True,True,,True,False
Massachusetts,16374,17087.4,17156.8,17146.2,18144.0,17346.1,,16981.7,17326.0,,15221.1,14914.3,713.4,782.8,772.2,1770.0,972.1,,607.7,952.0,,-1152.9,-1459.7,False,False,False,False,,True,False,,False,False
Michigan,16658,18262.1,18008.9,18335.8,19019.0,17221.5,,18979.7,19750.0,,16089.5,16402.6,1604.1,1350.9,1677.8,2361.0,563.5,,2321.7,3092.0,,-568.5,-255.4,True,False,False,True,,False,False,,True,True
Minnesota,6614,7503.6,6781.6,7524.3,7038.0,7161.1,,7404.0,8150.0,,7468.8,6831.1,889.6,167.6,910.3,424.0,547.1,,790.0,1536.0,,854.8,217.1,True,False,True,True,,True,False,,True,True
Mississippi,6805,7948.4,9658.2,7826.5,7300.0,7220.7,,7157.8,7736.0,,7597.8,6286.7,1143.4,2853.2,1021.5,495.0,415.7,,352.8,931.0,,792.8,-518.3,False,True,True,True,,True,True,,True,True
Missouri,8512,8765.1,8860.5,8832.0,9647.0,8545.4,,8729.2,9294.0,,7200.5,7152.6,311.1,406.5,378.0,1193.0,91.4,,275.2,840.0,,-1253.5,-1301.4,False,False,False,True,,True,False,,False,False
Montana,1379,1338.9,1303.8,1326.0,1519.0,1324.2,,1527.3,1538.0,,1412.3,1254.9,-40.1,-75.2,-53.0,140.0,-54.8,,148.3,159.0,,33.3,-124.1,False,False,False,False,,False,False,,True,False
Nebraska,2113,2365.0,2123.8,2536.9,2440.0,2287.7,,2275.9,2441.0,,2139.4,2109.1,252.0,10.8,423.9,327.0,174.7,,162.9,328.0,,26.4,-3.9,True,False,False,True,,True,False,,True,True
Nevada,5036,5918.4,5796.4,5937.7,5232.0,5003.9,,5518.4,5776.0,,5576.7,4474.4,882.4,760.4,901.7,196.0,-32.1,,482.4,740.0,,540.7,-561.6,True,False,True,True,,True,True,,True,True
New Hampshire,1181,1371.9,1265.5,1382.4,1351.0,1428.3,,1582.7,1565.0,,1071.6,1058.4,190.9,84.5,201.4,170.0,247.3,,401.7,384.0,,-109.4,-122.6,True,False,True,False,,False,False,,True,True
New Jersey,23557,24450.4,27208.4,24345.1,26038.0,24039.8,,24496.2,24301.0,,24001.0,21337.4,893.4,3651.4,788.1,2481.0,482.8,,939.2,744.0,,444.0,-2219.6,False,True,False,True,,False,True,,True,False
New Mexico,3796,4186.9,3819.0,4156.0,4152.0,3873.8,,4022.0,4166.0,,3575.2,3490.1,390.9,23.0,360.0,356.0,77.8,,226.0,370.0,,-220.8,-305.9,True,True,True,True,,True,True,,True,True
New York,48247,50325.6,53179.5,50172.3,56487.0,49643.8,,47850.4,49266.0,,51012.6,42239.3,2078.6,4932.5,1925.3,8240.0,1396.8,,-396.6,1019.0,,2765.6,-6007.7,False,True,False,True,,True,True,,False,False
North Carolina,11502,11621.3,11093.1,12155.0,13613.0,11537.9,,12268.1,12528.0,,10695.2,9392.9,119.3,-408.9,653.0,2111.0,35.9,,766.1,1026.0,,-806.8,-2109.1,False,False,False,True,,False,False,,False,False
North Dakota,1479,1721.4,1566.9,1704.6,1541.0,1542.3,,1347.8,1674.0,,1417.7,1549.5,242.4,87.9,225.6,62.0,63.3,,-131.2,195.0,,-61.3,70.5,True,True,True,True,,True,True,,True,True
Ohio,18295,14129.1,14589.7,13888.6,12653.0,12622.5,,13866.7,13832.0,,14695.4,11858.1,1366.1,1826.7,1125.6,-110.0,-140.5,,1103.7,1069.0,,1932.4,-904.9,False,True,True,True,,True,True,,False,True
Oklahoma,4534,4536.7,5323.8,4449.5,5597.0,4344.8,,4138.5,4777.0,,4636.4,3543.6,2.7,789.8,-84.5,1063.0,-189.2,,-395.5,243.0,,102.4,-990.4,False,False,False,False,,False,False,,False,False
Oregon,2296,3144.0,13130.2,3171.1,2411.0,2303.1,,2370.6,2888.0,,3184.5,2180.7,848.0,10834.2,875.1,115.0,7.1,,74.6,592.0,,888.5,-115.3,False,False,True,True,,True,True,,False,True
Pennsylvania,24306,29801.3,32758.4,29763.2,25144.0,25322.7,,25964.3,30213.0,,27296.6,22416.6,5495.3,8452.4,5457.2,838.0,1016.7,,1658.3,5907.0,,2990.6,-1889.4,False,True,True,True,,True,False,,True,True
Rhode Island,2541,2615.3,3304.8,2627.8,2853.0,2724.4,,2743.4,2784.5,,2232.7,2119.4,238.3,927.8,250.8,476.0,347.4,,366.4,407.5,,-144.3,-257.6,False,False,False,False,,False,False,,True,False
South Carolina,8719,9158.1,11037.9,8557.9,10490.0,8992.7,,8912.3,8503.0,,8843.3,7056.8,439.1,2318.9,-161.1,1771.0,273.7,,193.3,-216.0,,124.3,-1662.2,False,True,False,True,,True,True,,True,False
South Dakota,1898,2142.9,2227.9,2074.1,1956.0,1841.6,,1860.1,2071.0,,1839.8,1873.7,244.9,329.9,176.1,58.0,-56.4,,-37.9,173.0,,-58.2,-24.3,False,True,True,True,,True,True,,True,True
Tennessee,11543,12546.4,13625.5,12911.7,10782.0,10886.6,,12091.4,13506.0,,12004.7,9818.0,1003.4,2082.5,1368.7,-761.0,-656.4,,548.4,1963.0,,461.7,-1725.0,False,False,True,True,,True,False,,True,False
Texas,45249,47144.0,55592.2,47229.0,61865.0,43506.2,,40537.8,49377.0,,42656.4,37489.8,1895.0,10343.2,1980.0,16616.0,-1742.8,,-4711.2,4128.0,,-2592.6,-7759.2,False,False,False,True,,False,False,,False,False
Utah,1975,2185.6,2804.0,2149.5,2822.0,2020.9,,2324.9,2358.0,,2135.3,1223.9,210.6,829.0,174.5,847.0,45.9,,349.9,383.0,,160.3,-751.1,False,True,False,True,,False,False,,True,False
Vermont,208,211.0,222.2,212.0,444.0,350.0,,296.8,304.0,,170.8,190.7,3.0,14.2,4.0,236.0,142.0,,88.8,96.0,,-37.2,-17.3,False,False,False,False,,False,False,,False,False
Virginia,9519,8101.6,9246.2,7979.1,8369.0,8028.5,,7904.4,8118.0,,7225.5,6472.3,-1417.4,-272.8,-1539.9,-1150.0,-1490.5,,-1614.6,-1401.0,,-2293.5,-3046.7,True,False,True,False,,False,True,,False,False
Washington,5041,5308.7,6282.2,5336.9,6610.0,6033.5,,7140.2,5401.5,,5178.5,4443.4,267.7,1241.2,295.9,1569.0,992.5,,2099.2,360.5,,137.5,-597.6,False,False,False,False,,False,False,,True,False
West Virginia,2323,3106.3,3710.7,3097.4,3233.0,2761.5,,2912.5,2916.0,,2867.3,2233.9,783.3,1387.7,774.4,910.0,438.5,,589.5,593.0,,544.3,-89.1,False,True,False,True,,True,True,,True,True
Wisconsin,7103,8210.0,7394.2,8270.1,8212.0,7240.0,,6994.2,7628.0,,7790.8,6869.0,1107.0,291.2,1167.1,1109.0,137.0,,-108.8,525.0,,687.8,-234.0,True,False,False,True,,True,True,,True,True
Wyoming,682,748.3,723.0,753.0,1359.0,720.8,,828.6,769.0,,598.4,624.1,66.3,41.0,71.0,677.0,38.8,,146.6,87.0,,-83.6,-57.9,True,False,False,True,,False,False,,False,True
US,525162,557117.7,661202.6,559208.5,574046.0,507441.8,570870.0,529979.7,556596.0,547996.8,478318.3,455759.7,39185.7,143270.6,41276.5,56114.0,-10490.2,52938.0,12047.7,38664.0,30064.8,-39613.7,-62172.3,False,False,False,True,False,True,True,True,False,False
