,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Hawaii,443,458.1,431.5,431.0,407.0,389.6,469.0,,,452.2,,369.0,660.1,484.0,407.0,,413.8,399.0,375.2,15.1,-11.5,-12.0,-36.0,-53.4,26.0,,,9.2,,-74.0,217.1,41.0,-36.0,,-29.2,-44.0,-67.8,True,True,False,False,False,,,True,,False,False,False,False,,False,False,False
Idaho,1879,2032.1,1968.0,2045.9,1902.0,1975.9,1854.0,,,2053.7,2045.0,1842.5,2105.4,1781.0,1930.0,,2143.7,1961.0,1899.1,153.1,89.0,166.9,23.0,96.9,-25.0,,,174.7,166.0,-36.5,226.4,-98.0,51.0,,264.7,82.0,20.1,True,False,True,True,True,,,False,False,True,False,True,True,,False,True,True
Illinois,23003,24370.0,23815.5,24394.1,25618.0,24569.0,23042.0,,,23836.0,24220.0,22897.0,23904.8,22365.0,23217.5,,22248.6,23793.0,23314.5,1367.0,812.5,1391.1,2615.0,1566.0,39.0,,,833.0,1217.0,-106.0,901.8,-638.0,214.5,,-754.4,790.0,311.5,True,False,False,False,True,,,True,True,True,True,True,True,,True,True,True
Indiana,12726,12094.0,11971.8,12126.3,11414.0,12029.2,11539.0,,,11282.9,11862.0,10672.7,11391.3,10716.0,12634.5,,12157.9,11338.0,10651.6,648.0,525.8,680.3,-32.0,583.2,93.0,,,-163.1,416.0,-773.3,-54.7,-730.0,1188.5,,711.9,-108.0,-794.4,True,False,True,True,True,,,True,True,False,True,False,False,,False,True,False
Iowa,5552,5447.6,5380.9,5476.7,6434.0,5242.7,7193.0,,,5237.0,5623.0,5006.8,5354.7,4762.0,4889.0,,5438.0,5226.0,5099.2,-104.4,-171.1,-75.3,882.0,-309.3,1641.0,,,-315.0,71.0,-545.2,-197.3,-790.0,-663.0,,-114.0,-326.0,-452.8,False,True,False,False,False,,,False,True,False,False,False,False,,False,False,False
Kansas,4768,4161.0,6726.1,4177.5,5419.0,5398.2,5058.0,,,4711.3,5238.0,4488.7,4568.9,4311.0,5113.0,,4625.2,4338.0,4299.6,-607.0,1958.1,-590.5,651.0,630.2,290.0,,,-56.7,470.0,-279.3,-199.1,-457.0,345.0,,-142.8,-430.0,-468.4,False,True,False,False,True,,,True,True,True,True,True,True,,True,True,True
Kentucky,4806,5143.0,4796.4,5144.5,5343.0,4945.8,4191.0,,,4599.2,4882.0,3966.4,5246.4,5466.0,7537.0,,5283.6,4989.0,3986.1,337.0,-9.6,338.5,537.0,139.8,-615.0,,,-206.8,76.0,-839.6,440.4,660.0,2731.0,,477.6,183.0,-819.9,True,False,False,True,False,,,True,True,False,False,False,False,,False,True,False
Louisiana,9716,10685.3,10899.8,10902.2,10842.0,10597.4,9905.0,,,10281.8,10630.0,9873.2,9997.4,9731.0,10356.0,,10973.2,9454.0,9310.9,969.3,1183.8,1186.2,1126.0,881.4,189.0,,,565.8,914.0,157.2,281.4,15.0,640.0,,1257.2,-262.0,-405.1,False,False,False,True,True,,,True,True,True,True,True,True,,False,True,True
Maine,704,737.3,1008.4,766.0,1002.0,963.2,908.0,,,1005.2,939.0,991.1,1218.0,762.0,1195.0,,651.0,787.0,672.1,33.3,304.4,62.0,298.0,259.2,204.0,,,301.2,235.0,287.1,514.0,58.0,491.0,,-53.0,83.0,-31.9,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,True
Maryland,7941,8610.4,8431.9,8612.8,8716.0,8607.2,17198.0,,,8463.7,8358.0,7968.1,8550.5,7959.0,8287.0,,8278.9,8356.0,7402.7,669.4,490.9,671.8,775.0,666.2,9257.0,,,522.7,417.0,27.1,609.5,18.0,346.0,,337.9,415.0,-538.3,True,False,False,True,False,,,True,True,True,True,True,True,,True,True,True
Massachusetts,16374,16950.3,16779.8,16948.5,,17780.5,17291.0,,,17062.1,16894.0,15697.3,16263.1,15623.0,15968.0,,15843.7,16453.0,14988.2,576.3,405.8,574.5,,1406.5,917.0,,,688.1,520.0,-676.7,-110.9,-751.0,-406.0,,-530.3,79.0,-1385.8,True,True,,False,False,,,False,True,False,True,False,True,,True,True,False
Michigan,16658,18179.9,17806.7,18253.8,17884.0,17696.0,17391.0,,,17360.3,18092.0,16180.7,17645.3,16569.0,20121.0,,15735.5,17350.0,16745.0,1521.9,1148.7,1595.8,1226.0,1038.0,733.0,,,702.3,1434.0,-477.3,987.3,-89.0,3463.0,,-922.5,692.0,87.0,True,False,True,True,True,,,True,True,True,True,True,False,,True,True,True
Minnesota,6614,7147.0,6787.0,7188.0,6987.0,7246.9,6607.0,,,6861.1,7605.0,6615.5,7170.5,6747.0,7602.0,,7557.2,6830.0,6854.6,533.0,173.0,574.0,373.0,632.9,-7.0,,,247.1,991.0,1.5,556.5,133.0,988.0,,943.2,216.0,240.6,True,False,True,False,True,,,True,False,True,False,True,False,,False,True,True
Mississippi,6805,7242.1,6435.5,7377.3,7190.0,7546.0,6647.0,,,6948.2,7549.0,6923.3,6763.0,6818.0,7197.5,,6921.6,7212.0,6502.7,437.1,-369.5,572.3,385.0,741.0,-158.0,,,143.2,744.0,118.3,-42.0,13.0,392.5,,116.6,407.0,-302.3,True,False,True,False,True,,,True,False,True,True,True,True,,True,True,True
Missouri,8512,8614.3,8557.3,8615.9,8401.0,8399.0,7984.0,,,7066.3,8773.0,7031.7,7948.0,7742.0,8078.0,,7406.0,7544.0,7281.8,169.3,112.3,170.9,-44.0,-46.0,-461.0,,,-1378.7,328.0,-1413.3,-497.0,-703.0,-367.0,,-1039.0,-901.0,-1163.2,True,False,True,True,False,,,False,False,False,False,False,False,,False,False,False
Montana,1379,1496.6,1311.2,1459.0,1370.0,1417.2,1234.0,,,1285.1,1353.0,1204.7,1433.4,1226.0,1325.5,,1575.3,1273.0,1305.6,117.6,-67.8,80.0,-9.0,38.2,-145.0,,,-93.9,-26.0,-174.3,54.4,-153.0,-53.5,,196.3,-106.0,-73.4,True,True,True,True,False,,,True,True,False,True,False,True,,False,True,True
Nebraska,2113,2125.0,2054.2,2132.6,2286.0,2154.6,1981.0,,,2227.6,2320.5,2088.8,2438.4,1992.0,2149.0,,2059.5,2149.0,2108.1,12.0,-58.8,19.6,173.0,41.6,-132.0,,,114.6,207.5,-24.2,325.4,-121.0,36.0,,-53.5,36.0,-4.9,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,True
Nevada,5036,5472.7,5649.4,5511.0,5043.0,5320.9,5206.0,,,5405.1,5707.0,4718.3,4848.0,5318.0,5745.0,,5139.0,4982.0,4687.9,436.7,613.4,475.0,7.0,284.9,170.0,,,369.1,671.0,-317.7,-188.0,282.0,709.0,,103.0,-54.0,-348.1,False,False,True,True,True,,,True,False,True,True,True,False,,True,True,True
New Hampshire,1181,1303.3,1215.8,1304.7,1339.0,1511.3,1307.0,,,1357.9,1426.0,1245.2,1560.7,1173.0,1870.5,,1156.0,1336.0,1106.8,122.3,34.8,123.7,158.0,330.3,126.0,,,176.9,245.0,64.2,379.7,-8.0,689.5,,-25.0,155.0,-74.2,True,False,False,False,False,,,False,False,True,False,True,False,,True,False,True
New Jersey,23557,23949.9,25566.7,24056.5,25494.0,24812.2,24638.0,,,23773.6,24280.0,23575.8,23763.1,23901.0,22449.5,,23951.9,23845.0,21765.2,392.9,2009.7,499.5,1937.0,1255.2,1081.0,,,216.6,723.0,18.8,206.1,344.0,-1107.5,,394.9,288.0,-1791.8,False,False,False,False,False,,,True,False,True,True,True,False,,False,True,False
New Mexico,3796,4392.6,3970.8,4344.7,4061.0,3931.8,3899.0,,,3957.9,4052.0,3529.5,3727.2,4073.0,3854.0,,3862.9,3972.0,3660.3,596.6,174.8,548.7,265.0,135.8,103.0,,,161.9,256.0,-266.5,-68.8,277.0,58.0,,66.9,176.0,-135.7,True,True,True,True,True,,,True,True,True,True,True,True,,True,True,True
New York,48247,50126.7,53059.0,50115.6,52761.0,50356.7,54708.0,,,49100.6,49117.0,49578.1,50854.8,49100.5,48267.0,,50583.4,50393.0,43888.7,1879.7,4812.0,1868.6,4514.0,2109.7,6461.0,,,853.6,870.0,1331.1,2607.8,853.5,20.0,,2336.4,2146.0,-4358.3,False,True,False,False,False,,,True,True,True,False,True,True,,False,False,False
North Carolina,11502,12279.6,11563.2,12006.7,11958.0,12602.3,10769.0,,,11617.7,12177.0,10748.0,12637.4,14483.0,11829.0,,11372.8,12311.0,9985.4,777.6,61.2,504.7,456.0,1100.3,-733.0,,,115.7,675.0,-754.0,1135.4,2981.0,327.0,,-129.2,809.0,-1516.6,True,True,True,False,True,,,True,True,True,False,False,True,,True,False,False
North Dakota,1479,1611.7,1573.1,1634.5,1595.0,1541.6,1525.0,,,1596.6,1682.0,1543.8,1543.6,1528.0,1609.0,,1506.0,1575.0,1552.9,132.7,94.1,155.5,116.0,62.6,46.0,,,117.6,203.0,64.8,64.6,49.0,130.0,,27.0,96.0,73.9,True,False,True,True,True,,,True,False,True,True,True,True,,True,True,True
Ohio,18295,13704.0,14145.1,13950.0,12719.0,13071.7,12385.0,,,13220.8,14419.0,12118.6,14483.8,12550.0,15752.0,,14426.0,13162.0,12244.3,1162.0,1603.1,1408.0,177.0,529.7,-157.0,,,678.8,1877.0,-423.4,1941.8,8.0,3210.0,,1884.0,620.0,-297.7,False,False,True,True,True,,,True,False,True,False,True,False,,False,True,True
Oklahoma,4534,4989.3,5390.9,4905.4,4794.0,4562.0,4275.0,,,4137.9,4770.0,3863.8,4774.4,4540.0,4595.0,,4988.8,4637.0,3846.1,455.3,856.9,371.4,260.0,28.0,-259.0,,,-396.1,236.0,-670.2,240.4,6.0,61.0,,454.8,103.0,-687.9,False,True,True,True,True,,,True,True,False,True,True,True,,True,True,False
Oregon,2296,2348.6,3384.9,2345.2,2417.0,2369.8,2319.0,,,2844.8,2682.0,2357.0,2847.1,2395.5,3961.0,,2364.7,2277.0,2199.7,52.6,1088.9,49.2,121.0,73.8,23.0,,,548.8,386.0,61.0,551.1,99.5,1665.0,,68.7,-19.0,-96.3,False,True,False,False,True,,,False,False,False,False,False,False,,False,True,False
Pennsylvania,24306,28011.6,30327.5,28317.3,25227.0,26331.3,24821.0,,,26008.7,29165.0,23887.8,25724.3,26365.0,25098.0,,26362.0,25930.0,23681.9,3705.6,6021.5,4011.3,921.0,2025.3,515.0,,,1702.7,4859.0,-418.2,1418.3,2059.0,792.0,,2056.0,1624.0,-624.1,False,False,True,True,True,,,True,False,True,True,True,True,,True,True,True
Rhode Island,2541,2539.9,2302.7,2551.4,2549.0,2770.6,2366.0,,,2478.4,2653.0,2340.0,2438.4,2456.5,2417.0,,2230.4,2264.0,2194.8,187.9,-49.3,199.4,197.0,418.6,14.0,,,126.4,301.0,-12.0,86.4,104.5,65.0,,-121.6,-88.0,-157.2,True,False,False,False,True,,,True,False,True,True,True,True,,True,True,True
South Carolina,8719,8362.7,10755.5,8705.3,9901.0,9591.8,10095.0,,,9057.2,8751.0,9124.8,8780.5,7484.0,9086.0,,8474.1,9160.0,7337.8,-356.3,2036.5,-13.7,1182.0,872.8,1376.0,,,338.2,32.0,405.8,61.5,-1235.0,367.0,,-244.9,441.0,-1381.2,False,True,False,False,False,,,True,True,False,True,False,False,,True,False,False
South Dakota,1898,1992.0,2042.7,2073.8,1968.0,1864.3,1927.0,,,1988.7,1995.0,1870.9,1901.3,1849.0,1902.0,,1853.4,1927.0,1902.1,94.0,144.7,175.8,70.0,-33.7,29.0,,,90.7,97.0,-27.1,3.3,-49.0,4.0,,-44.6,29.0,4.1,False,False,True,True,True,,,True,False,True,True,True,True,,True,True,True
Tennessee,11543,11600.1,11415.9,11603.4,10340.0,11417.7,10145.0,,,11329.1,12168.0,9748.1,11100.5,10283.0,12032.5,,11238.3,10623.0,10084.1,57.1,-127.1,60.4,-1203.0,-125.3,-1398.0,,,-213.9,625.0,-1794.9,-442.5,-1260.0,489.5,,-304.7,-920.0,-1458.9,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False
Texas,45249,48446.9,55168.5,48503.9,56927.0,47596.3,46162.0,,,44404.1,48204.0,46716.1,45121.2,46682.5,46745.5,,44548.8,47764.0,39731.0,3197.9,9919.5,3254.9,11678.0,2347.3,913.0,,,-844.9,2955.0,1467.1,-127.8,1433.5,1496.5,,-700.2,2515.0,-5518.0,False,False,False,True,True,,,True,True,True,True,True,True,,True,True,False
Utah,1975,2192.4,2443.4,2163.8,2251.0,2079.0,2368.0,,,2098.6,2109.0,1848.2,1721.2,1940.0,2055.0,,2114.8,1888.0,1282.9,217.4,468.4,188.8,276.0,104.0,393.0,,,123.6,134.0,-126.8,-253.8,-35.0,80.0,,139.8,-87.0,-692.1,False,True,False,True,False,,,True,True,True,False,True,True,,True,True,False
Vermont,208,211.0,197.2,212.0,282.0,320.4,300.0,,,331.4,270.0,190.3,374.4,183.0,247.5,,195.9,210.0,196.0,3.0,-10.8,4.0,74.0,112.4,92.0,,,123.4,62.0,-17.7,166.4,-25.0,39.5,,-12.1,2.0,-12.0,False,False,False,False,False,,,False,False,False,False,False,False,,False,True,False
Virginia,9519,8122.1,9167.8,8316.6,8969.0,8349.0,7793.0,,,8594.0,7978.0,8199.5,9266.2,8274.5,8954.0,,7340.1,8379.0,6824.3,-1396.9,-351.2,-1202.4,-550.0,-1170.0,-1726.0,,,-925.0,-1541.0,-1319.5,-252.8,-1244.5,-565.0,,-2178.9,-1140.0,-2694.7,True,True,True,True,False,,,True,False,True,True,True,True,,False,True,False
Washington,5041,5349.9,5005.5,5380.7,5413.0,5668.3,4886.0,,,5390.5,5209.5,4720.2,5724.7,4760.5,6106.0,,5286.0,4642.0,4632.7,308.9,-35.5,339.7,372.0,627.3,-155.0,,,349.5,168.5,-320.8,683.7,-280.5,1065.0,,245.0,-399.0,-408.3,True,False,False,False,True,,,False,True,False,False,True,False,,True,False,False
West Virginia,2323,2592.0,2515.7,2537.8,2650.0,2820.5,2590.0,,,2735.0,2759.0,2464.2,2778.5,2464.0,2812.0,,2556.8,2604.0,2285.2,269.0,192.7,214.8,327.0,497.5,267.0,,,412.0,436.0,141.2,455.5,141.0,489.0,,233.8,281.0,-37.8,True,True,False,False,True,,,False,False,True,False,True,False,,True,False,True
Wisconsin,7103,7853.4,7612.1,7857.8,8136.0,7264.9,7028.0,,,7143.6,7993.0,6883.1,7713.0,7359.0,8814.5,,7238.8,7351.0,7062.0,750.4,509.1,754.8,1033.0,161.9,-75.0,,,40.6,890.0,-219.9,610.0,256.0,1711.5,,135.8,248.0,-41.0,True,False,False,True,True,,,True,False,True,True,True,False,,True,True,True
Wyoming,682,858.0,768.5,865.0,1078.0,840.0,786.0,,,724.2,711.0,661.6,709.6,859.0,762.0,,621.1,741.0,674.3,176.0,86.5,183.0,396.0,158.0,104.0,,,42.2,29.0,-20.4,27.6,177.0,80.0,,-60.9,59.0,-7.7,True,False,False,True,True,,,True,True,True,True,False,True,,True,True,True
US,525162,545810.3,594901.6,546964.5,534725.0,559839.1,547244.0,531864.3,556707.0,525930.6,540331.0,495412.6,530837.5,527303.0,562246.5,527600.4,479859.8,523806.0,474835.4,28163.3,77254.6,29317.5,17078.0,42192.1,29597.0,14217.3,39060.0,8283.6,22684.0,-22234.4,13190.5,9656.0,44599.5,9953.4,-37787.2,6159.0,-42811.6,False,False,True,False,False,True,False,True,True,True,True,True,False,True,False,True,False
