,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,17905,18365.3,18444.0,18142.8,18556.8,18315.0,18526.1,17949.0,17991.0,17707.0,17732.2,17766.0,17345.8,17734.0,18392.6,,18030.3,16586.0,17882.9,,17717.5,17684.2,17685.0,17153.2,17985.0,16964.4,17724.2,18075.0,17933.1,17825.0,17591.8,18468.6,17974.5,,18780.2,16950.0,,17998.1,18052.8,17656.0,18092.0,18049.7,17717.0,18389.9,,18486.2,17798.2,17790.0,18078.2,18157.0,,17014.2,17760.0,460.3,539.0,237.8,651.8,410.0,621.1,44.0,86.0,-198.0,-172.8,-139.0,-559.2,-171.0,487.6,,125.3,-1319.0,-22.1,,-187.5,-220.8,-220.0,-751.8,80.0,-940.6,-180.8,170.0,28.1,-80.0,-313.2,563.6,69.5,,875.2,-955.0,,93.1,147.8,-249.0,187.0,144.7,-188.0,484.9,,581.2,-106.8,-115.0,173.2,252.0,,-890.8,-145.0,False,True,False,True,False,True,True,True,True,True,False,True,False,,True,False,True,,True,True,True,False,True,False,True,True,True,True,True,False,True,,False,False,,True,True,True,True,True,True,False,,False,True,True,True,True,,False,True
Hawaii,443,439.3,448.9,432.4,438.1,438.0,439.0,441.0,441.0,446.0,444.2,439.0,430.2,447.0,458.0,,,,445.2,,442.0,443.5,,433.9,439.0,480.9,438.0,436.0,436.1,454.0,,436.8,443.8,,440.7,461.0,,,442.0,446.0,440.0,439.1,472.0,438.8,,429.0,446.8,439.0,457.3,436.0,,446.7,447.0,-3.7,5.9,-10.6,-4.9,-5.0,-4.0,-2.0,-2.0,3.0,1.2,-4.0,-12.8,4.0,15.0,,,,2.2,,-1.0,0.5,,-9.1,-4.0,37.9,-5.0,-7.0,-6.9,11.0,,-6.2,0.8,,-2.3,18.0,,,-1.0,3.0,-3.0,-3.9,29.0,-4.2,,-14.0,3.8,-4.0,14.3,-7.0,,3.7,4.0,False,False,False,False,False,True,True,True,True,False,False,False,False,,,,True,,True,True,,False,False,False,False,False,False,False,,False,True,,True,False,,,True,True,True,False,False,False,,False,False,False,False,False,,True,False
Idaho,1879,1868.7,1889.1,1863.2,1871.3,1883.0,1872.0,1869.0,1867.0,1876.0,1873.9,1854.0,1869.7,1858.0,1909.6,,1863.0,,1901.8,,1859.3,1887.3,1902.0,1927.3,1867.0,1911.8,1864.6,1858.0,1855.0,1932.0,1860.1,1870.5,1865.5,,1865.0,1882.0,,,1866.3,1882.0,1866.0,1734.2,1910.0,1979.7,,1869.7,1871.5,1861.0,1880.1,1869.0,,1899.8,1869.0,-10.3,10.1,-15.8,-7.7,4.0,-7.0,-10.0,-12.0,-3.0,-5.1,-25.0,-9.3,-21.0,30.6,,-16.0,,22.8,,-19.7,8.3,23.0,48.3,-12.0,32.8,-14.4,-21.0,-24.0,53.0,-18.9,-8.5,-13.5,,-14.0,3.0,,,-12.7,3.0,-13.0,-144.8,31.0,100.7,,-9.3,-7.5,-18.0,1.1,-10.0,,20.8,-10.0,True,False,True,True,True,True,False,True,True,False,True,False,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,False,True,False,,False,True,,,False,True,False,False,False,False,,True,True,False,True,True,,False,True
Illinois,23003,23106.7,23107.6,22946.0,23110.3,23032.0,23104.0,22962.0,22877.0,22847.0,22878.4,22835.0,22765.6,23064.0,23091.2,,22952.3,,22955.0,,23113.9,23307.5,23072.5,23103.1,23101.0,20946.2,22909.7,22927.0,22985.1,22937.0,22838.9,23114.1,22979.5,22619.0,22900.5,22960.0,,23112.0,22940.8,23241.0,22944.0,23097.2,22940.0,22920.6,,23107.2,22987.3,22964.0,23029.4,22990.0,,20993.7,22904.0,103.7,104.6,-57.0,107.3,29.0,101.0,-41.0,-126.0,-156.0,-124.6,-168.0,-237.4,61.0,88.2,,-50.7,,-48.0,,110.9,304.5,69.5,100.1,98.0,-2056.8,-93.3,-76.0,-17.9,-66.0,-164.1,111.1,-23.5,-384.0,-102.5,-43.0,,109.0,-62.2,238.0,-59.0,94.2,-63.0,-82.4,,104.2,-15.7,-39.0,26.4,-13.0,,-2009.3,-99.0,False,True,False,True,True,True,False,False,False,False,False,True,True,,True,,True,,False,False,True,True,True,False,True,True,True,True,False,False,True,False,True,True,,False,True,False,True,True,True,True,,False,True,True,True,True,,False,True
Indiana,12726,12741.6,12850.5,12795.3,13114.9,12732.0,12710.0,12746.0,12649.0,12630.0,12785.5,12768.0,12882.1,12734.0,12804.7,,12667.0,,12777.5,,12856.0,12879.2,12826.0,12969.7,12808.0,12325.9,12617.1,12654.5,12668.9,12940.0,12740.5,12708.4,12750.3,12398.0,12616.3,12752.0,,12874.2,12628.4,12808.0,12729.0,12140.4,12741.0,12845.1,,12704.7,12648.1,12661.0,12681.6,12654.0,,12609.8,12697.0,15.6,124.5,69.3,388.9,6.0,-16.0,20.0,-77.0,-96.0,59.5,42.0,156.1,8.0,78.7,,-59.0,,51.5,,130.0,153.2,100.0,243.7,82.0,-400.1,-108.9,-71.5,-57.1,214.0,14.5,-17.6,24.3,-328.0,-109.7,26.0,,148.2,-97.6,82.0,3.0,-585.6,15.0,119.1,,-21.3,-77.9,-65.0,-44.4,-72.0,,-116.2,-29.0,False,False,False,True,False,False,False,False,False,False,False,True,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,True,False,True,False,,False,False,False,False,False,,False,False
Iowa,5552,5521.7,5597.0,5524.1,5592.3,5770.0,5536.0,5553.0,5732.0,5530.0,5521.2,5679.0,5530.7,5601.0,5558.9,,5529.0,,5554.0,,5504.9,5570.2,5585.0,5839.4,5764.0,5659.9,5513.5,5463.0,5502.3,5643.0,5596.1,5518.0,5577.3,,6185.2,5566.0,,5567.0,5468.8,,5576.0,4906.3,5503.0,5592.2,,5518.5,5806.0,5481.0,5672.2,5553.0,,5587.2,5499.0,-30.3,45.0,-27.9,40.3,218.0,-16.0,1.0,180.0,-22.0,-30.8,127.0,-21.3,49.0,6.9,,-23.0,,2.0,,-47.1,18.2,33.0,287.4,212.0,107.9,-38.5,-89.0,-49.7,91.0,44.1,-34.0,25.3,,633.2,14.0,,15.0,-83.2,,24.0,-645.7,-49.0,40.2,,-33.5,254.0,-71.0,120.2,1.0,,35.2,-53.0,False,True,False,False,True,True,False,True,False,False,True,False,True,,True,,True,,False,True,False,False,False,False,False,False,False,False,False,False,True,,False,True,,True,False,,True,False,False,False,,False,False,False,False,True,,False,False
Kansas,4768,5026.1,4973.5,4950.2,5087.5,4981.0,5061.0,4893.0,4923.0,4836.0,4741.1,4890.0,4857.8,4817.0,5227.5,,4932.4,,5033.0,,4720.5,4980.1,4858.0,4673.4,4948.0,4802.9,4819.5,5019.0,4788.6,4801.0,4970.3,4960.4,4918.5,,5062.4,4879.0,,5041.4,4849.7,4763.0,4896.0,5398.7,4932.0,4979.1,,4976.4,4827.4,4882.0,,4917.0,,4870.1,4813.0,258.1,205.5,182.2,319.5,213.0,293.0,125.0,155.0,68.0,-26.9,122.0,89.8,49.0,459.5,,164.4,,265.0,,-47.5,212.1,90.0,-94.6,180.0,34.9,51.5,251.0,20.6,33.0,202.3,192.4,150.5,,294.4,111.0,,273.4,81.7,-5.0,128.0,630.7,164.0,211.1,,208.4,59.4,114.0,,149.0,,102.1,45.0,True,True,False,True,False,True,True,True,True,True,True,True,False,,True,,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,,False,True,True,True,False,True,True,,True,True,True,,True,,True,True
Kentucky,4806,4753.4,4718.7,4735.5,4718.0,4723.0,4733.9,4739.0,4721.0,4745.0,4721.9,4606.0,4768.1,4775.0,4819.4,,4689.7,,4826.9,,4918.6,4752.9,4783.0,6147.8,4776.0,4867.2,4750.0,4664.0,4682.3,4828.0,4661.0,4776.5,4734.5,4655.0,4669.7,4809.0,,,4683.0,4710.0,4717.0,4485.6,4716.0,4743.7,,4768.4,4682.3,4701.0,4812.4,4681.0,,4719.1,4716.0,-52.6,-87.3,-70.5,-88.0,-83.0,-72.1,-67.0,-85.0,-61.0,-84.1,-200.0,-37.9,-31.0,13.4,,-116.3,,20.9,,112.6,-53.1,-23.0,1341.8,-30.0,61.2,-56.0,-142.0,-123.7,22.0,-145.0,-29.5,-71.5,-151.0,-136.3,3.0,,,-123.0,-96.0,-89.0,-320.4,-90.0,-62.3,,-37.6,-123.7,-105.0,6.4,-125.0,,-86.9,-90.0,False,False,False,False,False,False,False,False,False,False,True,True,True,,False,,True,,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,,,False,False,False,False,False,False,,True,False,False,True,False,,False,False
Louisiana,9716,9789.1,9722.8,9655.7,9770.9,9716.0,9768.0,9698.0,9698.0,9685.0,9736.1,9588.0,9696.1,9723.0,10256.6,,9730.8,,9704.3,,9685.5,9838.1,9766.0,9668.9,9752.0,9752.5,9681.3,9659.0,9644.1,9779.0,9762.0,9736.1,9728.4,,9663.4,9829.0,,9657.3,9662.7,9865.0,9702.0,10650.5,9756.0,9941.6,,9730.2,9662.6,9698.0,9777.9,9646.0,,9775.9,9672.0,73.1,6.8,-60.3,54.9,0.0,52.0,-18.0,-18.0,-31.0,20.1,-128.0,-19.9,7.0,540.6,,14.8,,-11.7,,-30.5,122.1,50.0,-47.1,36.0,36.5,-34.7,-57.0,-71.9,63.0,46.0,20.1,12.4,,-52.6,113.0,,-58.7,-53.3,149.0,-14.0,934.5,40.0,225.6,,14.2,-53.4,-18.0,61.9,-70.0,,59.9,-44.0,True,True,True,True,True,True,True,True,True,False,True,True,False,,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,False,,True,True,False,True,False,True,False,,True,True,True,True,True,,True,True
Maine,704,674.7,676.5,670.3,678.1,683.0,680.0,682.0,679.0,689.0,690.5,669.0,684.6,676.0,690.5,,668.5,,714.2,,675.0,680.7,699.0,683.2,691.0,,685.2,666.0,671.9,691.0,,683.5,681.6,,671.0,691.0,,,668.6,705.0,681.0,829.6,698.0,678.8,,685.2,685.1,679.0,700.0,676.0,,697.8,681.0,-29.3,-27.5,-33.7,-25.9,-21.0,-24.0,-22.0,-25.0,-15.0,-13.5,-35.0,-19.4,-28.0,-13.5,,-35.5,,10.2,,-29.0,-23.3,-5.0,-20.8,-13.0,,-18.8,-38.0,-32.1,-13.0,,-20.5,-22.4,,-33.0,-13.0,,,-35.4,1.0,-23.0,125.6,-6.0,-25.2,,-18.8,-18.9,-25.0,-4.0,-28.0,,-6.2,-23.0,True,False,True,True,True,True,True,True,True,False,True,True,True,,False,,True,,True,True,True,True,True,,True,False,False,True,,True,True,,False,True,,,False,True,True,False,True,True,,True,True,True,True,True,,True,True
Maryland,7941,8014.0,8081.8,7975.9,8020.6,8025.0,8019.0,7959.0,7933.0,7996.0,7984.5,7930.0,7937.5,7953.0,8014.5,,7988.4,,8011.9,,8050.6,8035.8,8050.0,7965.5,8010.0,7987.8,7923.5,7933.0,7951.3,7957.0,7953.6,8046.0,7960.8,,7940.2,7907.0,,8013.8,7938.5,8046.0,7947.0,7939.5,7959.0,7989.5,,8041.7,7921.5,7930.0,7858.0,7964.0,,7951.2,7918.0,73.0,140.8,34.9,79.6,84.0,78.0,18.0,-8.0,55.0,43.5,-11.0,-3.5,12.0,73.5,,47.4,,70.9,,109.6,94.8,109.0,24.5,69.0,46.8,-17.5,-8.0,10.3,16.0,12.6,105.0,19.8,,-0.8,-34.0,,72.8,-2.5,105.0,6.0,-1.5,18.0,48.5,,100.7,-19.5,-11.0,-83.0,23.0,,10.2,-23.0,False,True,False,False,False,True,True,True,True,True,True,True,False,,True,,True,,False,False,False,True,True,True,True,True,True,True,True,False,True,,True,True,,True,True,False,True,True,True,True,,False,True,True,False,True,,True,True
Massachusetts,16374,16461.1,16578.3,16454.6,16495.6,16374.0,16489.0,16352.0,16284.0,16313.0,16286.0,16311.0,16185.5,16348.0,16503.8,,16537.9,,16352.2,,16355.8,16564.8,16407.0,16513.1,16489.0,16235.6,16195.4,16388.0,16379.1,16350.0,16608.6,16379.0,16430.4,,16310.6,16145.0,,16461.3,16339.1,16567.0,16382.0,18887.0,16389.0,16297.7,,16380.7,16195.0,16352.0,16408.8,16384.0,,16190.3,16270.0,87.1,204.3,80.6,121.6,0.0,115.0,-22.0,-90.0,-61.0,-88.0,-63.0,-188.5,-26.0,129.8,,163.9,,-21.8,,-18.2,190.8,33.0,139.1,115.0,-138.4,-178.6,14.0,5.1,-24.0,234.6,5.0,56.4,,-63.4,-229.0,,87.3,-34.9,193.0,8.0,2513.0,15.0,-76.3,,6.7,-179.0,-22.0,34.8,10.0,,-183.7,-104.0,False,True,False,True,False,True,False,True,False,True,False,True,False,,False,,True,,True,False,True,False,False,False,False,True,True,True,False,True,True,,True,False,,False,True,False,True,False,True,True,,True,False,True,True,True,,False,False
Michigan,16658,16756.1,16795.5,16618.0,16792.1,16783.0,16788.0,16693.0,16675.0,16702.0,16722.2,16611.0,16583.5,16767.0,17130.0,,16809.6,,16667.6,,16666.6,16856.9,16704.0,16707.9,16712.0,16795.5,16715.1,16664.0,16636.1,16632.0,16556.2,16724.5,16709.1,16423.0,16684.7,16539.0,,16654.5,16674.0,16935.0,16670.0,16540.7,16676.0,16450.8,,16734.2,16707.9,16673.0,16702.9,16772.0,,16792.8,16675.0,98.1,137.5,-40.0,134.1,125.0,130.0,35.0,17.0,44.0,64.2,-47.0,-74.5,109.0,472.0,,151.6,,9.6,,8.6,198.9,46.0,49.9,54.0,137.5,57.1,6.0,-21.9,-26.0,-101.8,66.5,51.1,-235.0,26.7,-119.0,,-3.5,16.0,277.0,12.0,-117.3,18.0,-207.2,,76.2,49.9,15.0,44.9,114.0,,134.8,17.0,False,True,False,False,False,True,True,True,True,True,True,False,False,,False,,True,,True,False,True,True,True,False,True,True,True,True,False,True,True,False,True,False,,True,True,False,True,False,True,False,,True,True,True,True,False,,False,True
Minnesota,6614,6604.0,6600.9,6573.7,6606.5,6599.0,6599.0,6606.0,6599.0,6647.0,6620.0,6574.0,6582.0,6587.0,6629.4,,6617.6,,6605.2,,6640.5,6668.3,6598.0,7099.3,6609.0,,6606.6,6608.0,6603.9,6602.0,6529.1,6586.5,6601.4,6536.5,6576.3,6602.0,,6634.0,6565.6,6701.0,6602.0,5965.9,6667.0,6659.6,,6588.0,6618.7,6613.0,6651.0,6603.0,,6649.9,6608.0,-10.0,-13.1,-40.3,-7.5,-15.0,-15.0,-8.0,-15.0,33.0,6.0,-40.0,-32.0,-27.0,15.4,,3.6,,-8.8,,26.5,54.3,-16.0,485.3,-5.0,,-7.4,-6.0,-10.1,-12.0,-84.9,-27.5,-12.6,-77.5,-37.7,-12.0,,20.0,-48.4,87.0,-12.0,-648.1,53.0,45.6,,-26.0,4.7,-1.0,37.0,-11.0,,35.9,-6.0,False,False,True,False,False,True,False,False,True,False,False,False,False,,True,,True,,False,False,False,False,True,,True,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,True,True,False,False,,False,True
Mississippi,6805,6722.0,6821.3,6729.3,6728.2,6753.0,6737.0,6746.0,6717.0,6776.0,6815.9,6736.0,6757.9,6777.0,6936.4,,6726.8,,6745.7,,6788.1,6795.3,6786.0,6701.0,6913.0,6749.0,6746.0,6654.0,6665.9,6800.0,6796.3,6739.1,6761.2,,6669.4,6685.0,,6862.8,6721.3,6836.0,6761.0,6692.0,6672.0,6956.6,,6728.1,6753.6,6755.0,6816.9,6733.0,,6834.1,6712.0,-83.0,16.3,-75.7,-76.8,-52.0,-68.0,-59.0,-88.0,-29.0,10.9,-69.0,-47.1,-28.0,131.4,,-78.2,,-59.3,,-16.9,-9.7,-19.0,-104.0,108.0,-56.0,-59.0,-151.0,-139.1,-5.0,-8.7,-65.9,-43.8,,-135.6,-120.0,,57.8,-83.7,31.0,-44.0,-113.0,-133.0,151.6,,-76.9,-51.4,-50.0,11.9,-72.0,,29.1,-93.0,True,True,True,True,True,True,False,True,True,True,True,True,False,,True,,True,,True,True,True,False,False,True,True,False,False,True,True,True,True,,False,False,,True,False,True,True,False,False,False,,True,True,True,True,True,,True,False
Missouri,8512,8593.9,8660.2,8351.8,8633.4,8605.0,8645.0,8460.0,8419.0,8454.0,8343.4,8430.0,8352.2,8396.0,8498.8,,8527.9,,8480.9,,7520.3,8516.1,8598.0,7500.2,8534.0,7913.5,8358.6,8349.0,8362.8,8451.0,8600.3,8520.7,8493.5,,8505.1,8479.0,,8416.6,8518.3,8324.0,8328.0,7941.5,8466.0,8237.6,,8537.6,8393.6,8375.0,8518.7,8309.0,,7941.8,8350.0,81.9,148.2,-160.2,121.4,93.0,133.0,-52.0,-93.0,-58.0,-168.6,-82.0,-159.8,-116.0,-13.2,,15.9,,-31.1,,-991.7,4.1,86.0,-1011.8,22.0,-598.5,-153.4,-163.0,-149.2,-61.0,88.3,8.7,-18.5,,-6.9,-33.0,,-95.4,6.3,-188.0,-184.0,-570.5,-46.0,-274.4,,25.6,-118.4,-137.0,6.7,-203.0,,-570.2,-162.0,False,False,False,False,False,True,False,True,False,False,False,False,True,,True,,True,,False,True,False,False,True,False,False,False,False,True,False,True,True,,True,True,,False,True,False,False,False,True,False,,True,False,False,True,False,,False,False
Montana,1379,1369.9,1397.6,1358.3,1372.5,1372.0,1369.0,1388.0,1387.0,1394.0,1376.6,1376.0,1399.7,1390.0,1396.6,,1379.4,,1367.0,,1361.7,1373.3,1391.0,1646.2,1380.0,1411.0,1392.5,1355.0,1364.4,1378.0,1368.3,1369.5,1385.8,,1380.0,1403.0,,,1369.6,1393.0,1388.0,1168.6,1407.0,1396.0,,1367.3,1394.2,1382.0,1423.9,1367.0,,1403.4,1400.0,-9.1,18.6,-20.7,-6.5,-7.0,-10.0,9.0,8.0,15.0,-2.4,-3.0,20.7,11.0,17.6,,0.4,,-12.0,,-17.3,-5.7,12.0,267.2,1.0,32.0,13.5,-24.0,-14.6,-1.0,-10.7,-9.5,6.8,,1.0,24.0,,,-9.4,14.0,9.0,-210.4,28.0,17.0,,-11.7,15.2,3.0,44.9,-12.0,,24.4,21.0,False,False,True,True,False,True,True,False,True,True,False,False,False,,True,,False,,False,True,False,False,True,False,False,False,False,True,False,False,True,,True,False,,,False,False,True,False,False,False,,False,False,True,False,False,,False,False
Nebraska,2113,2130.6,2097.8,2096.5,2140.5,2124.0,2137.0,2115.0,2109.0,2122.0,2098.8,2093.0,2071.6,2093.0,2110.4,,2116.7,,2119.4,,2045.0,2115.7,2116.0,2227.5,2118.0,2163.6,2094.6,2113.5,2098.3,2125.0,2061.9,2116.5,2102.5,,2131.9,2086.0,,,2114.5,2118.0,2096.0,1877.0,2144.0,2108.8,,2123.8,2113.4,2097.0,,2098.0,,2125.0,2101.0,17.6,-15.2,-16.5,27.5,11.0,24.0,2.0,-4.0,9.0,-14.2,-20.0,-41.4,-20.0,-2.6,,3.7,,6.4,,-68.0,2.7,3.0,114.5,5.0,50.6,-18.4,0.5,-14.7,12.0,-51.1,3.5,-10.5,,18.9,-27.0,,,1.5,5.0,-17.0,-236.0,31.0,-4.2,,10.8,0.4,-16.0,,-15.0,,12.0,-12.0,True,True,False,True,False,True,True,True,True,False,False,False,True,,True,,True,,False,True,True,False,True,False,False,True,True,True,False,True,True,,False,False,,,True,True,True,False,False,True,,True,True,True,,True,,True,True
Nevada,5036,5174.7,5219.8,5143.3,5215.9,5132.0,5216.1,5130.0,5142.0,5092.0,5095.6,5086.0,5067.5,5182.0,5259.8,,5081.8,,5095.3,,5119.0,5035.9,5178.0,4880.1,5151.0,5031.2,5150.6,5101.0,5072.7,5152.0,5274.9,5163.5,5105.3,,5157.0,5314.0,,5137.7,5119.4,5056.0,5086.0,4813.5,5130.0,5193.9,,5161.7,5079.4,5074.0,5134.3,5145.0,,5142.5,5062.0,138.7,183.8,107.3,179.9,96.0,180.1,94.0,106.0,56.0,59.6,50.0,31.5,146.0,223.8,,45.8,,59.3,,83.0,-0.1,142.0,-155.9,115.0,-4.8,114.6,65.0,36.7,116.0,238.9,127.5,69.3,,121.0,278.0,,101.7,83.4,20.0,50.0,-222.5,94.0,157.9,,125.7,43.4,38.0,98.3,109.0,,106.5,26.0,False,True,False,True,False,True,True,True,True,True,True,False,False,,True,,True,,True,True,False,False,True,True,True,True,True,True,False,True,True,,True,False,,True,True,True,True,False,True,False,,True,True,True,True,True,,True,True
New Hampshire,1181,1193.0,1203.8,1188.0,1200.9,1207.0,1199.0,1204.0,1203.0,1207.0,1212.6,1207.0,1213.9,1204.0,1200.1,,1199.2,,1192.9,,1186.8,1182.7,1209.0,1310.7,1203.0,1266.0,1194.4,1173.0,1185.0,1204.0,,1203.8,1202.4,,1194.9,1224.0,,,1167.2,1223.0,1212.0,1316.4,1232.0,1203.7,,1206.0,1207.3,1209.0,1214.8,1196.0,,1203.5,1202.0,12.0,22.8,7.0,19.9,26.0,18.0,23.0,22.0,26.0,31.6,26.0,32.9,23.0,19.1,,18.2,,11.9,,5.8,1.7,28.0,129.7,22.0,85.0,13.4,-8.0,4.0,23.0,,22.8,21.4,,13.9,43.0,,,-13.8,42.0,31.0,135.4,51.0,22.7,,25.0,26.3,28.0,33.8,15.0,,22.5,21.0,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,,True,,True,True,False,False,False,False,False,True,True,False,,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
New Jersey,23557,23608.3,23650.1,23463.8,23613.6,23552.0,23621.6,23529.0,23437.0,23690.0,23444.7,23316.0,23362.4,23674.0,23545.8,,23594.0,,23523.3,,23554.9,23326.2,23610.0,24084.7,23621.0,23574.5,23484.7,23492.0,23534.3,23493.0,23477.2,23566.0,23570.3,,23482.5,23116.0,,23400.4,23556.0,24065.0,23501.0,22459.7,23487.0,23593.1,,23568.2,23466.8,23426.0,23607.2,23485.0,,23462.0,23499.0,51.3,93.1,-93.2,56.6,-5.0,64.6,-28.0,-120.0,133.0,-112.3,-241.0,-194.6,117.0,-11.2,,37.0,,-33.7,,-2.1,-230.8,53.0,527.7,64.0,17.5,-72.3,-65.0,-22.7,-64.0,-79.8,9.0,13.3,,-74.5,-441.0,,-156.6,-1.0,508.0,-56.0,-1097.3,-70.0,36.1,,11.2,-90.2,-131.0,50.2,-72.0,,-95.0,-58.0,False,False,False,True,False,True,False,False,False,False,False,False,True,,True,,True,,True,False,False,False,False,True,False,False,True,False,False,True,True,,False,False,,False,True,False,False,False,False,True,,True,False,False,True,False,,False,False
