,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,11502,12482.4,12400.9,12264.9,12509.3,12116.0,12481.4,12152.0,11955.0,11845.0,12272.9,12547.0,11659.7,11497.0,12280.5,,11878.2,,11617.1,,11577.4,12556.0,11564.5,12368.0,12207.0,11845.7,11853.0,12256.5,12292.0,12600.9,12300.6,12592.6,12171.2,13043.0,,12310.3,12111.9,,12120.0,12360.8,11915.0,11941.5,,12318.7,12104.0,12527.8,11801.0,,11095.7,12475.0,980.4,898.9,762.9,1007.3,614.0,979.4,650.0,453.0,343.0,770.9,1045.0,157.7,-5.0,778.5,,376.2,,115.1,,75.4,1054.0,62.5,866.0,705.0,343.7,351.0,754.5,790.0,1098.9,798.6,1090.6,669.2,1541.0,,808.3,609.9,,618.0,858.8,413.0,439.5,,816.7,602.0,1025.8,299.0,,-406.3,973.0,True,True,False,True,True,True,True,True,True,False,True,True,True,,True,,True,,True,False,True,True,True,True,True,True,True,False,True,False,True,False,,True,True,,True,True,True,True,,True,True,False,True,,True,True
North Dakota,1479,1476.1,1505.5,1464.3,1470.9,1511.0,1482.2,1490.0,1485.0,1458.0,1495.0,1497.0,1495.8,1496.0,1533.0,,1478.8,,1497.9,,1491.4,1540.0,1626.1,1508.0,1502.8,1487.7,1457.0,1488.5,1525.0,1471.4,1467.4,1515.2,1476.6,1486.0,,,1475.6,1512.0,1503.0,1573.8,1474.0,1463.6,,1522.2,1485.0,1525.7,1476.0,,1513.2,1514.0,-2.9,26.5,-14.7,-8.1,32.0,3.2,11.0,6.0,-21.0,16.0,18.0,16.8,17.0,54.0,,-0.2,,18.9,,12.4,61.0,147.1,29.0,23.8,8.7,-22.0,9.5,46.0,-7.6,-11.6,36.2,-2.4,7.0,,,-3.4,33.0,24.0,94.8,-5.0,-15.4,,43.2,6.0,46.7,-3.0,,34.2,35.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,False,False,False,False,False,False,,False,False,False,False,,False,False
Ohio,18295,13525.9,13774.8,13099.6,13800.1,13368.0,13776.0,13155.0,12942.0,12577.0,13224.2,13164.0,12512.2,12989.0,14031.7,,13159.1,,12684.2,,12691.0,13314.0,13466.6,13317.0,13766.3,12683.8,12711.0,13115.2,13508.0,13532.5,13271.7,13572.2,13308.1,13800.5,,13216.5,12971.6,12954.0,13297.0,15755.2,12629.0,14147.7,,13316.2,12888.0,13077.4,12847.0,,12791.9,13454.0,1048.9,1297.8,622.6,1323.1,891.0,1299.0,678.0,465.0,100.0,747.2,687.0,35.2,512.0,1554.7,,682.1,,207.2,,214.0,837.0,989.6,840.0,1289.3,206.8,234.0,638.2,1031.0,1055.5,794.7,1095.2,831.1,1323.5,,739.5,494.6,477.0,820.0,3278.2,152.0,1670.7,,839.2,411.0,600.4,370.0,,314.9,977.0,False,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,True,True,False,True,True,True,True,False,True,False,True,False,,True,True,True,True,False,True,False,,True,True,True,True,,True,True
Oklahoma,4534,4839.0,5288.3,4661.3,4831.0,4508.0,4789.0,4673.0,4531.0,4193.0,4691.7,4629.0,4333.3,4586.0,4669.1,,4420.3,,4340.5,,4435.5,4715.0,5030.2,4771.0,4749.4,4470.4,4744.0,4691.7,4771.0,5099.8,4671.4,4711.7,4700.7,4815.0,,,4681.3,4385.0,4596.0,3573.6,4527.0,4687.2,,4725.1,4482.0,4739.2,4555.0,,4289.8,4809.0,305.0,754.3,127.3,297.0,-26.0,255.0,139.0,-3.0,-341.0,157.7,95.0,-200.7,52.0,135.1,,-113.7,,-193.5,,-98.5,181.0,496.2,237.0,215.4,-63.6,210.0,157.7,237.0,565.8,137.4,177.7,166.7,281.0,,,147.3,-149.0,62.0,-960.4,-7.0,153.2,,191.1,-52.0,205.2,21.0,,-244.2,275.0,False,True,True,True,True,True,True,False,True,True,True,True,True,,True,,True,,True,True,False,True,True,True,True,True,True,False,True,True,True,True,,,True,True,True,False,True,True,,True,True,True,True,,True,True
Oregon,2296,2277.6,2148.7,2223.9,2270.8,2236.0,2272.4,2265.0,2250.0,2235.0,2330.0,2276.0,2212.3,2280.0,2334.0,,2239.5,,2245.0,,2263.4,2501.0,2342.2,2257.0,2507.8,2258.4,2123.0,2209.5,2367.0,,2258.0,2315.9,2230.1,2184.0,,,2192.9,2276.0,2287.0,2552.0,2324.0,2321.6,,2308.9,2255.0,2288.7,2244.0,,2233.0,2332.0,-18.4,-147.3,-72.1,-25.2,-60.0,-23.6,-31.0,-46.0,-61.0,34.0,-20.0,-83.7,-16.0,38.0,,-56.5,,-51.0,,-32.6,205.0,46.2,-39.0,211.8,-37.6,-173.0,-86.5,71.0,,-38.0,19.9,-65.9,-112.0,,,-103.1,-20.0,-9.0,256.0,28.0,25.6,,12.9,-41.0,-7.3,-52.0,,-63.0,36.0,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,False,False,True,False,False,False,,True,False,True,False,,False,False
Pennsylvania,24306,25497.9,25026.2,25287.9,25556.6,25447.0,25517.5,25268.0,24969.0,25324.0,25164.0,25453.0,25239.0,25904.0,27404.5,,24144.6,,24733.9,,25444.0,25090.0,26021.9,25126.0,25218.9,25443.1,24253.5,24741.1,25604.0,24566.2,25410.3,26172.8,24804.6,25655.0,,25238.1,24556.5,,25028.0,26360.6,24806.0,25018.4,,25411.1,24886.0,25611.0,24850.0,,24946.8,25302.0,1191.9,720.2,981.9,1250.6,1141.0,1211.5,962.0,663.0,1018.0,858.0,1147.0,933.0,1598.0,3098.5,,-161.4,,427.9,,1138.0,784.0,1715.9,820.0,912.9,1137.1,-52.5,435.1,1298.0,260.2,1104.3,1866.8,498.6,1349.0,,932.1,250.5,,722.0,2054.6,500.0,712.4,,1105.1,580.0,1305.0,544.0,,640.8,996.0,True,True,False,True,False,True,True,True,True,True,True,False,False,,True,,True,,True,True,False,True,True,True,True,True,False,True,True,False,True,False,,True,True,,True,False,True,True,,True,True,False,True,,True,True
Rhode Island,2541,2435.7,2363.0,2390.8,2430.3,2392.0,2444.4,2441.0,2414.0,2532.0,2450.1,2522.0,2375.0,2455.0,2912.5,,2508.8,,2519.8,,2411.5,2500.0,2343.4,2410.0,2402.1,2402.5,2356.0,2355.7,2451.0,2218.9,2458.2,2512.4,2365.9,2388.0,,,2358.9,2467.0,2448.0,2303.4,2260.0,2365.4,,2507.7,2411.0,2466.3,2368.0,,2299.8,2499.0,94.7,22.0,49.8,89.3,51.0,103.4,100.0,73.0,191.0,109.1,181.0,34.0,114.0,571.5,,167.8,,178.8,,70.5,159.0,2.4,69.0,61.1,61.5,15.0,14.7,110.0,-122.1,117.2,171.4,24.9,47.0,,,17.9,126.0,107.0,-37.6,-81.0,24.4,,166.7,70.0,125.3,27.0,,-41.2,158.0,True,True,True,True,False,False,True,False,False,False,True,False,False,,False,,False,,True,False,True,True,True,True,True,True,False,False,False,False,True,True,,,True,False,False,True,True,True,,False,True,False,True,,True,False
South Carolina,8719,10000.0,11089.6,9508.6,9988.0,9909.0,9998.9,9457.0,9217.0,8844.0,9280.4,9654.0,8897.1,8773.0,9207.7,,9477.4,,9445.4,,8657.1,10131.0,8340.7,10277.0,8978.1,9008.3,9023.0,9529.6,9532.0,10779.6,9829.1,9697.6,9437.5,9989.0,,10349.4,9214.4,9315.0,9143.0,9872.0,9426.0,9561.0,,9945.9,9157.0,9645.0,8871.0,,8418.0,10087.0,1281.0,2370.6,789.6,1269.0,1190.0,1279.9,738.0,498.0,125.0,561.4,935.0,178.1,54.0,488.7,,758.4,,726.4,,-61.9,1412.0,-378.3,1558.0,259.1,289.3,304.0,810.6,813.0,2060.6,1110.1,978.6,718.5,1270.0,,1630.4,495.4,596.0,424.0,1153.0,707.0,842.0,,1226.9,438.0,926.0,152.0,,-301.0,1368.0,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,False,True,False,True,True,True,True,True,False,True,True,True,True,,False,True,True,True,True,True,True,,True,True,True,True,,True,False
South Dakota,1898,1928.6,1953.2,1897.8,1962.3,1977.0,1920.0,1917.0,1895.0,1842.0,1906.0,1932.0,1841.0,1930.0,2068.5,,1863.0,,1941.6,,2004.2,1970.0,1869.4,1953.0,1917.0,1904.8,1872.0,1885.6,1952.0,1848.3,1918.5,1964.2,1894.2,1885.0,,,1912.2,1883.0,1917.0,1917.2,1902.0,1868.8,,1973.1,1922.0,1880.9,1894.0,,1952.5,1972.0,30.6,55.2,-0.2,64.3,79.0,22.0,19.0,-3.0,-56.0,8.0,34.0,-57.0,32.0,170.5,,-35.0,,43.6,,106.2,72.0,-28.6,55.0,19.0,6.8,-26.0,-12.4,54.0,-49.7,20.5,66.2,-3.8,-13.0,,,14.2,-15.0,19.0,19.2,4.0,-29.2,,75.1,24.0,-17.1,-4.0,,54.5,74.0,False,True,False,False,True,True,True,False,True,False,False,False,False,,False,,False,,False,False,True,False,True,True,True,True,False,False,True,False,True,True,,,True,True,True,True,True,True,,False,True,True,True,,False,False
Tennessee,11543,13628.0,14589.8,12879.3,14275.9,12608.0,14019.0,12862.0,12298.0,11488.0,12140.0,12372.0,11254.9,11916.0,12875.0,,12885.0,,12080.5,,12011.2,13536.0,10103.3,13187.0,11352.9,11434.5,13878.0,12863.0,12440.0,,12779.6,13003.9,13213.9,12516.5,,13356.4,12757.1,,12768.0,10325.3,11942.0,13773.4,,12882.2,12177.0,13664.9,12659.0,,11465.6,13515.0,2085.0,3046.8,1336.3,2732.9,1065.0,2476.0,1319.0,755.0,-55.0,597.0,829.0,-288.1,373.0,1332.0,,1342.0,,537.5,,468.2,1993.0,-1439.7,1644.0,-190.1,-108.5,2335.0,1320.0,897.0,,1236.6,1460.9,1670.9,973.5,,1813.4,1214.1,,1225.0,-1217.7,399.0,2230.4,,1339.2,634.0,2121.9,1116.0,,-77.4,1972.0,False,True,False,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,False,True,True,,True,True,True,True,,True,True,,True,True,True,False,,True,True,False,True,,True,True
Texas,45249,47992.9,46893.4,46561.9,48199.7,46844.0,48213.7,46696.0,46833.0,46641.0,47281.4,47271.0,46613.6,47488.0,47140.2,,,,44992.9,,44772.6,47720.0,49512.1,48608.0,45412.3,47396.1,46262.0,46977.4,48135.0,50656.6,46773.5,48555.1,46909.7,46751.5,,49246.1,45975.6,,46640.0,42930.1,45406.0,46143.1,,46827.0,45177.0,47318.8,46540.0,,43361.4,47749.0,2743.9,1644.4,1312.9,2950.7,1595.0,2964.7,1447.0,1584.0,1392.0,2032.4,2022.0,1364.6,2239.0,1891.2,,,,-256.1,,-476.4,2471.0,4263.1,3359.0,163.3,2147.1,1013.0,1728.4,2886.0,5407.6,1524.5,3306.1,1660.7,1502.5,,3997.1,726.6,,1391.0,-2318.9,157.0,894.1,,1578.0,-72.0,2069.8,1291.0,,-1887.6,2500.0,True,True,False,True,False,True,True,True,True,True,True,True,True,,,,True,,True,True,False,False,True,True,True,True,False,False,True,False,True,True,,False,True,,True,True,True,True,,True,True,True,True,,True,True
Utah,1975,2009.9,2025.6,1937.5,2004.6,2038.0,2013.0,1936.0,1915.0,1862.0,2078.7,1962.0,1883.4,1965.0,2003.3,,1881.0,,1920.5,,1922.8,2155.0,2386.3,2061.0,1539.8,1922.5,1856.0,1951.2,2073.0,2013.4,1989.4,2043.3,1926.4,2054.0,,,1912.7,1925.0,1912.0,1572.9,1874.0,2008.1,,2040.6,1915.0,1978.1,1912.0,,1331.8,1998.0,34.9,50.6,-37.5,29.6,63.0,38.0,-39.0,-60.0,-113.0,103.7,-13.0,-91.6,-10.0,28.3,,-94.0,,-54.5,,-52.2,180.0,411.3,86.0,-435.2,-52.5,-119.0,-23.8,98.0,38.4,14.4,68.3,-48.6,79.0,,,-62.3,-50.0,-63.0,-402.1,-101.0,33.1,,65.6,-60.0,3.1,-63.0,,-643.2,23.0,False,False,True,False,False,False,False,False,False,True,False,True,True,,False,,False,,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,,False,False,False,False,False,True,,False,False,True,False,,False,True
Vermont,208,217.7,197.9,195.4,219.5,203.0,218.0,218.0,216.0,188.0,250.9,192.0,204.5,240.0,207.6,,217.6,,229.6,,225.7,210.0,202.2,239.0,282.0,217.5,231.0,207.5,262.0,268.4,219.9,238.1,220.1,188.0,,,194.7,,210.0,261.1,223.0,211.6,,275.7,206.0,236.5,205.0,,203.2,215.0,9.7,-10.1,-12.6,11.5,-5.0,10.0,10.0,8.0,-20.0,42.9,-16.0,-3.5,32.0,-0.4,,9.6,,21.6,,17.7,2.0,-5.8,31.0,74.0,9.5,23.0,-0.5,54.0,60.4,11.9,30.1,12.1,-20.0,,,-13.3,,2.0,53.1,15.0,3.6,,67.7,-2.0,28.5,-3.0,,-4.8,7.0,False,False,False,True,False,False,True,False,False,False,True,False,True,,True,,False,,False,True,True,False,False,True,False,True,False,False,False,False,False,False,,,False,,True,False,False,True,,False,True,False,True,,True,True
Virginia,9519,7989.1,9004.4,7996.0,8070.2,8346.0,8069.4,8043.0,7897.0,7473.0,8199.3,8004.0,7936.7,7664.0,8413.2,,7890.8,,8009.8,,8138.4,8145.0,7983.0,8224.0,8448.8,7783.2,7521.0,8041.0,8187.0,8707.9,7810.8,8272.9,8070.8,8669.0,,8044.7,8103.8,,8764.0,8774.8,7657.0,7294.4,,7842.5,7843.0,8175.3,7906.0,,7396.9,8187.0,-1529.9,-514.6,-1523.0,-1448.8,-1173.0,-1449.6,-1476.0,-1622.0,-2046.0,-1319.7,-1515.0,-1582.3,-1855.0,-1105.8,,-1628.2,,-1509.2,,-1380.6,-1374.0,-1536.0,-1295.0,-1070.2,-1735.8,-1998.0,-1478.0,-1332.0,-811.1,-1708.2,-1246.1,-1448.2,-850.0,,-1474.3,-1415.2,,-755.0,-744.2,-1862.0,-2224.6,,-1676.5,-1676.0,-1343.7,-1613.0,,-2122.1,-1332.0,True,True,True,True,True,True,False,False,True,True,False,False,True,,False,,True,,True,True,False,True,True,False,False,True,True,True,False,True,True,True,,True,True,,True,True,False,False,,False,False,True,False,,False,True
Washington,5041,5081.6,4959.6,5073.2,5098.6,4898.0,5105.7,5021.0,5033.0,4895.0,5120.7,5256.0,4961.5,5006.0,4916.7,,5188.3,,4949.8,,5006.8,5220.0,5259.0,5168.0,5306.3,5029.0,4668.0,4889.1,5126.0,5085.6,5031.5,5125.5,5013.9,5581.5,,4943.3,4824.1,4940.0,5040.0,5142.1,4789.0,5146.5,,5027.4,4946.0,5087.4,4924.0,,4840.8,5155.0,40.6,-81.4,32.2,57.6,-143.0,64.7,-20.0,-8.0,-146.0,79.7,215.0,-79.5,-35.0,-124.3,,147.3,,-91.2,,-34.2,179.0,218.0,127.0,265.3,-12.0,-373.0,-151.9,85.0,44.6,-9.5,84.5,-27.1,540.5,,-97.7,-216.9,-101.0,-1.0,101.1,-252.0,105.5,,-13.6,-95.0,46.4,-117.0,,-200.2,114.0,False,True,False,False,False,True,True,False,False,False,False,True,False,,False,,False,,True,False,False,False,False,True,False,False,False,False,True,False,True,False,,False,False,False,True,False,False,False,,True,False,False,False,,False,False
West Virginia,2323,2534.0,2423.3,2461.7,2504.5,2491.0,2535.0,2464.0,2423.0,2262.0,2492.6,2336.0,2464.8,2425.0,2588.8,,2348.9,,2401.3,,2474.3,2633.0,2379.5,2528.0,2582.1,2438.4,2326.0,2391.0,2468.0,2417.6,2458.3,2587.2,2419.0,2512.5,,,2398.6,2469.0,2425.0,3027.4,2368.0,2538.9,,2508.5,2389.0,2448.5,2408.0,,2402.3,2482.0,211.0,100.3,138.7,181.5,168.0,212.0,141.0,100.0,-61.0,169.6,13.0,141.8,102.0,265.8,,25.9,,78.3,,151.3,310.0,56.5,205.0,259.1,115.4,3.0,68.0,145.0,94.6,135.3,264.2,96.0,189.5,,,75.6,146.0,102.0,704.4,45.0,215.9,,185.5,66.0,125.5,85.0,,79.3,159.0,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,False,True,True,False,True,True,True,True,True,True,False,True,True,,,True,True,True,False,True,False,,True,True,True,True,,True,True
Wisconsin,7103,7303.4,7406.9,7184.5,7356.2,7390.0,7335.4,7231.0,7179.0,7093.0,7327.4,7282.0,6924.4,7224.0,7412.5,,7205.8,,7238.4,,7302.4,7686.0,8144.9,7323.0,7426.9,7201.2,7049.0,7124.6,7413.0,7147.5,7226.3,7344.1,7145.4,7279.0,,7389.2,7116.5,7121.0,7244.0,5740.8,6988.0,7167.6,,7265.3,7022.0,7150.3,7037.0,,7220.0,7408.0,200.4,303.9,81.5,253.2,287.0,232.4,128.0,76.0,-10.0,224.4,179.0,-178.6,121.0,309.5,,102.8,,135.4,,199.4,583.0,1041.9,220.0,323.9,98.2,-54.0,21.6,310.0,44.5,123.3,241.1,42.4,176.0,,286.2,13.5,18.0,141.0,-1362.2,-115.0,64.6,,162.3,-81.0,47.3,-66.0,,117.0,305.0,False,True,False,False,False,True,True,True,False,True,True,True,False,,True,,True,,True,False,False,False,False,True,True,True,False,True,True,False,True,True,,False,True,True,True,False,True,True,,True,True,True,True,,True,False
Wyoming,682,732.0,725.9,713.7,750.6,749.0,736.0,714.0,710.0,675.0,708.6,709.0,726.5,752.0,763.2,,735.4,,685.8,,747.1,744.0,756.0,734.0,695.2,698.8,751.0,671.5,735.0,,728.5,723.4,698.8,734.0,,,658.0,681.0,703.0,728.7,648.0,704.2,,782.0,688.0,706.3,680.0,,694.5,762.0,50.0,43.9,31.7,68.6,67.0,54.0,32.0,28.0,-7.0,26.6,27.0,44.5,70.0,81.2,,53.4,,3.8,,65.1,62.0,74.0,52.0,13.2,16.8,69.0,-10.5,53.0,,46.5,41.4,16.8,52.0,,,-24.0,-1.0,21.0,46.7,-34.0,22.2,,100.0,6.0,24.3,-2.0,,12.5,80.0,True,True,False,False,False,True,True,True,True,True,True,False,False,,False,,True,,False,False,False,False,True,True,False,True,False,,True,True,True,False,,,True,True,True,True,True,True,,False,True,True,True,,True,False
US,525162,548919.4,546535.6,532179.6,553407.2,,552717.0,529260.0,527114.0,516097.0,529108.7,521964.0,509160.5,525941.0,555705.0,524905.4,531028.0,,,543472.0,516892.2,546497.0,519709.0,,518691.3,515464.2,518728.5,533372.5,542284.0,539582.3,531139.8,544165.3,529240.6,542733.5,528834.4,543176.1,530157.8,519905.0,520299.0,522075.1,511566.0,519886.9,578693.0,533805.2,519739.0,533096.5,519550.0,528880.6,507768.8,536645.0,29927.4,27543.6,13187.6,34415.2,,33725.0,10268.0,8122.0,-2895.0,10116.7,2972.0,-9831.5,6949.0,36713.0,5913.4,12036.0,,,24480.0,-2099.8,27505.0,717.0,,-300.7,-3527.8,-263.5,14380.5,23292.0,20590.3,12147.8,25173.3,10248.6,23741.5,9842.4,24184.1,11165.8,913.0,1307.0,3083.1,-7426.0,894.9,59701.0,14813.2,747.0,14104.5,558.0,9888.6,-11223.2,17653.0,True,True,False,,False,True,True,True,True,True,True,True,False,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
