,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Hawaii,443,739.3,510.8,761.0,,471.4,560.0,,,443.1,,371.0,623.0,474.4,458.0,544.0,,447.3,,476.0,460.6,296.3,67.8,318.0,,28.4,117.0,,,0.1,,-72.0,180.0,31.4,15.0,101.0,,4.3,,33.0,17.6,True,False,,True,True,,,True,,True,True,True,True,True,,True,,True,True
Idaho,1879,1997.0,1958.2,2010.1,,1917.9,1861.0,,,1875.3,2132.0,1884.3,2059.9,1909.7,1771.0,2181.0,,2046.4,,1885.0,1924.5,118.0,79.2,131.1,,38.9,-18.0,,,-3.7,253.0,5.3,180.9,30.7,-108.0,302.0,,167.4,,6.0,45.5,True,False,,True,True,,,True,False,True,False,True,True,False,,False,,True,True
Illinois,23003,24036.1,23653.5,24051.8,,23617.3,23194.0,,,23800.7,24456.0,25969.9,21835.6,23399.5,22534.0,23239.0,,22799.5,,23214.0,23451.5,1033.1,650.5,1048.8,,614.3,191.0,,,797.7,1453.0,2966.9,-1167.4,396.5,-469.0,236.0,,-203.5,,211.0,448.5,True,False,,True,True,,,True,False,False,False,True,True,True,,True,,True,True
Indiana,12726,11227.1,11502.4,11335.9,,11288.0,11335.0,,,11500.7,11227.0,11314.4,11137.5,10909.5,10565.0,11188.0,,11432.7,,10840.0,10677.0,-176.9,98.4,-68.1,,-116.0,-69.0,,,96.7,-177.0,-89.6,-266.5,-494.5,-839.0,-216.0,,28.7,,-564.0,-727.0,True,True,,True,True,,,True,False,True,False,False,False,False,,True,,False,False
Iowa,5552,6911.9,5381.9,5476.1,,4957.7,5870.0,,,5286.3,5386.0,5669.2,5359.0,5167.8,5299.0,4950.5,,5646.6,,5207.0,5452.0,1359.9,-170.1,-75.9,,-594.3,318.0,,,-265.7,-166.0,117.2,-193.0,-384.2,-253.0,-601.5,,94.6,,-345.0,-100.0,True,True,,True,True,,,True,True,True,True,True,True,True,,True,,True,True
Kansas,4768,4641.3,4414.4,4667.3,,4727.0,4584.0,,,4150.3,4760.0,8207.7,4534.6,4390.5,4171.0,4238.0,,4739.4,,4310.0,4371.4,-126.7,-353.6,-100.7,,-41.0,-184.0,,,-617.7,-8.0,3439.7,-233.4,-377.5,-597.0,-530.0,,-28.6,,-458.0,-396.6,False,True,,True,False,,,False,True,False,False,False,False,False,,True,,False,False
Kentucky,4806,5318.7,6633.6,5354.5,,4724.3,4461.0,,,4764.1,5535.0,5998.1,5139.1,4589.9,5446.0,5031.5,,5273.4,,4958.0,4307.1,512.7,1827.6,548.5,,-81.7,-345.0,,,-41.9,729.0,1192.1,333.1,-216.1,640.0,225.5,,467.4,,152.0,-498.9,False,False,,True,True,,,True,False,False,True,True,False,True,,True,,True,True
Louisiana,9716,10287.0,10532.4,10390.0,,10129.6,10161.0,,,10052.3,10686.0,9606.6,9912.3,9739.7,9936.0,10369.0,,10124.3,,9791.0,9634.0,571.0,816.4,674.0,,413.6,445.0,,,336.3,970.0,-109.4,196.3,23.7,220.0,653.0,,408.3,,75.0,-82.0,False,False,,True,True,,,True,False,True,True,True,True,False,,True,,True,True
Maine,704,813.4,823.2,820.0,,926.4,796.0,,,783.3,922.5,843.9,1042.6,785.3,713.0,772.0,,675.2,,768.0,712.0,109.4,119.2,116.0,,222.4,92.0,,,79.3,218.5,139.9,338.6,81.3,9.0,68.0,,-28.8,,64.0,8.0,False,False,,False,True,,,True,False,False,False,True,True,True,,True,,True,True
Maryland,7941,8399.6,8420.7,8457.0,,8187.6,13708.0,,,8459.0,8463.0,8320.7,8300.6,8053.2,7984.0,8287.0,,8208.5,,8172.0,7821.8,458.6,479.7,516.0,,246.6,5767.0,,,518.0,522.0,379.7,359.6,112.2,43.0,346.0,,267.5,,231.0,-119.2,False,False,,True,False,,,False,False,True,True,True,True,True,,True,,True,True
Massachusetts,16374,16733.6,16662.0,16865.2,,16789.8,16912.0,,,16869.6,16806.0,16873.8,16082.9,15925.5,15551.0,15442.5,,16075.9,,16185.0,15477.5,359.6,288.0,491.2,,415.8,538.0,,,495.6,432.0,499.8,-291.1,-448.5,-823.0,-931.5,,-298.1,,-189.0,-896.5,True,False,,False,False,,,False,False,False,True,False,False,False,,True,,True,False
Michigan,16658,17195.9,17521.8,17246.6,,16956.1,17239.0,,,17565.9,18576.0,17639.2,17234.1,16814.2,16310.0,16994.0,,16412.7,,16702.0,16878.5,537.9,863.8,588.6,,298.1,581.0,,,907.9,1918.0,981.2,576.1,156.2,-348.0,336.0,,-245.3,,44.0,220.5,False,False,,True,False,,,False,False,False,False,True,True,True,,True,,True,True
Minnesota,6614,6778.0,6710.9,6875.0,,6852.3,6740.0,,,6921.5,7071.0,7953.6,7098.4,6640.0,6467.0,7150.5,,7286.1,,6665.0,6815.7,164.0,96.9,261.0,,238.3,126.0,,,307.5,457.0,1339.6,484.4,26.0,-147.0,536.5,,672.1,,51.0,201.7,True,False,,False,True,,,False,False,False,False,True,True,False,,False,,True,False
Mississippi,6805,7371.0,6903.8,7347.8,,7268.4,6713.0,,,6732.3,7740.0,7035.0,6802.4,6705.7,6641.0,7212.0,,7185.4,,7238.0,6743.8,566.0,98.8,542.8,,463.4,-92.0,,,-72.7,935.0,230.0,-2.6,-99.3,-164.0,407.0,,380.4,,433.0,-61.2,True,True,,True,True,,,True,False,True,True,True,True,True,,True,,True,True
Missouri,8512,8124.1,8535.2,8184.4,,7962.7,8025.0,,,7443.9,8708.0,7037.7,7880.3,7929.3,7543.0,8690.5,,7551.5,,7693.0,7383.7,-357.9,53.2,-297.6,,-519.3,-457.0,,,-1038.1,226.0,-1444.3,-601.7,-552.7,-939.0,208.5,,-930.5,,-789.0,-1098.3,True,True,,False,False,,,False,True,False,False,False,False,True,,False,,False,False
Montana,1379,1631.3,1436.4,1687.0,,1396.3,1316.0,,,1405.5,1582.0,1895.5,1449.6,1369.1,1380.0,1472.0,,1737.9,,1525.0,1393.1,252.3,57.4,308.0,,17.3,-63.0,,,26.5,203.0,516.5,70.6,-9.9,1.0,93.0,,358.9,,146.0,14.1,True,False,,True,True,,,True,True,False,True,True,True,True,,False,,True,True
Nebraska,2113,2119.1,2057.3,2125.8,,2093.1,2027.0,,,2074.4,2191.0,2501.2,2310.2,2075.4,1978.0,2100.0,,2107.5,,2053.0,2101.3,6.1,-55.7,12.8,,-19.9,-86.0,,,-38.6,78.0,388.2,197.2,-37.6,-135.0,-13.0,,-5.5,,-60.0,-11.7,False,False,,False,False,,,False,False,False,False,False,False,False,,True,,False,False
Nevada,5036,5455.1,5545.9,5529.2,,5110.5,5210.0,,,5199.7,5730.0,4410.0,4875.0,4883.5,5121.0,5647.0,,5424.7,,5072.0,4913.3,419.1,509.9,493.2,,74.5,174.0,,,163.7,694.0,-626.0,-161.0,-152.5,85.0,611.0,,388.7,,36.0,-122.7,False,False,,True,True,,,True,False,False,True,True,True,False,,True,,True,True
New Hampshire,1181,1397.0,1250.6,1347.0,,1381.5,1282.0,,,1307.9,1366.0,1906.1,1475.4,1242.7,1205.0,1433.0,,1266.3,,1284.0,1168.4,216.0,69.6,166.0,,200.5,101.0,,,126.9,185.0,725.1,294.4,61.7,24.0,252.0,,85.3,,103.0,-12.6,True,True,,True,True,,,True,True,False,False,True,True,False,,True,,True,True
New Jersey,23557,24072.9,24684.6,24060.7,,24192.5,24200.0,,,23700.9,24534.0,24299.8,23701.6,23721.9,23030.0,22214.0,,23965.2,,23784.0,22417.3,515.9,1127.6,503.7,,635.5,643.0,,,143.9,977.0,742.8,144.6,164.9,-527.0,-1343.0,,408.2,,227.0,-1139.7,False,True,,False,False,,,True,False,False,True,True,False,False,,True,,True,False
New Mexico,3796,3953.3,3963.8,4014.8,,3837.9,3882.0,,,4009.8,4234.0,3776.9,3725.6,3735.7,3743.0,4015.0,,3572.1,,3718.0,3721.7,157.3,167.8,218.8,,41.9,86.0,,,213.8,438.0,-19.1,-70.4,-60.3,-53.0,219.0,,-223.9,,-78.0,-74.3,False,False,,True,True,,,False,False,True,True,True,True,False,,False,,True,True
New York,48247,49992.0,49215.0,50057.5,,49512.2,51646.0,,,49027.5,49510.0,49532.6,50092.8,48494.7,48159.0,46367.5,,50601.6,,48760.0,44477.5,1745.0,968.0,1810.5,,1265.2,3399.0,,,780.5,1263.0,1285.6,1845.8,247.7,-88.0,-1879.5,,2354.6,,513.0,-3769.5,True,False,,True,False,,,True,True,True,False,True,True,False,,False,,True,False
North Carolina,11502,12443.6,11952.4,12792.6,,11995.2,11120.0,,,11672.1,12688.0,11452.8,12123.4,11436.4,11417.0,13000.5,,12404.8,,12162.0,10599.3,941.6,450.4,1290.6,,493.2,-382.0,,,170.1,1186.0,-49.2,621.4,-65.6,-85.0,1498.5,,902.8,,660.0,-902.7,True,False,,True,True,,,True,False,True,True,True,True,False,,True,,True,True
North Dakota,1479,1500.4,1540.8,1506.6,,1508.9,1513.0,,,1575.7,1661.0,1667.3,1528.2,1492.1,1472.0,1511.0,,1448.6,,1495.0,1534.5,21.4,61.8,27.6,,29.9,34.0,,,96.7,182.0,188.3,49.2,13.1,-7.0,32.0,,-30.4,,16.0,55.5,False,False,,False,False,,,False,False,False,False,True,True,False,,False,,True,False
Ohio,18295,13428.7,13848.3,13324.6,,12790.4,12648.0,,,12892.8,13598.0,13494.6,14056.2,12664.1,12488.0,14908.0,,13575.4,,12707.0,12550.8,980.7,1400.3,876.6,,342.4,200.0,,,444.8,1150.0,1046.6,1608.2,216.1,40.0,2460.0,,1127.4,,259.0,102.8,False,True,,True,True,,,True,False,False,False,True,True,False,,False,,True,True
Oklahoma,4534,4848.7,5383.1,4868.5,,4412.9,4354.0,,,4545.1,5036.0,4016.3,4673.8,4216.0,4904.0,4838.0,,4758.3,,4503.0,4108.0,314.7,849.1,334.5,,-121.1,-180.0,,,11.1,502.0,-517.7,139.8,-318.0,370.0,304.0,,224.3,,-31.0,-426.0,False,False,,True,True,,,True,False,False,True,False,False,True,,True,,True,False
Oregon,2296,2331.0,2108.8,2357.5,,2270.7,2310.0,,,2238.4,2648.0,2464.4,2630.1,2310.0,2110.0,2373.5,,2447.6,,2321.0,2227.1,35.0,-187.2,61.5,,-25.3,14.0,,,-57.6,352.0,168.4,334.1,14.0,-186.0,77.5,,151.6,,25.0,-68.9,False,False,,True,True,,,False,False,False,False,True,False,False,,False,,True,False
Pennsylvania,24306,26887.0,27877.4,27105.3,,26326.0,25053.0,,,26157.3,28387.0,23399.6,25665.0,25562.5,25178.0,25980.0,,26064.1,,26058.0,24585.0,2581.0,3571.4,2799.3,,2020.0,747.0,,,1851.3,4081.0,-906.4,1359.0,1256.5,872.0,1674.0,,1758.1,,1752.0,279.0,False,False,,True,True,,,True,False,True,True,True,True,True,,True,,True,True
Rhode Island,2541,2498.9,2356.7,2509.3,,2497.0,2368.0,,,2480.3,2582.0,2342.6,2443.3,2432.7,2392.0,2433.0,,2383.0,,2386.0,2255.2,144.9,2.7,155.3,,143.0,14.0,,,126.3,228.0,-11.4,89.3,78.7,38.0,79.0,,29.0,,32.0,-98.8,True,False,,True,True,,,True,False,True,True,True,True,True,,True,,True,True
South Carolina,8719,9446.3,10927.2,9688.5,,9204.3,9902.0,,,8074.2,9442.0,11416.0,8813.2,8739.4,8052.0,8500.0,,9504.1,,8815.0,7837.7,727.3,2208.2,969.5,,485.3,1183.0,,,-644.8,723.0,2697.0,94.2,20.4,-667.0,-219.0,,785.1,,96.0,-881.3,False,False,,True,False,,,True,True,False,True,True,True,True,,False,,True,False
South Dakota,1898,2132.6,2153.0,2169.6,,1806.3,1956.0,,,1845.7,1992.0,2063.8,1932.3,1900.4,1874.0,2114.0,,1810.1,,1935.0,1962.0,234.6,255.0,271.6,,-91.7,58.0,,,-52.3,94.0,165.8,34.3,2.4,-24.0,216.0,,-87.9,,37.0,64.0,False,False,,True,True,,,True,True,True,True,True,True,True,,True,,True,True
Tennessee,11543,13492.0,14178.2,13349.2,,11145.5,11078.0,,,10827.9,13295.0,9871.7,11085.3,10833.2,11650.0,12143.0,,13745.9,,11645.0,10773.0,1949.0,2635.2,1806.2,,-397.5,-465.0,,,-715.1,1752.0,-1671.3,-457.7,-709.8,107.0,600.0,,2202.9,,102.0,-770.0,False,True,,True,True,,,True,True,True,True,True,True,True,,False,,True,True
Texas,45249,47580.0,54448.4,47918.4,,47544.7,46514.0,,,46346.1,49767.0,47963.3,45139.4,46259.7,46333.0,45951.0,,44513.7,,46274.0,41608.6,2331.0,9199.4,2669.4,,2295.7,1265.0,,,1097.1,4518.0,2714.3,-109.6,1010.7,1084.0,702.0,,-735.3,,1025.0,-3640.4,False,False,,True,True,,,True,False,False,True,True,True,True,,True,,True,False
Utah,1975,2005.0,2089.9,2068.1,,1926.6,2322.0,,,2082.1,2175.0,2180.3,1610.5,1956.9,1885.0,2273.0,,2077.7,,1920.0,1311.1,30.0,114.9,93.1,,-48.4,347.0,,,107.1,200.0,205.3,-364.5,-18.1,-90.0,298.0,,102.7,,-55.0,-663.9,False,False,,False,False,,,False,False,False,False,True,False,False,,False,,False,False
Vermont,208,193.4,192.5,188.0,,229.9,278.0,,,282.8,264.0,293.6,310.3,241.4,184.0,173.0,,183.4,,191.0,196.4,-14.6,-15.5,-20.0,,21.9,70.0,,,74.8,56.0,85.6,102.3,33.4,-24.0,-35.0,,-24.6,,-17.0,-11.6,False,False,,False,False,,,False,False,False,False,False,False,False,,False,,False,True
Virginia,9519,8338.9,9114.6,8298.7,,8229.2,7840.0,,,8361.7,8542.0,9965.5,8872.9,8000.0,8259.0,8929.0,,7936.8,,8235.0,7169.8,-1180.1,-404.4,-1220.3,,-1289.8,-1679.0,,,-1157.3,-977.0,446.5,-646.1,-1519.0,-1260.0,-590.0,,-1582.2,,-1284.0,-2349.2,True,False,,False,False,,,True,True,True,True,False,False,True,,False,,False,False
Washington,5041,5115.6,4929.4,5140.2,,5249.6,5006.0,,,4920.2,5430.5,4742.0,5541.6,5006.8,4931.0,5789.0,,5090.8,,4995.0,4749.6,74.6,-111.6,99.2,,208.6,-35.0,,,-120.8,389.5,-299.0,500.6,-34.2,-110.0,748.0,,49.8,,-46.0,-291.4,False,False,,False,True,,,False,False,False,False,True,False,False,,True,,True,False
West Virginia,2323,2650.6,2484.7,2730.3,,2606.8,2564.0,,,2356.9,2763.0,2379.5,2702.6,2470.8,2289.0,2953.0,,2878.4,,2461.0,2362.6,327.6,161.7,407.3,,283.8,241.0,,,33.9,440.0,56.5,379.6,147.8,-34.0,630.0,,555.4,,138.0,39.6,True,False,,True,True,,,True,False,True,False,True,True,False,,False,,True,True
Wisconsin,7103,7619.1,7563.7,7659.4,,7056.2,7203.0,,,7270.1,7888.0,8228.7,7580.9,7134.0,7309.0,7832.0,,7389.5,,7234.0,7187.3,516.1,460.7,556.4,,-46.8,100.0,,,167.1,785.0,1125.7,477.9,31.0,206.0,729.0,,286.5,,131.0,84.3,True,False,,True,True,,,True,False,False,True,True,True,False,,True,,True,True
Wyoming,682,717.4,735.0,721.1,,800.3,770.0,,,857.4,759.0,723.8,702.8,674.4,785.0,763.0,,639.5,,691.0,680.7,35.4,53.0,39.1,,118.3,88.0,,,175.4,77.0,41.8,20.8,-7.6,103.0,81.0,,-42.5,,9.0,-1.3,False,False,,False,False,,,False,False,False,True,True,False,False,,False,,True,True
US,525162,548535.7,560355.0,549799.9,521765.0,522699.8,530400.0,522555.8,559255.0,519341.7,553223.0,518093.4,521763.8,510535.8,516626.5,551024.0,526831.8,504331.9,560852.0,519408.0,492363.6,30974.7,42794.0,32238.9,4204.0,5138.8,12839.0,4994.8,41694.0,1780.7,35662.0,532.4,4202.8,-7025.2,-934.5,33463.0,9270.8,-13229.1,43291.0,1847.0,-25197.4,False,False,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True
