,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Nebraska,2113,2097.6,3417.2,2972.0,1438.1,-15.4,1304.2,859.0,-674.9,False,False,False
Nevada,5036,3785.0,4759.7,3341.0,3384.0,-1251.0,-276.3,-1695.0,-1652.0,True,False,False
New Hampshire,1181,720.0,1166.4,915.0,686.1,-461.0,-14.6,-266.0,-494.9,True,True,False
New Jersey,23557,19985.0,23601.3,20324.0,23700.4,-3572.0,44.3,-3233.0,143.4,True,True,True
New Mexico,3796,3715.6,6393.3,3798.0,3108.0,-80.4,2597.3,2.0,-688.0,False,True,False
New York,48247,37914.4,46519.5,39244.0,41238.5,-10320.6,-1715.5,-8991.0,-6996.5,True,True,True
North Carolina,11502,8094.6,9370.5,8957.0,7748.2,-3407.4,-2131.5,-2545.0,-3753.8,True,True,False
North Dakota,1479,2034.6,2423.5,2347.0,1128.8,555.6,944.5,868.0,-350.2,False,False,True
Ohio,18295,11983.4,18532.3,13983.0,16933.1,-4867.6,1681.3,-2868.0,82.1,True,True,True
Oklahoma,4534,3149.4,4860.8,3859.0,4404.9,-1384.6,326.8,-675.0,-129.1,True,True,True
Oregon,2296,2082.9,5971.3,1856.0,2522.3,-213.1,3675.3,-440.0,226.3,False,False,False
Pennsylvania,24306,16962.3,25410.5,20028.0,13863.6,-7343.7,1104.5,-4278.0,-10442.4,True,True,False
Rhode Island,2541,2066.6,2453.6,1761.0,1916.2,-412.4,-25.4,-718.0,-562.8,True,False,False
South Carolina,8719,5323.0,6314.1,6040.0,5893.9,-3396.0,-2404.9,-2679.0,-2825.1,True,True,True
South Dakota,1898,2661.3,2467.4,3603.0,1408.2,763.3,569.4,1705.0,-489.8,True,False,True
Tennessee,11543,8544.9,12466.9,10086.0,11049.9,-2998.1,923.9,-1457.0,-493.1,True,True,True
Texas,45249,33344.4,39895.6,39846.0,30276.7,-11548.6,-4997.4,-5047.0,-14616.3,True,True,False
Utah,1975,1907.3,3300.7,2613.0,1622.8,-67.7,1325.7,638.0,-352.2,False,False,False
Vermont,208,122.4,57.9,126.0,85.2,-85.6,-150.1,-82.0,-122.8,False,True,False
Virginia,9519,5720.9,6464.8,5955.5,5248.7,-3798.1,-3054.2,-3563.5,-4270.3,True,True,False
Washington,5041,3867.0,16316.6,4335.0,5579.2,-1146.0,11303.6,-678.0,566.2,False,True,True
West Virginia,2323,1657.4,3108.7,2246.0,2840.9,-665.6,785.7,-77.0,517.9,False,True,True
Wisconsin,7103,8156.9,7696.5,9092.0,6423.2,1053.9,593.5,1989.0,-679.8,True,False,True
Wyoming,682,755.4,1321.7,909.0,496.2,73.4,639.7,227.0,-185.8,False,False,False
US,525162,405541.4,524984.7,430521.0,388896.4,-116975.6,2467.7,-91996.0,-133620.6,True,True,False
