,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Massachusetts,16374,17401.7,19813.9,17648.5,,16451.4,,17330.0,15717.1,19786.1,16145.1,14100.5,1027.7,3439.9,1274.5,,77.4,,956.0,-656.9,3412.1,-228.9,-2273.5,False,False,,True,,True,True,False,True,False
Michigan,16658,20737.1,20170.0,20859.4,,16392.7,,19741.0,16901.2,18861.2,17003.7,15971.7,4079.1,3512.0,4201.4,,-265.3,,3083.0,243.2,2203.2,345.7,-686.3,True,False,,True,,True,True,True,True,True
Minnesota,6614,8022.1,7905.7,8090.2,,7278.5,,8654.0,6857.7,7006.6,8672.7,6888.9,1408.1,1291.7,1476.2,,664.5,,2040.0,243.7,392.6,2058.7,274.9,True,False,,True,,False,True,True,False,True
Mississippi,6805,7492.7,9740.9,7593.8,,6995.7,,6905.0,6714.0,6549.5,7220.1,5914.7,687.7,2935.9,788.8,,190.7,,100.0,-91.0,-255.5,415.1,-890.3,False,False,,True,,True,True,True,True,False
Missouri,8512,9252.3,8772.5,9425.3,,8744.6,,9150.0,7832.8,7211.4,7116.0,6920.4,787.3,307.5,960.3,,279.6,,685.0,-632.2,-1253.6,-1349.0,-1544.6,True,False,,True,,True,True,False,False,False
Montana,1379,1716.0,1364.1,1718.2,,1219.4,,1772.0,1261.7,1316.1,1788.3,1243.4,337.0,-14.9,339.2,,-159.6,,393.0,-117.3,-62.9,409.3,-135.6,True,False,,True,,False,True,True,False,True
Nebraska,2113,2451.4,2511.4,2281.2,,2275.4,,2933.5,2274.3,2176.0,2043.6,2111.7,338.4,398.4,168.2,,162.4,,820.5,161.3,63.0,-69.4,-1.3,False,True,,True,,False,True,True,True,True
Nevada,5036,5722.0,5063.2,5866.2,,4777.0,,5106.0,4005.6,4989.6,5822.3,4136.4,686.0,27.2,830.2,,-259.0,,70.0,-1030.4,-46.4,786.3,-899.6,True,False,,True,,True,False,True,False,False
New Hampshire,1181,1568.3,4053.5,1606.0,,1343.3,,1566.0,1357.8,1150.0,1298.6,993.7,387.3,2872.5,425.0,,162.3,,385.0,176.8,-31.0,117.6,-187.3,False,False,,True,,True,True,True,True,True
New Jersey,23557,24929.7,27484.2,25189.5,,24193.3,,23690.0,21937.6,31454.5,24001.8,20802.1,1372.7,3927.2,1632.5,,636.3,,133.0,-1619.4,7897.5,444.8,-2754.9,False,False,,True,,True,False,False,True,False
New Mexico,3796,4304.7,3761.6,4316.0,,3738.4,,4003.0,3636.6,4404.2,3434.7,3411.9,508.7,-34.4,520.0,,-57.6,,207.0,-159.4,608.2,-361.3,-384.1,True,False,,True,,True,True,False,True,True
New York,48247,49194.1,51497.0,49106.8,,51474.3,,47416.0,47268.1,55362.2,53381.4,40464.0,947.1,3250.0,859.8,,3227.3,,-831.0,-978.9,7115.2,5134.4,-7783.0,False,True,,False,,True,False,False,False,False
North Carolina,11502,12729.1,10732.5,11689.9,,10534.5,,11263.0,10753.6,10014.7,11652.2,8866.9,1227.1,-769.5,187.9,,-967.5,,-239.0,-748.4,-1487.3,150.2,-2635.1,True,True,,True,,True,True,False,True,False
North Dakota,1479,1682.0,1534.7,1688.6,,1584.7,,1825.0,1499.8,1513.2,1475.2,1543.6,211.0,63.7,217.6,,113.7,,354.0,28.8,42.2,4.2,72.6,True,False,,True,,False,True,True,True,True
Ohio,18295,13956.3,15799.2,14254.0,,12296.9,,14264.0,11881.4,12595.8,14754.3,11360.5,861.3,2704.2,1159.0,,-798.1,,1169.0,-1213.6,-499.2,1659.3,-1734.5,False,False,,True,,False,False,True,False,False
Oklahoma,4534,4442.4,4458.5,4426.2,,4128.2,,4547.0,4227.2,3443.1,4722.0,3320.4,-91.6,-75.5,-107.8,,-405.8,,13.0,-306.8,-1090.9,188.0,-1213.6,True,False,,False,,True,False,False,False,False
Oregon,2296,2421.1,1895.1,2491.0,,2375.7,,2386.0,2635.4,2447.7,2509.2,1958.7,125.1,-400.9,195.0,,79.7,,90.0,339.4,151.7,213.2,-337.3,False,False,,True,,True,False,False,False,False
Pennsylvania,24306,29400.6,30654.4,29198.2,,25397.6,,28510.0,20580.3,31796.1,27511.9,20638.1,5094.6,6348.4,4892.2,,1091.6,,4204.0,-3725.7,7490.1,3205.9,-3667.9,False,True,,True,,True,True,False,True,True
Rhode Island,2541,3008.1,3481.1,3028.8,,2471.3,,2898.0,2344.7,2865.8,2136.4,2053.0,625.1,1098.1,645.8,,88.3,,515.0,-38.3,482.8,-246.6,-330.0,False,False,,True,,True,True,True,True,True
South Carolina,8719,8498.1,11176.6,8743.9,,8239.8,,8347.0,7925.1,6985.2,8584.2,6615.6,-220.9,2457.6,24.9,,-479.2,,-372.0,-793.9,-1733.8,-134.8,-2103.4,False,True,,False,,False,False,False,True,False
South Dakota,1898,2150.7,1822.7,2122.1,,1868.7,,2081.0,1846.1,1952.1,1760.7,1823.9,252.7,-75.3,224.1,,-29.3,,183.0,-51.9,54.1,-137.3,-74.1,True,True,,True,,True,True,True,True,True
Tennessee,11543,13756.4,13273.0,13575.3,,11524.8,,12892.0,9076.7,10792.5,14107.1,9272.3,2213.4,1730.0,2032.3,,-18.2,,1349.0,-2466.3,-750.5,2564.1,-2270.7,True,True,,True,,True,False,True,False,False
Texas,45249,46059.7,54880.4,45286.3,,41945.8,,42897.0,42018.9,36522.2,42352.1,35280.6,810.7,9631.4,37.3,,-3303.2,,-2352.0,-3230.1,-8726.8,-2896.9,-9968.4,False,True,,False,,False,False,False,False,False
Utah,1975,2107.0,2039.3,2157.6,,1937.5,,2290.0,2422.8,1777.7,2133.2,1182.4,132.0,64.3,182.6,,-37.5,,315.0,447.8,-197.3,158.2,-792.6,True,False,,True,,False,False,False,False,False
Vermont,208,281.7,274.3,292.0,,311.6,,304.5,422.8,192.4,253.1,184.9,73.7,66.3,84.0,,103.6,,96.5,214.8,-15.6,45.1,-23.1,True,False,,False,,False,False,True,True,True
Virginia,9519,7418.0,9096.6,7491.4,,7727.9,,7536.0,7243.1,6880.9,6265.6,6129.4,-2101.0,-422.4,-2027.6,,-1791.1,,-1983.0,-2275.9,-2638.1,-3253.4,-3389.6,True,True,,True,,True,False,False,False,False
Washington,5041,5575.9,7463.2,5593.9,,5547.8,,4946.0,6462.0,4359.0,5223.7,4248.7,534.9,2422.2,552.9,,506.8,,-95.0,1421.0,-682.0,182.7,-792.3,False,False,,True,,True,False,False,True,False
West Virginia,2323,3200.6,3654.2,3146.3,,2733.9,,2701.0,2393.9,2850.7,3486.2,2034.3,877.6,1331.2,823.3,,410.9,,378.0,70.9,527.7,1163.2,-288.7,False,True,,True,,True,True,True,False,True
Wisconsin,7103,7997.9,7236.6,8054.5,,7370.0,,7556.0,7928.5,6829.0,8038.3,6560.0,894.9,133.6,951.5,,267.0,,453.0,825.5,-274.0,935.3,-543.0,True,False,,True,,True,True,True,False,True
Wyoming,682,889.7,765.3,896.9,,616.5,,894.0,635.3,680.4,599.5,604.8,207.7,83.3,214.9,,-65.5,,212.0,-46.7,-1.6,-82.5,-77.2,True,False,,True,,False,True,True,True,True
US,525162,552552.6,635978.0,550326.1,555913.0,523383.0,570440.0,520264.0,479348.5,,473799.6,432833.0,34130.6,117556.0,31904.1,37491.0,4961.0,52018.0,1842.0,-39073.5,,-44622.4,-85589.0,False,True,False,True,False,True,False,,False,False
