,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,TTU-squider,UA-EpiCovDA,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UA-EpiCovDA,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,17905,18096.7,18364.9,17795.3,18181.2,17770.0,18130.1,17524.0,18834.0,17308.0,17600.0,17707.4,17357.0,,17260.8,16286.0,17505.8,,17299.9,17591.0,16245.7,17890.0,16721.4,17459.8,17175.0,17530.1,18189.0,18068.0,17743.2,18115.3,18169.3,16737.5,,18599.1,17531.5,17355.0,18105.5,17327.0,,17745.4,17408.0,17578.3,17436.0,,16422.0,17443.0,191.7,459.9,-109.7,276.2,-135.0,225.1,-381.0,929.0,-597.0,-305.0,-197.6,-548.0,,-644.2,-1619.0,-399.2,,-605.1,-314.0,-1659.3,-15.0,-1183.6,-445.2,-730.0,-374.9,284.0,163.0,-161.8,210.3,264.3,-1167.5,,694.1,-373.5,-550.0,200.5,-578.0,,-159.6,-497.0,-326.7,-469.0,,-1483.0,-462.0,False,True,False,True,False,False,False,False,False,False,False,,False,False,False,,False,False,False,True,False,False,False,False,False,True,True,False,False,False,,False,False,False,False,False,,True,False,False,False,,False,False
Hawaii,443,447.9,456.2,447.9,471.1,448.0,451.0,456.0,692.0,450.0,469.0,475.3,453.0,,,,448.9,,438.1,,685.4,448.0,529.2,440.8,431.0,439.1,515.0,,455.1,458.1,457.1,495.0,,,448.4,454.0,439.0,498.0,,469.5,443.0,459.9,444.0,,452.5,457.0,4.9,13.2,4.9,28.1,5.0,8.0,13.0,249.0,7.0,26.0,32.3,10.0,,,,5.9,,-4.9,,242.4,5.0,86.2,-2.2,-12.0,-3.9,72.0,,12.1,15.1,14.1,52.0,,,5.4,11.0,-4.0,55.0,,26.5,0.0,16.9,1.0,,9.5,14.0,False,False,False,False,False,False,False,False,False,False,False,,,,False,,False,,False,False,False,True,False,True,False,,False,False,False,False,,,False,False,True,False,,False,True,False,True,,False,False
Idaho,1879,1905.9,1907.8,1872.1,1909.9,1913.0,1911.0,1899.0,2111.0,1883.0,1866.0,1883.7,1861.0,,1845.9,,1963.5,,1877.3,1972.0,1982.4,1914.0,1968.3,1863.0,1865.0,1873.6,2018.0,1863.7,1892.0,1912.1,1881.0,1897.0,,,1880.5,1898.0,1734.2,1956.0,,1929.7,1865.0,1909.1,1872.0,,1918.2,1899.0,26.9,28.8,-6.9,30.9,34.0,32.0,20.0,232.0,4.0,-13.0,4.7,-18.0,,-33.1,,84.5,,-1.7,93.0,103.4,35.0,89.3,-16.0,-14.0,-5.4,139.0,-15.3,13.0,33.1,2.0,18.0,,,1.5,19.0,-144.8,77.0,,50.7,-14.0,30.1,-7.0,,39.2,20.0,False,True,False,False,False,True,False,True,True,True,True,,False,,False,,True,False,False,False,False,True,True,True,False,True,True,False,True,True,,,True,True,False,False,,False,True,False,True,,False,True
Illinois,23003,23215.3,23265.7,22937.9,23295.4,23125.0,23320.1,23011.0,23827.0,22774.0,22909.0,22781.5,23121.0,,23031.4,,22993.0,,23408.9,23751.0,23945.8,23248.0,21301.4,23048.1,22869.0,23007.0,23417.0,23175.1,23298.6,23215.0,22937.9,22958.0,,23175.0,23010.8,23401.0,22905.6,22939.0,,23318.5,22958.0,23043.0,23093.0,,21078.5,22971.0,212.3,262.7,-65.1,292.4,122.0,317.1,8.0,824.0,-229.0,-94.0,-221.5,118.0,,28.4,,-10.0,,405.9,748.0,942.8,245.0,-1701.6,45.1,-134.0,4.0,414.0,172.1,295.6,212.0,-65.1,-45.0,,172.0,7.8,398.0,-97.4,-64.0,,315.5,-45.0,40.0,90.0,,-1924.5,-32.0,False,True,False,True,False,True,False,False,True,False,True,,True,,True,,False,False,False,False,False,True,True,True,False,True,False,True,True,True,,True,True,False,True,True,,False,True,True,True,,False,True
Indiana,12726,13190.1,13058.0,13296.2,13360.6,13088.0,13340.4,12979.0,13596.0,12628.0,13018.0,12892.2,12782.0,,13023.3,,13179.2,,12634.3,13448.0,12459.8,13324.0,12446.2,12658.1,12856.0,12982.7,13934.0,12803.6,12937.7,13139.3,13010.3,12775.0,,13255.4,12594.8,12927.0,12140.4,12779.0,,12976.3,12754.0,12731.0,13014.0,,12799.0,13298.0,464.1,332.0,570.2,634.6,362.0,614.4,253.0,870.0,-98.0,292.0,166.2,56.0,,297.3,,453.2,,-91.7,722.0,-266.2,598.0,-279.8,-67.9,130.0,256.7,1208.0,77.6,211.7,413.3,284.3,49.0,,529.4,-131.2,201.0,-585.6,53.0,,250.3,28.0,5.0,288.0,,73.0,572.0,True,False,False,True,False,True,False,True,True,True,True,,True,,True,,True,False,True,False,True,True,True,True,False,True,True,True,True,True,,False,True,True,False,True,,True,True,True,True,,True,False
Iowa,5552,5601.7,5736.6,6018.5,5535.4,5614.0,5620.0,5634.0,6520.0,5519.0,5942.0,6034.3,5635.0,,5744.3,,5591.7,,5635.9,5686.0,5757.9,5808.0,5601.6,5646.8,5642.0,5575.0,5826.0,6008.4,5574.1,5692.5,5599.5,5572.0,,6186.7,5533.9,5526.0,4904.1,5678.0,,5607.0,5510.0,5644.5,5557.0,,5631.3,5866.0,49.7,184.6,466.5,-16.6,62.0,68.0,82.0,968.0,-33.0,390.0,482.3,83.0,,192.3,,39.7,,83.9,134.0,205.9,256.0,49.6,94.8,90.0,23.0,274.0,456.4,22.1,140.5,47.5,20.0,,634.7,-18.1,-26.0,-647.9,126.0,,55.0,-42.0,92.5,5.0,,79.3,314.0,False,False,True,False,False,False,False,True,False,False,False,,False,,True,,False,False,False,False,True,False,False,True,False,False,True,False,True,True,,False,True,True,False,False,,False,True,False,True,,False,False
Kansas,4768,5054.7,4996.7,5213.1,4951.4,4950.0,5090.9,4876.0,5662.0,4638.0,4940.0,4700.7,4674.0,,4618.3,,5168.0,,5318.6,4970.0,4485.7,5021.0,4711.8,4658.6,4913.0,4743.9,4880.0,4946.9,4900.0,4932.3,4871.6,4811.0,,,4721.6,4641.0,5407.6,4723.0,,4926.9,4781.0,4809.8,4794.0,,4748.5,5551.0,286.7,228.7,445.1,183.4,182.0,322.9,108.0,894.0,-130.0,172.0,-67.3,-94.0,,-149.7,,400.0,,550.6,202.0,-282.3,253.0,-56.2,-109.4,145.0,-24.1,112.0,178.9,132.0,164.3,103.6,43.0,,,-46.4,-127.0,639.6,-45.0,,158.9,13.0,41.8,26.0,,-19.5,783.0,True,False,True,True,False,True,False,True,True,True,True,,True,,False,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,False,True,,True,True,True,True,,True,False
Kentucky,4806,4942.0,5021.6,5062.0,5023.8,4993.0,5028.0,4960.0,5476.0,4813.0,4682.0,5058.2,4813.0,,4743.7,,5059.8,,4883.3,5344.0,6078.3,5011.0,5034.8,4821.1,4734.0,4833.0,5276.0,5374.9,5001.4,5004.8,4809.7,5176.0,,,4847.4,4732.0,4477.8,4800.0,,5035.5,4744.0,5061.1,4861.0,,4691.6,5034.0,136.0,215.6,256.0,217.8,187.0,222.0,154.0,670.0,7.0,-124.0,252.2,7.0,,-62.3,,253.8,,77.3,538.0,1272.3,205.0,228.8,15.1,-72.0,27.0,470.0,568.9,195.4,198.8,3.7,370.0,,,41.4,-74.0,-328.2,-6.0,,229.5,-62.0,255.1,55.0,,-114.4,228.0,False,False,False,False,False,False,False,True,True,False,True,,True,,False,,True,False,False,False,False,True,True,True,False,False,False,False,True,False,,,True,True,False,True,,False,True,False,True,,True,False
Louisiana,9716,9786.3,9764.8,9696.9,9846.6,9772.0,9875.9,9751.0,10326.0,9751.0,9667.0,9849.7,9891.0,,9711.6,,9716.8,,9643.4,10090.0,10078.3,9878.0,9850.3,9732.2,9590.0,9618.6,10195.0,9916.4,9797.7,9905.7,9636.3,9694.0,,9851.7,9599.8,9969.0,10650.5,9693.0,,9824.5,9707.0,9897.7,9665.0,,9752.8,9740.0,70.3,48.8,-19.1,130.6,56.0,159.9,35.0,610.0,35.0,-49.0,133.7,175.0,,-4.4,,0.8,,-72.6,374.0,362.3,162.0,134.3,16.2,-126.0,-97.4,479.0,200.4,81.7,189.7,-79.7,-22.0,,135.7,-116.2,253.0,934.5,-23.0,,108.5,-9.0,181.7,-51.0,,36.8,24.0,True,True,False,True,False,True,False,True,True,False,False,,True,,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,True,,False,True,False,True,,True,True
Maine,704,689.0,705.8,688.7,689.1,699.0,686.0,702.0,869.0,703.0,673.0,725.3,692.0,,683.5,,794.4,,699.3,812.0,673.2,707.0,870.2,711.9,682.0,684.8,795.0,,760.2,731.4,700.8,717.0,,,667.2,,829.6,701.0,,798.5,695.0,720.0,673.0,,718.5,695.0,-15.0,1.8,-15.3,-14.9,-5.0,-18.0,-2.0,165.0,-1.0,-31.0,21.3,-12.0,,-20.5,,90.4,,-4.7,108.0,-30.8,3.0,166.2,7.9,-22.0,-19.2,91.0,,56.2,27.4,-3.2,13.0,,,-36.8,,125.6,-3.0,,94.5,-9.0,16.0,-31.0,,14.5,-9.0,True,False,True,True,False,True,False,True,False,False,True,,False,,False,,True,False,False,True,False,True,False,False,False,,False,False,True,True,,,False,,False,True,,False,True,False,False,,True,True
Maryland,7941,8139.7,8157.7,7996.2,8165.6,8063.0,8156.9,8057.0,8481.0,8006.0,7947.0,7968.2,7974.0,,8366.5,,8112.3,,8064.0,8230.0,7986.4,8120.0,8099.2,7924.8,7911.0,7965.9,8193.0,7951.4,8178.8,8078.0,8161.5,8256.5,,8044.6,8017.6,8115.0,7939.5,8021.0,,8213.5,7934.0,7889.2,7957.0,,7959.0,8054.0,198.7,216.7,55.2,224.6,122.0,215.9,116.0,540.0,65.0,6.0,27.2,33.0,,425.5,,171.3,,123.0,289.0,45.4,179.0,158.2,-16.2,-30.0,24.9,252.0,10.4,237.8,137.0,220.5,315.5,,103.6,76.6,174.0,-1.5,80.0,,272.5,-7.0,-51.8,16.0,,18.0,113.0,False,True,False,True,False,True,False,True,True,True,True,,False,,True,,True,False,True,True,True,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,,False,True,True,True,,True,True
