,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-epiforecasts-ensemble1
Georgia,17905,17767.3,18066.3,17915.1,17835.2,17849.0,17846.0,17828.0,17707.0,17781.0,17803.4,18006.0,17335.5,17729.0,17738.9,,17817.5,17786.0,17906.9,17844.8,,18164.6,18042.0,17968.7,17889.0,16953.1,17828.1,17741.0,17761.0,17796.0,18060.3,17906.0,17835.0,17808.8,17148.0,,17924.4,17777.3,17718.0,17877.0,18084.9,17697.0,17761.0,,17895.2,17833.9,17723.0,17845.7,17887.0,,17750.0,-137.7,161.3,10.1,-69.8,-56.0,-59.0,-77.0,-198.0,-124.0,-101.6,101.0,-569.5,-176.0,-166.1,,-87.5,-119.0,1.9,-60.2,,259.6,137.0,63.7,-16.0,-951.9,-76.9,-164.0,-144.0,-109.0,155.3,1.0,-70.0,-96.2,-757.0,,19.4,-127.7,-187.0,-28.0,179.9,-208.0,-144.0,,-9.8,-71.1,-182.0,-59.3,-18.0,,-155.0,False,True,True,True,True,True,False,True,True,True,False,False,False,,True,True,True,True,,False,True,True,True,False,True,False,False,True,False,True,True,True,False,,True,True,False,True,False,False,False,,True,True,False,True,True,,False
Hawaii,443,444.9,447.1,439.6,447.2,447.0,447.0,444.0,444.0,448.0,444.5,438.0,424.0,445.0,446.5,,,,456.6,442.6,,435.3,,447.8,444.0,452.6,443.3,442.0,441.8,450.0,,441.7,443.8,446.6,444.0,,,438.2,445.0,444.0,434.1,446.0,447.3,,438.1,454.1,443.0,451.9,442.0,,442.0,1.9,4.1,-3.4,4.2,4.0,4.0,1.0,1.0,5.0,1.5,-5.0,-19.0,2.0,3.5,,,,13.6,-0.4,,-7.7,,4.8,1.0,9.6,0.3,-1.0,-1.2,7.0,,-1.3,0.8,3.6,1.0,,,-4.8,2.0,1.0,-8.9,3.0,4.3,,-4.9,11.1,0.0,8.9,-1.0,,-1.0,False,False,False,False,False,True,True,False,True,False,False,False,False,,,,False,True,,False,,False,True,False,True,True,True,False,,True,True,False,True,,,False,False,True,False,False,False,,False,False,True,False,True,,True
Idaho,1879,1889.1,1890.1,1875.2,1894.7,1892.0,1894.0,1886.0,1886.0,1888.0,1884.2,1877.0,1870.0,1873.0,1894.1,,1886.5,,1885.6,1896.3,,1881.1,1895.0,1881.7,1884.0,1884.1,1880.4,1878.0,1881.5,1910.0,1881.6,1885.6,1886.5,1888.6,1886.0,,,1884.0,1887.0,1880.0,1734.2,1904.0,1936.0,,1886.0,1902.6,1878.0,1883.8,1886.0,,1882.0,10.1,11.1,-3.8,15.7,13.0,15.0,7.0,7.0,9.0,5.2,-2.0,-9.0,-6.0,15.1,,7.5,,6.6,17.3,,2.1,16.0,2.7,5.0,5.1,1.4,-1.0,2.5,31.0,2.6,6.6,7.5,9.6,7.0,,,5.0,8.0,1.0,-144.8,25.0,57.0,,7.0,23.6,-1.0,4.8,7.0,,3.0,False,True,False,False,False,True,True,True,True,True,True,True,False,,True,,True,False,,True,False,True,True,True,True,True,True,False,True,True,True,True,True,,,True,True,True,False,False,False,,True,False,True,True,True,,True
Illinois,23003,22965.6,23017.7,22944.3,22993.0,22981.0,22994.0,22960.0,22924.0,22907.0,22936.3,22944.0,22785.8,22985.0,22991.8,,23010.2,,22961.2,22950.7,,23033.1,23012.0,22992.8,22980.0,20690.0,22936.8,22935.0,22967.3,22972.0,22865.1,23019.6,22969.5,22959.1,22833.0,,22968.5,22914.7,23090.0,22972.0,23148.1,22944.0,22952.0,,23015.6,23052.4,22940.0,22951.7,22961.0,,22930.0,-37.4,14.7,-58.7,-10.0,-22.0,-9.0,-43.0,-79.0,-96.0,-66.7,-59.0,-217.2,-18.0,-11.2,,7.2,,-41.8,-52.3,,30.1,9.0,-10.2,-23.0,-2313.0,-66.2,-68.0,-35.7,-31.0,-137.9,16.6,-33.5,-43.9,-170.0,,-34.5,-88.3,87.0,-31.0,145.1,-59.0,-51.0,,12.6,49.4,-63.0,-51.3,-42.0,,-73.0,True,False,True,True,True,False,False,False,False,False,False,True,True,,True,,False,False,,True,True,True,True,False,False,False,True,True,False,True,True,False,False,,True,False,False,True,False,False,False,,True,False,False,False,False,,False
Indiana,12726,12745.3,12769.8,12723.4,12786.9,12758.0,12776.0,12725.0,12710.0,12724.0,12745.8,12756.0,12669.6,12730.0,12737.7,,12805.7,,12768.0,12700.9,,12655.3,12876.0,12754.3,12790.0,12251.2,12694.8,12693.0,12698.9,12774.0,12702.9,12734.8,12721.0,12725.3,12704.0,,12718.5,12701.6,12771.0,12736.0,12286.1,12719.0,12770.6,,12736.7,12776.6,12699.0,12717.1,12734.0,,12716.0,19.3,43.8,-2.6,60.9,32.0,50.0,-1.0,-16.0,-2.0,19.8,30.0,-56.4,4.0,11.7,,79.7,,42.0,-25.1,,-70.7,150.0,28.3,64.0,-474.8,-31.2,-33.0,-27.1,48.0,-23.1,8.8,-5.0,-0.7,-22.0,,-7.5,-24.4,45.0,10.0,-439.9,-7.0,44.6,,10.7,50.6,-27.0,-8.9,8.0,,-10.0,False,True,False,False,False,True,True,True,False,False,False,True,True,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,True,True,True,False,,True,False,False,True,False,True,False,,True,False,False,True,True,,True
Iowa,5552,5586.7,5591.8,5545.6,5602.4,5586.0,5604.0,5580.0,5611.0,5590.0,5544.9,5625.0,5293.8,5661.0,5570.9,,5579.8,,5624.9,5577.4,,5549.5,5584.0,6187.1,5635.0,5537.9,5561.4,5553.0,5518.1,5659.0,5586.4,5574.4,5584.5,5732.3,5583.0,,5576.8,5520.3,,5574.0,5176.2,5579.0,5631.9,,5576.3,5593.4,5541.0,5638.9,5580.0,,5719.0,34.7,39.8,-6.4,50.4,34.0,52.0,28.0,59.0,38.0,-7.1,73.0,-258.2,109.0,18.9,,27.8,,72.9,25.4,,-2.5,32.0,635.1,83.0,-14.1,9.4,1.0,-33.9,107.0,34.4,22.4,32.5,180.3,31.0,,24.8,-31.7,,22.0,-375.8,27.0,79.9,,24.3,41.4,-11.0,86.9,28.0,,167.0,False,True,False,True,False,True,False,False,True,False,False,False,True,,True,,False,True,,True,True,False,False,True,True,True,True,False,True,True,True,False,True,,True,True,,True,False,True,False,,True,False,True,False,True,,False
Kansas,4768,4794.0,4889.8,4807.3,4794.7,4836.0,4811.0,4820.0,4804.0,4849.0,4775.0,4915.0,4819.9,4807.0,4892.3,,4810.9,,4748.7,4870.0,,4927.3,4869.0,4890.0,4860.0,4748.2,4822.5,4875.0,4755.2,4828.0,4869.0,4817.7,4820.0,4786.8,4906.0,,,4817.5,4769.0,4841.0,5240.6,4767.0,4923.7,,4817.9,4805.0,4787.0,4859.9,4814.0,,4778.0,26.0,121.8,39.3,26.7,68.0,43.0,52.0,36.0,81.0,7.0,147.0,51.9,39.0,124.3,,42.9,,-19.3,102.0,,159.3,101.0,122.0,92.0,-19.8,54.5,107.0,-12.8,60.0,101.0,49.7,52.0,18.8,138.0,,,49.5,1.0,73.0,472.6,-1.0,155.7,,49.9,37.0,19.0,91.9,46.0,,10.0,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,,True,False,,False,False,False,False,True,False,False,True,False,False,False,False,True,False,,,False,True,False,False,True,False,,False,False,True,False,False,,True
Kentucky,4806,4799.9,4784.5,4749.7,4830.8,4812.0,4824.0,4785.0,4782.0,4778.0,4754.4,4748.0,4642.9,4791.0,4806.1,,4811.4,,4824.0,4779.4,,4705.7,4820.0,4817.5,4812.0,4753.6,4760.5,4757.0,4765.4,4795.0,4777.0,4827.2,4773.9,4825.6,4789.0,,,4754.8,4748.0,4785.0,4597.0,4785.0,4848.6,,4826.8,4821.7,4755.0,4800.7,4764.0,,4771.0,-6.1,-21.5,-56.3,24.8,6.0,18.0,-21.0,-24.0,-28.0,-51.6,-58.0,-163.1,-15.0,0.1,,5.4,,18.0,-26.6,,-100.3,14.0,11.5,6.0,-52.4,-45.5,-49.0,-40.6,-11.0,-29.0,21.2,-32.1,19.6,-17.0,,,-51.2,-58.0,-21.0,-209.0,-21.0,42.6,,20.8,15.7,-51.0,-5.3,-42.0,,-35.0,False,False,False,True,False,False,False,False,False,False,False,False,True,,True,,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,True,False,,False
Louisiana,9716,9729.7,9716.1,9670.6,9733.5,9729.0,9734.0,9698.0,9710.0,9698.0,9726.5,9666.0,9695.4,9703.0,9797.7,,,,9696.4,9688.1,,9652.4,9752.0,9636.1,9730.0,9692.0,9698.2,9690.0,9699.9,9735.0,9691.8,9722.7,9719.0,9719.9,9683.0,,9673.0,9707.0,9785.0,9695.0,10650.5,9716.0,9747.4,,9720.6,9761.5,9711.0,9730.3,9674.0,,9687.0,13.7,0.1,-45.4,17.5,13.0,18.0,-18.0,-6.0,-18.0,10.5,-50.0,-20.6,-13.0,81.7,,,,-19.6,-27.9,,-63.6,36.0,-79.9,14.0,-24.0,-17.8,-26.0,-16.1,19.0,-24.2,6.7,3.0,3.9,-33.0,,-43.0,-9.0,69.0,-21.0,934.5,0.0,31.4,,4.6,45.5,-5.0,14.3,-42.0,,-29.0,True,False,False,True,False,False,True,False,True,False,False,True,False,,,,False,False,,False,False,False,False,False,False,False,False,False,False,True,True,True,False,,False,True,False,False,False,True,False,,True,False,True,False,False,,False
Maine,704,741.6,711.6,714.3,747.0,714.0,746.0,715.0,723.0,710.0,721.8,713.0,690.4,709.0,731.3,,728.7,,730.1,731.2,,663.7,762.0,691.2,711.0,739.0,714.7,710.0,721.4,718.0,,714.5,724.1,745.1,714.0,,,714.6,723.0,711.0,739.0,727.0,714.9,,716.5,730.7,711.0,720.0,710.0,,719.0,37.6,7.6,10.3,43.0,10.0,42.0,11.0,19.0,6.0,17.8,9.0,-13.6,5.0,27.3,,24.7,,26.1,27.2,,-40.3,58.0,-12.8,7.0,35.0,10.7,6.0,17.4,14.0,,10.5,20.1,41.1,10.0,,,10.6,19.0,7.0,35.0,23.0,10.9,,12.5,26.7,7.0,16.0,6.0,,15.0,True,True,False,True,False,True,True,True,True,True,True,True,True,,True,,True,True,,False,False,True,True,True,True,True,True,True,,True,True,False,True,,,True,True,True,True,True,True,,True,True,True,True,True,,True
Maryland,7941,8001.0,8041.1,7976.6,8016.8,8008.0,8015.0,7983.0,7986.0,8023.0,7990.1,7968.0,7909.1,7965.0,7997.2,,8007.8,,7997.1,7995.8,,7966.4,7984.0,7949.5,7989.0,7916.3,7969.0,7988.0,7989.2,7973.0,7962.0,8034.1,7986.3,8006.8,8003.0,,7975.7,7965.1,8023.0,7982.0,7946.8,8018.0,8018.9,,8033.1,8024.2,7970.0,7960.6,7968.0,,7964.0,60.0,100.1,35.6,75.8,67.0,74.0,42.0,45.0,82.0,49.1,27.0,-31.9,24.0,56.2,,66.8,,56.1,54.8,,25.4,43.0,8.5,48.0,-24.7,28.0,47.0,48.2,32.0,21.0,93.1,45.3,65.8,62.0,,34.7,24.1,82.0,41.0,5.8,77.0,77.9,,92.1,83.2,29.0,19.6,27.0,,23.0,False,True,False,False,False,True,True,False,True,True,True,True,True,,False,,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,False,,True,True,False,True,True,False,False,,False,False,True,True,True,,True
Massachusetts,16374,16368.3,16401.7,16335.4,16369.9,16363.0,16355.0,16335.0,16335.0,16364.0,16296.6,16353.0,16159.5,16336.0,16373.5,,16312.2,,16294.7,16303.1,,16302.6,16349.0,16301.5,16320.0,16232.4,16297.9,16336.0,16350.3,16339.0,,16338.5,16360.7,16353.0,16258.0,,16325.2,16304.7,16435.0,16359.0,18829.2,16395.0,16326.0,,16337.0,16291.1,16346.0,16351.4,16330.0,,16286.0,-5.7,27.7,-38.6,-4.1,-11.0,-19.0,-39.0,-39.0,-10.0,-77.4,-21.0,-214.5,-38.0,-0.5,,-61.8,,-79.3,-70.9,,-71.4,-25.0,-72.5,-54.0,-141.6,-76.1,-38.0,-23.7,-35.0,,-35.5,-13.3,-21.0,-116.0,,-48.8,-69.3,61.0,-15.0,2455.2,21.0,-48.0,,-37.0,-82.9,-28.0,-22.6,-44.0,,-88.0,False,False,True,False,False,False,False,False,False,False,False,False,True,,False,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False
Michigan,16658,16650.3,16717.4,16613.7,16670.8,16695.0,16674.0,16664.0,16659.0,16654.0,16680.1,16691.0,16587.5,16640.0,16719.4,,16699.8,,16642.8,16658.9,,16663.4,16738.0,16818.8,16668.0,16515.1,16658.4,16645.0,16652.3,16663.0,16599.5,16685.8,16676.5,16681.4,16639.0,,16631.2,16599.0,16786.0,16669.0,16716.8,16659.0,16565.5,,16688.1,16746.8,16649.0,,16706.0,,16652.0,-7.7,59.4,-44.3,12.8,37.0,16.0,6.0,1.0,-4.0,22.1,33.0,-70.5,-18.0,61.4,,41.8,,-15.2,0.9,,5.4,80.0,160.8,10.0,-142.9,0.4,-13.0,-5.7,5.0,-58.5,27.8,18.5,23.4,-19.0,,-26.8,-59.0,128.0,11.0,58.8,1.0,-92.5,,30.1,88.8,-9.0,,48.0,,-6.0,False,False,False,False,False,True,True,True,False,False,False,False,False,,False,,False,True,,True,False,False,False,False,True,False,True,True,False,False,False,False,False,,False,False,False,False,False,True,False,,False,False,False,,False,,True
Minnesota,6614,6594.7,6589.3,6577.6,6595.0,6596.0,6595.0,6595.0,6595.0,6636.0,6595.4,6580.0,6572.5,6587.0,6588.8,,6598.6,,6589.4,6593.4,,6590.7,6591.0,6684.2,6611.0,6555.6,6588.7,6585.0,6600.6,6619.0,6582.7,6600.0,6596.6,6591.0,6593.0,,6594.6,6573.6,6643.0,6593.0,6070.3,6599.0,6618.9,,6601.2,6639.3,6598.0,6612.8,6597.0,,6592.0,-19.3,-24.7,-36.4,-19.0,-18.0,-19.0,-19.0,-19.0,22.0,-18.6,-34.0,-41.5,-27.0,-25.2,,-15.4,,-24.6,-20.6,,-23.3,-23.0,70.2,-3.0,-58.4,-25.3,-29.0,-13.4,5.0,-31.3,-14.0,-17.4,-23.0,-21.0,,-19.4,-40.4,29.0,-21.0,-543.7,-15.0,4.9,,-12.8,25.3,-16.0,-1.2,-17.0,,-22.0,False,False,True,True,True,True,True,False,True,False,False,False,False,,True,,False,False,,False,False,False,True,False,False,False,True,True,False,True,True,False,False,,False,False,False,False,False,True,True,,True,False,True,True,True,,False
Mississippi,6805,6790.7,6781.4,6720.1,6782.7,6785.0,6785.0,6759.0,6766.0,6764.0,6771.7,6724.0,6681.2,6768.0,6803.6,,,,6775.9,6738.0,,6665.2,6727.0,6708.5,6751.0,6739.7,6739.1,6758.0,6760.7,6779.0,6731.7,6794.8,6773.0,6792.4,6764.0,,6751.8,6723.9,6803.0,6758.0,6702.8,6779.0,6799.7,,6794.2,6813.9,6755.0,6776.8,6756.0,,6748.0,-14.3,-23.6,-84.9,-22.3,-20.0,-20.0,-46.0,-39.0,-41.0,-33.3,-81.0,-123.8,-37.0,-1.4,,,,-29.1,-67.0,,-139.8,-78.0,-96.5,-54.0,-65.3,-65.9,-47.0,-44.3,-26.0,-73.3,-10.2,-32.0,-12.6,-41.0,,-53.2,-81.1,-2.0,-47.0,-102.2,-26.0,-5.3,,-10.8,8.9,-50.0,-28.2,-49.0,,-57.0,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,True,False,False,False,True,,True,True,False,False,False,,False
Missouri,8512,8469.4,8571.6,8421.6,8501.2,8522.0,8503.0,8465.0,8437.0,8541.0,8429.2,8482.0,8408.5,8435.0,8467.0,,8551.3,,8457.0,8472.1,,7664.0,8612.0,7906.6,8546.0,7865.0,8461.2,8378.0,8399.5,8467.0,8534.1,8493.7,8479.2,8447.1,8513.0,,8447.3,8462.1,8399.0,8410.0,8092.1,8432.0,8341.7,,8500.5,8456.0,8411.0,8515.3,8461.0,,8431.0,-41.6,60.6,-89.4,-9.8,11.0,-8.0,-46.0,-74.0,30.0,-81.8,-29.0,-102.5,-76.0,-44.0,,40.3,,-54.0,-38.9,,-847.0,101.0,-604.4,35.0,-646.0,-49.8,-133.0,-111.5,-44.0,23.1,-17.3,-31.8,-63.9,2.0,,-63.7,-48.9,-112.0,-101.0,-418.9,-79.0,-169.3,,-10.5,-55.0,-100.0,4.3,-50.0,,-80.0,False,False,True,True,True,False,False,True,False,True,False,False,False,,True,,False,True,,False,False,False,True,False,False,False,False,False,True,True,True,False,True,,False,False,False,False,False,False,False,,True,False,False,True,False,,False
Montana,1379,1369.9,1370.4,1361.1,1374.7,1371.0,1371.0,1371.0,1373.0,1374.0,1370.7,1362.0,1372.2,1378.0,1379.1,,1372.7,,1374.2,1366.6,,1358.0,1370.0,1428.8,1373.0,1374.9,1367.8,1370.0,1368.2,1379.0,1367.5,1371.8,1371.8,1373.9,1367.0,,,1363.8,1379.0,1370.0,1180.9,1388.0,1378.5,,1370.8,1393.4,1372.0,1392.1,1370.0,,1372.0,-9.1,-8.6,-17.9,-4.3,-8.0,-8.0,-8.0,-6.0,-5.0,-8.3,-17.0,-6.8,-1.0,0.1,,-6.3,,-4.8,-12.4,,-21.0,-9.0,49.8,-6.0,-4.1,-11.2,-9.0,-10.8,0.0,-11.5,-7.2,-7.2,-5.1,-12.0,,,-15.2,0.0,-9.0,-198.1,9.0,-0.5,,-8.2,14.4,-7.0,13.1,-9.0,,-7.0,True,False,True,True,True,True,True,True,True,False,True,True,True,,True,,True,False,,False,True,False,True,True,False,True,False,True,False,True,True,True,False,,,False,True,True,False,True,True,,True,False,True,False,True,,True
Nebraska,2113,2112.0,2108.4,2105.6,2116.8,2120.0,2117.0,2112.0,2110.0,2137.0,2108.7,2109.0,2086.4,2102.0,2112.1,,2120.6,,2127.5,2115.0,,2103.7,2113.0,2084.1,2115.0,2109.7,2113.5,2105.0,2108.4,2159.0,2089.5,2113.4,2111.9,2107.4,2101.0,,,2106.4,2121.0,2104.0,1921.4,2130.0,2112.7,,2115.4,2127.9,2103.0,2110.7,2112.0,,2108.0,-1.0,-4.6,-7.4,3.8,7.0,4.0,-1.0,-3.0,24.0,-4.3,-4.0,-26.6,-11.0,-0.9,,7.6,,14.5,2.0,,-9.3,0.0,-28.9,2.0,-3.3,0.5,-8.0,-4.6,46.0,-23.5,0.4,-1.1,-5.6,-12.0,,,-6.6,8.0,-9.0,-191.6,17.0,-0.3,,2.4,14.9,-10.0,-2.3,-1.0,,-5.0,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,,False,False,,False,True,False,False,False,True,False,False,False,False,True,False,False,False,,,False,False,False,False,False,True,,False,False,False,False,False,,False
Nevada,5036,5029.9,5106.8,5061.9,5044.0,5054.0,5046.0,5053.0,5037.0,5079.0,5054.4,5053.0,5037.2,5085.0,5055.4,,5018.5,,4993.0,5043.7,,5099.2,5114.0,5072.9,5063.0,5002.8,5043.9,5030.0,5024.1,5092.0,5066.0,5069.5,5049.0,5027.5,5027.0,,5059.2,5030.5,5039.0,5044.0,4814.8,5063.0,5052.9,,5065.6,5062.7,5032.0,5061.3,5056.0,,5040.0,-6.1,70.8,25.9,8.0,18.0,10.0,17.0,1.0,43.0,18.4,17.0,1.2,49.0,19.4,,-17.5,,-43.0,7.7,,63.2,78.0,36.9,27.0,-33.2,7.9,-6.0,-11.9,56.0,30.0,33.5,13.0,-8.5,-9.0,,23.2,-5.5,3.0,8.0,-221.2,27.0,16.9,,29.6,26.7,-4.0,25.3,20.0,,4.0,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,True,True,False,False,False,False,,False,False,True,False,False,,True
New Hampshire,1181,1183.7,1188.2,1178.5,1187.0,1190.0,1187.0,1188.0,1190.0,1191.0,1193.3,1194.0,1194.8,1187.0,1185.1,,1186.7,,1184.5,1187.6,,1181.2,1184.0,1208.3,1190.0,1199.4,1186.7,1179.0,1182.4,1193.0,,1189.5,1188.1,1185.0,1192.0,,,1186.3,1204.0,1197.0,1299.7,1205.0,1186.0,,1190.0,1196.3,1190.0,1189.6,1185.0,,1189.0,2.7,7.2,-2.5,6.0,9.0,6.0,7.0,9.0,10.0,12.3,13.0,13.8,6.0,4.1,,5.7,,3.5,6.6,,0.2,3.0,27.3,9.0,18.4,5.7,-2.0,1.4,12.0,,8.5,7.1,4.0,11.0,,,5.3,23.0,16.0,118.7,24.0,5.0,,9.0,15.3,9.0,8.6,4.0,,8.0,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,True,False,False,False,False,False,True,True,False,,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False
New Jersey,23557,23589.7,23636.7,23530.8,23649.2,23617.0,23642.0,23589.0,23544.0,23787.0,23533.4,23578.0,23422.9,23599.0,23679.9,,23678.5,,23564.6,23545.8,,23552.0,23751.0,23590.7,23616.0,23454.0,23566.1,23571.0,23579.3,23551.0,23558.5,23588.3,23602.7,23627.6,23360.0,,23457.2,23573.8,23851.0,23592.0,22820.5,23538.0,23661.4,,23589.1,23609.2,23520.0,23609.8,23589.0,,23570.0,32.7,79.7,-26.2,92.2,60.0,85.0,32.0,-13.0,230.0,-23.6,21.0,-134.1,42.0,122.9,,121.5,,7.6,-11.2,,-5.0,194.0,33.7,59.0,-103.0,9.1,14.0,22.3,-6.0,1.5,31.3,45.7,70.6,-197.0,,-99.8,16.8,294.0,35.0,-736.5,-19.0,104.4,,32.1,52.2,-37.0,52.8,32.0,,13.0,False,True,False,False,False,True,True,False,True,True,False,False,False,,False,,True,True,,True,False,False,False,False,True,True,True,True,True,True,False,False,False,,False,True,False,False,False,True,False,,True,False,False,False,True,,True
New Mexico,3796,3794.9,3790.3,3769.5,3789.2,3790.0,3790.0,3780.0,3783.0,3770.0,3763.9,3768.0,3731.8,3792.0,3788.4,,3808.9,,3780.0,3764.0,,3745.7,3800.0,3780.9,3777.0,3736.5,3770.3,3789.0,3781.5,3787.0,3764.0,3773.3,3781.9,3790.7,3786.0,,,3768.4,3767.0,3774.0,3748.9,3803.0,3781.2,,3774.8,3810.1,3780.0,3780.6,3780.0,,3764.0,-1.1,-5.7,-26.5,-6.8,-6.0,-6.0,-16.0,-13.0,-26.0,-32.1,-28.0,-64.2,-4.0,-7.6,,12.9,,-16.0,-32.0,,-50.3,4.0,-15.1,-19.0,-59.5,-25.7,-7.0,-14.5,-9.0,-32.0,-22.7,-14.1,-5.3,-10.0,,,-27.6,-29.0,-22.0,-47.1,7.0,-14.8,,-21.2,14.1,-16.0,-15.4,-16.0,,-32.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False
