,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,334,360.0,,372.6,,347.0,61.0,,,,,370.0,,286.7,,,657.0,82.8,386.1,364.0,,293.0,267.0,,,,364.0,711.4,,,,,,232.5,,,,431.8,477.8,26.0,,38.6,,13.0,-273.0,,,,,36.0,,-47.3,,,323.0,-251.2,52.1,30.0,,-41.0,-67.0,,,,30.0,377.4,,,,,,-101.5,,,,97.8,143.8,,False,,True,False,,,,,False,,False,,,False,False,False,False,,False,False,,,,False,False,,,,,,False,,,,False,False
01023,27,28.0,,26.2,,41.0,6.0,,,,,49.7,,40.8,,,177.0,78.8,52.3,,,0.0,25.2,,,,66.0,42.4,,,,,,,,,,41.2,71.2,1.0,,-0.8,,14.0,-21.0,,,,,22.7,,13.8,,,150.0,51.8,25.3,,,-27.0,-1.8,,,,39.0,15.4,,,,,,,,,,14.2,44.2,,True,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,,,,,,,,,,False,False
01025,438,736.0,,735.1,,537.0,1022.0,,,,,366.4,,370.8,,,323.0,551.4,390.8,,,735.0,498.4,,,,474.0,671.8,,,,,,388.7,,,,1075.3,913.6,298.0,,297.1,,99.0,584.0,,,,,-71.6,,-67.2,,,-115.0,113.4,-47.2,,,297.0,60.4,,,,36.0,233.8,,,,,,-49.3,,,,637.3,475.6,,True,,True,False,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,,,,,,True,,,,False,False
01027,119,144.0,,153.8,,150.0,52.0,,,,,122.0,,100.4,,,199.0,55.8,113.2,,,170.0,112.7,,,,138.0,210.8,,,,,,,,,,173.4,149.7,25.0,,34.8,,31.0,-67.0,,,,,3.0,,-18.6,,,80.0,-63.2,-5.8,,,51.0,-6.3,,,,19.0,91.8,,,,,,,,,,54.4,30.7,,False,,False,False,,,,,True,,True,,,False,False,True,,,False,True,,,,True,False,,,,,,,,,,False,False
01029,138,172.0,,148.9,,153.0,43.0,,,,,125.2,,132.5,,,234.0,123.9,141.9,,,179.0,125.4,,,,150.0,245.3,,,,,,,,,,231.1,168.3,34.0,,10.9,,15.0,-95.0,,,,,-12.8,,-5.5,,,96.0,-14.1,3.9,,,41.0,-12.6,,,,12.0,107.3,,,,,,,,,,93.1,30.3,,True,,True,False,,,,,True,,True,,,False,True,True,,,False,True,,,,True,False,,,,,,,,,,False,True
01031,592,904.0,,958.9,,668.0,876.0,,,,,580.1,,494.9,,,686.0,367.1,708.2,539.5,,569.0,569.9,,,,717.0,815.1,,,,,,529.3,,,,922.4,1052.1,312.0,,366.9,,76.0,284.0,,,,,-11.9,,-97.1,,,94.0,-224.9,116.2,-52.5,,-23.0,-22.1,,,,125.0,223.1,,,,,,-62.7,,,,330.4,460.1,,False,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,True,True,,,,,,True,,,,False,False
01033,480,752.0,,755.0,,555.0,523.0,,,,,627.0,,452.9,,,936.0,383.7,588.0,303.0,,450.0,446.4,,,,660.0,553.6,,,,,,415.5,,,,736.5,755.9,272.0,,275.0,,75.0,43.0,,,,,147.0,,-27.1,,,456.0,-96.3,108.0,-177.0,,-30.0,-33.6,,,,180.0,73.6,,,,,,-64.5,,,,256.5,275.9,,False,,True,True,,,,,True,,True,,,False,True,True,True,,True,True,,,,True,True,,,,,,True,,,,True,False
01035,86,144.0,,146.9,,118.0,117.0,,,,,97.4,,104.1,,,134.0,88.1,106.5,,,109.0,94.3,,,,124.0,117.8,,,,,,,,,,155.3,131.8,58.0,,60.9,,32.0,31.0,,,,,11.4,,18.1,,,48.0,2.1,20.5,,,23.0,8.3,,,,38.0,31.8,,,,,,,,,,69.3,45.8,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,,,,,,,,,,False,True
01037,224,116.0,,97.5,,76.0,34.0,,,,,59.1,,87.7,,,118.0,22.5,74.6,,,55.0,74.9,,,,142.0,79.2,,,,,,,,,,112.0,94.6,-108.0,,-126.5,,-148.0,-190.0,,,,,-164.9,,-136.3,,,-106.0,-201.5,-149.4,,,-169.0,-149.1,,,,-82.0,-144.8,,,,,,,,,,-112.0,-129.4,,False,,False,False,,,,,False,,False,,,True,False,False,,,False,False,,,,True,False,,,,,,,,,,False,False
01039,511,464.0,,503.9,,382.0,349.0,,,,,390.0,,307.0,,,494.0,125.7,396.8,227.0,,403.0,313.8,,,,444.0,366.9,,,,,,530.5,,,,619.4,438.8,-47.0,,-7.1,,-129.0,-162.0,,,,,-121.0,,-204.0,,,-17.0,-385.3,-114.2,-284.0,,-108.0,-197.2,,,,-67.0,-144.1,,,,,,19.5,,,,108.4,-72.2,,True,,False,False,,,,,False,,False,,,True,False,False,False,,False,False,,,,False,False,,,,,,True,,,,False,False
01041,184,204.0,,303.0,,151.0,61.0,,,,,136.4,,126.6,,,170.0,59.9,190.9,,,157.0,149.5,,,,164.0,135.8,,,,,,,,,,223.0,229.4,20.0,,119.0,,-33.0,-123.0,,,,,-47.6,,-57.4,,,-14.0,-124.1,6.9,,,-27.0,-34.5,,,,-20.0,-48.2,,,,,,,,,,39.0,45.4,,False,,False,False,,,,,False,,False,,,True,False,True,,,False,False,,,,False,False,,,,,,,,,,False,False
01043,566,1032.0,,1051.5,,874.0,962.0,,,,,903.9,,693.3,,,1627.0,493.9,878.9,265.0,,602.5,648.3,,,,853.0,607.4,,,,,,1198.6,,,,1174.2,1446.6,466.0,,485.5,,308.0,396.0,,,,,337.9,,127.3,,,1061.0,-72.1,312.9,-301.0,,36.5,82.3,,,,287.0,41.4,,,,,,632.6,,,,608.2,880.6,,False,,True,True,,,,,True,,True,,,False,True,True,True,,True,True,,,,True,True,,,,,,False,,,,False,False
01045,491,612.0,,615.3,,483.0,180.0,,,,,502.4,,401.0,,,660.0,442.8,554.6,484.5,,397.5,443.9,,,,486.0,342.6,,,,,,463.7,,,,643.5,707.0,121.0,,124.3,,-8.0,-311.0,,,,,11.4,,-90.0,,,169.0,-48.2,63.6,-6.5,,-93.5,-47.1,,,,-5.0,-148.4,,,,,,-27.3,,,,152.5,216.0,,False,,True,False,,,,,True,,True,,,False,True,True,True,,True,True,,,,True,False,,,,,,True,,,,False,False
01047,203,404.0,,410.3,,391.0,510.0,,,,,308.9,,261.0,,,412.0,530.2,300.5,335.5,,302.0,257.5,,,,314.0,442.8,,,,,,365.1,,,,529.2,394.9,201.0,,207.3,,188.0,307.0,,,,,105.9,,58.0,,,209.0,327.2,97.5,132.5,,99.0,54.5,,,,111.0,239.8,,,,,,162.1,,,,326.2,191.9,,False,,True,False,,,,,True,,True,,,False,False,True,True,,True,True,,,,True,False,,,,,,True,,,,False,True
01049,528,800.0,,848.8,,794.0,955.0,,,,,822.2,,564.9,,,1356.0,556.6,690.4,323.5,,574.0,582.0,,,,712.0,872.6,,,,,,697.2,,,,1004.6,949.6,272.0,,320.8,,266.0,427.0,,,,,294.2,,36.9,,,828.0,28.6,162.4,-204.5,,46.0,54.0,,,,184.0,344.6,,,,,,169.2,,,,476.6,421.6,,False,,True,False,,,,,False,,True,,,False,True,True,True,,True,True,,,,True,False,,,,,,True,,,,False,False
01051,1045,1600.0,,1660.3,,1046.0,1123.0,,,,,1119.5,,785.6,,,1062.0,606.9,1060.6,446.0,,875.0,933.2,,,,1254.0,955.1,,,,,,721.6,,,,1919.6,1855.8,555.0,,615.3,,1.0,78.0,,,,,74.5,,-259.4,,,17.0,-438.1,15.6,-599.0,,-170.0,-111.8,,,,209.0,-89.9,,,,,,-323.4,,,,874.6,810.8,,False,,True,True,,,,,True,,True,,,True,True,True,False,,True,True,,,,True,True,,,,,,True,,,,False,False
01053,395,736.0,,738.6,,553.0,170.0,,,,,430.6,,412.6,,,511.0,482.7,472.3,628.5,,746.0,469.2,,,,532.0,755.7,,,,,,487.7,,,,970.5,747.9,341.0,,343.6,,158.0,-225.0,,,,,35.6,,17.6,,,116.0,87.7,77.3,233.5,,351.0,74.2,,,,137.0,360.7,,,,,,92.7,,,,575.5,352.9,,False,,True,True,,,,,True,,True,,,True,True,True,True,,False,True,,,,True,False,,,,,,True,,,,False,False
01055,972,1532.0,,1509.3,,1360.0,1957.0,,,,,1406.2,,919.8,,,1849.0,986.5,1283.3,434.5,,941.0,1049.3,,,,1299.0,1584.8,,,,,,1357.0,,,,1791.9,2093.7,560.0,,537.3,,388.0,985.0,,,,,434.2,,-52.2,,,877.0,14.5,311.3,-537.5,,-31.0,77.3,,,,327.0,612.8,,,,,,385.0,,,,819.9,1121.7,,True,,True,False,,,,,True,,True,,,False,True,True,True,,True,True,,,,True,False,,,,,,True,,,,False,False
01057,204,428.0,,422.9,,297.0,404.0,,,,,172.9,,190.3,,,301.0,304.6,262.4,,,409.0,267.7,,,,279.0,204.8,,,,,,,,,,401.7,325.6,224.0,,218.9,,93.0,200.0,,,,,-31.1,,-13.7,,,97.0,100.6,58.4,,,205.0,63.7,,,,75.0,0.8,,,,,,,,,,197.7,121.6,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,,,,,,,,,,True,True
01059,213,356.0,,374.4,,298.0,182.0,,,,,397.1,,208.6,,,657.0,153.5,372.8,140.0,,203.0,232.5,,,,350.0,289.7,,,,,,210.2,,,,495.2,429.8,143.0,,161.4,,85.0,-31.0,,,,,184.1,,-4.4,,,444.0,-59.5,159.8,-73.0,,-10.0,19.5,,,,137.0,76.7,,,,,,-2.8,,,,282.2,216.8,,False,,True,True,,,,,False,,True,,,False,True,False,True,,True,True,,,,True,True,,,,,,True,,,,False,False
01061,269,428.0,,372.5,,350.0,224.0,,,,,252.7,,247.5,,,358.0,186.9,309.8,,,369.0,280.6,,,,363.0,450.3,,,,,,,,,,480.1,437.5,159.0,,103.5,,81.0,-45.0,,,,,-16.3,,-21.5,,,89.0,-82.1,40.8,,,100.0,11.6,,,,94.0,181.3,,,,,,,,,,211.1,168.5,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,,,,,,,,,,False,False
01063,86,88.0,,93.4,,75.0,24.0,,,,,76.2,,79.6,,,95.0,28.5,70.6,,,12.0,52.4,,,,69.0,127.8,,,,,,,,,,147.9,93.9,2.0,,7.4,,-11.0,-62.0,,,,,-9.8,,-6.4,,,9.0,-57.5,-15.4,,,-74.0,-33.6,,,,-17.0,41.8,,,,,,,,,,61.9,7.9,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,,,,,,,,,,False,False
01065,213,380.0,,418.7,,216.0,204.0,,,,,191.4,,192.4,,,213.0,102.4,241.1,,,214.0,209.0,,,,221.0,137.8,,,,,,,,,,477.8,403.1,167.0,,205.7,,3.0,-9.0,,,,,-21.6,,-20.6,,,0.0,-110.6,28.1,,,1.0,-4.0,,,,8.0,-75.2,,,,,,,,,,264.8,190.1,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,,,,,,,,,,False,False
01067,206,272.0,,259.3,,195.0,68.0,,,,,186.2,,168.2,,,201.0,173.7,200.3,,,157.0,167.4,,,,248.0,206.3,,,,,,,,,,397.5,330.9,66.0,,53.3,,-11.0,-138.0,,,,,-19.8,,-37.8,,,-5.0,-32.3,-5.7,,,-49.0,-38.6,,,,42.0,0.3,,,,,,,,,,191.5,124.9,,True,,True,False,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,,,,,,,,,,False,False
01069,1003,1728.0,,1838.8,,1303.0,1316.0,,,,,1141.4,,1057.7,,,1339.0,780.3,1196.6,1042.5,,1213.0,1008.2,,,,1484.0,2143.2,,,,,,897.3,,,,1629.7,1770.2,725.0,,835.8,,300.0,313.0,,,,,138.4,,54.7,,,336.0,-222.7,193.6,39.5,,210.0,5.2,,,,481.0,1140.2,,,,,,-105.7,,,,626.7,767.2,,False,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,True,False,,,,,,True,,,,True,False
01071,442,812.0,,734.4,,662.0,835.0,,,,,652.0,,496.2,,,893.0,233.2,624.6,237.5,,471.0,515.4,,,,659.0,542.8,,,,,,622.3,,,,876.0,1086.3,370.0,,292.4,,220.0,393.0,,,,,210.0,,54.2,,,451.0,-208.8,182.6,-204.5,,29.0,73.4,,,,217.0,100.8,,,,,,180.3,,,,434.0,644.3,,True,,True,False,,,,,True,,True,,,False,True,True,True,,True,True,,,,True,True,,,,,,True,,,,False,False
01073,5641,10728.0,,10187.9,10666.5,7552.0,7528.0,,,,,7551.8,,5564.1,,7459.3,9326.0,4187.2,9487.6,6843.5,,7179.5,6719.1,,,,7477.0,6285.3,,,,,,6145.7,5354.0,,,11480.6,11639.7,5087.0,,4546.9,5025.5,1911.0,1887.0,,,,,1910.8,,-76.9,,1818.3,3685.0,-1453.8,3846.6,1202.5,,1538.5,1078.1,,,,1836.0,644.3,,,,,,504.7,-287.0,,,5839.6,5998.7,,True,True,True,True,,,,,True,,True,,True,True,True,True,True,,True,True,,,,True,True,,,,,,True,True,,,False,False
01075,94,96.0,,88.2,,82.0,32.0,,,,,107.2,,86.5,,,219.0,43.7,105.9,,,45.0,71.9,,,,110.0,91.6,,,,,,,,,,147.3,201.1,2.0,,-5.8,,-12.0,-62.0,,,,,13.2,,-7.5,,,125.0,-50.3,11.9,,,-49.0,-22.1,,,,16.0,-2.4,,,,,,,,,,53.3,107.1,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,,,,,,,,,,False,False
01077,668,1276.0,,1264.8,,902.0,926.0,,,,,955.3,,789.4,,,1468.0,627.9,1002.4,336.0,,763.5,760.9,,,,1087.0,684.9,,,,,,668.7,,,,1608.4,1380.8,608.0,,596.8,,234.0,258.0,,,,,287.3,,121.4,,,800.0,-40.1,334.4,-332.0,,95.5,92.9,,,,419.0,16.9,,,,,,0.7,,,,940.4,712.8,,True,,True,True,,,,,True,,True,,,False,True,True,True,,True,True,,,,True,True,,,,,,True,,,,False,False
01079,261,432.0,,416.6,,319.0,243.0,,,,,301.8,,308.5,,,630.0,129.7,327.7,360.5,,240.0,275.0,,,,342.0,273.0,,,,,,240.4,,,,527.3,538.7,171.0,,155.6,,58.0,-18.0,,,,,40.8,,47.5,,,369.0,-131.3,66.7,99.5,,-21.0,14.0,,,,81.0,12.0,,,,,,-20.6,,,,266.3,277.7,,True,,True,True,,,,,True,,True,,,False,True,True,True,,True,True,,,,True,True,,,,,,True,,,,False,False
01081,1642,2976.0,,2856.7,,2133.0,1618.0,,,,,1800.7,,1472.4,,3224.8,1907.0,2293.5,2286.6,1233.5,,2561.0,2131.2,,,,2084.0,1657.7,,,,,,2022.6,1758.0,,,3637.2,3891.6,1334.0,,1214.7,,491.0,-24.0,,,,,158.7,,-169.6,,1582.8,265.0,651.5,644.6,-408.5,,919.0,489.2,,,,442.0,15.7,,,,,,380.6,116.0,,,1995.2,2249.6,,True,,True,True,,,,,True,,True,,False,True,True,True,True,,True,True,,,,True,True,,,,,,True,True,,,False,False
01083,933,1432.0,,1339.3,,1075.0,942.0,,,,,1030.5,,790.9,,,1453.0,695.8,1012.5,1019.5,,893.5,904.2,,,,1164.0,861.0,,,,,,1444.5,,,,1680.7,1612.2,499.0,,406.3,,142.0,9.0,,,,,97.5,,-142.1,,,520.0,-237.2,79.5,86.5,,-39.5,-28.8,,,,231.0,-72.0,,,,,,511.5,,,,747.7,679.2,,True,,True,True,,,,,True,,True,,,False,True,True,True,,True,True,,,,True,True,,,,,,False,,,,False,False
01085,151,212.0,,184.2,,139.0,144.0,,,,,110.8,,106.4,,,86.0,61.3,147.6,,,175.0,139.6,,,,144.0,147.2,,,,,,,,,,230.5,250.4,61.0,,33.2,,-12.0,-7.0,,,,,-40.2,,-44.6,,,-65.0,-89.7,-3.4,,,24.0,-11.4,,,,-7.0,-3.8,,,,,,,,,,79.5,99.4,,True,,True,True,,,,,True,,True,,,False,False,True,,,True,True,,,,True,True,,,,,,,,,,False,False
01087,173,304.0,,304.6,,204.0,380.0,,,,,125.3,,173.0,,,154.0,195.8,194.5,,,253.0,202.3,,,,186.0,150.3,,,,,,,,,,313.5,238.5,131.0,,131.6,,31.0,207.0,,,,,-47.7,,-0.0,,,-19.0,22.8,21.5,,,80.0,29.3,,,,13.0,-22.7,,,,,,,,,,140.5,65.5,,False,,True,False,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,,,,,,,,,,False,True
