,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Illinois,48863,76038.0,64186.5,77024.2,62596.0,78011.0,60210.0,,77985.9,23885.0,58191.7,,59991.5,,53578.9,76860.0,37367.7,69077.0,83767.5,66572.5,65523.7,43097.5,50636.8,76298.9,45652.6,68518.1,60847.0,90026.0,,64691.1,61821.0,22007.6,,58396.7,64054.9,67636.0,56407.9,,27175.0,15323.5,28161.2,13733.0,29148.0,11347.0,,29122.9,-24978.0,9328.7,,11128.5,,4715.9,27997.0,-11495.3,20214.0,34904.5,17709.5,16660.7,-5765.5,1773.8,27435.9,-3210.4,19655.1,11984.0,41163.0,,15828.1,12958.0,-26855.4,,9533.7,15191.9,18773.0,7544.9,,True,False,True,False,True,,False,True,True,,True,,True,False,True,True,False,True,True,True,True,False,True,True,True,False,,True,True,True,,True,True,True,True,
Indiana,29701,49320.0,40790.5,51822.5,36765.0,47317.0,37674.0,,48349.5,35886.0,40876.5,,44111.0,,32010.1,49725.0,21376.1,43120.0,44764.2,38094.5,29835.8,26521.5,33768.8,20331.6,27292.1,44924.7,43289.0,49637.0,,32458.7,34465.0,21227.4,,75934.1,44362.3,40416.0,26651.0,,19619.0,11089.5,22121.5,7064.0,17616.0,7973.0,,18648.5,6185.0,11175.5,,14410.0,,2309.1,20024.0,-8324.9,13419.0,15063.2,8393.5,134.8,-3179.5,4067.8,-9369.4,-2408.9,15223.7,13588.0,19936.0,,2757.7,4764.0,-8473.6,,46233.1,14661.3,10715.0,-3050.0,,True,False,True,True,True,,True,True,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,False,True,True,True,
Iowa,13072,19464.0,12421.4,17935.0,14266.0,24960.0,16151.0,,20157.4,61542.0,13322.0,,22676.2,,14005.0,17377.0,10658.7,17830.0,17764.8,13179.0,14054.9,11817.5,13754.0,8505.3,8480.0,14834.8,18434.0,32073.0,,14296.6,16737.0,2312.9,,11679.3,27524.9,16104.0,16702.0,,6392.0,-650.6,4863.0,1194.0,11888.0,3079.0,,7085.4,48470.0,250.0,,9604.2,,933.0,4305.0,-2413.3,4758.0,4692.8,107.0,982.9,-1254.5,682.0,-4566.7,-4592.0,1762.8,5362.0,19001.0,,1224.6,3665.0,-10759.1,,-1392.7,14452.9,3032.0,3630.0,,True,True,True,False,True,,False,False,True,,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,False,,True,False,True,True,
Kansas,16259,24144.0,21554.5,23533.5,18307.0,26135.0,17227.0,,25104.6,11034.0,13478.4,,29312.1,,22671.1,24565.0,9604.2,20496.0,19602.0,14609.0,14776.9,11628.0,15298.3,12265.3,18182.9,25619.0,22928.0,29576.0,,17899.4,24144.0,8824.1,,22039.7,27432.5,15932.0,22342.3,,7885.0,5295.5,7274.5,2048.0,9876.0,968.0,,8845.6,-5225.0,-2780.6,,13053.1,,6412.1,8306.0,-6654.8,4237.0,3343.0,-1650.0,-1482.1,-4631.0,-960.7,-3993.7,1923.9,9360.0,6669.0,13317.0,,1640.4,7885.0,-7434.9,,5780.7,11173.5,-327.0,6083.3,,True,True,True,False,True,,False,True,True,,False,,True,False,True,True,True,True,True,True,True,True,True,False,True,False,,True,False,True,,True,False,True,True,
Kentucky,34903,49644.0,49521.3,52128.8,46420.0,45950.0,47987.0,,53161.9,24415.0,96367.1,,45220.0,,37615.2,47248.0,35786.0,52950.0,37461.4,41319.5,39137.2,34629.0,34251.3,52035.9,61349.3,43765.5,54936.0,47462.0,,40418.1,66464.0,19386.1,,36443.4,62605.4,47418.0,45682.9,,14741.0,14618.3,17225.8,11517.0,11047.0,13084.0,,18258.9,-10488.0,61464.1,,10317.0,,2712.2,12345.0,883.0,18047.0,2558.4,6416.5,4234.2,-274.0,-651.7,17132.9,26446.3,8862.5,20033.0,12559.0,,5515.1,31561.0,-15516.9,,1540.4,27702.4,12515.0,10779.9,,True,False,True,True,True,,False,True,False,,True,,True,True,True,False,True,True,True,True,True,False,False,True,False,True,,True,False,False,,True,False,True,True,
Louisiana,25011,51063.0,38443.3,49724.6,42661.0,46819.0,52724.0,,46457.0,39495.0,1501117.5,,32223.3,,36278.9,47060.0,20061.0,53797.0,36368.5,41195.0,29723.5,33659.5,33274.1,41951.6,34806.3,41659.7,45519.0,48696.0,,32366.9,51063.0,41948.5,,57133.4,48131.4,41780.0,49247.8,,26052.0,13432.3,24713.6,17650.0,21808.0,27713.0,,21446.0,14484.0,1476106.5,,7212.3,,11267.9,22049.0,-4950.0,28786.0,11357.5,16184.0,4712.5,8648.5,8263.1,16940.6,9795.3,16648.7,20508.0,23685.0,,7355.9,26052.0,16937.5,,32122.4,23120.4,16769.0,24236.8,,True,True,True,True,False,,True,True,False,,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,False,True,,False,True,True,True,
Maine,4199,7710.0,8986.0,7774.1,7831.0,9491.0,6265.0,,8316.1,5514.0,5979.8,,8619.9,,5266.0,9573.0,10405.3,7916.0,7296.0,9159.5,5541.4,7054.5,5911.8,7968.2,7946.6,8838.2,10504.0,9577.0,,9407.5,6278.0,12719.6,,7259.9,8354.7,7221.0,8546.9,,3511.0,4787.0,3575.1,3632.0,5292.0,2066.0,,4117.1,1315.0,1780.8,,4420.9,,1067.0,5374.0,6206.3,3717.0,3097.0,4960.5,1342.4,2855.5,1712.8,3769.2,3747.6,4639.2,6305.0,5378.0,,5208.5,2079.0,8520.6,,3060.9,4155.7,3022.0,4347.9,,False,False,False,False,True,,False,True,True,,False,,True,False,False,False,True,False,True,True,True,False,False,False,False,False,,False,True,False,,True,False,True,False,
Maryland,23011,40257.0,37255.5,38452.8,37853.0,40924.0,44091.0,,40582.9,306098.0,38546.6,,30672.0,,31000.5,38559.0,22269.0,41571.0,36073.3,43653.5,30342.5,28168.0,29905.7,29730.2,29452.1,37440.4,39594.0,34715.0,,36390.4,40098.0,39195.3,,35770.6,49046.2,38962.0,40087.4,,17246.0,14244.5,15441.8,14842.0,17913.0,21080.0,,17571.9,283087.0,15535.6,,7661.0,,7989.5,15548.0,-742.0,18560.0,13062.3,20642.5,7331.5,5157.0,6894.7,6719.2,6441.1,14429.4,16583.0,11704.0,,13379.4,17087.0,16184.3,,12759.6,26035.2,15951.0,17076.4,,True,True,True,False,False,,False,False,True,,True,,True,True,True,False,True,False,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
Massachusetts,46404,75801.0,68198.7,69790.9,63741.0,63782.0,74357.0,,74811.5,61680.0,89383.4,,51407.6,,55891.9,72520.0,41820.9,70169.0,39545.2,66507.0,50808.5,42606.5,50558.8,54289.9,75904.1,64282.5,72719.0,57899.0,,57733.0,70332.0,71234.4,,116399.8,104797.5,63670.0,61706.3,,29397.0,21794.7,23386.9,17337.0,17378.0,27953.0,,28407.5,15276.0,42979.4,,5003.6,,9487.9,26116.0,-4583.1,23765.0,-6858.8,20103.0,4404.5,-3797.5,4154.8,7885.9,29500.1,17878.5,26315.0,11495.0,,11329.0,23928.0,24830.4,,69995.8,58393.5,17266.0,15302.3,,True,True,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,False,False,True,True,
Michigan,26131,40176.0,30110.4,41625.7,31492.0,39914.0,43483.0,,36521.9,10389.0,180733.7,,43487.1,,26816.1,40143.0,19557.4,43594.0,41796.1,31100.5,28425.2,25746.0,28725.9,19729.8,32868.5,32906.5,36084.0,46394.0,,23807.0,35958.0,12721.6,,51032.3,43977.8,32387.0,29035.1,,14045.0,3979.4,15494.7,5361.0,13783.0,17352.0,,10390.9,-15742.0,154602.7,,17356.1,,685.1,14012.0,-6573.6,17463.0,15665.1,4969.5,2294.2,-385.0,2594.9,-6401.2,6737.5,6775.5,9953.0,20263.0,,-2324.0,9827.0,-13409.4,,24901.3,17846.8,6256.0,2904.1,,True,False,True,True,False,,True,False,False,,False,,True,True,True,False,False,True,True,True,True,True,True,True,True,False,,True,True,True,,False,False,True,True,
Minnesota,17338,21033.0,14269.3,19992.8,16359.0,24799.0,21197.0,,22056.6,6389.0,20738.4,,19119.0,,14931.8,27944.0,7373.1,17670.0,26283.3,16538.0,13471.7,12684.5,16344.7,12211.4,13748.1,16540.8,18359.0,32110.0,,16875.3,16859.0,5212.8,,18006.6,15967.3,20011.0,14864.5,,3695.0,-3068.7,2654.8,-979.0,7461.0,3859.0,,4718.6,-10949.0,3400.4,,1781.0,,-2406.2,10606.0,-9964.9,332.0,8945.3,-800.0,-3866.3,-4653.5,-993.3,-5126.6,-3589.9,-797.2,1021.0,14772.0,,-462.7,-479.0,-12125.2,,668.6,-1370.7,2673.0,-2473.5,,True,True,True,False,False,,False,False,True,,True,,True,False,False,True,False,True,False,False,True,False,True,True,True,False,,True,True,False,,True,True,True,True,
Mississippi,16052,33501.0,27880.4,33455.9,28230.0,29647.0,25379.0,,31909.9,26166.0,32825.7,,26805.8,,25027.1,32311.0,24579.3,31913.0,23416.7,29496.0,28345.0,20932.0,23631.8,28080.4,23907.6,27910.2,32633.0,30552.0,,23305.5,31641.0,18678.8,,25390.4,33945.7,31687.0,30240.8,,17449.0,11828.4,17403.9,12178.0,13595.0,9327.0,,15857.9,10114.0,16773.7,,10753.8,,8975.1,16259.0,8527.3,15861.0,7364.7,13444.0,12293.0,4880.0,7579.8,12028.4,7855.6,11858.2,16581.0,14500.0,,7253.5,15589.0,2626.8,,9338.4,17893.7,15635.0,14188.8,,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
Missouri,25150,33402.0,25104.5,33871.3,26952.0,33581.0,28726.0,,30936.6,24095.0,26555.9,,26017.6,,26833.2,30997.0,12254.8,30828.0,26852.9,25303.5,27161.8,18752.0,22741.6,26762.4,29875.9,27194.7,29429.0,37202.0,,23569.9,32647.0,13690.8,,35961.2,49902.0,26846.0,22939.3,,8252.0,-45.5,8721.3,1802.0,8431.0,3576.0,,5786.6,-1055.0,1405.9,,867.6,,1683.2,5847.0,-12895.2,5678.0,1702.9,153.5,2011.8,-6398.0,-2408.4,1612.4,4725.9,2044.7,4279.0,12052.0,,-1580.1,7497.0,-11459.2,,10811.2,24752.0,1696.0,-2210.7,,True,False,True,False,True,,True,True,True,,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,True,False,,False,False,True,True,
Montana,4879,7056.0,5302.4,6886.3,5255.0,7611.0,5002.0,,6616.9,3082.0,5141.1,,6776.4,,4919.3,6698.0,3330.8,7625.0,4754.5,5057.0,4599.3,4444.0,4504.1,7595.0,6027.3,5787.4,6797.0,9664.0,,4642.7,7056.0,2059.1,,4720.6,7385.4,6096.0,6395.7,,2177.0,423.4,2007.3,376.0,2732.0,123.0,,1737.9,-1797.0,262.1,,1897.4,,40.3,1819.0,-1548.2,2746.0,-124.5,178.0,-279.7,-435.0,-374.9,2716.0,1148.3,908.4,1918.0,4785.0,,-236.3,2177.0,-2819.9,,-158.4,2506.4,1217.0,1516.7,,True,True,True,False,True,,True,True,True,,True,,True,True,True,False,True,True,True,True,True,False,True,True,True,False,,True,False,False,,True,False,True,True,
