,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
North Dakota,7883,12560.0,,10599.1,,21322.0,11633.6,2732.6,,19563.5,5684.0,4677.0,,2716.1,,13439.0,3750.6,-5150.4,,11680.5,-2199.0,,True,,False,True,False,,False,True
Ohio,287638,401912.0,,402781.1,,484225.0,730333.7,174449.1,,295542.3,246472.0,114274.0,,115143.1,,196587.0,442695.7,-113188.9,,7904.3,-41166.0,,False,,False,False,True,,True,True
Oklahoma,141810,165120.0,,165255.6,,202409.0,255385.4,105054.7,,110167.0,99412.0,23310.0,,23445.6,,60599.0,113575.4,-36755.3,,-31643.0,-42398.0,,False,,False,False,False,,False,False
Oregon,44385,52096.0,,51897.2,,59428.0,69775.6,25692.2,,39523.2,35359.0,7711.0,,7512.2,,15043.0,25390.6,-18692.8,,-4861.8,-9026.0,,True,,False,False,False,,True,False
Pennsylvania,305145,446976.0,,408450.4,,481760.0,712905.8,281697.1,,318456.2,234735.0,141831.0,,103305.4,,176615.0,407760.8,-23447.9,,13311.2,-70410.0,,True,,False,False,True,,True,True
Rhode Island,41079,34032.0,,32760.1,,33930.0,40968.2,15190.4,,22728.0,12136.0,-7047.0,,-8318.9,,-7149.0,-110.8,-25888.6,,-18351.0,-28943.0,,False,,False,True,False,,False,False
South Carolina,212385,146840.0,,180411.8,,169340.0,263885.5,152689.8,,161136.9,77123.0,-65545.0,,-31973.2,,-43045.0,51500.5,-59695.2,,-51248.1,-135262.0,,True,,True,True,True,,True,False
South Dakota,14202,21016.0,,19943.4,,27266.0,22473.1,5456.4,,27210.3,10984.0,6814.0,,5741.4,,13064.0,8271.1,-8745.6,,13008.3,-3218.0,,True,,False,False,False,,False,True
Tennessee,203116,457928.0,,422596.2,,467140.0,829658.5,494414.4,,381141.4,226489.0,254812.0,,219480.2,,264024.0,626542.5,291298.4,,178025.4,23373.0,,True,,False,False,False,,True,True
Texas,923461,671448.0,,692505.9,,998577.0,1168031.2,671263.3,,453257.7,332249.0,-252013.0,,-230955.1,,75116.0,244570.2,-252197.7,,-470203.3,-591212.0,,True,,True,True,False,,False,False
Utah,101956,120864.0,,123504.8,,145857.0,153530.6,36994.7,,66378.9,61295.0,18908.0,,21548.8,,43901.0,51574.6,-64961.3,,-35577.1,-40661.0,,False,,False,False,False,,False,False
Vermont,7393,4984.0,,4445.4,,5808.0,6576.6,3890.6,,4654.6,2837.0,-2409.0,,-2947.6,,-1585.0,-816.4,-3502.4,,-2738.4,-4556.0,,False,,True,True,False,,False,False
Virginia,232235,212840.0,,195740.5,,231250.0,299120.4,198965.5,,122029.9,91910.0,-19395.0,,-36494.5,,-985.0,66885.4,-33269.5,,-110205.1,-140325.0,,False,,True,False,False,,False,False
Washington,97075,112952.0,,83750.5,,117632.0,197563.2,40136.9,,95252.8,61436.0,15877.0,,-13324.5,,20557.0,100488.2,-56938.1,,-1822.2,-35639.0,,True,,False,False,False,,True,False
West Virginia,49187,71696.0,,77386.7,,68370.0,116549.6,52850.2,,49399.0,35301.0,22509.0,,28199.7,,19183.0,67362.6,3663.2,,212.0,-13886.0,,False,,True,False,True,,True,True
Wisconsin,105767,122744.0,,108404.4,,175658.0,202118.2,44318.2,,107867.5,55875.0,16977.0,,2637.4,,69891.0,96351.2,-61448.8,,2100.5,-49892.0,,True,,False,False,False,,True,False
Wyoming,10537,13264.0,,13249.5,,18093.0,17528.9,5180.1,,12246.7,5779.0,2727.0,,2712.5,,7556.0,6991.9,-5356.9,,1709.7,-4758.0,,True,,False,False,False,,True,False
US,9016963,10616344.0,11429004.0,8392070.7,10303395.0,10626953.0,17090785.5,9320103.6,9940507.9,7263633.5,5620727.0,1599381.0,2412041.0,-624892.3,1286432.0,1609990.0,8073822.5,303140.6,923544.9,-1753329.5,-3396236.0,False,True,True,False,False,True,True,False,False
