,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,121589,209980.0,211189.3,213623.7,192062.0,278196.0,,193126.5,242939.0,167201.2,,205733.1,,189381.1,216191.0,113810.2,187854.0,152726.6,177583.5,181995.6,166693.0,155761.9,334187.5,221543.9,212408.8,178751.0,,171613.3,,154624.9,,202668.5,358812.0,199392.5,189272.0,241477.7,,88391.0,89600.3,92034.7,70473.0,156607.0,,71537.5,121350.0,45612.2,,84144.1,,67792.1,94602.0,-7778.8,66265.0,31137.6,55994.5,60406.6,45104.0,34172.9,212598.5,99954.9,90819.8,57162.0,,50024.3,,33035.9,,81079.5,237223.0,77803.5,67683.0,119888.7,,False,False,True,False,,True,False,True,,True,,True,False,True,True,True,True,True,True,True,False,False,False,True,,True,,True,,True,False,True,True,False,
Hawaii,2061,3048.0,3229.6,3067.1,3499.0,2764.0,,3550.7,7685.0,3788.2,,4136.3,,3316.5,,1648.1,3126.0,6462.7,3969.5,5161.3,2403.0,2960.2,4151.8,4035.3,3765.3,4446.0,,3200.5,,5929.3,,2344.6,6306.1,3537.8,2387.0,3998.3,,987.0,1168.6,1006.1,1438.0,703.0,,1489.7,5624.0,1727.2,,2075.3,,1255.5,,-412.9,1065.0,4401.7,1908.5,3100.3,342.0,899.2,2090.8,1974.3,1704.3,2385.0,,1139.5,,3868.3,,283.6,4245.1,1476.8,326.0,1937.3,,False,False,False,True,,False,False,False,,False,,False,,True,False,False,False,False,True,True,False,False,False,False,,False,,False,,True,False,False,True,False,
Idaho,9825,16196.0,13421.8,16031.2,13964.0,10500.0,,17142.9,8460.0,30998.8,,17010.9,,11167.5,16845.0,6079.8,16118.0,15106.6,16575.0,13568.5,7422.5,11173.6,9230.7,19608.1,16561.8,22642.0,,9982.0,,11397.0,,11651.9,22598.5,22600.5,14760.0,24309.3,,6371.0,3596.8,6206.2,4139.0,675.0,,7317.9,-1365.0,21173.8,,7185.9,,1342.5,7020.0,-3745.2,6293.0,5281.6,6750.0,3743.5,-2402.5,1348.6,-594.3,9783.1,6736.8,12817.0,,157.0,,1572.0,,1826.9,12773.5,12775.5,4935.0,14484.3,,True,True,True,True,,False,True,False,,False,,True,False,True,True,True,False,True,True,True,True,False,False,False,,True,,True,,True,False,False,True,False,
Illinois,74209,135440.0,106020.6,132499.4,108634.0,120775.0,,125036.8,25440.0,82533.3,,133153.8,,109712.0,119163.0,46119.7,109639.0,115345.9,124821.5,96116.5,92062.0,101988.6,34913.6,83676.1,136461.7,164916.0,,119061.7,,28566.4,,92174.2,185538.6,145718.2,101451.0,179320.7,,61231.0,31811.6,58290.4,34425.0,46566.0,,50827.8,-48769.0,8324.3,,58944.8,,35503.0,44954.0,-28089.3,35430.0,41136.9,50612.5,21907.5,17853.0,27779.6,-39295.4,9467.1,62252.7,90707.0,,44852.7,,-45642.6,,17965.2,111329.6,71509.2,27242.0,105111.7,,True,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,False,False,,True,,True,,True,False,False,True,False,
Indiana,46141,85880.0,78704.1,87979.3,78061.0,63307.0,,83175.4,53265.0,67859.5,,84616.2,,58925.2,84014.0,23223.5,86597.0,72639.1,81997.5,82205.3,50698.0,57871.0,23040.7,53603.3,94375.0,96521.0,,61739.8,,28694.2,,115821.3,124617.4,78881.8,63327.0,123858.1,,39739.0,32563.1,41838.3,31920.0,17166.0,,37034.4,7124.0,21718.5,,38475.2,,12784.2,37873.0,-22917.5,40456.0,26498.1,35856.5,36064.3,4557.0,11730.0,-23100.3,7462.3,48234.0,50380.0,,15598.8,,-17446.8,,69680.3,78476.4,32740.8,17186.0,77717.1,,True,False,True,True,,True,True,True,,True,,True,True,True,False,True,True,True,True,True,True,True,False,False,,True,,True,,False,False,True,True,False,
Iowa,19560,31496.0,18828.6,30235.6,25676.0,29639.0,,30185.9,324473.0,19018.7,,34098.6,,25478.5,24340.0,7193.9,32270.0,25496.8,21774.0,30842.6,23117.0,22704.6,13461.6,13108.0,29530.4,51595.0,,26156.6,,7452.5,,23283.8,39123.1,40487.4,22977.0,32328.2,,11936.0,-731.4,10675.6,6116.0,10079.0,,10625.9,304913.0,-541.3,,14538.6,,5918.5,4780.0,-12366.1,12710.0,5936.8,2214.0,11282.6,3557.0,3144.6,-6098.4,-6452.0,9970.4,32035.0,,6596.6,,-12107.5,,3723.8,19563.1,20927.4,3417.0,12768.2,,True,True,True,True,,True,False,True,,False,,True,True,False,False,True,True,True,True,True,True,True,True,False,,True,,False,,True,False,False,True,False,
Kansas,24307,42216.0,36800.1,40640.6,36918.0,34701.0,,42918.6,28478.0,15088.8,,56004.5,,49716.4,37609.0,21896.6,39575.0,31324.3,29647.5,37553.9,28199.0,24631.9,20790.0,40858.9,48502.5,45901.0,,41937.5,,11045.1,,24880.4,62657.3,52864.7,22799.0,44062.1,,17909.0,12493.1,16333.6,12611.0,10394.0,,18611.6,4171.0,-9218.2,,31697.5,,25409.4,13302.0,-2410.4,15268.0,7017.3,5340.5,13246.9,3892.0,324.9,-3517.0,16551.9,24195.5,21594.0,,17630.5,,-13261.9,,573.4,38350.3,28557.7,-1508.0,19755.1,,True,True,True,True,,False,True,True,,False,,False,True,True,True,True,True,True,True,True,True,True,False,False,,True,,True,,True,False,False,True,False,
Kentucky,51451,80972.0,72566.9,80990.2,76257.0,87702.0,,88060.0,37646.0,106622.4,,64498.2,,78422.3,77729.0,42173.3,79581.0,59741.1,79165.5,78207.4,55482.0,56343.8,87960.7,118731.0,81356.7,73597.0,,70846.6,,30122.0,,54507.8,125562.9,94111.3,64390.0,99804.4,,29521.0,21115.9,29539.2,24806.0,36251.0,,36609.0,-13805.0,55171.4,,13047.2,,26971.3,26278.0,-9277.7,28130.0,8290.1,27714.5,26756.4,4031.0,4892.8,36509.7,67280.0,29905.7,22146.0,,19395.6,,-21329.0,,3056.8,74111.9,42660.3,12939.0,48353.4,,True,False,True,False,,False,True,False,,True,,True,True,True,True,True,True,True,True,True,False,False,False,True,,True,,True,,True,False,False,True,False,
Louisiana,42032,61608.0,65866.8,62024.5,60435.0,38545.0,,61569.3,53988.0,2015139.7,,63479.0,,62426.8,69329.0,36904.0,58070.0,56982.7,60550.0,45539.5,43938.0,44727.1,71124.1,53914.0,71463.0,62228.0,,48215.3,,58967.6,,58667.0,140113.3,78099.7,28608.0,77852.2,,19576.0,23834.8,19992.5,18403.0,-3487.0,,19537.3,11956.0,1973107.7,,21447.0,,20394.8,27297.0,-5128.0,16038.0,14950.7,18518.0,3507.5,1906.0,2695.1,29092.1,11882.0,29431.0,20196.0,,6183.3,,16935.6,,16635.0,98081.3,36067.7,-13424.0,35820.2,,False,False,True,True,,True,True,False,,False,,False,False,True,True,True,True,True,True,True,False,True,False,False,,True,,True,,True,False,False,True,False,
Maine,6769,13516.0,13970.8,13954.2,14123.0,10203.0,,14532.3,9635.0,10857.4,,17666.3,,17018.9,14946.0,11831.7,17598.0,14880.4,16971.5,16355.2,12060.0,9797.1,14101.1,16099.9,16172.5,14499.0,,10339.2,,19353.3,,12478.9,24235.9,16479.1,9963.0,17356.7,,6747.0,7201.8,7185.2,7354.0,3434.0,,7763.3,2866.0,4088.4,,10897.3,,10249.9,8177.0,5062.7,10829.0,8111.4,10202.5,9586.2,5291.0,3028.1,7332.1,9330.9,9403.5,7730.0,,3570.2,,12584.3,,5709.9,17466.9,9710.1,3194.0,10587.7,,False,False,False,True,,False,True,True,,False,,False,False,True,False,False,False,False,True,True,False,False,False,False,,True,,False,,True,False,False,True,False,
Maryland,36430,61104.0,60952.3,59227.2,59015.0,46593.0,,65202.5,668554.0,52474.8,,55566.6,,51857.2,57851.0,32458.9,63213.0,62354.8,70379.0,72037.3,44632.5,51358.4,62992.0,49400.9,72821.1,57621.0,,61827.0,,65081.9,,51755.2,107502.2,74982.9,50960.0,71769.7,,24674.0,24522.3,22797.2,22585.0,10163.0,,28772.5,632124.0,16044.8,,19136.6,,15427.2,21421.0,-3971.1,26783.0,25924.8,33949.0,35607.3,8202.5,14928.4,26562.0,12970.9,36391.1,21191.0,,25397.0,,28651.9,,15325.2,71072.2,38552.9,14530.0,35339.7,,True,True,True,True,,False,False,True,,True,,True,True,True,False,False,False,False,True,True,False,True,False,True,,False,,False,,True,False,False,True,False,
Massachusetts,71671,121468.0,117256.4,114081.7,110511.0,131767.0,,124706.6,93957.0,116058.7,,79791.3,,111149.7,132366.0,57850.2,107745.0,70000.4,119415.0,109124.5,82151.5,100441.7,97223.0,88434.4,142803.7,96483.0,,115006.6,,102517.3,,157555.2,222655.7,166795.7,95407.0,139517.9,,49797.0,45585.4,42410.7,38840.0,60096.0,,53035.6,22286.0,44387.7,,8120.3,,39478.7,60695.0,-13820.8,36074.0,-1670.6,47744.0,37453.5,10480.5,28770.7,25552.0,16763.4,71132.7,24812.0,,43335.6,,30846.3,,85884.2,150984.7,95124.7,23736.0,67846.9,,True,True,True,False,,False,True,True,,True,,True,False,True,True,True,True,True,True,True,True,True,False,True,,True,,True,,False,False,False,True,False,
Michigan,39523,59844.0,52948.7,62456.8,52877.0,72309.0,,53278.6,18049.0,119623.2,,76735.2,,47622.3,64098.0,19692.9,60137.0,77734.7,58891.5,40190.0,40311.0,45775.0,15076.2,37544.1,56660.7,84356.0,,54931.2,,16178.7,,68062.9,68553.7,55068.8,40680.0,75515.9,,20321.0,13425.7,22933.8,13354.0,32786.0,,13755.6,-21474.0,80100.2,,37212.2,,8099.3,24575.0,-19830.1,20614.0,38211.7,19368.5,667.0,788.0,6252.0,-24446.8,-1978.9,17137.7,44833.0,,15408.2,,-23344.3,,28539.9,29030.7,15545.8,1157.0,35992.9,,True,False,True,False,,True,False,False,,False,,True,False,True,False,False,True,True,True,True,False,True,True,False,,True,,False,,False,False,True,True,False,
Minnesota,24349,35044.0,26256.3,33311.2,27852.0,40546.0,,34173.8,5613.0,26501.0,,41454.0,,26990.1,39927.0,9269.2,33459.0,36687.3,31336.5,23516.2,23330.0,23927.3,22173.0,22280.2,32138.4,59052.0,,28269.9,,6907.2,,23618.2,27530.2,53725.8,25749.0,49073.6,,10695.0,1907.3,8962.2,3503.0,16197.0,,9824.8,-18736.0,2152.0,,17105.0,,2641.1,15578.0,-15079.8,9110.0,12338.3,6987.5,-832.8,-1019.0,-421.7,-2176.0,-2068.8,7789.4,34703.0,,3920.9,,-17441.8,,-730.8,3181.2,29376.8,1400.0,24724.6,,True,True,True,False,,True,False,True,,False,,True,False,False,True,False,True,True,True,True,True,True,True,False,,True,,False,,True,True,False,True,False,
Mississippi,27219,48616.0,43872.7,48987.0,43412.0,36726.0,,51635.4,37953.0,44974.5,,48089.5,,41283.5,47738.0,26811.4,50876.0,36431.3,48265.5,39670.6,30115.0,32794.1,35340.4,25874.3,49222.5,46022.0,,38185.4,,27051.6,,33902.3,76632.5,47503.5,48796.0,55143.1,,21397.0,16653.7,21768.0,16193.0,9507.0,,24416.4,10734.0,17755.5,,20870.5,,14064.5,20519.0,-407.6,23657.0,9212.3,21046.5,12451.6,2896.0,5575.1,8121.4,-1344.7,22003.5,18803.0,,10966.4,,-167.4,,6683.3,49413.5,20284.5,21577.0,27924.1,,True,False,True,True,,False,True,True,,True,,True,True,True,False,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,True,False,False,
Missouri,40226,47228.0,46604.8,46293.4,45826.0,28535.0,,47466.2,34593.0,45193.4,,37263.4,,39017.7,46616.0,12903.8,47364.0,42790.3,51639.0,44406.5,33499.5,38482.6,68806.3,47922.6,55349.0,76658.0,,38723.6,,28442.4,,47610.4,72351.8,55515.5,33445.0,53723.7,,7002.0,6378.8,6067.4,5600.0,-11691.0,,7240.2,-5633.0,4967.4,,-2962.6,,-1208.3,6390.0,-27322.2,7138.0,2564.3,11413.0,4180.5,-6726.5,-1743.4,28580.3,7696.6,15123.0,36432.0,,-1502.4,,-11783.6,,7384.4,32125.8,15289.5,-6781.0,13497.7,,True,True,True,False,,False,True,True,,True,,True,True,False,False,True,False,True,True,True,False,False,False,False,,True,,False,,False,False,False,True,False,
Montana,7231,9416.0,7235.3,10013.8,7756.0,6210.0,,9482.6,3881.0,7166.5,,11208.1,,7757.4,10795.0,2811.0,10222.0,7278.6,9188.0,6842.4,5728.5,6735.5,1601.4,6953.0,9440.2,15028.0,,10172.2,,3511.2,,5211.0,10235.3,11499.2,8362.0,9141.3,,2185.0,4.3,2782.8,525.0,-1021.0,,2251.6,-3350.0,-64.5,,3977.1,,526.4,3564.0,-4420.0,2991.0,47.6,1957.0,-388.6,-1502.5,-495.5,-5629.6,-278.0,2209.2,7797.0,,2941.2,,-3719.8,,-2020.0,3004.3,4268.2,1131.0,1910.3,,True,False,True,True,,False,False,True,,False,,True,False,False,False,True,True,True,True,True,False,True,False,False,,False,,False,,True,False,False,True,True,
Nebraska,11897,23776.0,10858.9,22986.2,17589.0,45327.0,,20227.6,2495.0,13129.0,,21246.2,,17143.4,16214.0,5155.0,23837.0,20477.9,18734.0,13863.6,19988.0,14092.4,29545.3,14926.1,20023.7,34524.0,,16850.3,,4554.2,,31852.3,16488.2,16840.2,17121.0,27216.4,,11879.0,-1038.1,11089.2,5692.0,33430.0,,8330.6,-9402.0,1232.0,,9349.2,,5246.4,4317.0,-6742.0,11940.0,8580.9,6837.0,1966.6,8091.0,2195.4,17648.3,3029.1,8126.7,22627.0,,4953.3,,-7342.8,,19955.3,4591.2,4943.2,5224.0,15319.4,,True,True,True,False,,True,True,True,,True,,True,True,True,False,True,True,True,True,True,False,True,True,False,,True,,True,,False,True,True,True,False,
