,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Kansas,4740,4549.0,5470.7,4715.5,4485.0,9714.0,3972.0,,5079.7,1639.0,,3232.9,1195.9,,4849.0,5993.0,4311.0,4092.0,5557.7,2751.5,3423.7,2195.5,3129.8,3233.9,6508.9,4487.9,4657.0,4351.0,,4565.0,4594.0,2327.0,,6592.3,3819.0,4510.2,,-191.0,730.7,-24.5,-255.0,4974.0,-768.0,,339.7,-3101.0,,-1507.1,-3544.1,,109.0,1253.0,-429.0,-648.0,817.7,-1988.5,-1316.3,-2544.5,-1610.2,-1506.1,1768.9,-252.1,-83.0,-389.0,,-175.0,-146.0,-2413.0,,1852.3,-921.0,-229.8,,False,True,False,False,False,,False,False,,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,True,True,False,,False,False,False,
Kentucky,8928,10837.0,10037.8,10899.8,10444.0,16323.0,10053.0,,11838.6,7298.0,,7619.4,12985.6,,9832.2,11542.0,12484.0,10486.0,10881.7,9547.5,9936.0,8307.0,10227.1,13329.5,12005.5,9830.7,11862.0,10647.0,,10172.9,10047.0,4878.2,,14256.6,10102.0,10953.1,,1909.0,1109.8,1971.8,1516.0,7395.0,1125.0,,2910.6,-1630.0,,-1308.6,4057.6,,904.2,2614.0,3556.0,1558.0,1953.7,619.5,1008.0,-621.0,1299.1,4401.5,3077.5,902.7,2934.0,1719.0,,1244.9,1119.0,-4049.8,,5328.6,1174.0,2025.1,,True,False,True,False,True,,False,True,,True,False,,True,False,False,True,False,True,True,True,True,False,False,True,False,True,,True,True,False,,False,True,False,
Louisiana,3702,8724.0,6986.0,8160.5,7802.0,13837.0,7230.0,,8387.4,10910.0,,6153.2,10291.0,,7074.7,9110.0,7450.6,6555.0,9825.0,5510.0,7687.7,5923.0,6616.6,9396.8,8968.9,7761.4,8256.0,7859.0,,7364.6,8219.0,12153.9,,9520.5,6142.0,8482.7,,5022.0,3284.0,4458.5,4100.0,10135.0,3528.0,,4685.4,7208.0,,2451.2,6589.0,,3372.7,5408.0,3748.6,2853.0,6123.0,1808.0,3985.7,2221.0,2914.6,5694.8,5266.9,4059.4,4554.0,4157.0,,3662.6,4517.0,8451.9,,5818.5,2440.0,4780.7,,True,True,True,False,True,,True,False,,True,False,,True,False,True,True,False,True,True,True,True,False,False,True,True,True,,True,True,False,,False,True,True,
Maine,942,1360.0,777.4,1363.5,1161.0,2676.0,1161.0,,1485.3,949.0,,853.4,963.6,,1039.8,1643.0,982.7,1111.0,1968.5,1452.0,1137.4,884.0,1094.6,1156.7,2032.0,1272.0,1598.0,1271.0,,792.0,,3209.5,,879.4,1276.0,1323.2,,418.0,-164.6,421.5,219.0,1734.0,219.0,,543.3,7.0,,-88.6,21.6,,97.8,701.0,40.7,169.0,1026.5,510.0,195.4,-58.0,152.6,214.7,1090.0,330.0,656.0,329.0,,-150.0,,2267.5,,-62.6,334.0,381.2,,True,False,True,False,True,,False,True,,True,True,,True,False,True,True,False,False,True,True,True,True,False,True,False,True,,True,,False,,True,True,True,
Maryland,5601,8052.0,5986.6,8154.4,7284.0,14139.0,7094.0,,8017.1,7823.0,,6100.5,5643.8,,6163.9,7754.0,4406.1,7927.0,9409.4,6364.0,6058.3,5193.5,5949.1,7660.6,10064.2,6742.9,7698.0,7558.0,,5510.9,7625.0,11216.0,,6377.3,7474.0,7051.7,,2451.0,385.6,2553.4,1683.0,8538.0,1493.0,,2416.1,2222.0,,499.5,42.8,,562.9,2153.0,-1194.9,2326.0,3808.4,763.0,457.3,-407.5,348.1,2059.6,4463.2,1141.9,2097.0,1957.0,,-90.1,2024.0,5615.0,,776.3,1873.0,1450.7,,True,False,True,False,True,,True,True,,True,True,,True,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,False,,True,True,True,
Massachusetts,11869,15068.0,12632.7,14771.1,12544.0,22313.0,12368.0,,14393.6,14020.0,,10469.8,12702.6,,12366.6,15730.0,10212.3,14509.0,10448.8,6637.0,12037.8,9863.0,11668.0,14387.8,21759.2,12600.4,14779.0,11967.0,,11623.6,12879.0,20083.9,,16143.5,15675.0,11266.1,,3199.0,763.7,2902.1,675.0,10444.0,499.0,,2524.6,2151.0,,-1399.2,833.6,,497.6,3861.0,-1656.7,2640.0,-1420.2,-5232.0,168.8,-2006.0,-201.0,2518.8,9890.2,731.4,2910.0,98.0,,-245.4,1010.0,8214.9,,4274.5,3806.0,-602.9,,True,True,True,False,True,,True,True,,True,True,,True,False,True,True,True,False,True,True,True,True,False,True,True,True,,True,True,False,,False,False,True,
Michigan,7313,8271.0,6122.7,8153.8,7147.0,16308.0,7063.0,,8386.8,2557.0,,6350.7,1368.8,,7232.7,11692.0,5758.8,6953.0,11932.7,6880.5,7477.7,5802.0,6941.6,1820.1,7641.2,7242.5,8082.0,6924.0,,7026.6,6910.0,3190.3,,11261.6,7677.0,7199.1,,958.0,-1190.3,840.8,-166.0,8995.0,-250.0,,1073.8,-4756.0,,-962.3,-5944.2,,-80.3,4379.0,-1554.2,-360.0,4619.7,-432.5,164.7,-1511.0,-371.4,-5492.9,328.2,-70.5,769.0,-389.0,,-286.4,-403.0,-4122.7,,3948.6,364.0,-113.9,,False,True,True,False,True,,False,False,,False,False,,True,False,False,True,False,True,True,False,True,False,True,True,True,True,,True,True,False,,False,True,True,
Minnesota,5366,5574.0,2724.9,5585.1,5164.0,10751.0,4750.0,,5813.5,1989.0,,5536.8,5234.1,,5201.4,6116.0,3350.9,5128.0,7586.5,2178.5,4961.0,4000.5,5257.2,3253.5,4940.3,5310.0,5302.0,5842.0,,5360.6,5126.0,1392.4,,6177.1,5514.0,4922.0,,208.0,-2641.1,219.1,-202.0,5385.0,-616.0,,447.5,-3377.0,,170.8,-131.9,,-164.6,750.0,-2015.1,-238.0,2220.5,-3187.5,-405.0,-1365.5,-108.8,-2112.5,-425.7,-56.0,-64.0,476.0,,-5.4,-240.0,-3973.6,,811.1,148.0,-444.0,,False,False,True,False,False,,False,False,,True,True,,True,False,False,False,False,False,False,False,True,False,False,True,True,False,,True,False,False,,False,True,False,
Mississippi,3899,5565.0,4562.1,5777.9,5371.0,9110.0,4766.0,,5602.7,5813.0,,4687.8,9096.5,,4760.4,6303.0,3075.8,5296.0,6022.1,4940.5,4508.5,4108.0,5218.4,5953.6,8801.9,5239.4,5273.0,5339.0,,4479.6,5447.0,5194.3,,5403.0,5443.0,4994.6,,1666.0,663.1,1878.9,1472.0,5211.0,867.0,,1703.7,1914.0,,788.8,5197.5,,861.4,2404.0,-823.2,1397.0,2123.1,1041.5,609.5,209.0,1319.4,2054.6,4902.9,1340.4,1374.0,1440.0,,580.6,1548.0,1295.3,,1504.0,1544.0,1095.6,,True,False,True,False,True,,False,False,,True,False,,True,False,True,True,False,True,True,True,True,False,False,True,True,True,,True,True,True,,True,True,True,
Missouri,5728,5665.0,6152.4,5719.3,5274.0,12381.0,4857.0,,6024.6,6673.0,,4004.2,3897.7,,4486.1,7252.0,4560.1,5210.0,7629.2,4928.5,4910.2,3507.5,4721.5,3521.8,7846.0,4983.3,5634.0,5828.0,,5302.6,5245.0,3538.9,,8147.0,5351.0,4727.8,,-63.0,424.4,-8.7,-454.0,6653.0,-871.0,,296.6,945.0,,-1723.8,-1830.3,,-1241.9,1524.0,-1167.9,-518.0,1901.2,-799.5,-817.8,-2220.5,-1006.5,-2206.2,2118.0,-744.7,-94.0,100.0,,-425.4,-483.0,-2189.1,,2419.0,-377.0,-1000.2,,False,True,False,False,False,,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Montana,1344,1580.0,1391.1,1547.1,1541.0,3150.0,1263.0,,1608.0,1368.0,,1332.9,1032.4,,1401.7,1642.0,1925.4,1595.0,1434.8,1442.5,1326.9,993.0,1355.5,1879.1,1609.0,1495.6,1620.0,1929.0,,1472.2,1534.0,435.8,,2197.4,1567.0,1555.7,,236.0,47.1,203.1,197.0,1806.0,-81.0,,264.0,24.0,,-11.1,-311.6,,57.7,298.0,581.4,251.0,90.8,98.5,-17.1,-351.0,11.5,535.1,265.0,151.6,276.0,585.0,,128.2,190.0,-908.2,,853.4,223.0,211.7,,True,True,True,False,True,,False,True,,True,False,,True,False,False,False,True,True,True,False,True,False,False,True,False,False,,True,True,False,,False,True,True,
Nebraska,1724,3606.0,1335.7,3628.2,2762.0,5024.0,1754.0,,2929.2,1871.0,,2925.5,3743.2,,3011.1,2560.0,1399.4,2812.0,3513.6,2411.5,2261.3,1321.0,2715.8,2173.0,2935.9,3053.4,3125.0,2962.0,,1656.6,3462.0,874.0,,3519.5,2648.0,2901.3,,1882.0,-388.3,1904.2,1038.0,3300.0,30.0,,1205.2,147.0,,1201.5,2019.2,,1287.1,836.0,-324.6,1088.0,1789.6,687.5,537.3,-403.0,991.8,449.0,1211.9,1329.4,1401.0,1238.0,,-67.4,1738.0,-850.0,,1795.5,924.0,1177.3,,True,False,True,False,True,,True,True,,True,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,
