,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01043,319,741.0,,761.7,,605.0,660.0,662.0,,,,,533.9,,463.8,,,1248.0,447.7,,560.2,400.0,,611.5,585.3,,,,521.0,503.0,641.5,,,,,,834.3,,,,502.0,827.2,422.0,,442.7,,286.0,341.0,343.0,,,,,214.9,,144.8,,,929.0,128.7,,241.2,81.0,,292.5,266.3,,,,202.0,184.0,322.5,,,,,,515.3,,,,183.0,508.2,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,False,,,,True,False
01045,326,495.0,,506.2,,412.0,451.0,419.0,,,,,346.8,,234.0,,,553.0,223.0,,337.6,271.5,,456.0,378.5,,,,387.0,338.0,374.2,,,,,,332.9,,,,541.5,612.3,169.0,,180.2,,86.0,125.0,93.0,,,,,20.8,,-92.0,,,227.0,-103.0,,11.6,-54.5,,130.0,52.5,,,,61.0,12.0,48.2,,,,,,6.9,,,,215.5,286.3,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,False,False
01047,137,198.0,,200.6,,214.0,226.0,178.0,,,,,216.2,,114.5,,,349.0,634.2,,187.5,184.0,,166.0,242.2,,,,190.0,121.0,238.0,,,,,,196.9,,,,235.9,312.1,61.0,,63.6,,77.0,89.0,41.0,,,,,79.2,,-22.5,,,212.0,497.2,,50.5,47.0,,29.0,105.2,,,,53.0,-16.0,101.0,,,,,,59.9,,,,98.9,175.1,,False,,False,False,True,,,,,False,,True,,,False,False,,True,True,,True,False,,,,True,True,False,,,,,,True,,,,False,False
01049,310,654.0,,692.8,,532.0,560.0,557.0,,,,,523.2,,343.5,,,991.0,315.3,,436.8,335.0,,475.0,514.2,,,,445.0,469.0,725.8,,,,,,341.3,,,,569.5,692.4,344.0,,382.8,,222.0,250.0,247.0,,,,,213.2,,33.5,,,681.0,5.3,,126.8,25.0,,165.0,204.2,,,,135.0,159.0,415.8,,,,,,31.3,,,,259.5,382.4,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,False,,,,,,True,,,,True,False
01051,694,1053.0,,1053.3,,875.0,1052.0,1001.0,,,,,721.1,,284.9,,,861.0,778.3,,649.9,158.0,,1329.5,808.5,,,,875.0,735.0,821.9,,,,,,570.2,,,,1076.3,1384.0,359.0,,359.3,,181.0,358.0,307.0,,,,,27.1,,-409.1,,,167.0,84.3,,-44.1,-536.0,,635.5,114.5,,,,181.0,41.0,127.9,,,,,,-123.8,,,,382.3,690.0,,False,,True,True,True,,,,,True,,False,,,True,True,,True,False,,False,True,,,,True,True,True,,,,,,True,,,,False,False
01053,248,441.0,,429.4,,414.0,428.0,277.0,,,,,293.6,,185.2,,,432.0,527.6,,309.8,331.0,,403.0,367.4,,,,500.0,292.0,613.3,,,,,,252.6,,,,426.0,490.8,193.0,,181.4,,166.0,180.0,29.0,,,,,45.6,,-62.8,,,184.0,279.6,,61.8,83.0,,155.0,119.4,,,,252.0,44.0,365.3,,,,,,4.6,,,,178.0,242.8,,True,,True,True,True,,,,,True,,True,,,True,False,,True,True,,True,True,,,,False,True,False,,,,,,True,,,,True,False
01055,618,1062.0,,1101.0,,938.0,1100.0,1095.0,,,,,868.8,,612.7,,,1322.0,497.4,,990.0,383.0,,785.0,873.9,,,,710.0,782.0,1257.4,,,,,,915.4,,,,732.1,1535.6,444.0,,483.0,,320.0,482.0,477.0,,,,,250.8,,-5.3,,,704.0,-120.6,,372.0,-235.0,,167.0,255.9,,,,92.0,164.0,639.4,,,,,,297.4,,,,114.1,917.6,,False,,True,False,False,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,False,,,,,,True,,,,True,False
01057,134,210.0,,204.8,,197.0,199.0,196.0,,,,,130.3,,99.4,,,221.0,314.0,,149.3,,,105.0,156.5,,,,168.0,149.0,326.1,,,,,,,,,,216.0,261.6,76.0,,70.8,,63.0,65.0,62.0,,,,,-3.7,,-34.6,,,87.0,180.0,,15.3,,,-29.0,22.5,,,,34.0,15.0,192.1,,,,,,,,,,82.0,127.6,,True,,True,True,True,,,,,True,,True,,,False,False,,True,,,True,True,,,,True,True,False,,,,,,,,,,False,False
01059,122,273.0,,286.7,,195.0,218.0,181.0,,,,,260.4,,134.8,,,475.0,102.9,,237.8,180.5,,105.0,174.6,,,,199.0,203.0,252.4,,,,,,191.6,,,,218.2,321.2,151.0,,164.7,,73.0,96.0,59.0,,,,,138.4,,12.8,,,353.0,-19.1,,115.8,58.5,,-17.0,52.6,,,,77.0,81.0,130.4,,,,,,69.6,,,,96.2,199.2,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True,False
01061,139,390.0,,364.9,,277.0,311.0,275.0,,,,,204.6,,119.8,,,312.0,262.0,,230.5,,,364.0,284.1,,,,315.0,242.0,294.9,,,,,,258.9,,,,350.6,347.4,251.0,,225.9,,138.0,172.0,136.0,,,,,65.6,,-19.2,,,173.0,123.0,,91.5,,,225.0,145.1,,,,176.0,103.0,155.9,,,,,,119.9,,,,211.6,208.4,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,True,,,,True,True
01063,70,48.0,,49.1,,39.0,52.0,34.0,,,,,60.3,,34.9,,,75.0,20.7,,45.4,,,22.0,43.9,,,,49.0,29.0,95.6,,,,,,,,,,13.4,76.8,-22.0,,-20.9,,-31.0,-18.0,-36.0,,,,,-9.7,,-35.1,,,5.0,-49.3,,-24.6,,,-48.0,-26.1,,,,-21.0,-41.0,25.6,,,,,,,,,,-56.6,6.8,,True,,False,True,False,,,,,True,,False,,,True,False,,False,,,False,False,,,,True,False,False,,,,,,,,,,False,True
01065,132,243.0,,265.9,,190.0,222.0,166.0,,,,,163.6,,51.7,,,176.0,146.7,,158.1,,,209.0,210.5,,,,202.0,132.0,151.3,,,,,,,,,,231.0,341.9,111.0,,133.9,,58.0,90.0,34.0,,,,,31.6,,-80.3,,,44.0,14.7,,26.1,,,77.0,78.5,,,,70.0,0.0,19.3,,,,,,,,,,99.0,209.9,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,,True,False
01067,145,183.0,,176.9,,152.0,193.0,71.0,,,,,142.8,,83.3,,,171.0,106.3,,132.3,,,243.0,157.8,,,,167.0,126.0,133.5,,,,,,,,,,206.1,264.5,38.0,,31.9,,7.0,48.0,-74.0,,,,,-2.2,,-61.7,,,26.0,-38.7,,-12.7,,,98.0,12.8,,,,22.0,-19.0,-11.5,,,,,,,,,,61.1,119.5,,True,,True,False,False,,,,,True,,False,,,True,False,,True,,,False,True,,,,True,True,True,,,,,,,,,,False,False
01069,622,1143.0,,1213.5,,1232.0,1256.0,1336.0,,,,,845.7,,500.4,,,1158.0,4026.0,,775.5,707.5,,1473.5,966.8,,,,1039.0,801.0,1504.7,,,,,,680.6,,,,1149.2,1360.3,521.0,,591.5,,610.0,634.0,714.0,,,,,223.7,,-121.6,,,536.0,3404.0,,153.5,85.5,,851.5,344.8,,,,417.0,179.0,882.7,,,,,,58.6,,,,527.2,738.3,,False,,False,False,False,,,,,True,,True,,,False,False,,True,True,,False,True,,,,True,True,False,,,,,,True,,,,False,False
01071,233,627.0,,587.6,,522.0,603.0,726.0,,,,,417.0,,284.4,,,656.0,402.8,,384.1,99.0,,525.0,496.3,,,,588.0,439.0,1005.8,,,,,,533.8,,,,149.8,648.8,394.0,,354.6,,289.0,370.0,493.0,,,,,184.0,,51.4,,,423.0,169.8,,151.1,-134.0,,292.0,263.3,,,,355.0,206.0,772.8,,,,,,300.8,,,,-83.2,415.8,,True,,True,True,False,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,False,,,,,,True,,,,True,False
01073,3755,5658.0,,5417.9,6679.1,4697.0,5659.0,4643.0,,,,,5054.9,,5575.0,,4410.9,7034.0,4403.3,,5305.9,3605.5,,4949.5,5134.3,,,,4950.0,3501.0,5091.1,,,,,,4176.3,4197.0,,,4003.5,8060.2,1903.0,,1662.9,2924.1,942.0,1904.0,888.0,,,,,1299.9,,1820.0,,655.9,3279.0,648.3,,1550.9,-149.5,,1194.5,1379.3,,,,1195.0,-254.0,1336.1,,,,,,421.3,442.0,,,248.5,4305.2,,True,False,True,False,True,,,,,True,,True,,True,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,True,False
01075,58,108.0,,100.6,,81.0,97.0,58.0,,,,,76.1,,59.0,,,173.0,27.8,,63.5,,,65.0,88.5,,,,70.0,75.0,106.5,,,,,,,,,,82.5,146.5,50.0,,42.6,,23.0,39.0,0.0,,,,,18.1,,1.0,,,115.0,-30.2,,5.5,,,7.0,30.5,,,,12.0,17.0,48.5,,,,,,,,,,24.5,88.5,,True,,True,True,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,True,True,,,,,,,,,,True,False
01077,381,861.0,,874.7,,680.0,771.0,645.0,,,,,589.6,,531.5,,,1162.0,737.1,,636.9,266.5,,621.5,659.7,,,,667.0,639.0,868.6,,,,,,503.5,,,,879.4,1044.4,480.0,,493.7,,299.0,390.0,264.0,,,,,208.6,,150.5,,,781.0,356.1,,255.9,-114.5,,240.5,278.7,,,,286.0,258.0,487.6,,,,,,122.5,,,,498.4,663.4,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,False,,,,,,True,,,,False,False
01079,166,285.0,,283.4,,236.0,314.0,249.0,,,,,196.9,,106.3,,,465.0,192.3,,209.6,180.5,,305.0,217.8,,,,218.0,196.0,458.1,,,,,,173.2,,,,226.1,407.9,119.0,,117.4,,70.0,148.0,83.0,,,,,30.9,,-59.7,,,299.0,26.3,,43.6,14.5,,139.0,51.8,,,,52.0,30.0,292.1,,,,,,7.2,,,,60.1,241.9,,True,,True,False,True,,,,,True,,True,,,False,True,,True,True,,False,True,,,,True,True,False,,,,,,True,,,,True,False
