,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Georgia,46345,63088.0,59010.6,63248.7,55758.0,50316.0,49464.0,,62268.7,56244.0,72837.6,,48860.6,,48220.3,62030.0,80518.8,47222.0,52609.3,62783.0,49351.9,40134.5,48545.5,115998.0,57375.0,53982.9,67055.0,44442.0,,53559.6,51155.0,82310.8,,55174.0,54572.7,74024.1,54206.0,,16743.0,12665.6,16903.7,9413.0,3971.0,3119.0,,15923.7,9899.0,26492.6,,2515.6,,1875.3,15685.0,34173.8,877.0,6264.3,16438.0,3006.9,-6210.5,2200.5,69653.0,11030.0,7637.9,20710.0,-1903.0,,7214.6,4810.0,35965.8,,8829.0,8227.7,27679.1,7861.0,,True,False,True,True,True,,True,True,False,,True,,True,True,False,True,True,True,True,True,True,False,True,True,False,True,,True,True,False,,True,True,False,True,
Hawaii,686,1234.0,1141.0,1226.8,1134.0,1467.0,1121.0,,1127.1,586.0,1442.3,,1393.5,,1007.3,,850.2,1337.0,2251.9,1001.0,1020.5,1060.0,1035.2,1104.3,1819.1,1180.8,1320.0,1651.0,,775.5,1039.0,2466.1,,1228.7,1019.4,1399.3,1154.0,,548.0,455.0,540.8,448.0,781.0,435.0,,441.1,-100.0,756.3,,707.5,,321.3,,164.2,651.0,1565.9,315.0,334.5,374.0,349.2,418.3,1133.1,494.8,634.0,965.0,,89.5,353.0,1780.1,,542.7,333.4,713.3,468.0,,True,True,True,False,True,,True,True,False,,False,,True,,True,False,False,True,True,True,True,True,False,True,False,False,,True,True,False,,True,True,False,True,
Idaho,3941,5052.0,3154.3,5030.4,4387.0,5047.0,4244.0,,4946.0,3137.0,10820.2,,4094.6,,3890.5,4962.0,3195.0,4802.0,5397.2,4735.5,3736.7,2274.5,3771.8,3860.8,7115.0,3838.9,4779.0,5507.0,,3930.7,5147.0,4508.5,,4542.8,5178.9,5365.2,4913.0,,1111.0,-786.7,1089.4,446.0,1106.0,303.0,,1005.0,-804.0,6879.2,,153.6,,-50.5,1021.0,-746.0,861.0,1456.2,794.5,-204.3,-1666.5,-169.2,-80.2,3174.0,-102.1,838.0,1566.0,,-10.3,1206.0,567.5,,601.8,1237.9,1424.2,972.0,,True,True,True,True,True,,True,True,False,,True,,True,True,True,True,False,True,True,False,True,True,False,True,True,False,,True,False,True,,True,False,False,True,
Illinois,28455,40816.0,26991.0,40667.3,34839.0,36354.0,37216.0,,37968.4,18678.0,37663.7,,31454.5,,30143.7,35467.0,21975.3,38653.0,46523.8,30653.0,36263.8,24469.0,32360.4,23125.0,36420.7,32312.4,36946.0,36908.0,,34461.2,32693.0,40295.5,,34753.2,41671.5,42966.1,34898.0,,12361.0,-1464.0,12212.3,6384.0,7899.0,8761.0,,9513.4,-9777.0,9208.7,,2999.5,,1688.7,7012.0,-6479.7,10198.0,18068.8,2198.0,7808.8,-3986.0,3905.4,-5330.0,7965.7,3857.4,8491.0,8453.0,,6006.2,4238.0,11840.5,,6298.2,13216.5,14511.1,6443.0,,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,False,True,
Indiana,16673,26056.0,23171.3,25808.4,21446.0,21144.0,19436.0,,24493.7,21475.0,26111.8,,28158.2,,19271.5,25172.0,10829.2,22331.0,24436.8,20241.0,17783.2,15707.0,23964.5,16449.7,20856.1,19877.2,21510.0,20988.0,,21943.3,21095.0,32930.1,,41171.5,22984.5,18491.6,21933.0,,9383.0,6498.3,9135.4,4773.0,4471.0,2763.0,,7820.7,4802.0,9438.8,,11485.2,,2598.5,8499.0,-5843.8,5658.0,7763.8,3568.0,1110.2,-966.0,7291.5,-223.3,4183.1,3204.2,4837.0,4315.0,,5270.3,4422.0,16257.1,,24498.5,6311.5,1818.6,5260.0,,True,True,True,True,True,,True,True,False,,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,True,True,
Iowa,7876,10392.0,8824.4,10195.6,8818.0,10878.0,9675.0,,10467.0,14009.0,8426.7,,12706.6,,7726.9,11608.0,8484.8,10968.0,10532.8,7515.5,8596.0,6209.5,8240.3,7128.2,8554.9,8388.6,9518.0,12224.0,,7494.3,9014.0,4581.9,,8861.0,10992.9,,9486.0,,2516.0,948.4,2319.6,942.0,3002.0,1799.0,,2591.0,6133.0,550.7,,4830.6,,-149.1,3732.0,608.8,3092.0,2656.8,-360.5,720.0,-1666.5,364.3,-747.8,678.9,512.6,1642.0,4348.0,,-381.7,1138.0,-3294.1,,985.0,3116.9,,1610.0,,True,True,True,False,True,,False,False,True,,False,,True,False,True,False,False,True,True,True,True,True,True,True,True,False,,True,True,False,,True,False,,True,
Kansas,9289,13940.0,9259.9,13959.6,10990.0,10892.0,13266.0,,12687.9,4225.0,6660.2,,10647.6,,12113.2,12902.0,6287.8,12367.0,11128.1,7412.0,9733.0,6642.5,9061.6,7057.7,16086.3,11531.2,12374.0,11697.0,,10596.5,12426.0,4819.7,,14004.1,11533.9,17332.1,10373.0,,4651.0,-29.1,4670.6,1701.0,1603.0,3977.0,,3398.9,-5064.0,-2628.8,,1358.6,,2824.2,3613.0,-3001.2,3078.0,1839.1,-1877.0,444.0,-2646.5,-227.4,-2231.3,6797.3,2242.2,3085.0,2408.0,,1307.5,3137.0,-4469.3,,4715.1,2244.9,8043.1,1084.0,,True,False,True,True,True,,True,False,True,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,False,True,False,True,
Kentucky,19765,30276.0,22512.0,30453.3,27189.0,24775.0,27300.0,,28591.4,15510.0,1004503.7,,23410.2,,25702.4,27787.0,28123.4,29643.0,21549.8,24593.0,24051.6,20294.0,21149.1,14574.6,51491.4,23319.1,31442.0,24548.0,,20691.4,28180.0,11102.3,,25552.8,23273.8,40177.5,27907.0,,10511.0,2747.0,10688.3,7424.0,5010.0,7535.0,,8826.4,-4255.0,984738.7,,3645.2,,5937.4,8022.0,8358.4,9878.0,1784.8,4828.0,4286.6,529.0,1384.1,-5190.4,31726.4,3554.1,11677.0,4783.0,,926.4,8415.0,-8662.7,,5787.8,3508.8,20412.5,8142.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,True,,True,True,False,True,
Louisiana,12426,25170.0,19983.2,25601.6,22498.0,20839.0,25234.0,,23839.1,25746.0,1222999.1,,23197.5,,19126.1,26455.0,21604.1,22904.0,20421.0,21359.0,18579.0,16822.5,18068.5,25782.6,19514.9,20045.4,23311.0,21668.0,,18534.2,11198.0,26135.3,,26765.2,22181.4,25649.5,16663.0,,12744.0,7557.2,13175.6,10072.0,8413.0,12808.0,,11413.1,13320.0,1210573.1,,10771.5,,6700.1,14029.0,9178.1,10478.0,7995.0,8933.0,6153.0,4396.5,5642.5,13356.6,7088.9,7619.4,10885.0,9242.0,,6108.2,-1228.0,13709.3,,14339.2,9755.4,13223.5,4237.0,,True,False,True,True,False,,True,False,False,,True,,True,False,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,,False,True,False,True,
Maine,2302,3794.0,3391.9,3721.6,3375.0,3786.0,3104.0,,3791.7,2557.0,4561.0,,3495.3,,2621.2,3967.0,3634.4,3036.0,3924.2,4663.5,2863.2,2379.5,2806.0,2958.7,3286.8,3439.6,4645.0,4049.0,,3070.1,4049.0,8400.8,,3575.4,2850.4,1832.0,2944.0,,1492.0,1089.9,1419.6,1073.0,1484.0,802.0,,1489.7,255.0,2259.0,,1193.3,,319.2,1665.0,1332.4,734.0,1622.2,2361.5,561.2,77.5,504.0,656.7,984.8,1137.6,2343.0,1747.0,,768.1,1747.0,6098.8,,1273.4,548.4,-470.0,642.0,,True,True,True,True,True,,True,True,False,,True,,True,False,True,True,False,False,True,True,True,True,True,True,False,False,,True,False,False,,True,True,True,True,
Maryland,13653,18716.0,15249.2,18920.0,17226.0,16145.0,15287.0,,19098.2,22654.0,21786.8,,16120.6,,15015.6,21001.0,15050.7,16700.0,19658.4,21625.0,13757.6,13030.5,16171.7,18104.4,21531.4,16218.3,19145.0,14913.0,,18792.2,12387.0,23854.7,,16001.6,16401.7,21967.4,16957.0,,5063.0,1596.2,5267.0,3573.0,2492.0,1634.0,,5445.2,9001.0,8133.8,,2467.6,,1362.6,7348.0,1397.7,3047.0,6005.4,7972.0,104.6,-622.5,2518.7,4451.4,7878.4,2565.3,5492.0,1260.0,,5139.2,-1266.0,10201.7,,2348.6,2748.7,8314.4,3304.0,,True,False,True,True,True,,False,False,False,,True,,True,False,True,True,False,False,True,True,True,True,False,True,False,True,,False,True,False,,True,True,False,True,
Massachusetts,26937,38934.0,30171.0,38303.3,33559.0,26697.0,37630.0,,36218.6,34091.0,60482.8,,32164.8,,30698.1,35101.0,26221.0,35926.0,22142.4,29670.0,29152.7,27332.5,32382.4,29941.6,33383.8,33227.3,37505.0,28416.0,,36382.4,32137.0,43505.5,,56449.7,23432.7,53230.9,36350.0,,11997.0,3234.0,11366.3,6622.0,-240.0,10693.0,,9281.6,7154.0,33545.8,,5227.8,,3761.1,8164.0,-716.0,8989.0,-4794.6,2733.0,2215.7,395.5,5445.4,3004.6,6446.8,6290.3,10568.0,1479.0,,9445.4,5200.0,16568.5,,29512.7,-3504.3,26293.9,9413.0,,True,True,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,False,True,
Michigan,15584,21094.0,14778.3,20505.8,17935.0,21466.0,18656.0,,19850.2,6203.0,86642.2,,17857.8,,17372.8,19635.0,15514.9,18412.0,24407.1,20871.5,16923.2,13706.0,17814.9,6773.2,17634.9,15940.2,19999.0,22407.0,,14879.4,,9237.7,,27182.8,23664.2,27501.9,17935.0,,5510.0,-805.7,4921.8,2351.0,5882.0,3072.0,,4266.2,-9381.0,71058.2,,2273.8,,1788.8,4051.0,-69.1,2828.0,8823.1,5287.5,1339.2,-1878.0,2230.9,-8810.8,2050.9,356.2,4415.0,6823.0,,-704.6,,-6346.3,,11598.8,8080.2,11917.9,2351.0,,True,True,True,False,True,,True,False,False,,True,,True,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,,False,,False,False,False,True,
Minnesota,10940,12796.0,6140.9,13256.1,10857.0,13765.0,12757.0,,12026.8,4259.0,10679.1,,9758.7,,10847.3,13455.0,5399.2,12436.0,14465.9,9745.5,7909.9,8515.5,10810.5,7767.2,9436.9,10531.1,11308.0,16203.0,,9917.0,12958.0,4125.6,,17134.0,10480.9,10519.9,12534.0,,1856.0,-4799.1,2316.1,-83.0,2825.0,1817.0,,1086.8,-6681.0,-260.9,,-1181.3,,-92.7,2515.0,-5540.8,1496.0,3525.9,-1194.5,-3030.1,-2424.5,-129.5,-3172.8,-1503.1,-408.9,368.0,5263.0,,-1023.0,2018.0,-6814.4,,6194.0,-459.1,-420.1,1594.0,,False,False,True,False,True,,True,False,True,,True,,True,False,False,True,False,True,False,False,True,False,True,True,True,False,,True,False,False,,False,True,True,True,
Mississippi,9464,13176.0,13160.2,13756.4,12540.0,12732.0,11768.0,,14736.1,14491.0,17250.1,,10987.5,,11017.3,16474.0,14558.0,12179.0,12142.5,13600.5,10607.2,8486.5,11334.7,12053.6,14765.6,12346.9,14364.0,12909.0,,12097.2,10012.0,11384.2,,12259.2,15110.7,12854.5,11641.0,,3712.0,3696.2,4292.4,3076.0,3268.0,2304.0,,5272.1,5027.0,7786.1,,1523.5,,1553.3,7010.0,5094.0,2715.0,2678.5,4136.5,1143.2,-977.5,1870.7,2589.6,5301.6,2882.9,4900.0,3445.0,,2633.2,548.0,1920.2,,2795.2,5646.7,3390.5,2177.0,,True,False,True,True,True,,False,False,False,,True,,True,False,False,True,True,False,True,True,True,True,False,True,False,True,,True,True,True,,True,False,True,True,
Missouri,13308,16482.0,13363.3,16701.1,14101.0,16340.0,14292.0,,15789.3,14630.0,16791.7,,14379.7,,11270.9,13587.0,11468.6,16791.0,15771.2,17153.0,15947.9,9660.0,13367.1,7022.2,23144.4,12990.7,15586.0,18061.0,,14588.0,15138.0,13977.0,,11897.9,16885.3,18178.2,14139.0,,3174.0,55.3,3393.1,793.0,3032.0,984.0,,2481.3,1322.0,3483.7,,1071.7,,-2037.1,279.0,-1839.4,3483.0,2463.2,3845.0,2639.9,-3648.0,59.1,-6285.8,9836.4,-317.3,2278.0,4753.0,,1280.0,1830.0,669.0,,-1410.1,3577.3,4870.2,831.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,False,True,False,True,False,True,False,False,True,True,False,,True,True,True,,True,False,False,True,
Montana,2924,3910.0,3142.5,3876.8,3208.0,4298.0,2820.0,,3857.1,2652.0,2400.7,,4627.7,,3301.2,4456.0,7559.2,4293.0,2818.4,3484.5,2874.8,2544.0,3172.2,1171.2,4028.2,2964.4,3995.0,5219.0,,2735.7,,1128.2,,2725.1,4491.5,4367.0,3951.0,,986.0,218.5,952.8,284.0,1374.0,-104.0,,933.1,-272.0,-523.3,,1703.7,,377.2,1532.0,4635.2,1369.0,-105.6,560.5,-49.2,-380.0,248.2,-1752.8,1104.2,40.4,1071.0,2295.0,,-188.3,,-1795.8,,-198.9,1567.5,1443.0,1027.0,,True,True,True,False,True,,True,True,True,,False,,True,False,False,False,True,True,True,True,True,False,False,True,False,False,,True,,False,,True,False,False,False,
