,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01057,311,550.0,632.0,,,,,452.0,504.7,298.3,,628.5,,,,,,239.0,321.0,,,,,141.0,193.7,-12.7,,317.5,,,,,,False,,,,,True,True,True,,False,,,,,
01059,302,690.0,524.0,,,,,1145.0,599.3,522.7,,468.0,,,409.8,,,388.0,222.0,,,,,843.0,297.3,220.7,,166.0,,,107.8,,,True,,,,,False,True,True,,True,,,True,,
01061,376,565.0,298.0,,,,,671.0,615.8,461.6,,749.0,,,,,,189.0,-78.0,,,,,295.0,239.8,85.6,,373.0,,,,,,True,,,,,False,False,True,,False,,,,,
01063,108,155.0,44.0,,,,,135.0,50.0,122.2,,124.0,,,,,,47.0,-64.0,,,,,27.0,-58.0,14.2,,16.0,,,,,,False,,,,,True,False,True,,True,,,,,
01065,308,490.0,321.0,,,,,344.0,668.5,352.3,,358.0,,,,,,182.0,13.0,,,,,36.0,360.5,44.3,,50.0,,,,,,True,,,,,True,False,True,,True,,,,,
01067,274,515.0,166.0,,,,,376.0,389.5,299.7,,462.0,,,,,,241.0,-108.0,,,,,102.0,115.5,25.7,,188.0,,,,,,True,,,,,True,True,True,,True,,,,,
01069,1435,2220.0,982.0,,,,,2281.0,1692.1,1752.2,,1798.0,,,2617.0,,,785.0,-453.0,,,,,846.0,257.1,317.2,,363.0,,,1182.0,,,True,,,,,False,True,True,,True,,,False,,
01071,645,1105.0,1575.0,,,,,1561.0,725.6,779.1,,555.0,,,1147.7,,,460.0,930.0,,,,,916.0,80.6,134.1,,-90.0,,,502.7,,,False,,,,,False,True,True,,True,,,False,,
01073,8323,16805.0,11098.0,,,,,16572.0,11996.7,12368.2,,12030.5,,,10057.3,8686.0,,8482.0,2775.0,,,,,8249.0,3673.7,4045.2,,3707.5,,,1734.3,363.0,,True,,,,,True,True,True,,True,,,True,True,
01075,118,215.0,100.0,,,,,355.0,158.4,155.3,,181.0,,,,,,97.0,-18.0,,,,,237.0,40.4,37.3,,63.0,,,,,,True,,,,,False,True,True,,True,,,,,
01077,987,1895.0,1231.0,,,,,2721.0,1044.9,1508.1,,1355.0,,,747.9,,,908.0,244.0,,,,,1734.0,57.9,521.1,,368.0,,,-239.1,,,True,,,,,False,True,True,,True,,,True,,
01079,369,550.0,143.0,,,,,1031.0,634.9,564.9,,466.5,,,259.9,,,181.0,-226.0,,,,,662.0,265.9,195.9,,97.5,,,-109.1,,,False,,,,,False,False,False,,True,,,True,,
01081,2386,4475.0,2451.0,,,,,3378.0,5352.4,3094.1,,4857.0,,,2983.0,6513.0,,2089.0,65.0,,,,,992.0,2966.4,708.1,,2471.0,,,597.0,4127.0,,True,,,,,True,False,True,,False,,,True,False,
01083,1291,2070.0,3037.0,,,,,2539.0,1538.8,1401.1,,1559.0,,,1600.5,,,779.0,1746.0,,,,,1248.0,247.8,110.1,,268.0,,,309.5,,,False,,,,,False,True,True,,True,,,True,,
01085,204,245.0,228.0,,,,,128.0,746.3,220.2,,273.0,,,,,,41.0,24.0,,,,,-76.0,542.3,16.2,,69.0,,,,,,True,,,,,False,False,True,,False,,,,,
01087,249,305.0,283.0,,,,,241.0,257.2,213.2,,264.0,,,,,,56.0,34.0,,,,,-8.0,8.2,-35.8,,15.0,,,,,,True,,,,,True,True,True,,True,,,,,
01089,5017,8165.0,3122.0,,,,,8942.0,5429.4,6681.6,,6155.5,,,4980.7,5364.0,,3148.0,-1895.0,,,,,3925.0,412.4,1664.6,,1138.5,,,-36.3,347.0,,True,,,,,False,True,True,,True,,,True,True,
01091,325,220.0,99.0,,,,,426.0,340.5,310.1,,117.0,,,,,,-105.0,-226.0,,,,,101.0,15.5,-14.9,,-208.0,,,,,,False,,,,,True,True,True,,False,,,,,
01093,284,710.0,671.0,,,,,766.0,452.6,487.9,,517.0,,,238.9,,,426.0,387.0,,,,,482.0,168.6,203.9,,233.0,,,-45.1,,,True,,,,,False,True,True,,True,,,True,,
01095,1007,1695.0,1948.0,,,,,2942.0,1256.9,1375.5,,1243.5,,,1505.6,,,688.0,941.0,,,,,1935.0,249.9,368.5,,236.5,,,498.6,,,False,,,,,False,True,True,,True,,,True,,
01097,5231,8960.0,12500.0,,,,,9407.0,3775.1,6134.5,,9491.0,,,4983.3,5269.0,,3729.0,7269.0,,,,,4176.0,-1455.9,903.5,,4260.0,,,-247.7,38.0,,False,,,,,False,True,True,,False,,,True,True,
01099,203,360.0,97.0,,,,,413.0,421.4,314.0,,81.0,,,,,,157.0,-106.0,,,,,210.0,218.4,111.0,,-122.0,,,,,,True,,,,,False,False,True,,True,,,,,
01101,3358,4800.0,2642.0,,,,,4258.0,8340.9,4387.9,,4717.5,,,4221.8,3904.0,,1442.0,-716.0,,,,,900.0,4982.9,1029.9,,1359.5,,,863.8,546.0,,True,,,,,True,False,True,,True,,,True,True,
01103,1293,2705.0,2578.0,,,,,3549.0,1429.5,1842.4,,1893.0,,,1468.0,,,1412.0,1285.0,,,,,2256.0,136.5,549.4,,600.0,,,175.0,,,True,,,,,False,True,True,,True,,,True,,
01105,115,220.0,278.0,,,,,161.0,56.8,133.8,,205.0,,,,,,105.0,163.0,,,,,46.0,-58.2,18.8,,90.0,,,,,,False,,,,,True,True,True,,True,,,,,
01107,256,425.0,292.0,,,,,479.0,291.0,334.4,,263.5,,,,,,169.0,36.0,,,,,223.0,35.0,78.4,,7.5,,,,,,True,,,,,False,True,True,,True,,,,,
01109,431,740.0,486.0,,,,,639.0,3420.1,675.9,,701.0,,,402.2,,,309.0,55.0,,,,,208.0,2989.1,244.9,,270.0,,,-28.8,,,True,,,,,True,False,True,,True,,,True,,
01111,214,270.0,248.0,,,,,480.0,267.4,200.2,,259.0,,,,,,56.0,34.0,,,,,266.0,53.4,-13.8,,45.0,,,,,,True,,,,,False,True,True,,True,,,,,
01113,716,1080.0,1137.0,,,,,1014.0,846.8,926.5,,1451.5,,,904.8,,,364.0,421.0,,,,,298.0,130.8,210.5,,735.5,,,188.8,,,False,,,,,True,True,True,,False,,,True,,
01115,1203,1675.0,558.0,,,,,1897.0,888.3,1236.8,,1182.0,,,743.6,,,472.0,-645.0,,,,,694.0,-314.7,33.8,,-21.0,,,-459.4,,,False,,,,,False,True,True,,True,,,True,,
01117,3144,4860.0,2577.0,,,,,5073.0,3811.7,3501.5,,2716.0,,,2883.9,2799.0,,1716.0,-567.0,,,,,1929.0,667.7,357.5,,-428.0,,,-260.1,-345.0,,True,,,,,False,True,True,,True,,,True,True,
01119,89,5.0,9.0,,,,,220.0,10.8,104.6,,2.0,,,,,,-84.0,-80.0,,,,,131.0,-78.2,15.6,,-87.0,,,,,,True,,,,,False,True,True,,False,,,,,
01121,1246,1895.0,635.0,,,,,1801.0,2438.2,1364.3,,1894.0,,,1459.8,,,649.0,-611.0,,,,,555.0,1192.2,118.3,,648.0,,,213.8,,,True,,,,,True,False,True,,True,,,True,,
01123,950,335.0,88.0,,,,,735.0,419.5,397.3,,278.0,,,278.7,,,-615.0,-862.0,,,,,-215.0,-530.5,-552.7,,-672.0,,,-671.3,,,False,,,,,True,True,True,,False,,,False,,
01125,3085,2950.0,946.0,,,,,5450.0,1929.4,3349.6,,2139.5,,,2664.9,1059.0,,-135.0,-2139.0,,,,,2365.0,-1155.6,264.6,,-945.5,,,-420.1,-2026.0,,False,,,,,False,False,False,,False,,,False,False,
01127,563,830.0,245.0,,,,,1824.0,929.9,921.6,,683.0,,,697.5,,,267.0,-318.0,,,,,1261.0,366.9,358.6,,120.0,,,134.5,,,False,,,,,False,False,False,,True,,,True,,
01129,178,290.0,160.0,,,,,469.0,450.6,255.5,,238.0,,,,,,112.0,-18.0,,,,,291.0,272.6,77.5,,60.0,,,,,,True,,,,,False,False,True,,True,,,,,
01131,174,310.0,426.0,,,,,142.0,571.3,195.9,,343.0,,,,,,136.0,252.0,,,,,-32.0,397.3,21.9,,169.0,,,,,,False,,,,,True,False,True,,False,,,,,
01133,187,400.0,185.0,,,,,702.0,353.6,347.5,,328.0,,,119.9,,,213.0,-2.0,,,,,515.0,166.6,160.5,,141.0,,,-67.1,,,True,,,,,False,True,True,,True,,,True,,
02013,316,5.0,0.0,,,,,,0.0,1.1,,0.0,,,,,,-311.0,-316.0,,,,,,-316.0,-314.9,,-316.0,,,,,,False,,,,,,False,False,,False,,,,,
02016,246,105.0,,,,,,,43.7,162.1,,342.0,,,,,,-141.0,,,,,,,-202.3,-83.9,,96.0,,,,,,,,,,,,False,True,,True,,,,,
02020,1770,2975.0,1539.0,,,,,,1942.8,2391.3,,2046.5,,,4206.4,1566.0,,1205.0,-231.0,,,,,,172.8,621.3,,276.5,,,2436.4,-204.0,,True,,,,,,True,True,,True,,,False,True,
02050,599,815.0,0.0,,,,,,71.7,421.5,,640.0,,,,,,216.0,-599.0,,,,,,-527.3,-177.5,,41.0,,,,,,False,,,,,,False,True,,True,,,,,
02060,0,0.0,0.0,,,,,,0.5,0.0,,,,,,,,0.0,0.0,,,,,,0.5,0.0,,,,,,,,True,,,,,,False,True,,,,,,,
02068,6,15.0,0.0,,,,,,277.0,6.1,,5.0,,,,,,9.0,-6.0,,,,,,271.0,0.1,,-1.0,,,,,,True,,,,,,False,True,,True,,,,,
02070,48,10.0,0.0,,,,,,540.1,31.0,,38.0,,,,,,-38.0,-48.0,,,,,,492.1,-17.0,,-10.0,,,,,,False,,,,,,False,True,,True,,,,,
02090,522,1315.0,,,,,,,1639.9,920.8,,1341.5,,,674.6,,,793.0,,,,,,,1117.9,398.8,,819.5,,,152.6,,,,,,,,,False,True,,False,,,True,,
02100,4,0.0,0.0,,,,,,9.8,5.5,,1.0,,,,,,-4.0,-4.0,,,,,,5.8,1.5,,-3.0,,,,,,False,,,,,,False,True,,True,,,,,
02105,0,0.0,0.0,,,,,,0.6,0.0,,,,,,,,0.0,0.0,,,,,,0.6,0.0,,,,,,,,True,,,,,,False,True,,,,,,,
02110,127,140.0,22.0,,,,,,20.4,88.2,,138.0,,,,,,13.0,-105.0,,,,,,-106.6,-38.8,,11.0,,,,,,False,,,,,,False,False,,True,,,,,
02122,158,390.0,535.0,,,,,,374.2,279.1,,214.0,,,213.9,,,232.0,377.0,,,,,,216.2,121.1,,56.0,,,55.9,,,False,,,,,,True,True,,True,,,True,,
02130,71,55.0,,,,,,,104.4,33.5,,62.0,,,,,,-16.0,,,,,,,33.4,-37.5,,-9.0,,,,,,,,,,,,False,False,,True,,,,,
02150,58,175.0,0.0,,,,,,73.9,111.5,,67.0,,,,,,117.0,-58.0,,,,,,15.9,53.5,,9.0,,,,,,True,,,,,,True,True,,True,,,,,
02158,214,270.0,,,,,,,39.3,188.5,,630.0,,,,,,56.0,,,,,,,-174.7,-25.5,,416.0,,,,,,,,,,,,False,True,,False,,,,,
02164,19,0.0,0.0,,,,,,4.4,6.0,,23.0,,,,,,-19.0,-19.0,,,,,,-14.6,-13.0,,4.0,,,,,,False,,,,,,True,True,,True,,,,,
02170,1199,1335.0,1373.0,,,,,,1063.6,735.0,,996.0,,,1479.6,,,136.0,174.0,,,,,,-135.4,-464.0,,-203.0,,,280.6,,,False,,,,,,True,False,,False,,,False,,
02180,28,55.0,,,,,,,5.7,22.3,,22.0,,,,,,27.0,,,,,,,-22.3,-5.7,,-6.0,,,,,,,,,,,,True,True,,True,,,,,
02185,53,500.0,0.0,,,,,,301.5,216.2,,540.0,,,,,,447.0,-53.0,,,,,,248.5,163.2,,487.0,,,,,,True,,,,,,True,True,,False,,,,,
02188,71,185.0,0.0,,,,,,1937.6,174.2,,353.0,,,,,,114.0,-71.0,,,,,,1866.6,103.2,,282.0,,,,,,True,,,,,,False,True,,False,,,,,
02195,8,40.0,8.0,,,,,,278.6,33.8,,14.0,,,,,,32.0,0.0,,,,,,270.6,25.8,,6.0,,,,,,True,,,,,,False,True,,True,,,,,
02198,2,5.0,0.0,,,,,,9.2,14.5,,10.0,,,,,,3.0,-2.0,,,,,,7.2,12.5,,8.0,,,,,,True,,,,,,False,False,,False,,,,,
02220,23,65.0,0.0,,,,,,526.2,29.2,,90.0,,,,,,42.0,-23.0,,,,,,503.2,6.2,,67.0,,,,,,True,,,,,,False,True,,False,,,,,
02230,3,0.0,0.0,,,,,,0.1,6.2,,0.0,,,,,,-3.0,-3.0,,,,,,-2.9,3.2,,-3.0,,,,,,False,,,,,,True,False,,False,,,,,
02240,36,0.0,0.0,,,,,,6.6,11.9,,1.0,,,,,,-36.0,-36.0,,,,,,-29.4,-24.1,,-35.0,,,,,,False,,,,,,True,True,,True,,,,,
02261,62,90.0,,,,,,,41.2,91.8,,57.0,,,,,,28.0,,,,,,,-20.8,29.8,,-5.0,,,,,,,,,,,,True,False,,True,,,,,
02275,3,0.0,0.0,,,,,,0.4,7.9,,0.0,,,,,,-3.0,-3.0,,,,,,-2.6,4.9,,-3.0,,,,,,False,,,,,,True,False,,False,,,,,
02282,6,0.0,0.0,,,,,,117.6,5.4,,10.0,,,,,,-6.0,-6.0,,,,,,111.6,-0.6,,4.0,,,,,,False,,,,,,False,True,,True,,,,,
02290,79,75.0,,,,,,,1137.0,63.9,,136.0,,,,,,-4.0,,,,,,,1058.0,-15.1,,57.0,,,,,,,,,,,,False,False,,False,,,,,
04001,1675,1840.0,2546.0,,,,,3054.0,1271.4,1482.6,,1836.5,,,1569.0,,,165.0,871.0,,,,,1379.0,-403.6,-192.4,,161.5,,,-106.0,,,False,,,,,False,False,False,,True,,,True,,
04003,1459,4015.0,2925.0,,,,,3406.0,4718.5,3067.8,,2104.5,,,2339.6,,,2556.0,1466.0,,,,,1947.0,3259.5,1608.8,,645.5,,,880.6,,,True,,,,,True,False,True,,True,,,True,,
04005,2407,5960.0,5414.0,,,,,3931.0,4885.1,3683.6,,5335.0,,,3899.9,5137.0,,3553.0,3007.0,,,,,1524.0,2478.1,1276.6,,2928.0,,,1492.9,2730.0,,True,,,,,True,True,True,,True,,,True,True,
04007,1009,1635.0,1777.0,,,,,2052.0,1188.9,1110.2,,1563.0,,,944.3,,,626.0,768.0,,,,,1043.0,179.9,101.2,,554.0,,,-64.7,,,False,,,,,False,True,True,,True,,,True,,
04009,946,1520.0,1990.0,,,,,1448.0,4767.8,1006.0,,1042.5,,,727.0,,,574.0,1044.0,,,,,502.0,3821.8,60.0,,96.5,,,-219.0,,,False,,,,,True,False,True,,True,,,True,,
04011,72,100.0,,,,,,387.0,243.0,86.6,,107.0,,,,,,28.0,,,,,,315.0,171.0,14.6,,35.0,,,,,,,,,,,False,False,True,,False,,,,,
04012,390,870.0,867.0,,,,,1308.0,598.1,565.1,,823.0,,,,,,480.0,477.0,,,,,918.0,208.1,175.1,,433.0,,,,,,True,,,,,False,True,True,,True,,,,,
04013,90404,192710.0,339205.0,,,,,176107.0,174264.2,133013.2,,163293.0,,,136045.4,149672.0,,102306.0,248801.0,,,,,85703.0,83860.2,42609.2,,72889.0,,,45641.4,59268.0,,False,,,,,True,True,True,,True,,,True,True,
04015,4189,7980.0,8187.0,,,,,5427.0,3789.6,5858.9,,5024.0,,,2385.0,5071.0,,3791.0,3998.0,,,,,1238.0,-399.4,1669.9,,835.0,,,-1804.0,882.0,,False,,,,,True,True,True,,True,,,True,True,
04017,2255,4115.0,2050.0,,,,,4250.0,1708.2,2721.6,,2832.5,,,2731.0,,,1860.0,-205.0,,,,,1995.0,-546.8,466.6,,577.5,,,476.0,,,True,,,,,False,True,True,,True,,,True,,
04019,19216,41180.0,73704.0,,,,,37373.0,28498.3,29043.4,,34877.5,,,26954.0,30295.0,,21964.0,54488.0,,,,,18157.0,9282.3,9827.4,,15661.5,,,7738.0,11079.0,,False,,,,,True,True,True,,True,,,True,True,
04021,8882,17960.0,16676.0,,,,,16467.0,22587.0,13018.2,,13658.5,,,10685.9,14920.0,,9078.0,7794.0,,,,,7585.0,13705.0,4136.2,,4776.5,,,1803.9,6038.0,,True,,,,,True,False,True,,True,,,True,True,
04023,610,1905.0,1107.0,,,,,2262.0,786.5,1178.3,,1267.0,,,1500.0,,,1295.0,497.0,,,,,1652.0,176.5,568.3,,657.0,,,890.0,,,True,,,,,False,True,True,,True,,,True,,
04025,2288,6545.0,5052.0,,,,,6224.0,4539.6,5347.4,,4573.5,,,3232.3,4723.0,,4257.0,2764.0,,,,,3936.0,2251.6,3059.4,,2285.5,,,944.3,2435.0,,True,,,,,True,True,True,,True,,,True,True,
04027,3516,9445.0,2384.0,,,,,9406.0,6477.0,6112.4,,5608.0,,,3022.2,6969.0,,5929.0,-1132.0,,,,,5890.0,2961.0,2596.4,,2092.0,,,-493.8,3453.0,,True,,,,,True,True,True,,True,,,True,True,
05001,392,460.0,392.0,,,,,539.0,357.6,282.1,,440.5,,,,,,68.0,0.0,,,,,147.0,-34.4,-109.9,,48.5,,,,,,True,,,,,False,True,False,,True,,,,,
05003,262,430.0,510.0,,,,,607.0,247.1,255.4,,402.0,,,,,,168.0,248.0,,,,,345.0,-14.9,-6.6,,140.0,,,,,,False,,,,,False,True,True,,True,,,,,
05005,315,670.0,374.0,,,,,669.0,276.7,483.3,,444.5,,,,,,355.0,59.0,,,,,354.0,-38.3,168.3,,129.5,,,,,,True,,,,,True,True,True,,True,,,,,
05007,3748,12165.0,5235.0,,,,,7445.0,9556.5,6366.5,,6426.0,,,4662.3,3681.0,,8417.0,1487.0,,,,,3697.0,5808.5,2618.5,,2678.0,,,914.3,-67.0,,True,,,,,True,True,True,,True,,,True,True,
05009,584,900.0,910.0,,,,,699.0,458.5,520.5,,755.0,,,,,,316.0,326.0,,,,,115.0,-125.5,-63.5,,171.0,,,,,,False,,,,,True,True,True,,True,,,,,
05011,162,395.0,323.0,,,,,325.0,248.6,213.7,,379.0,,,,,,233.0,161.0,,,,,163.0,86.6,51.7,,217.0,,,,,,True,,,,,True,True,True,,True,,,,,
05013,100,110.0,31.0,,,,,167.0,48.6,79.6,,114.0,,,,,,10.0,-69.0,,,,,67.0,-51.4,-20.4,,14.0,,,,,,False,,,,,False,False,False,,False,,,,,
05015,311,725.0,999.0,,,,,465.0,406.3,411.9,,537.0,,,,,,414.0,688.0,,,,,154.0,95.3,100.9,,226.0,,,,,,False,,,,,True,True,True,,True,,,,,
05017,84,175.0,,,,,,269.0,64.9,150.8,,142.0,,,,,,91.0,,,,,,185.0,-19.1,66.8,,58.0,,,,,,,,,,,False,True,True,,True,,,,,
05019,347,635.0,201.0,,,,,686.0,203.3,334.1,,481.0,,,,,,288.0,-146.0,,,,,339.0,-143.7,-12.9,,134.0,,,,,,True,,,,,False,True,True,,True,,,,,
05021,186,325.0,254.0,,,,,323.0,123.3,198.0,,238.0,,,,,,139.0,68.0,,,,,137.0,-62.7,12.0,,52.0,,,,,,True,,,,,True,True,True,,True,,,,,
05023,263,550.0,131.0,,,,,626.0,339.8,333.4,,684.0,,,,,,287.0,-132.0,,,,,363.0,76.8,70.4,,421.0,,,,,,True,,,,,False,True,True,,False,,,,,
05025,229,270.0,164.0,,,,,256.0,99.1,123.0,,205.0,,,,,,41.0,-65.0,,,,,27.0,-129.9,-106.0,,-24.0,,,,,,False,,,,,True,False,False,,True,,,,,
05027,312,445.0,413.0,,,,,787.0,187.8,345.6,,362.5,,,,,,133.0,101.0,,,,,475.0,-124.2,33.6,,50.5,,,,,,True,,,,,False,True,True,,True,,,,,
05029,362,770.0,398.0,,,,,650.0,563.7,462.8,,482.0,,,,,,408.0,36.0,,,,,288.0,201.7,100.8,,120.0,,,,,,True,,,,,True,True,True,,True,,,,,
