,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
01033,99,314.0,,330.2,,269.0,234.0,335.0,,,,,237.5,,223.7,,,350.0,552.9,,289.5,116.0,,162.0,217.0,,,,269.0,290.0,141.1,,,,,,226.7,241.2,,,,397.8,215.0,,231.2,,170.0,135.0,236.0,,,,,138.5,,124.7,,,251.0,453.9,,190.5,17.0,,63.0,118.0,,,,170.0,191.0,42.1,,,,,,127.7,142.2,,,,298.8,,False,,True,True,False,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01035,33,60.0,,61.8,,49.0,50.0,57.0,,,,,42.6,,48.1,,,69.0,44.4,,38.2,,,46.0,38.0,,,,57.0,45.0,44.8,,,,,,,73.5,,,,58.2,27.0,,28.8,,16.0,17.0,24.0,,,,,9.6,,15.1,,,36.0,11.4,,5.2,,,13.0,5.0,,,,24.0,12.0,11.8,,,,,,,40.5,,,,25.2,,False,,True,True,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,True,True,,,,,,,False,,,,True
01037,112,144.0,,135.1,,98.0,97.0,130.0,,,,,33.0,,91.6,,,63.0,228.6,,52.3,,,151.0,88.9,,,,145.0,91.0,52.3,,,,,,,114.6,,,,112.0,32.0,,23.1,,-14.0,-15.0,18.0,,,,,-79.0,,-20.4,,,-49.0,116.6,,-59.7,,,39.0,-23.1,,,,33.0,-21.0,-59.7,,,,,,,2.6,,,,-0.0,,True,,True,True,True,,,,,False,,True,,,False,False,,False,,,False,True,,,,False,True,False,,,,,,,True,,,,True
01039,164,400.0,,427.6,,252.0,244.0,437.0,,,,,173.5,,197.7,,,224.0,581.0,,205.7,114.0,,257.0,247.4,,,,332.0,272.0,260.4,,,,,,353.0,261.1,,,,221.1,236.0,,263.6,,88.0,80.0,273.0,,,,,9.5,,33.7,,,60.0,417.0,,41.7,-50.0,,93.0,83.4,,,,168.0,108.0,96.4,,,,,,189.0,97.1,,,,57.1,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01041,70,116.0,,146.6,,84.0,77.0,89.0,,,,,64.2,,83.6,,,80.0,111.1,,72.4,,,40.0,68.6,,,,93.0,88.0,41.5,,,,,,,95.7,,,,130.6,46.0,,76.6,,14.0,7.0,19.0,,,,,-5.8,,13.6,,,10.0,41.1,,2.4,,,-30.0,-1.4,,,,23.0,18.0,-28.5,,,,,,,25.7,,,,60.6,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
01043,100,438.0,,459.3,,336.0,310.0,330.0,,,,,313.7,,271.2,,,602.0,485.4,,331.4,118.0,,240.0,291.9,,,,321.0,339.0,242.6,,,,,,530.7,310.0,,,,487.0,338.0,,359.3,,236.0,210.0,230.0,,,,,213.7,,171.2,,,502.0,385.4,,231.4,18.0,,140.0,191.9,,,,221.0,239.0,142.6,,,,,,430.7,210.0,,,,387.0,,False,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,False,True,,,,False
01045,192,268.0,,273.6,,216.0,185.0,204.0,,,,,203.3,,191.0,,,316.0,245.9,,183.8,130.0,,130.0,197.5,,,,231.0,211.0,152.1,,,,,,181.6,200.8,,,,309.3,76.0,,81.6,,24.0,-7.0,12.0,,,,,11.3,,-1.0,,,124.0,53.9,,-8.2,-62.0,,-62.0,5.5,,,,39.0,19.0,-39.9,,,,,,-10.4,8.8,,,,117.3,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01047,64,146.0,,145.1,,112.0,105.0,137.0,,,,,125.7,,81.5,,,215.0,95.6,,131.2,56.5,,44.0,78.0,,,,110.0,107.0,90.7,,,,,,115.9,145.6,,,,163.7,82.0,,81.1,,48.0,41.0,73.0,,,,,61.7,,17.5,,,151.0,31.6,,67.2,-7.5,,-20.0,14.0,,,,46.0,43.0,26.7,,,,,,51.9,81.6,,,,99.7,,True,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01049,139,342.0,,353.8,,298.0,245.0,355.0,,,,,313.5,,240.4,,,485.0,371.9,,294.8,115.5,,178.0,242.8,,,,260.0,278.0,203.5,,,,,,193.5,275.3,,,,375.1,203.0,,214.8,,159.0,106.0,216.0,,,,,174.5,,101.4,,,346.0,232.9,,155.8,-23.5,,39.0,103.8,,,,121.0,139.0,64.5,,,,,,54.5,136.3,,,,236.1,,False,,True,True,False,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01051,359,670.0,,676.8,,488.0,446.0,566.0,,,,,438.6,,509.8,,,451.0,591.4,,453.6,215.0,,443.0,466.9,,,,535.0,539.0,190.8,,,,,,578.1,501.2,,,,557.0,311.0,,317.8,,129.0,87.0,207.0,,,,,79.6,,150.8,,,92.0,232.4,,94.6,-144.0,,84.0,107.9,,,,176.0,180.0,-168.2,,,,,,219.1,142.2,,,,198.0,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01053,113,270.0,,267.1,,186.0,177.0,157.0,,,,,177.2,,156.9,,,231.0,296.9,,173.6,114.0,,126.0,161.8,,,,246.0,201.0,235.4,,,,,,152.7,203.0,,,,255.9,157.0,,154.1,,73.0,64.0,44.0,,,,,64.2,,43.9,,,118.0,183.9,,60.6,1.0,,13.0,48.8,,,,133.0,88.0,122.4,,,,,,39.7,90.0,,,,142.9,,True,,True,True,True,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01055,262,712.0,,763.8,,569.0,538.0,701.0,,,,,512.5,,282.8,,,660.0,789.4,,488.0,239.5,,335.5,468.8,,,,471.0,549.0,368.1,,,,,,666.4,706.0,,,,686.7,450.0,,501.8,,307.0,276.0,439.0,,,,,250.5,,20.8,,,398.0,527.4,,226.0,-22.5,,73.5,206.8,,,,209.0,287.0,106.1,,,,,,404.4,444.0,,,,424.7,,False,,True,True,True,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01057,66,136.0,,135.9,,98.0,86.0,98.0,,,,,78.0,,85.7,,,109.0,101.5,,89.7,,,37.0,86.7,,,,98.0,99.0,77.1,,,,,,,93.3,,,,154.1,70.0,,69.9,,32.0,20.0,32.0,,,,,12.0,,19.7,,,43.0,35.5,,23.7,,,-29.0,20.7,,,,32.0,33.0,11.1,,,,,,,27.3,,,,88.1,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
01059,51,142.0,,149.6,,127.0,109.0,104.0,,,,,143.5,,101.0,,,231.0,133.9,,113.5,58.0,,72.0,107.8,,,,104.0,135.0,78.4,,,,,,108.9,125.7,,,,147.0,91.0,,98.6,,76.0,58.0,53.0,,,,,92.5,,50.0,,,180.0,82.9,,62.5,7.0,,21.0,56.8,,,,53.0,84.0,27.4,,,,,,57.9,74.7,,,,96.0,,False,,True,True,True,,,,,False,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01061,53,170.0,,160.6,,163.0,127.0,176.0,,,,,114.9,,50.7,,,173.0,337.1,,124.9,,,101.0,107.9,,,,152.0,166.0,160.1,,,,,,116.5,119.5,,,,171.3,117.0,,107.6,,110.0,74.0,123.0,,,,,61.9,,-2.3,,,120.0,284.1,,71.9,,,48.0,54.9,,,,99.0,113.0,107.1,,,,,,63.5,66.5,,,,118.3,,True,,True,True,False,,,,,True,,True,,,False,False,,True,,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01063,39,58.0,,59.5,,36.0,35.0,32.0,,,,,33.2,,30.9,,,47.0,34.5,,32.8,,,40.0,30.6,,,,49.0,34.0,21.3,,,,,,,40.2,,,,49.0,19.0,,20.5,,-3.0,-4.0,-7.0,,,,,-5.8,,-8.1,,,8.0,-4.5,,-6.2,,,1.0,-8.4,,,,10.0,-5.0,-17.7,,,,,,,1.2,,,,10.0,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True
01065,60,144.0,,154.7,,102.0,87.0,125.0,,,,,92.4,,31.7,,,100.0,184.0,,95.2,,,37.0,71.1,,,,112.0,93.0,72.8,,,,,,,113.2,,,,139.6,84.0,,94.7,,42.0,27.0,65.0,,,,,32.4,,-28.3,,,40.0,124.0,,35.2,,,-23.0,11.1,,,,52.0,33.0,12.8,,,,,,,53.2,,,,79.6,,False,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True
01067,59,172.0,,168.7,,108.0,114.0,58.0,,,,,83.6,,63.8,,,109.0,71.9,,96.6,,,133.0,105.7,,,,146.0,133.0,83.4,,,,,,,122.7,,,,154.8,113.0,,109.7,,49.0,55.0,-1.0,,,,,24.6,,4.8,,,50.0,12.9,,37.6,,,74.0,46.7,,,,87.0,74.0,24.4,,,,,,,63.7,,,,95.8,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True
01069,291,662.0,,704.9,,638.0,513.0,675.0,,,,,486.0,,435.7,,,621.0,2450.3,,508.8,224.5,,199.0,428.1,,,,549.0,660.0,796.9,,,,,,543.4,469.5,,,,654.6,371.0,,413.9,,347.0,222.0,384.0,,,,,195.0,,144.7,,,330.0,2159.3,,217.8,-66.5,,-92.0,137.1,,,,258.0,369.0,505.9,,,,,,252.4,178.5,,,,363.6,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,False,,,,,,True,True,,,,True
01071,81,304.0,,286.0,,265.0,232.0,296.0,,,,,238.4,,101.6,,,326.0,557.6,,227.0,104.0,,148.0,212.4,,,,280.0,253.0,297.3,,,,,,359.4,203.6,,,,440.9,223.0,,205.0,,184.0,151.0,215.0,,,,,157.4,,20.6,,,245.0,476.6,,146.0,23.0,,67.0,131.4,,,,199.0,172.0,216.3,,,,,,278.4,122.6,,,,359.9,,True,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,False,True,,,,False
01073,1756,3998.0,,3997.8,3302.3,2647.0,2531.0,3277.0,,,,,2825.0,,2523.8,,2492.3,3580.0,2793.0,,3050.4,1803.5,,1783.5,2506.5,,,,2958.0,2710.0,2136.4,,,,,,3472.4,2890.1,1954.0,,,2892.4,2242.0,,2241.8,1546.3,891.0,775.0,1521.0,,,,,1069.0,,767.8,,736.3,1824.0,1037.0,,1294.4,47.5,,27.5,750.5,,,,1202.0,954.0,380.4,,,,,,1716.4,1134.1,198.0,,,1136.4,,True,True,True,True,True,,,,,True,,True,,True,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,True,,,True
01075,26,64.0,,61.3,,51.0,46.0,34.0,,,,,44.9,,40.1,,,90.0,69.9,,40.4,,,22.0,35.9,,,,52.0,56.0,55.7,,,,,,,55.8,,,,82.5,38.0,,35.3,,25.0,20.0,8.0,,,,,18.9,,14.1,,,64.0,43.9,,14.4,,,-4.0,9.9,,,,26.0,30.0,29.7,,,,,,,29.8,,,,56.5,,True,,True,True,True,,,,,True,,True,,,False,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
01077,165,432.0,,442.5,,396.0,295.0,429.0,,,,,338.0,,288.2,,,584.0,544.1,,304.6,165.5,,239.0,341.5,,,,332.0,443.0,183.9,,,,,,321.7,276.6,,,,422.3,267.0,,277.5,,231.0,130.0,264.0,,,,,173.0,,123.2,,,419.0,379.1,,139.6,0.5,,74.0,176.5,,,,167.0,278.0,18.9,,,,,,156.7,111.6,,,,257.3,,False,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,False,True,,,,,,True,True,,,,True
01079,77,178.0,,178.2,,150.0,120.0,152.0,,,,,117.3,,105.8,,,240.0,225.3,,108.7,60.0,,105.5,126.3,,,,128.0,159.0,92.0,,,,,,125.6,120.1,,,,171.8,101.0,,101.2,,73.0,43.0,75.0,,,,,40.3,,28.8,,,163.0,148.3,,31.7,-17.0,,28.5,49.3,,,,51.0,82.0,15.0,,,,,,48.6,43.1,,,,94.8,,False,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
