,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
New Hampshire,15556,25370.0,17728.0,,23528.8,8346.0,,30587.0,24299.1,23033.4,23086.8,22167.5,,,17125.0,20580.0,9814.0,2172.0,,7972.8,-7210.0,,15031.0,8743.1,7477.4,7530.8,6611.5,,,1569.0,5024.0,True,,True,True,,False,True,True,True,True,,,True,True
New Jersey,142286,214195.0,355554.0,,193948.2,99088.0,,194430.0,169855.4,163247.2,198858.2,216719.0,,,212164.4,168153.0,71909.0,213268.0,,51662.2,-43198.0,,52144.0,27569.4,20961.2,56572.2,74433.0,,,69878.4,25867.0,False,,True,True,,True,True,True,True,False,,,True,True
New Mexico,19582,39695.0,31864.0,,39625.8,10366.0,,41332.0,35059.4,25136.4,28317.8,33825.0,,,34400.4,29115.0,20113.0,12282.0,,20043.8,-9216.0,,21750.0,15477.4,5554.4,8735.8,14243.0,,,14818.4,9533.0,True,,True,True,,False,True,True,True,True,,,True,True
New York,356568,547915.0,729602.0,,439034.6,627746.0,,491547.0,647768.4,516404.2,655139.6,606672.0,,,483884.8,441487.0,191347.0,373034.0,,82466.6,271178.0,,134979.0,291200.4,159836.2,298571.6,250104.0,,,127316.8,84919.0,False,,True,False,,True,False,True,False,False,,,True,True
North Carolina,172270,267355.0,199489.0,,278559.9,150225.0,,297281.0,282026.0,214894.6,358648.6,271295.5,,,258394.6,235972.0,95085.0,27219.0,,106289.9,-22045.0,,125011.0,109756.0,42624.6,186378.6,99025.5,,,86124.6,63702.0,True,,False,True,,False,False,True,False,False,,,True,True
North Dakota,3523,5780.0,3304.0,,5687.7,514.0,,10198.0,2094.0,5514.1,2632.8,5154.0,,,2423.7,3505.0,2257.0,-219.0,,2164.7,-3009.0,,6675.0,-1429.0,1991.1,-890.2,1631.0,,,-1099.3,-18.0,True,,True,False,,False,True,True,True,True,,,True,True
Ohio,130799,252650.0,196293.0,,240075.1,52844.0,,270330.0,184669.0,168153.1,192236.2,268386.5,,,202619.0,204112.0,121851.0,65494.0,,109276.1,-77955.0,,139531.0,53870.0,37354.1,61437.2,137587.5,,,71820.0,73313.0,True,,True,True,,False,True,True,True,False,,,True,True
Oklahoma,66653,133950.0,109016.0,,146125.2,60559.0,,148864.0,141471.6,71596.6,112170.2,96476.5,,,84900.0,106126.0,67297.0,42363.0,,79472.2,-6094.0,,82211.0,74818.6,4943.6,45517.2,29823.5,,,18247.0,39473.0,True,,False,True,,False,False,True,True,True,,,True,True
Oregon,20299,39680.0,34581.0,,41558.6,19257.0,,41541.0,31142.1,39042.3,33764.1,32621.0,,,26955.6,34893.0,19381.0,14282.0,,21259.6,-1042.0,,21242.0,10843.1,18743.3,13465.1,12322.0,,,6656.6,14594.0,True,,False,True,,False,True,True,True,True,,,True,True
Pennsylvania,148423,241060.0,188701.0,,225920.0,72294.0,,270530.0,199809.4,216072.4,174169.6,203097.5,,,173008.3,196514.0,92637.0,40278.0,,77497.0,-76129.0,,122107.0,51386.4,67649.4,25746.6,54674.5,,,24585.3,48091.0,True,,True,True,,False,True,True,True,True,,,True,True
Rhode Island,18702,34145.0,61311.0,,32554.0,6397.0,,35066.0,22072.3,25834.4,24313.4,33068.0,,,25216.9,19672.0,15443.0,42609.0,,13852.0,-12305.0,,16364.0,3370.3,7132.4,5611.4,14366.0,,,6514.9,970.0,False,,True,True,,False,True,True,True,True,,,True,True
South Carolina,118855,161690.0,145827.0,,162214.8,353440.0,,159735.0,182935.4,102384.3,224994.3,176160.0,,,156063.9,133706.0,42835.0,26972.0,,43359.8,234585.0,,40880.0,64080.4,-16470.7,106139.3,57305.0,,,37208.9,14851.0,True,,False,False,,True,False,True,False,False,,,True,True
South Dakota,5887,11885.0,7097.0,,11173.5,7011.0,,13052.0,5740.2,8514.7,6787.2,8307.5,,,9946.5,6978.0,5998.0,1210.0,,5286.5,1124.0,,7165.0,-146.8,2627.7,900.2,2420.5,,,4059.5,1091.0,True,,True,True,,False,True,True,True,True,,,True,True
Tennessee,83161,171985.0,157671.0,,161255.7,121146.0,,192339.0,110850.0,120062.7,149416.7,116259.0,,,128233.8,133567.0,88824.0,74510.0,,78094.7,37985.0,,109178.0,27689.0,36901.7,66255.7,33098.0,,,45072.8,50406.0,True,,True,True,,False,True,True,True,True,,,True,True
Texas,481154,803735.0,1043856.0,,797262.9,508260.0,,803366.0,812655.4,640866.2,806576.7,787702.5,,,553974.7,588499.0,322581.0,562702.0,,316108.9,27106.0,,322212.0,331501.4,159712.2,325422.7,306548.5,,,72820.7,107345.0,False,,True,True,,True,False,True,False,True,,,True,True
Utah,43782,92645.0,43054.0,,97055.4,130113.0,,104664.0,67429.1,50946.7,68345.2,58753.5,,,44282.4,64976.0,48863.0,-728.0,,53273.4,86331.0,,60882.0,23647.1,7164.7,24563.2,14971.5,,,500.4,21194.0,True,,False,False,,False,True,True,True,True,,,True,True
Vermont,4444,5625.0,6790.0,,6188.1,3938.0,,6533.0,19152.2,6418.6,10937.8,5734.0,,,1581.6,5813.0,1181.0,2346.0,,1744.1,-506.0,,2089.0,14708.2,1974.6,6493.8,1290.0,,,-2862.4,1369.0,False,,False,True,,False,False,False,False,False,,,False,False
Virginia,132421,178380.0,198193.0,,194690.3,111724.0,,166627.0,160993.1,148328.0,259248.1,204261.0,,,166127.3,101190.0,45959.0,65772.0,,62269.3,-20697.0,,34206.0,28572.1,15907.0,126827.1,71840.0,,,33706.3,-31231.0,False,,False,True,,True,True,True,False,False,,,True,True
Washington,47824,71875.0,35379.0,,131736.9,44240.0,,89707.0,201955.8,72992.0,79528.0,89505.5,,,85214.7,68661.0,24051.0,-12445.0,,83912.9,-3584.0,,41883.0,154131.8,25168.0,31704.0,41681.5,,,37390.7,20837.0,True,,False,True,,False,False,False,False,False,,,False,True
West Virginia,21240,41730.0,34081.0,,39592.2,37688.0,,43521.0,31716.1,30034.3,43951.3,32999.0,,,26284.0,35495.0,20490.0,12841.0,,18352.2,16448.0,,22281.0,10476.1,8794.3,22711.3,11759.0,,,5044.0,14255.0,True,,True,True,,False,True,True,False,True,,,True,True
Wisconsin,45514,90705.0,113704.0,,99940.4,9259.0,,89222.0,72461.5,64520.6,56310.9,78106.0,,,69235.6,62658.0,45191.0,68190.0,,54426.4,-36255.0,,43708.0,26947.5,19006.6,10796.9,32592.0,,,23721.6,17144.0,False,,False,True,,True,True,True,True,True,,,True,True
Wyoming,4615,11745.0,11597.0,,11626.8,644.0,,12697.0,20184.4,6373.0,5041.3,10265.5,,,11794.3,6838.0,7130.0,6982.0,,7011.8,-3971.0,,8082.0,15569.4,1758.0,426.3,5650.5,,,7179.3,2223.0,True,,True,True,,False,False,True,True,True,,,False,True
US,4280362,7825390.0,8578339.0,8669762.0,7225799.9,8700307.0,7679722.9,8015513.0,7089008.1,6038600.8,7748100.6,7189575.5,8422531.0,6822426.0,6608896.0,6099836.0,3545028.0,4297977.0,4389400.0,2945437.9,4419945.0,3399360.9,3735151.0,2808646.1,1758238.8,3467738.6,2909213.5,4142169.0,2542064.0,2328534.0,1819474.0,False,False,True,False,True,False,True,True,True,True,False,True,True,True
