,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01131,306,308.0,,,,158.0,116.5,0.0,,,,,2.0,,,,-148.0,-189.5,-306.0,,,,,,,,False,False,False,,,,
01133,421,1001.0,,,,1023.0,515.2,65.6,,,,,580.0,,,,602.0,94.2,-355.4,,,,,,,,False,True,True,,,,
02013,317,0.0,,,,,1138.8,,,,,,-317.0,,,,,821.8,,,,,,,,,,False,,,,,
02016,286,140.0,,,,,805.0,0.0,,,,,-146.0,,,,,519.0,-286.0,,,,,,,,,False,False,,,,
02020,3126,6062.0,,,,,3207.4,0.0,,10682.6,0.0,,2936.0,,,,,81.4,-3126.0,,7556.6,-3126.0,,,,,,True,False,,False,False,
02050,1023,2604.0,,,,,4323.1,0.3,,,,,1581.0,,,,,3300.1,-1022.7,,,,,,,,,False,True,,,,
02060,0,0.0,,,,,3.7,,,,,,0.0,,,,,3.7,,,,,,,,,,False,,,,,
02068,9,0.0,,,,,0.0,,,,,,-9.0,,,,,-9.0,,,,,,,,,,True,,,,,
02070,73,77.0,,,,,1531.8,0.0,,,,,4.0,,,,,1458.8,-73.0,,,,,,,,,False,False,,,,
02090,1079,1848.0,,,,,2321.4,0.0,,1498.6,,,769.0,,,,,1242.4,-1079.0,,419.6,,,,,,,False,False,,True,,
02100,5,0.0,,,,,0.0,,,,,,-5.0,,,,,-5.0,,,,,,,,,,True,,,,,
02105,0,0.0,,,,,2.4,,,,,,0.0,,,,,2.4,,,,,,,,,,False,,,,,
02110,168,217.0,,,,,179.9,0.0,,,,,49.0,,,,,11.9,-168.0,,,,,,,,,True,False,,,,
02122,330,504.0,,,,,116.9,0.0,,403.1,,,174.0,,,,,-213.1,-330.0,,73.1,,,,,,,False,False,,True,,
02130,95,84.0,,,,,2670.6,0.0,,,,,-11.0,,,,,2575.6,-95.0,,,,,,,,,False,False,,,,
02150,129,266.0,,,,,90.8,0.0,,,,,137.0,,,,,-38.2,-129.0,,,,,,,,,True,True,,,,
02158,352,1022.0,,,,,2362.6,,,,,,670.0,,,,,2010.6,,,,,,,,,,False,,,,,
02164,26,21.0,,,,,52.7,0.0,,,,,-5.0,,,,,26.7,-26.0,,,,,,,,,False,False,,,,
02170,1835,2702.0,,,,,2926.0,0.0,,2492.2,,,867.0,,,,,1091.0,-1835.0,,657.2,,,,,,,False,False,,True,,
02180,43,63.0,,,,,372.8,0.0,,,,,20.0,,,,,329.8,-43.0,,,,,,,,,False,False,,,,
02185,189,168.0,,,,,59.5,0.0,,,,,-21.0,,,,,-129.5,-189.0,,,,,,,,,False,False,,,,
02188,182,42.0,,,,,76.6,0.0,,,,,-140.0,,,,,-105.4,-182.0,,,,,,,,,True,False,,,,
02195,23,14.0,,,,,605.1,,,,,,-9.0,,,,,582.1,,,,,,,,,,False,,,,,
02198,5,7.0,,,,,3.3,,,,,,2.0,,,,,-1.7,,,,,,,,,,True,,,,,
02220,44,0.0,,,,,5.4,0.0,,,,,-44.0,,,,,-38.6,-44.0,,,,,,,,,True,False,,,,
02230,3,7.0,,,,,17.0,,,,,,4.0,,,,,14.0,,,,,,,,,,False,,,,,
02240,43,49.0,,,,,16.4,0.0,,,,,6.0,,,,,-26.6,-43.0,,,,,,,,,False,False,,,,
02261,100,217.0,,,,,817.7,9.4,,,,,117.0,,,,,717.7,-90.6,,,,,,,,,False,True,,,,
02275,3,7.0,,,,,11.9,,,,,,4.0,,,,,8.9,,,,,,,,,,False,,,,,
02282,14,14.0,,,,,184.6,,,,,,0.0,,,,,170.6,,,,,,,,,,False,,,,,
02290,121,21.0,,,,,12.0,0.0,,,,,-100.0,,,,,-109.0,-121.0,,,,,,,,,False,False,,,,
04001,2583,3283.0,,,,2615.0,2851.0,0.0,,1032.7,,,700.0,,,,32.0,268.0,-2583.0,,-1550.3,,,,,,True,True,False,,False,,
04003,3326,4347.0,,,,3758.0,2600.2,1147.1,,4089.2,,,1021.0,,,,432.0,-725.8,-2178.9,,763.2,,,,,,True,True,False,,True,,
04005,4772,5362.0,,,,2814.0,4053.2,1680.0,,2748.7,2161.0,,590.0,,,,-1958.0,-718.8,-3092.0,,-2023.3,-2611.0,,,,,False,False,False,,False,False,
04007,1746,2422.0,,,,2146.0,1737.0,491.8,,1192.7,,,676.0,,,,400.0,-9.0,-1254.2,,-553.3,,,,,,True,True,False,,True,,
04009,1892,1988.0,,,,1578.0,1652.7,211.4,,834.1,,,96.0,,,,-314.0,-239.3,-1680.6,,-1057.9,,,,,,False,False,False,,False,,
04011,143,231.0,,,,404.0,543.1,0.0,,,,,88.0,,,,261.0,400.1,-143.0,,,,,,,,False,False,False,,,,
04012,860,1463.0,,,,1558.0,1555.2,0.0,,,,,603.0,,,,698.0,695.2,-860.0,,,,,,,,False,False,False,,,,
04013,172453,200151.0,,,,139002.0,266542.1,42666.8,,144900.0,0.0,,27698.0,,,,-33451.0,94089.1,-129786.2,,-27553.0,-172453.0,,,,,False,False,False,,True,False,
04015,7755,11956.0,,,,5695.0,11457.6,1045.7,,8080.9,13642.0,,4201.0,,,,-2060.0,3702.6,-6709.3,,325.9,5887.0,,,,,True,True,False,,True,False,
04017,3866,4956.0,,,,3634.0,4117.9,383.6,,2780.7,,,1090.0,,,,-232.0,251.9,-3482.4,,-1085.3,,,,,,True,True,False,,True,,
04019,36200,43722.0,,,,33816.0,33388.1,8778.3,,27578.1,36227.0,,7522.0,,,,-2384.0,-2811.9,-27421.7,,-8621.9,27.0,,,,,True,True,False,,False,True,
04021,16952,18445.0,,,,16485.0,14830.4,2117.5,,7195.5,17128.0,,1493.0,,,,-467.0,-2121.6,-14834.5,,-9756.5,176.0,,,,,True,False,False,,False,True,
04023,1435,3115.0,,,,2226.0,1630.0,225.5,,1794.3,,,1680.0,,,,791.0,195.0,-1209.5,,359.3,,,,,,True,True,True,,True,,
04025,5212,8624.0,,,,5237.0,6133.9,1419.6,,2540.2,5888.0,,3412.0,,,,25.0,921.9,-3792.4,,-2671.8,676.0,,,,,True,True,False,,True,True,
04027,7877,12684.0,,,,8543.0,7339.5,0.1,,3491.2,7815.0,,4807.0,,,,666.0,-537.5,-7876.9,,-4385.8,-62.0,,,,,True,True,False,,True,True,
05001,610,595.0,,,,641.0,512.5,48.9,,,,,-15.0,,,,31.0,-97.5,-561.1,,,,,,,,False,False,False,,,,
05003,444,490.0,,,,720.0,235.9,0.0,,,,,46.0,,,,276.0,-208.1,-444.0,,,,,,,,False,False,False,,,,
05005,656,1232.0,,,,841.0,1619.0,153.8,,,,,576.0,,,,185.0,963.0,-502.2,,,,,,,,True,False,True,,,,
05007,8088,12257.0,,,,7225.0,20412.1,1464.9,,8173.6,0.0,,4169.0,,,,-863.0,12324.1,-6623.1,,85.6,-8088.0,,,,,True,False,False,,True,False,
05009,960,1134.0,,,,798.0,803.8,0.0,,,,,174.0,,,,-162.0,-156.2,-960.0,,,,,,,,True,True,False,,,,
05011,345,581.0,,,,333.0,174.8,0.0,,,,,236.0,,,,-12.0,-170.2,-345.0,,,,,,,,True,True,False,,,,
05013,146,189.0,,,,169.0,131.0,0.2,,,,,43.0,,,,23.0,-15.0,-145.8,,,,,,,,True,True,False,,,,
05015,595,819.0,,,,482.0,413.5,0.0,,,,,224.0,,,,-113.0,-181.5,-595.0,,,,,,,,True,True,False,,,,
05017,167,238.0,,,,358.0,118.0,0.0,,,,,71.0,,,,191.0,-49.0,-167.0,,,,,,,,False,True,False,,,,
05019,581,770.0,,,,651.0,476.8,0.0,,,,,189.0,,,,70.0,-104.2,-581.0,,,,,,,,True,True,False,,,,
05021,325,483.0,,,,393.0,280.4,0.0,,,,,158.0,,,,68.0,-44.6,-325.0,,,,,,,,True,True,False,,,,
05023,552,1288.0,,,,750.0,2076.5,98.0,,,,,736.0,,,,198.0,1524.5,-454.0,,,,,,,,True,False,True,,,,
05025,331,294.0,,,,281.0,329.5,4.9,,,,,-37.0,,,,-50.0,-1.5,-326.1,,,,,,,,False,True,False,,,,
05027,504,735.0,,,,746.0,784.1,81.8,,,,,231.0,,,,242.0,280.1,-422.2,,,,,,,,False,False,False,,,,
05029,738,1253.0,,,,739.0,1002.2,52.9,,,,,515.0,,,,1.0,264.2,-685.1,,,,,,,,True,True,False,,,,
05031,2439,4473.0,,,,3512.0,2751.3,693.5,,3334.4,,,2034.0,,,,1073.0,312.3,-1745.5,,895.4,,,,,,True,True,True,,True,,
05033,2086,2646.0,,,,2583.0,2587.9,196.3,,,,,560.0,,,,497.0,501.9,-1889.7,,,,,,,,True,True,False,,,,
05035,1237,1428.0,,,,1205.0,951.3,100.7,,2075.6,,,191.0,,,,-32.0,-285.7,-1136.3,,838.6,,,,,,True,False,False,,False,,
05037,448,924.0,,,,566.0,607.0,68.0,,,,,476.0,,,,118.0,159.0,-380.0,,,,,,,,True,True,True,,,,
05039,223,196.0,,,,221.0,75.1,0.0,,,,,-27.0,,,,-2.0,-147.9,-223.0,,,,,,,,True,False,False,,,,
05041,333,434.0,,,,296.0,185.8,0.0,,,,,101.0,,,,-37.0,-147.2,-333.0,,,,,,,,True,False,False,,,,
05043,470,483.0,,,,687.0,144.7,0.0,,,,,13.0,,,,217.0,-325.3,-470.0,,,,,,,,False,False,False,,,,
05045,3632,5880.0,,,,3682.0,8860.7,659.9,,6042.1,,,2248.0,,,,50.0,5228.7,-2972.1,,2410.1,,,,,,True,False,False,,False,,
05047,474,567.0,,,,611.0,620.8,35.3,,,,,93.0,,,,137.0,146.8,-438.7,,,,,,,,False,False,False,,,,
05049,154,525.0,,,,276.0,238.2,0.0,,,,,371.0,,,,122.0,84.2,-154.0,,,,,,,,True,True,True,,,,
05051,3532,3633.0,,,,3470.0,4813.9,337.2,,4058.1,,,101.0,,,,-62.0,1281.9,-3194.8,,526.1,,,,,,True,False,False,,False,,
05053,427,931.0,,,,547.0,823.2,43.7,,,,,504.0,,,,120.0,396.2,-383.3,,,,,,,,True,True,True,,,,
05055,1286,1435.0,,,,1489.0,702.5,0.0,,2475.3,,,149.0,,,,203.0,-583.5,-1286.0,,1189.3,,,,,,False,False,False,,False,,
05057,545,427.0,,,,682.0,253.2,88.3,,,,,-118.0,,,,137.0,-291.8,-456.7,,,,,,,,False,False,False,,,,
05059,1013,1386.0,,,,1424.0,1125.2,0.0,,513.2,,,373.0,,,,411.0,112.2,-1013.0,,-499.8,,,,,,False,True,False,,False,,
05061,387,364.0,,,,389.0,142.4,0.0,,,,,-23.0,,,,2.0,-244.6,-387.0,,,,,,,,True,False,False,,,,
05063,817,1295.0,,,,1580.0,1306.0,91.0,,706.4,,,478.0,,,,763.0,489.0,-726.0,,-110.6,,,,,,False,False,False,,True,,
05065,292,945.0,,,,290.0,1651.5,56.4,,,,,653.0,,,,-2.0,1359.5,-235.6,,,,,,,,True,False,True,,,,
05067,294,595.0,,,,535.0,91.2,0.0,,,,,301.0,,,,241.0,-202.8,-294.0,,,,,,,,True,True,True,,,,
05069,1678,2275.0,,,,2053.0,646.5,0.0,,1867.7,,,597.0,,,,375.0,-1031.5,-1678.0,,189.7,,,,,,True,False,False,,True,,
05071,768,1288.0,,,,940.0,1287.7,71.5,,,,,520.0,,,,172.0,519.7,-696.5,,,,,,,,True,True,False,,,,
05073,146,147.0,,,,165.0,241.5,0.0,,,,,1.0,,,,19.0,95.5,-146.0,,,,,,,,False,False,False,,,,
05075,396,686.0,,,,600.0,699.5,74.4,,,,,290.0,,,,204.0,303.5,-321.6,,,,,,,,True,False,False,,,,
05077,177,322.0,,,,315.0,151.2,0.0,,,,,145.0,,,,138.0,-25.8,-177.0,,,,,,,,True,True,False,,,,
05079,283,399.0,,,,497.0,120.3,0.0,,436.0,,,116.0,,,,214.0,-162.7,-283.0,,153.0,,,,,,False,False,False,,False,,
05081,279,455.0,,,,435.0,830.9,36.0,,,,,176.0,,,,156.0,551.9,-243.0,,,,,,,,True,False,False,,,,
05083,675,952.0,,,,874.0,1133.1,91.6,,,,,277.0,,,,199.0,458.1,-583.4,,,,,,,,True,False,False,,,,
05085,2367,2814.0,,,,2099.0,2727.3,386.1,,2233.2,,,447.0,,,,-268.0,360.3,-1980.9,,-133.8,,,,,,True,True,False,,True,,
05087,342,539.0,,,,398.0,378.8,0.0,,,,,197.0,,,,56.0,36.8,-342.0,,,,,,,,True,True,False,,,,
05089,264,483.0,,,,277.0,1054.0,0.0,,,,,219.0,,,,13.0,790.0,-264.0,,,,,,,,True,False,False,,,,
05091,925,1148.0,,,,1362.0,1179.7,127.9,,399.6,,,223.0,,,,437.0,254.7,-797.1,,-525.4,,,,,,False,False,False,,False,,
05093,1085,1358.0,,,,1383.0,773.0,0.0,,575.1,,,273.0,,,,298.0,-312.0,-1085.0,,-509.9,,,,,,False,False,False,,False,,
05095,319,385.0,,,,226.0,313.3,6.4,,,,,66.0,,,,-93.0,-5.7,-312.6,,,,,,,,False,True,False,,,,
05097,204,336.0,,,,268.0,363.6,12.0,,,,,132.0,,,,64.0,159.6,-192.0,,,,,,,,True,False,False,,,,
05099,162,119.0,,,,317.0,27.1,0.0,,,,,-43.0,,,,155.0,-134.9,-162.0,,,,,,,,False,False,False,,,,
05101,120,119.0,,,,194.0,46.8,0.0,,,,,-1.0,,,,74.0,-73.2,-120.0,,,,,,,,False,False,False,,,,
05103,721,875.0,,,,800.0,688.4,0.0,,,,,154.0,,,,79.0,-32.6,-721.0,,,,,,,,True,True,False,,,,
05105,324,420.0,,,,246.0,419.0,12.2,,,,,96.0,,,,-78.0,95.0,-311.8,,,,,,,,True,True,False,,,,
05107,392,329.0,,,,659.0,79.7,0.0,,,,,-63.0,,,,267.0,-312.3,-392.0,,,,,,,,False,False,False,,,,
05109,244,378.0,,,,364.0,241.4,16.1,,,,,134.0,,,,120.0,-2.6,-227.9,,,,,,,,True,True,False,,,,
05111,626,889.0,,,,778.0,418.8,106.9,,350.3,,,263.0,,,,152.0,-207.2,-519.1,,-275.7,,,,,,True,True,False,,False,,
05113,571,770.0,,,,786.0,1411.0,63.6,,,,,199.0,,,,215.0,840.0,-507.4,,,,,,,,False,False,False,,,,
05115,1917,3556.0,,,,1976.0,2611.6,291.2,,3091.7,,,1639.0,,,,59.0,694.6,-1625.8,,1174.7,,,,,,True,True,True,,True,,
05117,297,336.0,,,,241.0,111.2,0.0,,,,,39.0,,,,-56.0,-185.8,-297.0,,,,,,,,False,False,False,,,,
05119,11168,16744.0,,,,11125.0,22073.2,1728.6,,20246.1,0.0,,5576.0,,,,-43.0,10905.2,-9439.4,,9078.1,-11168.0,,,,,True,False,False,,False,False,
05121,443,805.0,,,,534.0,1105.1,41.5,,,,,362.0,,,,91.0,662.1,-401.5,,,,,,,,True,False,False,,,,
05123,637,777.0,,,,848.0,446.1,0.0,,599.2,,,140.0,,,,211.0,-190.9,-637.0,,-37.8,,,,,,False,False,False,,True,,
05125,3427,4669.0,,,,4578.0,5041.9,678.5,,2978.2,,,1242.0,,,,1151.0,1614.9,-2748.5,,-448.8,,,,,,True,False,False,,True,,
05127,307,644.0,,,,394.0,3352.4,23.7,,,,,337.0,,,,87.0,3045.4,-283.3,,,,,,,,True,False,True,,,,
05129,130,252.0,,,,230.0,211.5,0.0,,,,,122.0,,,,100.0,81.5,-130.0,,,,,,,,True,True,False,,,,
05131,4524,5789.0,,,,5204.0,10406.5,389.5,,3513.2,,,1265.0,,,,680.0,5882.5,-4134.5,,-1010.8,,,,,,True,False,False,,True,,
05133,457,553.0,,,,681.0,333.4,0.0,,341.3,,,96.0,,,,224.0,-123.6,-457.0,,-115.7,,,,,,False,False,False,,False,,
05135,345,763.0,,,,421.0,763.8,37.7,,,,,418.0,,,,76.0,418.8,-307.3,,,,,,,,True,False,True,,,,
05137,178,210.0,,,,319.0,86.0,77.6,,,,,32.0,,,,141.0,-92.0,-100.4,,,,,,,,False,False,False,,,,
05139,1059,1995.0,,,,1416.0,2051.0,149.6,,2068.2,,,936.0,,,,357.0,992.0,-909.4,,1009.2,,,,,,True,False,True,,False,,
05141,409,420.0,,,,419.0,99.9,0.0,,,,,11.0,,,,10.0,-309.1,-409.0,,,,,,,,True,False,False,,,,
05143,7040,10752.0,,,,7079.0,7618.3,1358.5,,11213.7,0.0,,3712.0,,,,39.0,578.3,-5681.5,,4173.7,-7040.0,,,,,True,True,False,,False,False,
05145,2064,4536.0,,,,3033.0,6161.1,400.6,,2874.3,,,2472.0,,,,969.0,4097.1,-1663.4,,810.3,,,,,,True,False,True,,True,,
05147,234,364.0,,,,160.0,801.8,8.5,,,,,130.0,,,,-74.0,567.8,-225.5,,,,,,,,True,False,False,,,,
