,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,234895,382380.0,545223.0,,525498.1,415428.0,,361134.0,358308.9,214503.7,482251.5,,337842.9,268103.0,147485.0,310328.0,,290603.1,180533.0,,126239.0,123413.9,-20391.3,247356.5,,102947.9,33208.0,False,,False,False,,True,True,True,False,,True,True
Hawaii,3889,7362.0,10447.0,,6766.6,6024.0,,,10127.9,23681.0,8830.5,,4392.3,5015.0,3473.0,6558.0,,2877.6,2135.0,,,6238.9,19792.0,4941.5,,503.3,1126.0,False,,True,True,,,False,False,False,,True,True
Idaho,19915,42216.0,77326.0,,36685.3,13935.0,,36042.0,18384.2,27892.4,37324.0,,28011.0,22419.0,22301.0,57411.0,,16770.3,-5980.0,,16127.0,-1530.8,7977.4,17409.0,,8096.0,2504.0,False,,True,True,,True,True,True,True,,True,True
Illinois,148697,292122.0,546137.0,,258667.5,26290.0,,245352.0,172795.2,176222.1,290439.5,,206432.2,172598.0,143425.0,397440.0,,109970.5,-122407.0,,96655.0,24098.2,27525.1,141742.5,,57735.2,23901.0,False,,True,True,,True,True,True,True,,True,True
Indiana,96100,212820.0,350474.0,,192968.3,65931.0,,201647.0,149546.8,116936.8,239232.5,,226708.9,123432.0,116720.0,254374.0,,96868.3,-30169.0,,105547.0,53446.8,20836.8,143132.5,,130608.9,27332.0,False,,True,True,,True,True,True,False,,False,True
Iowa,36011,73656.0,132714.0,,64921.0,402095.0,,66507.0,34463.1,44150.4,67598.0,,73665.6,35146.0,37645.0,96703.0,,28910.0,366084.0,,30496.0,-1547.9,8139.4,31587.0,,37654.6,-865.0,False,,True,False,,True,True,True,True,,False,True
Kansas,48632,80004.0,63856.0,,77267.2,221277.0,,85951.0,177978.3,51926.0,5280.0,,69210.1,48789.0,31372.0,15224.0,,28635.2,172645.0,,37319.0,129346.3,3294.0,-43352.0,,20578.1,157.0,True,,True,False,,False,False,True,False,,True,True
Kentucky,95621,158562.0,251780.0,,152357.1,51881.0,,141516.0,279189.0,90897.5,195998.5,,109568.9,87283.0,62941.0,156159.0,,56736.1,-43740.0,,45895.0,183568.0,-4723.5,100377.5,,13947.9,-8338.0,False,,True,True,,True,False,True,False,,True,True
Louisiana,80856,156936.0,263893.0,,169093.5,76857.0,,156492.0,204832.2,88939.5,134555.5,,134580.1,85786.0,76080.0,183037.0,,88237.5,-3999.0,,75636.0,123976.2,8083.5,53699.5,,53724.1,4930.0,False,,False,True,,True,False,True,True,,True,True
Maine,14348,22644.0,30173.0,,22758.5,14163.0,,20665.0,28581.2,30366.5,20244.0,,19018.0,18771.0,8296.0,15825.0,,8410.5,-185.0,,6317.0,14233.2,16018.5,5896.0,,4670.0,4423.0,False,,False,True,,True,False,False,True,,True,True
Maryland,72373,121158.0,155059.0,,122808.9,865174.0,,113407.0,123479.2,110886.4,146824.0,,138301.8,81112.0,48785.0,82686.0,,50435.9,792801.0,,41034.0,51106.2,38513.4,74451.0,,65928.8,8739.0,False,,False,False,,True,False,True,False,,False,True
Massachusetts,140629,257724.0,418691.0,,237611.7,136601.0,,237990.0,264513.9,156288.5,292885.0,,309524.7,171337.0,117095.0,278062.0,,96982.7,-4028.0,,97361.0,123884.9,15659.5,152256.0,,168895.7,30708.0,False,,True,True,,True,False,True,False,,False,True
Michigan,73716,146592.0,354391.0,,116222.8,23427.0,,153277.0,147137.3,233760.5,130614.0,,186502.9,91930.0,72876.0,280675.0,,42506.8,-50289.0,,79561.0,73421.3,160044.5,56898.0,,112786.9,18214.0,False,,True,True,,False,False,False,True,,False,True
Minnesota,43744,99486.0,263468.0,,86790.8,11393.0,,97852.0,52041.3,93149.6,90551.5,,97327.3,49333.0,55742.0,219724.0,,43046.8,-32351.0,,54108.0,8297.3,49405.6,46807.5,,53583.3,5589.0,False,,True,True,,True,True,True,True,,True,True
Mississippi,53374,99546.0,127920.0,,88862.0,64002.0,,102272.0,106136.6,59711.3,128119.0,,79333.5,54602.0,46172.0,74546.0,,35488.0,10628.0,,48898.0,52762.6,6337.3,74745.0,,25959.5,1228.0,False,,True,True,,False,False,True,False,,True,True
Missouri,79083,129828.0,210077.0,,123376.2,47034.0,,134267.0,86220.3,80486.2,126489.0,,124092.5,75627.0,50745.0,130994.0,,44293.2,-32049.0,,55184.0,7137.3,1403.2,47406.0,,45009.5,-3456.0,False,,True,True,,False,True,True,True,,True,True
Montana,12539,24948.0,41281.0,,18601.5,3389.0,,23623.0,15720.7,10726.5,15373.0,,14470.5,11209.0,12409.0,28742.0,,6062.5,-9150.0,,11084.0,3181.7,-1812.5,2834.0,,1931.5,-1330.0,False,,True,True,,True,True,True,True,,True,True
Nebraska,23131,44148.0,40818.0,,41877.6,3632.0,,43149.0,28045.3,37551.2,37395.0,,53898.2,24586.0,21017.0,17687.0,,18746.6,-19499.0,,20018.0,4914.3,14420.2,14264.0,,30767.2,1455.0,True,,True,True,,True,True,True,True,,False,True
Nevada,44362,104628.0,232482.0,,89658.0,32443.0,,87685.0,57023.9,46677.5,106307.5,,104102.1,57866.0,60266.0,188120.0,,45296.0,-11919.0,,43323.0,12661.9,2315.5,61945.5,,59740.1,13504.0,False,,True,True,,True,True,True,False,,True,True
New Hampshire,20790,33990.0,69100.0,,30754.4,11622.0,,34483.0,69902.5,28731.5,28095.5,,23791.5,23513.0,13200.0,48310.0,,9964.4,-9168.0,,13693.0,49112.5,7941.5,7305.5,,3001.5,2723.0,False,,True,True,,False,False,True,True,,True,True
New Jersey,185125,228288.0,445279.0,,276902.5,84356.0,,193189.0,208786.9,207609.9,269961.0,,160311.6,149746.0,43163.0,260154.0,,91777.5,-100769.0,,8064.0,23661.9,22484.9,84836.0,,-24813.4,-35379.0,False,,False,False,,True,True,True,False,,True,True
New Mexico,27521,57450.0,88702.0,,50679.7,7213.0,,52944.0,48309.1,30746.3,64739.0,,45687.2,32247.0,29929.0,61181.0,,23158.7,-20308.0,,25423.0,20788.1,3225.3,37218.0,,18166.2,4726.0,False,,True,True,,True,True,True,False,,True,True
New York,466151,645714.0,935361.0,,748584.0,417844.0,,567832.0,1025881.9,630939.9,885994.5,,1087547.9,428343.0,179563.0,469210.0,,282433.0,-48307.0,,101681.0,559730.9,164788.9,419843.5,,621396.9,-37808.0,False,,False,True,,True,False,True,False,,False,True
North Carolina,225741,335508.0,471268.0,,339406.0,192000.0,,377919.0,423655.6,231432.5,444619.5,,300422.0,253994.0,109767.0,245527.0,,113665.0,-33741.0,,152178.0,197914.6,5691.5,218878.5,,74681.0,28253.0,False,,False,True,,False,False,True,False,,True,True
North Dakota,4679,10002.0,9456.0,,9858.0,916.0,,14322.0,3855.0,8413.2,7892.5,,10907.1,4511.0,5323.0,4777.0,,5179.0,-3763.0,,9643.0,-824.0,3734.2,3213.5,,6228.1,-168.0,True,,True,True,,False,True,True,True,,False,True
Ohio,181329,337824.0,476840.0,,308749.4,77023.0,,356801.0,243947.8,194147.1,323098.5,,284557.1,223246.0,156495.0,295511.0,,127420.4,-104306.0,,175472.0,62618.8,12818.1,141769.5,,103228.1,41917.0,False,,True,True,,False,True,True,True,,True,True
Oklahoma,93443,172920.0,300853.0,,159273.7,70148.0,,164072.0,158598.2,78807.0,167568.0,,137564.5,90770.0,79477.0,207410.0,,65830.7,-23295.0,,70629.0,65155.2,-14636.0,74125.0,,44121.5,-2673.0,False,,True,True,,True,True,True,True,,True,True
Oregon,28235,48768.0,82108.0,,45558.8,18564.0,,45924.0,54649.9,52222.9,39765.0,,35748.0,31345.0,20533.0,53873.0,,17323.8,-9671.0,,17689.0,26414.9,23987.9,11530.0,,7513.0,3110.0,False,,True,True,,True,False,False,True,,True,True
Pennsylvania,196635,340182.0,550088.0,,287808.6,104839.0,,323800.0,210138.9,262282.5,363835.0,,321466.0,217587.0,143547.0,353453.0,,91173.6,-91796.0,,127165.0,13503.9,65647.5,167200.0,,124831.0,20952.0,False,,True,True,,True,True,True,False,,True,True
Rhode Island,25531,57990.0,82747.0,,48095.2,9564.0,,41867.0,32362.1,25856.5,50293.5,,33491.8,14867.0,32459.0,57216.0,,22564.2,-15967.0,,16336.0,6831.1,325.5,24762.5,,7960.8,-10664.0,False,,True,True,,True,True,True,True,,True,True
South Carolina,151193,224196.0,422756.0,,202774.3,394415.0,,169408.0,241143.5,91953.6,234468.0,,199838.3,136121.0,73003.0,271563.0,,51581.3,243222.0,,18215.0,89950.5,-59239.4,83275.0,,48645.3,-15072.0,False,,True,False,,True,False,True,False,,True,True
South Dakota,8264,18432.0,18246.0,,15468.3,8722.0,,17692.0,5725.5,10130.5,14623.5,,15632.8,8554.0,10168.0,9982.0,,7204.3,458.0,,9428.0,-2538.5,1866.5,6359.5,,7368.8,290.0,True,,True,True,,True,True,True,True,,True,True
Tennessee,117558,253908.0,374053.0,,255120.1,164958.0,,327736.0,121776.0,150475.8,217331.0,,202932.8,144780.0,136350.0,256495.0,,137562.1,47400.0,,210178.0,4218.0,32917.8,99773.0,,85374.8,27222.0,False,,False,True,,False,True,True,True,,True,True
Texas,641901,904404.0,1808534.0,,919319.3,526351.0,,869531.0,1253597.6,641498.3,832800.0,,672126.4,532627.0,262503.0,1166633.0,,277418.3,-115550.0,,227630.0,611696.6,-402.7,190899.0,,30225.4,-109274.0,False,,False,True,,True,False,True,True,,True,True
Utah,62311,132414.0,88296.0,,127400.4,141394.0,,131759.0,79501.6,48849.1,138507.0,,87901.6,74669.0,70103.0,25985.0,,65089.4,79083.0,,69448.0,17190.6,-13461.9,76196.0,,25590.6,12358.0,True,,True,False,,True,True,True,False,,True,True
Vermont,5569,6606.0,17074.0,,5929.5,3397.0,,7814.0,20795.9,8389.3,10620.5,,6843.1,5383.0,1037.0,11505.0,,360.5,-2172.0,,2245.0,15226.9,2820.3,5051.5,,1274.1,-186.0,False,,True,False,,False,False,False,False,,False,True
Virginia,168097,209760.0,303923.0,,210639.5,103460.0,,190584.0,252080.1,193091.4,227883.5,,125924.9,104051.0,41663.0,135826.0,,42542.5,-64637.0,,22487.0,83983.1,24994.4,59786.5,,-42172.1,-64046.0,False,,False,False,,True,False,True,False,,False,False
Washington,62199,149058.0,132610.0,,272035.1,56300.0,,97413.0,397366.7,78204.6,100762.0,,124282.2,64111.0,86859.0,70411.0,,209836.1,-5899.0,,35214.0,335167.7,16005.6,38563.0,,62083.2,1912.0,True,,False,True,,True,False,True,True,,True,True
West Virginia,29586,62706.0,80869.0,,57628.3,36274.0,,62935.0,67991.7,39435.6,61047.0,,56551.9,41209.0,33120.0,51283.0,,28042.3,6688.0,,33349.0,38405.7,9849.6,31461.0,,26965.9,11623.0,False,,True,True,,False,False,True,True,,True,True
Wisconsin,63655,146892.0,360173.0,,132903.2,15393.0,,130070.0,50636.9,66145.1,141535.5,,134342.9,67951.0,83237.0,296518.0,,69248.2,-48262.0,,66415.0,-13018.1,2490.1,77880.5,,70687.9,4296.0,False,,True,True,,True,True,True,True,,True,True
Wyoming,6964,12876.0,16899.0,,10379.7,1150.0,,11831.0,13543.8,6133.8,10531.0,,15624.9,5825.0,5912.0,9935.0,,3415.7,-5814.0,,4867.0,6579.8,-830.2,3567.0,,8660.9,-1139.0,False,,True,True,,True,False,True,True,,False,True
US,5845916,10236600.0,17156511.0,10131834.0,11124848.9,9434534.0,10722178.0,8943239.0,10462734.7,6961940.7,11287148.0,10613203.0,10774571.6,6326749.0,4390684.0,11310595.0,4285918.0,5278932.9,3588618.0,4876262.0,3097323.0,4616818.7,1116024.7,5441232.0,4767287.0,4928655.6,480833.0,False,True,False,True,False,True,False,True,False,False,False,True
