,perc_error_2020-09-07_2021-01-23,perc_error_2020-09-14_2021-01-23,perc_error_2020-09-21_2021-01-23,perc_error_2020-09-28_2021-01-23,perc_error_2020-10-05_2021-01-23,perc_error_2020-10-12_2021-01-23,perc_error_2020-10-19_2021-01-23,perc_error_2020-10-26_2021-01-23,perc_error_2020-11-02_2021-01-23,perc_error_2020-11-09_2021-01-23,perc_error_2020-11-16_2021-01-23,perc_error_2020-11-23_2021-01-23,perc_error_2020-11-30_2021-01-23,perc_error_2020-12-07_2021-01-23,perc_error_2020-12-14_2021-01-23,perc_error_2020-12-21_2021-01-23,perc_error_2020-12-28_2021-01-23,perc_error_2021-01-04_2021-01-23,perc_error_2021-01-11_2021-01-23,perc_error_2021-01-18_2021-01-23
UCLA-SuEIR,,,,,,,-0.743,-0.752,-0.677,-0.559,-0.474,-0.337,-0.541,-0.223,-0.292,-0.191,-0.612,-0.388,-0.163,-0.093
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.361,-0.285,-0.094,0.111
DDS-NBDS,,,,,,,,,,,,,,,,,-0.066,-0.312,0.161,0.329
USC-SI_kJalpha,,,,,,,,,,,,,,,,,-0.181,-0.319,-0.146,0.138
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.429,-0.476,-0.017,0.153
Caltech-CS156,,,,,,,,,,,,,,,,,-0.184,-0.258,-0.243,-0.151
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,0.154,0.018
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.169,,,
NotreDame-mobility,,,,,,,,,,,,,,,-0.544,,,,,
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.550,-0.330,-0.144,-0.126
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,-0.008
UT-Mobility,,,,,,,,,,,,,,,,,,,-0.073,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,0.052
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,-0.273,-0.080
SigSci-TS,,,,,,,,,,,,,,,,,,,-0.213,-0.117
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.401,-0.347,-0.303,-0.204
CU-select,,,,,,,,,,,,,,,,,-0.475,-0.500,-0.428,-0.290
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.807,-0.785,-0.763,-0.750,,-0.668,-0.602,-0.515
STH-3PU,-0.848,-0.629,-0.654,,-0.685,-0.687,-0.699,-0.720,-0.714,,,,,,,,,,,
USACE-ERDC_SEIR,,,,,,,,,,,,,0.266,,,,,,,
