,mean_abs_error_2020-05-25_2020-10-03,mean_abs_error_2020-06-01_2020-10-03,mean_abs_error_2020-06-08_2020-10-03,mean_abs_error_2020-06-15_2020-10-03,mean_abs_error_2020-06-22_2020-10-03,mean_abs_error_2020-06-29_2020-10-03,mean_abs_error_2020-07-06_2020-10-03,mean_abs_error_2020-07-13_2020-10-03,mean_abs_error_2020-07-20_2020-10-03,mean_abs_error_2020-07-27_2020-10-03,mean_abs_error_2020-08-03_2020-10-03,mean_abs_error_2020-08-10_2020-10-03,mean_abs_error_2020-08-17_2020-10-03,mean_abs_error_2020-08-24_2020-10-03,mean_abs_error_2020-08-31_2020-10-03,mean_abs_error_2020-09-07_2020-10-03,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-03,mean_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-05-25_2020-10-03,mean_sq_abs_error_2020-06-01_2020-10-03,mean_sq_abs_error_2020-06-08_2020-10-03,mean_sq_abs_error_2020-06-15_2020-10-03,mean_sq_abs_error_2020-06-22_2020-10-03,mean_sq_abs_error_2020-06-29_2020-10-03,mean_sq_abs_error_2020-07-06_2020-10-03,mean_sq_abs_error_2020-07-13_2020-10-03,mean_sq_abs_error_2020-07-20_2020-10-03,mean_sq_abs_error_2020-07-27_2020-10-03,mean_sq_abs_error_2020-08-03_2020-10-03,mean_sq_abs_error_2020-08-10_2020-10-03,mean_sq_abs_error_2020-08-17_2020-10-03,mean_sq_abs_error_2020-08-24_2020-10-03,mean_sq_abs_error_2020-08-31_2020-10-03,mean_sq_abs_error_2020-09-07_2020-10-03,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-09-28_2020-10-03
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,72.8,53.8,29.2,24.8,,,,,,,,,,,,,,,,16943.9,8937.5,2097.0,1729.8
OliverWyman-Navigator,,,,,,,,,,,,,,,,68.0,54.3,36.0,22.8,,,,,,,,,,,,,,,,17379.1,8678.7,3064.7,1516.8
JHU_IDD-CovidSP,,,,,,,,,,,,,,,184.9,102.9,73.0,40.0,16.0,,,,,,,,,,,,,,,100015.2,27294.2,9982.4,2887.2,480.1
DDS-NBDS,,,,,,,,,,,,,,,,101.0,71.9,35.9,22.3,,,,,,,,,,,,,,,,28664.2,19662.7,3307.3,1563.0
LANL-GrowthRate,,,,,,,,,,,,,318.2,251.5,175.7,126.9,87.0,42.6,19.1,,,,,,,,,,,,,288141.6,233975.0,119753.0,65643.3,21932.3,4285.9,1057.6
CEID-Walk,,,,,,,,,,,,,,,,108.3,63.3,44.4,23.1,,,,,,,,,,,,,,,,53086.2,11101.1,5712.8,1396.2
COVIDhub-baseline,,,,,,,,,,,,,,,,117.5,63.6,45.4,21.8,,,,,,,,,,,,,,,,61197.9,11987.9,5997.7,1267.0
GT-DeepCOVID,,,,,,,,,,,,,,,,117.0,71.3,46.9,21.6,,,,,,,,,,,,,,,,54241.0,17822.0,6917.5,1719.5
CovidAnalytics-DELPHI,,,,,,,,,,,,,217.1,204.0,159.0,121.7,86.1,50.7,24.3,,,,,,,,,,,,,125329.1,192914.1,101344.1,44550.1,18689.2,6194.0,1279.3
MIT_CritData-GBCF,,,,,,,,,,,,,,,,95.7,106.7,33.9,24.9,,,,,,,,,,,,,,,,35082.7,45049.3,2889.5,1146.6
Covid19Sim-Simulator,1281.2,1261.4,1196.6,916.2,814.0,978.5,809.1,610.3,443.7,358.6,259.9,,,386.3,106.8,112.3,71.0,64.8,48.0,7409181.0,7054993.6,6469267.9,4239115.7,3073277.5,9717717.6,7719563.5,2969047.2,1231474.3,724234.1,195540.4,,,754925.6,65838.6,67079.0,18171.2,13815.7,6708.0
IowaStateLW-STEM,,1690.8,1445.8,1141.8,1029.9,1054.8,789.7,647.5,453.9,439.4,371.8,,278.3,259.8,144.8,113.1,72.8,79.4,29.4,,12475673.3,8701702.3,5723706.7,4364266.6,5778410.9,2733782.7,1748341.4,521677.7,641263.7,738313.8,,340769.2,356883.3,80134.7,41739.2,11877.9,16523.1,1926.7
UA-EpiCovDA,,,,,,,,,,,,,,,,181.6,114.9,41.2,20.9,,,,,,,,,,,,,,,,167988.9,94315.5,3436.5,1083.1
PSI-DRAFT,,,,,,,,,,,,,,299.9,217.2,184.7,97.0,47.0,22.6,,,,,,,,,,,,,,493699.9,142473.7,149683.8,29403.6,5949.2,1330.5
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,106.7,101.4,52.3,31.3,,,,,,,,,,,,,,,,50756.7,35347.2,9833.5,4126.4
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,106.0,89.8,57.5,34.7,,,,,,,,,,,,,,,,54342.1,26661.7,10823.5,5255.2
NotreDame-mobility,,,,,,,,,,,,,,274.8,141.5,134.1,133.4,66.1,30.2,,,,,,,,,,,,,,206656.0,49250.1,51798.8,49678.3,20094.6,2630.8
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,168.5,92.8,64.7,27.8,,,,,,,,,,,,,,,,113141.0,25431.3,21428.2,4289.5
Google_Harvard-CPF,,,,,,,,,,,,,,,,138.5,97.8,96.7,26.5,,,,,,,,,,,,,,,,52560.3,31384.3,27635.5,2340.4
CU-select,,,,,,,,,,,,,,,,121.1,110.6,73.6,43.2,,,,,,,,,,,,,,,,33250.9,34245.6,16077.7,4864.7
MITCovAlliance-SIR,,,,,,,,,,,,,633.1,,,153.9,135.0,92.3,26.0,,,,,,,,,,,,,1967919.8,,,125559.0,96841.1,41306.8,1844.0
UT-Mobility,,,,,,,,,,,,,,,,,89.6,53.2,43.5,,,,,,,,,,,,,,,,,30686.7,8913.8,6341.8
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,55.6,27.2,,,,,,,,,,,,,,,,,,9501.8,2405.3
RobertWalraven-ESG,,,,,,,,,,,,,337.2,289.9,213.0,196.3,162.6,104.2,44.7,,,,,,,,,,,,,370216.0,270478.7,141046.6,136181.7,86774.9,40765.3,7218.4
IHME-CurveFit,,,1365.6,904.8,603.4,701.6,623.8,,460.9,373.8,340.3,292.2,,386.7,293.2,165.1,,72.4,52.3,,,6030118.3,3578329.6,1146016.6,1953614.4,1511306.7,,550734.5,284113.1,348238.9,251480.8,,788556.8,526467.9,76496.7,,15901.0,6982.2
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,22.1,,,,,,,,,,,,,,,,,,,1247.7
epiforecasts-ensemble1,,,,,,,,,,,,,,,,167.8,142.5,114.6,86.8,,,,,,,,,,,,,,,,98940.6,85712.9,48079.1,35726.0
USACE-ERDC_SEIR,,,,,,,,,,,,532.1,421.0,306.8,273.2,214.5,163.8,111.9,58.1,,,,,,,,,,,,877798.2,546151.6,315812.1,220069.6,158841.9,83368.4,42060.1,9904.3
UMich-RidgeTfReg,,,,,,,,,,,,,,,,210.6,180.2,123.0,33.4,,,,,,,,,,,,,,,,297266.4,229409.3,100832.7,3795.6
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,202.3,154.4,107.4,74.0,,,,,,,,,,,,,,,,103621.4,65448.0,42290.8,32306.1
JHUAPL-Bucky,,,,,,,,,,,,,,,,243.3,169.9,99.1,56.6,,,,,,,,,,,,,,,,247231.4,103106.7,36584.8,10236.9
Auquan-SEIR,,,,,,,,,,,,,207.5,178.7,,,,,,,,,,,,,,,,,,154732.4,117223.9,,,,,
TTU-squider,,,,,,,,,,,,,,,,,531.5,,394.3,,,,,,,,,,,,,,,,,1750967.0,,973655.2
