,mean_abs_error_2020-07-13_2020-11-28,mean_abs_error_2020-07-20_2020-11-28,mean_abs_error_2020-07-27_2020-11-28,mean_abs_error_2020-08-03_2020-11-28,mean_abs_error_2020-08-10_2020-11-28,mean_abs_error_2020-08-17_2020-11-28,mean_abs_error_2020-08-24_2020-11-28,mean_abs_error_2020-08-31_2020-11-28,mean_abs_error_2020-09-07_2020-11-28,mean_abs_error_2020-09-14_2020-11-28,mean_abs_error_2020-09-21_2020-11-28,mean_abs_error_2020-09-28_2020-11-28,mean_abs_error_2020-10-05_2020-11-28,mean_abs_error_2020-10-12_2020-11-28,mean_abs_error_2020-10-19_2020-11-28,mean_abs_error_2020-10-26_2020-11-28,mean_abs_error_2020-11-02_2020-11-28,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-11-28,mean_abs_error_2020-11-23_2020-11-28,mean_sq_abs_error_2020-07-13_2020-11-28,mean_sq_abs_error_2020-07-20_2020-11-28,mean_sq_abs_error_2020-07-27_2020-11-28,mean_sq_abs_error_2020-08-03_2020-11-28,mean_sq_abs_error_2020-08-10_2020-11-28,mean_sq_abs_error_2020-08-17_2020-11-28,mean_sq_abs_error_2020-08-24_2020-11-28,mean_sq_abs_error_2020-08-31_2020-11-28,mean_sq_abs_error_2020-09-07_2020-11-28,mean_sq_abs_error_2020-09-14_2020-11-28,mean_sq_abs_error_2020-09-21_2020-11-28,mean_sq_abs_error_2020-09-28_2020-11-28,mean_sq_abs_error_2020-10-05_2020-11-28,mean_sq_abs_error_2020-10-12_2020-11-28,mean_sq_abs_error_2020-10-19_2020-11-28,mean_sq_abs_error_2020-10-26_2020-11-28,mean_sq_abs_error_2020-11-02_2020-11-28,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-11-28,mean_sq_abs_error_2020-11-23_2020-11-28
MITCovAlliance-SIR,,,,,,,,,,,,,,,481.6,,,,,,,,,,,,,,,,,,,,560634.0,,,,,
LANL-GrowthRate,,,,,,,,,,,,,,653.7,580.3,483.2,254.3,151.0,105.2,53.8,,,,,,,,,,,,,,904323.0,692163.3,550757.2,171958.5,53510.9,28544.6,11423.1
CMU-TimeSeries,,,,,,,,,,,,,,,,,257.3,141.7,118.4,41.7,,,,,,,,,,,,,,,,,189315.0,61118.9,44923.3,7216.5
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,265.1,146.1,96.2,55.3,,,,,,,,,,,,,,,,,206914.9,72488.0,34873.1,9291.1
IowaStateLW-STEM,1360.2,1198.8,1259.3,1194.1,,1066.0,1026.3,772.0,716.4,503.5,522.0,622.7,571.3,517.0,495.8,371.1,280.7,200.3,117.3,69.6,5237143.6,2786337.2,4195382.9,4437406.7,,3028787.2,2861018.3,1305592.7,1024633.8,630207.1,631925.0,810371.1,719543.8,594120.9,517620.4,329840.6,212788.4,132231.5,46948.2,12074.1
UA-EpiCovDA,,,,,,,,,,,,,,,,,264.6,171.0,94.9,50.7,,,,,,,,,,,,,,,,,181863.9,86926.6,31927.2,10321.2
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,225.4,149.7,114.5,62.3,,,,,,,,,,,,,,,,,149594.9,84569.7,40368.2,10384.0
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,267.9,152.6,100.9,54.0,,,,,,,,,,,,,,,,,208107.6,76446.3,37275.0,9192.2
GT-DeepCOVID,,,,,,,,,,,,,,,,,215.2,159.7,105.9,69.3,,,,,,,,,,,,,,,,,133835.2,85809.0,36049.1,12727.6
JHU_IDD-CovidSP,,,,,,,,,,,,,,,423.5,415.0,392.2,342.0,108.1,63.0,,,,,,,,,,,,,,,385963.4,382961.8,364258.1,274275.4,32204.4,9517.6
Columbia_UNC-SurvCon,,,,,,,,,,,,,905.2,564.2,485.6,423.2,287.0,153.9,151.8,161.5,,,,,,,,,,,,,2998407.4,642493.3,588701.9,756922.0,251349.1,62882.6,79104.2,59281.2
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,264.6,187.8,104.0,79.4,,,,,,,,,,,,,,,,,226086.6,102481.7,35441.3,14692.3
CEID-Walk,,,,,,,,,,,,,,,,,290.7,204.5,130.1,43.9,,,,,,,,,,,,,,,,,257155.7,114773.7,50083.3,7855.6
UCLA-SuEIR,,,,,,,768.2,730.4,716.5,705.0,651.1,591.9,589.9,546.5,529.0,426.4,346.9,237.5,177.2,50.9,,,,,,,1191380.1,1063989.6,989661.8,1010053.9,900137.3,769454.3,753119.1,665801.8,618051.3,442732.1,343607.5,137646.7,100907.8,8354.9
IHME-CurveFit,,1242.8,1027.8,909.4,1140.9,,1309.5,1249.6,1193.3,,779.1,780.5,,,381.6,353.7,,,,89.2,,3645263.6,2264239.8,2049421.6,4741227.4,,10343597.1,7971872.9,5701037.1,,2124562.1,2307707.1,,,372841.8,372624.0,,,,23914.6
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,293.7,202.2,124.7,55.6,,,,,,,,,,,,,,,,,273268.6,131247.1,47149.3,7090.5
DDS-NBDS,,,,,,,,,,,,,,,,,336.4,208.1,142.7,44.2,,,,,,,,,,,,,,,,,318780.2,131247.0,61573.0,7015.1
UT-Mobility,,,,,,,,,,,,,,,,,309.6,220.1,132.3,52.6,,,,,,,,,,,,,,,,,284461.2,127881.1,47924.0,7900.0
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,286.9,191.0,133.3,80.2,,,,,,,,,,,,,,,,,248467.4,105308.2,54219.3,17009.1
CovidAnalytics-DELPHI,,,,,,,,,,,,,,574.2,613.8,397.8,329.7,251.7,153.3,69.0,,,,,,,,,,,,,,768249.7,803882.3,386048.4,288540.6,172971.5,73065.5,12403.0
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,94.2,57.9,,,,,,,,,,,,,,,,,,,29432.0,7243.3
NotreDame-mobility,,,,,,,,,,,,,,,533.2,410.6,337.5,279.2,159.4,89.3,,,,,,,,,,,,,,,619033.8,442507.4,310073.3,213890.1,63809.4,23591.4
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,288.3,199.7,,,,,,,,,,,,,,,,,,,276567.1,140651.6,,
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,320.3,221.8,143.4,60.4,,,,,,,,,,,,,,,,,288885.3,144013.3,61811.2,13667.3
RobertWalraven-ESG,,,,,,,,,,,,,862.6,,,,486.6,180.9,134.9,88.2,,,,,,,,,,,,,1379636.6,,,,524879.3,67485.9,56729.1,19718.3
PSI-DRAFT,,,,,,,,,,,,,,,582.8,447.5,310.0,267.7,180.6,88.9,,,,,,,,,,,,,,,769572.8,512869.0,285200.7,204826.5,91480.7,21755.9
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,142.6,48.4,,,,,,,,,,,,,,,,,,,57145.4,8664.8
UCSB-ACTS,,,,,,,,,,,,,,,,,274.6,231.8,144.6,114.7,,,,,,,,,,,,,,,,,214271.2,178385.0,71234.3,24796.6
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,324.0,279.5,,,,,,,,,,,,,,,,,,,365316.1,268664.9,,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,62.3,,,,,,,,,,,,,,,,,,,,10709.9
WalmartLabsML-LogForecasting,,,,,,,,,,,,,823.0,746.5,654.9,576.5,501.1,405.0,296.0,140.9,,,,,,,,,,,,,1336035.0,1091819.1,883297.1,706865.6,557309.2,359939.6,190021.6,48371.7
USACE-ERDC_SEIR,,,,,,,,,,,,,,519.7,,449.7,,,362.8,242.2,,,,,,,,,,,,,,937138.9,,720708.9,,,468842.3,195327.5
TTU-squider,,,,,,,,,,,,,,,,,601.4,520.4,358.3,240.3,,,,,,,,,,,,,,,,,1152231.6,1052671.6,374036.7,173962.6
