,perc_error_2020-06-22_2020-11-07,perc_error_2020-06-29_2020-11-07,perc_error_2020-07-06_2020-11-07,perc_error_2020-07-13_2020-11-07,perc_error_2020-07-20_2020-11-07,perc_error_2020-07-27_2020-11-07,perc_error_2020-08-03_2020-11-07,perc_error_2020-08-10_2020-11-07,perc_error_2020-08-17_2020-11-07,perc_error_2020-08-24_2020-11-07,perc_error_2020-08-31_2020-11-07,perc_error_2020-09-07_2020-11-07,perc_error_2020-09-14_2020-11-07,perc_error_2020-09-21_2020-11-07,perc_error_2020-09-28_2020-11-07,perc_error_2020-10-05_2020-11-07,perc_error_2020-10-12_2020-11-07,perc_error_2020-10-19_2020-11-07,perc_error_2020-10-26_2020-11-07,perc_error_2020-11-02_2020-11-07
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.067,-0.186,-0.072,-0.197
COVIDhub-baseline,,,,,,,,,,,,,,,,-0.167,-0.178,-0.226,-0.147,-0.226
MSRA-DeepST,,,,,,,,,,,,,,,,,-0.098,-0.198,-0.139,-0.191
DDS-NBDS,,,,,,,,,,,,,,,,,-0.027,-0.211,-0.170,-0.238
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.165,-0.188,-0.127,-0.178
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.097,-0.191,-0.260,-0.328,-0.384,-0.498
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.169,-0.212,-0.198,-0.157
UCLA-SuEIR,,,,,,,-0.123,-0.395,-0.234,-0.254,-0.231,-0.292,-0.350,-0.307,-0.311,-0.245,-0.233,-0.257,-0.228,-0.239
IowaStateLW-STEM,,,-0.164,-0.191,-0.336,-0.269,-0.176,,-0.204,-0.113,-0.082,-0.176,-0.045,-0.065,-0.460,-0.184,-0.210,-0.320,-0.192,-0.301
CEID-Walk,,,,,,,,,,,,,,,,,-0.179,-0.227,-0.164,-0.224
IHME-CurveFit,-0.048,-0.309,-0.227,,-0.086,-0.156,-0.033,0.253,,0.409,0.551,0.563,,-0.058,0.185,,,-0.242,-0.277,
UT-Mobility,,,,,,,,,,,,,,,,,-0.222,-0.196,-0.183,-0.270
STH-3PU,-0.591,-0.695,-0.673,-0.689,0.258,0.282,1.125,-0.050,-0.053,-0.073,-0.084,-0.687,-0.147,-0.206,,-0.276,-0.244,-0.257,-0.315,-0.235
RobertWalraven-ESG,,,,,,,,,,,,,-0.656,-0.625,,-0.572,-0.592,-0.276,-0.253,-0.101
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.304,-0.200,-0.222,-0.207
NotreDame-mobility,,,,,,,,,,,,,,,-0.235,-0.332,-0.378,-0.399,-0.338,-0.360
PSI-DRAFT,,,,,,,,,,,,,,,-0.274,-0.436,-0.422,-0.451,-0.346,-0.232
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.277,-0.263,-0.212,-0.241
LANL-GrowthRate,,,,,,,,,,,,,,-0.512,-0.553,-0.505,-0.458,-0.497,-0.387,-0.143
TTU-squider,,,,,,,,,,,,,,,,,0.419,0.330,0.418,-0.150
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.398,-0.425,-0.396,-0.360,-0.486,-0.308,-0.326
USACE-ERDC_SEIR,,,,,,,,,,,,,0.091,0.295,0.267,,0.350,,0.421,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.450,-0.433,-0.423,-0.421,-0.418,-0.433,-0.428,-0.444
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.143
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,-0.186,-0.245
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,-0.178
Caltech-CS156,,,,,,,,,,,,,,,,,,,,-0.206
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,-0.273,-0.579
