,mean_abs_error_2020-09-21_2021-02-06,mean_abs_error_2020-09-28_2021-02-06,mean_abs_error_2020-10-05_2021-02-06,mean_abs_error_2020-10-12_2021-02-06,mean_abs_error_2020-10-19_2021-02-06,mean_abs_error_2020-10-26_2021-02-06,mean_abs_error_2020-11-02_2021-02-06,mean_abs_error_2020-11-09_2021-02-06,mean_abs_error_2020-11-16_2021-02-06,mean_abs_error_2020-11-23_2021-02-06,mean_abs_error_2020-11-30_2021-02-06,mean_abs_error_2020-12-07_2021-02-06,mean_abs_error_2020-12-14_2021-02-06,mean_abs_error_2020-12-21_2021-02-06,mean_abs_error_2020-12-28_2021-02-06,mean_abs_error_2021-01-04_2021-02-06,mean_abs_error_2021-01-11_2021-02-06,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-06,mean_abs_error_2021-02-01_2021-02-06,mean_sq_abs_error_2020-09-21_2021-02-06,mean_sq_abs_error_2020-09-28_2021-02-06,mean_sq_abs_error_2020-10-05_2021-02-06,mean_sq_abs_error_2020-10-12_2021-02-06,mean_sq_abs_error_2020-10-19_2021-02-06,mean_sq_abs_error_2020-10-26_2021-02-06,mean_sq_abs_error_2020-11-02_2021-02-06,mean_sq_abs_error_2020-11-09_2021-02-06,mean_sq_abs_error_2020-11-16_2021-02-06,mean_sq_abs_error_2020-11-23_2021-02-06,mean_sq_abs_error_2020-11-30_2021-02-06,mean_sq_abs_error_2020-12-07_2021-02-06,mean_sq_abs_error_2020-12-14_2021-02-06,mean_sq_abs_error_2020-12-21_2021-02-06,mean_sq_abs_error_2020-12-28_2021-02-06,mean_sq_abs_error_2021-01-04_2021-02-06,mean_sq_abs_error_2021-01-11_2021-02-06,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-06,mean_sq_abs_error_2021-02-01_2021-02-06
Covid19Sim-Simulator,4087.5,3804.4,3308.4,3091.0,3377.9,2329.8,1992.3,2020.6,,1863.8,1450.0,1074.0,834.7,626.8,610.5,482.2,569.0,423.6,277.8,287.6,40458986.4,34076908.8,25834725.8,22629818.5,29039238.1,17504565.7,15474191.2,14064252.1,,10667569.1,7472553.4,3713016.4,2588016.1,1055166.4,1150591.6,734854.3,1156017.3,792783.4,291386.9,225285.9
BPagano-RtDriven,,,,,,,,,,,,,,,,,575.5,247.6,136.7,76.5,,,,,,,,,,,,,,,,,1320198.0,197964.0,57695.4,17913.2
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,383.3,289.0,163.4,81.8,,,,,,,,,,,,,,,,,549881.2,165681.2,53956.0,16154.1
AIpert-pwllnod,,,,,,,,,,,,,,1912.0,1154.2,641.4,559.4,443.9,217.5,82.1,,,,,,,,,,,,,,20733882.1,7133257.8,975711.8,1222352.7,1252841.0,147966.0,19984.3
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,371.6,251.6,183.2,85.1,,,,,,,,,,,,,,,,,360190.1,157168.8,167933.0,17186.8
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,405.4,281.8,161.6,82.3,,,,,,,,,,,,,,,,,631507.6,192015.0,72117.5,14781.1
UA-EpiCovDA,,,,,,,,,,,,,,,,,319.0,295.5,197.6,89.8,,,,,,,,,,,,,,,,,254268.3,176522.0,96884.6,20101.5
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,671.6,,,,,,,,,,,,,,,,,,,,1899097.2,,,,
Columbia_UNC-SurvCon,,,,,,,,,,,,,2311.8,2853.2,939.5,973.1,,329.7,189.1,,,,,,,,,,,,,,34500766.3,80644016.5,2558602.5,3206878.7,,275107.5,103636.9,
Caltech-CS156,,,,,,,,,,,,,,,,,451.9,255.0,,81.3,,,,,,,,,,,,,,,,,795976.8,244850.7,,18219.7
PSI-DRAFT,,,,,,,,,,,,,,,951.1,771.1,737.5,366.0,262.0,133.1,,,,,,,,,,,,,,,2174470.9,2163092.5,2159011.6,475550.9,347012.9,99005.2
IHME-CurveFit,1660.3,1541.8,,,1600.3,1599.1,,,,1144.5,,925.4,1038.6,730.8,655.3,,,443.9,215.4,163.0,11004971.2,11693788.4,,,5628818.3,7251690.8,,,,5473777.9,,1997579.6,3098226.6,1262595.4,902415.4,,,490338.6,140473.3,87999.7
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,187.9,63.0,,,,,,,,,,,,,,,,,,,128002.4,10352.6
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,1008.2,869.5,840.2,677.7,229.2,99.3,,,,,,,,,,,,,,,3395369.4,2817058.3,4041917.1,2835791.0,173283.4,27981.7
UT-Mobility,,,,,,,,,,,,,,,,,439.4,,177.4,,,,,,,,,,,,,,,,,,667562.8,,90758.3,
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,727.0,445.0,209.4,91.5,,,,,,,,,,,,,,,,,1734261.4,779531.7,122438.7,25919.6
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,207.6,82.3,,,,,,,,,,,,,,,,,,,161461.8,20867.7
CU-select,,,,,,,,,,,,,,,,,734.3,334.5,257.4,125.8,,,,,,,,,,,,,,,,,1763545.4,309593.8,246295.9,46090.5
DDS-NBDS,,,,,,,,,,,,,,,,,694.6,388.9,558.4,88.3,,,,,,,,,,,,,,,,,1585765.8,362206.2,2079808.3,32619.6
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,17609.1
JHUAPL-Bucky,,,,,,,,,,,,1150.6,855.7,1229.4,1294.8,930.4,744.9,,226.2,545.6,,,,,,,,,,,,3361434.6,1461887.0,4998137.1,3434445.0,3630371.8,2741829.6,,151736.6,1036922.0
UCSB-ACTS,,,,,,,,,,,,,,,,,615.1,692.6,229.6,,,,,,,,,,,,,,,,,,786895.6,859446.2,204722.5,
TTU-squider,,,,,,,,,,,,,,,,,665.3,519.4,513.1,411.2,,,,,,,,,,,,,,,,,1025738.1,666883.5,658829.0,417917.5
MITCovAlliance-SIR,,,,,,,,,,,,,,,,1028.5,834.5,,,,,,,,,,,,,,,,,,,5326358.1,3368236.4,,,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,86.1,,,,,,,,,,,,,,,,,,,,21871.3
WalmartLabsML-LogForecasting,,,,,,,,,,,,,2594.4,2245.3,,1580.1,1189.2,803.1,505.9,237.2,,,,,,,,,,,,,19048932.4,15194945.3,,8477092.9,4994372.3,2369861.5,908789.3,185319.3
SigSci-TS,,,,,,,,,,,,,,,,,,,,119.4,,,,,,,,,,,,,,,,,,,,55846.2
