,mean_abs_error_2020-04-20_2020-05-02,mean_abs_error_2020-04-27_2020-05-09,mean_abs_error_2020-05-04_2020-05-16,mean_abs_error_2020-05-11_2020-05-23,mean_abs_error_2020-05-18_2020-05-30,mean_abs_error_2020-05-25_2020-06-06,mean_abs_error_2020-06-01_2020-06-13,mean_abs_error_2020-06-08_2020-06-20,mean_abs_error_2020-06-15_2020-06-27,mean_abs_error_2020-06-22_2020-07-04,mean_abs_error_2020-06-29_2020-07-11,mean_abs_error_2020-07-06_2020-07-18,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-09-05,mean_abs_error_2020-08-31_2020-09-12,mean_abs_error_2020-09-07_2020-09-19,mean_abs_error_2020-09-14_2020-09-26,mean_abs_error_2020-09-21_2020-10-03,mean_abs_error_2020-09-28_2020-10-10,mean_abs_error_2020-10-05_2020-10-17,mean_abs_error_2020-10-12_2020-10-24,mean_abs_error_2020-10-19_2020-10-31,mean_abs_error_2020-10-26_2020-11-07,mean_abs_error_2020-11-02_2020-11-14,mean_abs_error_2020-11-09_2020-11-21,mean_abs_error_2020-11-16_2020-11-28,mean_abs_error_2020-11-23_2020-12-05,mean_abs_error_2020-11-30_2020-12-12,mean_abs_error_2020-12-07_2020-12-19,mean_abs_error_2020-12-14_2020-12-26,mean_abs_error_2020-12-21_2021-01-02,mean_abs_error_2020-12-28_2021-01-09,mean_abs_error_2021-01-04_2021-01-16,mean_abs_error_2021-01-11_2021-01-23,mean_abs_error_2021-01-18_2021-01-30,mean_abs_error_2021-01-25_2021-02-06,mean_abs_error_2021-02-01_2021-02-13,mean_abs_error_2021-02-08_2021-02-20,mean_abs_error_2021-02-15_2021-02-27,mean_abs_error_2021-02-22_2021-03-06,mean_sq_abs_error_2020-04-20_2020-05-02,mean_sq_abs_error_2020-04-27_2020-05-09,mean_sq_abs_error_2020-05-04_2020-05-16,mean_sq_abs_error_2020-05-11_2020-05-23,mean_sq_abs_error_2020-05-18_2020-05-30,mean_sq_abs_error_2020-05-25_2020-06-06,mean_sq_abs_error_2020-06-01_2020-06-13,mean_sq_abs_error_2020-06-08_2020-06-20,mean_sq_abs_error_2020-06-15_2020-06-27,mean_sq_abs_error_2020-06-22_2020-07-04,mean_sq_abs_error_2020-06-29_2020-07-11,mean_sq_abs_error_2020-07-06_2020-07-18,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-09-05,mean_sq_abs_error_2020-08-31_2020-09-12,mean_sq_abs_error_2020-09-07_2020-09-19,mean_sq_abs_error_2020-09-14_2020-09-26,mean_sq_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-09-28_2020-10-10,mean_sq_abs_error_2020-10-05_2020-10-17,mean_sq_abs_error_2020-10-12_2020-10-24,mean_sq_abs_error_2020-10-19_2020-10-31,mean_sq_abs_error_2020-10-26_2020-11-07,mean_sq_abs_error_2020-11-02_2020-11-14,mean_sq_abs_error_2020-11-09_2020-11-21,mean_sq_abs_error_2020-11-16_2020-11-28,mean_sq_abs_error_2020-11-23_2020-12-05,mean_sq_abs_error_2020-11-30_2020-12-12,mean_sq_abs_error_2020-12-07_2020-12-19,mean_sq_abs_error_2020-12-14_2020-12-26,mean_sq_abs_error_2020-12-21_2021-01-02,mean_sq_abs_error_2020-12-28_2021-01-09,mean_sq_abs_error_2021-01-04_2021-01-16,mean_sq_abs_error_2021-01-11_2021-01-23,mean_sq_abs_error_2021-01-18_2021-01-30,mean_sq_abs_error_2021-01-25_2021-02-06,mean_sq_abs_error_2021-02-01_2021-02-13,mean_sq_abs_error_2021-02-08_2021-02-20,mean_sq_abs_error_2021-02-15_2021-02-27,mean_sq_abs_error_2021-02-22_2021-03-06
MOBS-GLEAM_COVID,354.9,212.2,165.5,175.4,110.2,64.9,60.2,66.1,56.2,61.9,83.6,98.7,102.9,118.8,107.0,139.0,60.2,53.2,55.6,58.4,49.8,66.2,50.4,72.1,60.1,62.2,63.4,61.8,96.0,93.6,100.9,117.9,175.3,152.1,167.6,149.3,133.5,183.2,148.2,150.8,126.1,127.0,165.7,170.3,141.0,658359.9,172648.0,95640.3,210749.1,49951.8,15089.0,8640.0,10268.3,7538.0,10063.2,26207.7,50763.2,59074.7,57318.8,92763.6,216332.6,17135.1,9718.1,9143.8,10543.3,9911.1,15391.1,9323.7,18504.1,14491.2,10059.3,9262.6,13161.6,29165.4,26087.5,37275.0,50874.9,93895.4,74150.6,84531.1,55553.2,62559.8,127043.1,62230.2,46493.6,46055.1,43000.4,80996.7,90321.1,111076.7
Karlen-pypm,,,,,,,,,,,,,,176.5,240.0,205.6,83.8,70.6,52.3,44.9,38.8,47.3,35.9,33.1,36.3,44.0,51.2,62.5,76.4,56.2,83.8,85.3,128.5,122.3,122.4,129.7,118.8,187.3,148.1,131.7,172.0,125.6,137.6,126.1,134.4,,,,,,,,,,,,,,519356.1,1186561.1,1129045.4,27285.7,31261.4,20391.4,10897.7,6433.9,8244.2,6158.6,3195.9,2989.6,5264.1,6704.3,21057.5,18869.6,10646.8,23001.0,28730.4,49149.3,56218.5,47766.6,46774.5,52903.1,130472.5,78850.6,57258.3,105510.5,48052.4,85664.3,75397.6,139401.3
JCB-PRM,,,,,,,,,,,,,,,61.0,45.6,44.8,35.4,37.5,37.8,37.3,45.4,35.9,35.1,43.3,43.0,62.3,74.0,94.6,100.3,84.1,102.3,151.0,140.5,143.8,180.2,105.9,,,,,,,,,,,,,,,,,,,,,,,18762.2,4553.2,4240.7,4560.4,7988.1,6024.8,5640.3,8927.6,5591.8,2820.3,4098.0,4322.0,13274.4,23567.8,30386.2,28447.9,29287.3,41269.6,75721.7,77232.3,57306.0,78801.8,33280.4,,,,,,,,
CMU-TimeSeries,,,,,,,,,,,,,,82.2,74.7,41.3,50.9,37.1,47.6,30.1,39.4,46.4,41.4,39.8,37.5,50.7,71.9,76.9,84.3,95.7,118.4,98.8,214.1,143.7,154.0,137.9,179.3,246.3,200.8,162.5,128.5,138.1,216.2,159.3,172.6,,,,,,,,,,,,,,50906.8,46519.5,6817.1,8983.9,5696.8,11032.4,2553.1,4690.2,6132.5,4408.4,3650.6,3400.3,7015.4,15818.8,16058.2,23581.3,24726.2,44923.3,41279.5,111038.0,63076.9,59804.8,46094.7,140717.3,189441.5,132527.7,73386.7,49298.1,52020.0,170490.7,91759.6,171998.0
CU-select,202.1,214.4,96.0,81.2,87.2,82.6,120.4,101.8,100.2,148.8,222.2,107.4,69.8,85.9,85.2,70.0,66.0,75.5,55.5,53.7,65.1,82.2,77.3,79.5,60.4,63.1,51.7,69.3,89.2,90.3,85.2,109.9,237.2,205.7,142.1,187.5,224.5,433.7,351.9,229.3,257.4,202.2,114.3,125.1,169.9,144313.2,266678.8,34974.4,16333.0,28092.3,17959.6,60074.2,32067.3,35330.9,102351.9,292071.1,52080.7,25859.3,49119.2,38665.2,15907.4,14409.0,20542.4,7926.4,9846.0,9802.4,19958.2,16720.8,17883.9,10176.3,12125.5,5755.5,12425.0,19834.4,25145.5,18318.3,35469.4,130257.3,108979.4,41160.3,122722.6,183357.3,571535.2,459972.9,172004.0,246295.9,141569.8,42492.8,61440.0,175980.1
UA-EpiCovDA,,,,,,163.4,156.1,164.1,53.6,41.2,105.8,98.0,91.2,71.4,56.6,56.7,60.0,48.2,47.4,94.8,85.1,84.1,47.0,50.9,47.9,58.9,65.9,70.1,94.7,106.4,94.9,119.0,278.2,208.8,129.3,159.6,358.5,318.0,169.6,170.5,197.6,163.2,135.4,154.5,164.2,,,,,,70474.3,80426.0,89859.6,6881.4,5486.0,132206.2,57236.5,46239.5,29410.1,19471.3,15937.0,13491.0,16536.7,9457.5,64212.4,40221.6,42869.0,4287.9,7134.6,6927.9,12627.5,12100.5,16347.8,27082.1,31934.2,31927.2,64369.7,203959.3,134391.1,52360.9,90794.8,351110.2,346194.6,78577.6,65319.0,96884.6,65627.2,63612.6,88117.2,171991.3
GT-DeepCOVID,,,383.7,,,,,,,,,173.4,120.1,121.1,98.8,85.3,77.7,69.5,55.2,65.1,64.9,51.0,49.5,42.3,49.6,49.3,68.0,78.4,79.7,95.2,105.9,116.5,172.2,136.0,143.5,116.6,167.8,209.6,153.8,107.5,177.6,122.7,148.3,755.1,155.5,,,1397852.3,,,,,,,,,107033.2,72590.8,109758.4,61155.4,38604.8,32288.9,23266.8,14805.7,22831.4,21141.2,9479.5,7286.8,5558.6,6245.5,6743.2,11261.0,16059.9,20727.4,29052.0,36049.1,48108.4,95708.1,67228.3,72271.9,53186.5,90479.6,129673.8,77888.6,25802.5,124844.9,38386.1,71903.5,17696853.6,169389.4
UT-Mobility,306.7,285.8,240.8,89.6,75.1,56.8,50.1,53.4,53.8,53.3,49.7,82.2,60.8,75.2,108.4,188.8,,99.4,61.7,,,56.1,58.7,78.0,41.5,55.7,72.6,76.4,103.1,122.2,132.3,146.2,241.3,205.1,162.4,195.0,,,183.9,,177.4,,,,,1414246.4,1282583.7,1145709.9,40204.4,20121.8,11265.6,7584.3,9893.8,11411.4,6773.7,9391.8,34329.6,10605.3,26156.6,59129.0,265130.5,,55946.0,14912.4,,,12210.0,9647.8,17815.7,4948.5,9460.9,17415.6,18054.0,34010.3,40077.9,47924.0,60111.2,122519.5,124074.8,79381.4,94707.9,,,92857.3,,90758.3,,,,
CovidAnalytics-DELPHI,,108.1,186.6,155.1,125.0,68.9,65.5,84.7,80.4,62.6,87.2,139.2,96.7,88.5,86.4,80.6,69.3,53.1,52.3,49.5,57.8,61.2,54.5,55.2,50.9,59.0,97.3,89.2,109.9,147.6,153.3,159.7,211.7,228.8,180.4,117.4,227.6,282.8,302.9,412.9,229.2,169.2,142.5,150.1,117.9,,41313.9,169960.3,76663.9,54051.4,14204.8,13341.9,19637.3,21209.4,15847.5,30682.8,89183.4,47605.5,51045.6,57403.6,37781.2,21110.8,7992.5,12733.6,12973.6,10682.6,10169.3,7555.3,5618.1,6957.2,8286.3,19608.7,20431.4,36208.3,58924.9,73065.5,81923.7,132273.5,158514.2,157964.6,44112.9,153039.9,295905.9,376647.7,919896.4,173283.4,75639.4,71463.6,95345.3,89128.1
IowaStateLW-STEM,,125.1,193.0,,125.3,96.8,119.2,89.9,90.4,74.1,96.9,113.9,98.0,103.6,85.3,72.9,,77.9,92.8,55.1,58.1,53.1,78.5,50.1,53.1,52.2,70.7,83.1,91.0,116.6,117.3,93.5,162.0,166.7,187.6,164.9,163.1,200.4,212.9,175.9,177.3,289.1,304.8,272.3,149.1,,76607.8,483819.6,,80628.6,36223.2,51433.5,24256.6,26014.3,16716.5,36743.5,63024.4,43327.1,46049.0,38281.4,15289.4,,18772.4,40456.2,12053.1,11364.1,6332.9,16206.5,6015.7,7104.0,6774.3,10949.0,18102.8,21830.7,44167.7,46948.2,35931.2,73864.4,81011.2,79939.6,57691.1,72923.4,151855.9,130959.2,69486.9,77499.5,305683.3,372491.4,198236.8,132319.9
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,59.5,52.4,35.5,44.3,35.2,57.3,41.3,35.8,58.3,67.1,86.4,91.5,114.5,130.0,139.7,167.9,97.7,120.3,160.0,252.4,180.5,136.8,127.0,122.2,128.8,,160.6,,,,,,,,,,,,,,,,,,,23233.6,15389.1,4428.3,6322.0,3276.8,10022.6,4167.3,3513.8,12512.3,20058.3,22201.0,24306.2,40368.2,50849.8,51519.4,94737.9,36961.5,48614.6,77653.5,205962.4,136155.5,44262.9,46629.7,45104.6,46379.5,,188779.1
Google_Harvard-CPF,,,,,,,,,,,,,,,,,,93.3,73.3,48.6,55.1,69.1,99.3,49.0,73.7,55.0,57.0,75.5,86.1,85.5,96.7,93.8,151.5,219.0,128.5,134.8,119.4,193.1,157.9,142.1,137.3,133.2,115.5,166.9,143.3,,,,,,,,,,,,,,,,,,35685.7,21063.1,4504.5,9609.1,16245.1,29110.5,8831.6,14616.1,8051.4,7925.7,18167.6,23741.2,21509.8,36459.2,33604.2,69532.5,132434.5,50195.8,46736.3,43307.5,143457.2,66459.1,37883.1,60232.5,42872.8,27320.8,100357.8,156382.6
CEID-Walk,,,,,,,,,,,,,,,,,38.4,47.5,52.1,57.1,50.5,44.8,50.3,47.6,38.9,51.1,71.2,74.6,96.7,117.1,130.1,128.6,251.6,158.6,154.8,140.3,208.3,242.9,180.7,137.8,125.4,153.4,305.3,377.6,192.0,,,,,,,,,,,,,,,,,7655.1,12926.1,12130.9,11144.3,9880.3,6345.3,6977.6,5896.9,3570.7,6940.1,14925.6,14610.8,31572.1,35412.2,50083.3,62669.8,150652.6,87670.6,90482.7,55562.5,156353.3,197843.4,85270.6,43682.9,47749.3,97162.7,405664.0,1710049.9,161168.4
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,49.1,75.5,33.9,41.7,45.6,49.7,51.5,79.8,94.7,112.1,124.7,98.5,155.6,153.6,128.1,154.5,168.5,257.4,153.0,170.6,163.4,142.9,209.1,271.7,140.4,,,,,,,,,,,,,,,,,,,,,7965.8,21123.1,2888.3,3281.3,5234.9,7192.8,7170.0,19224.5,31995.3,38670.7,47149.3,33306.7,70720.1,71595.3,33934.4,45017.9,101355.2,230301.1,85334.1,62312.4,53956.0,55438.3,128063.5,213124.4,129714.4
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,68.4,67.6,55.8,80.0,60.0,61.7,60.5,60.8,95.5,88.7,96.2,114.7,166.0,145.6,182.2,165.4,161.4,178.7,152.6,157.9,129.6,134.8,179.3,186.0,142.7,,,,,,,,,,,,,,,,,,,,,17470.7,15802.9,10257.6,25390.5,14448.7,10001.7,8901.8,13143.4,29301.0,24326.9,34873.1,48912.2,87089.8,68661.3,86068.3,61737.3,69513.4,118655.3,59015.4,49332.3,44788.0,44040.1,88647.0,95342.6,111667.7
JHU_IDD-CovidSP,,,,,520.9,159.1,143.5,133.2,84.0,115.8,90.8,92.4,91.9,114.0,106.6,103.1,106.1,102.5,74.0,63.0,53.5,49.6,39.5,38.9,52.2,57.4,76.0,108.4,148.5,216.1,108.1,145.2,250.2,294.6,258.6,253.8,179.5,246.4,227.9,205.7,243.4,269.0,247.0,247.6,263.2,,,,,1020796.4,71042.1,52561.5,48469.5,27751.2,40084.7,22216.5,24246.1,32584.9,69553.8,67129.1,30648.6,35241.9,24082.5,14328.4,9535.1,6282.9,4983.3,2984.5,2819.5,6169.6,7513.4,12128.9,27456.9,57367.6,106818.5,32204.4,55779.9,141738.3,181742.1,142337.4,189746.7,96064.3,173208.5,156678.0,123687.6,177987.1,206959.0,178634.5,185639.4,298907.6
Covid19Sim-Simulator,,,,,,108.0,123.7,113.9,72.0,60.3,118.3,128.4,81.4,100.7,121.9,100.4,,,243.5,43.3,47.9,47.0,67.2,58.1,54.2,95.2,111.3,76.1,94.8,109.2,,196.9,195.7,337.9,312.0,202.9,175.8,301.4,430.6,396.4,277.8,213.9,195.7,237.5,222.8,,,,,,30973.7,43689.6,37950.6,12053.8,10406.4,119801.5,141334.9,28412.7,79264.7,113349.3,60745.7,,,358550.8,9788.7,8358.7,7768.1,14189.7,8232.9,6699.3,19303.7,22956.0,22868.1,37863.4,34406.5,,130934.9,96328.1,267132.5,241591.9,131004.9,79648.2,277370.6,631033.3,637654.6,291386.9,141044.0,120564.2,352356.5,298265.6
