,mean_abs_error_2020-04-20_2020-05-30,mean_abs_error_2020-04-27_2020-06-06,mean_abs_error_2020-05-04_2020-06-13,mean_abs_error_2020-05-11_2020-06-20,mean_abs_error_2020-05-18_2020-06-27,mean_abs_error_2020-05-25_2020-07-04,mean_abs_error_2020-06-01_2020-07-11,mean_abs_error_2020-06-08_2020-07-18,mean_abs_error_2020-06-15_2020-07-25,mean_abs_error_2020-06-22_2020-08-01,mean_abs_error_2020-06-29_2020-08-08,mean_abs_error_2020-07-06_2020-08-15,mean_abs_error_2020-07-13_2020-08-22,mean_abs_error_2020-07-20_2020-08-29,mean_abs_error_2020-07-27_2020-09-05,mean_abs_error_2020-08-03_2020-09-12,mean_abs_error_2020-08-10_2020-09-19,mean_abs_error_2020-08-17_2020-09-26,mean_abs_error_2020-08-24_2020-10-03,mean_abs_error_2020-08-31_2020-10-10,mean_abs_error_2020-09-07_2020-10-17,mean_abs_error_2020-09-14_2020-10-24,mean_abs_error_2020-09-21_2020-10-31,mean_abs_error_2020-09-28_2020-11-07,mean_abs_error_2020-10-05_2020-11-14,mean_abs_error_2020-10-12_2020-11-21,mean_abs_error_2020-10-19_2020-11-28,mean_abs_error_2020-10-26_2020-12-05,mean_abs_error_2020-11-02_2020-12-12,mean_abs_error_2020-11-09_2020-12-19,mean_abs_error_2020-11-16_2020-12-26,mean_abs_error_2020-11-23_2021-01-02,mean_abs_error_2020-11-30_2021-01-09,mean_abs_error_2020-12-07_2021-01-16,mean_abs_error_2020-12-14_2021-01-23,mean_abs_error_2020-12-21_2021-01-30,mean_abs_error_2020-12-28_2021-02-06,mean_abs_error_2021-01-04_2021-02-13,mean_abs_error_2021-01-11_2021-02-20,mean_abs_error_2021-01-18_2021-02-27,mean_abs_error_2021-01-25_2021-03-06,mean_sq_abs_error_2020-04-20_2020-05-30,mean_sq_abs_error_2020-04-27_2020-06-06,mean_sq_abs_error_2020-05-04_2020-06-13,mean_sq_abs_error_2020-05-11_2020-06-20,mean_sq_abs_error_2020-05-18_2020-06-27,mean_sq_abs_error_2020-05-25_2020-07-04,mean_sq_abs_error_2020-06-01_2020-07-11,mean_sq_abs_error_2020-06-08_2020-07-18,mean_sq_abs_error_2020-06-15_2020-07-25,mean_sq_abs_error_2020-06-22_2020-08-01,mean_sq_abs_error_2020-06-29_2020-08-08,mean_sq_abs_error_2020-07-06_2020-08-15,mean_sq_abs_error_2020-07-13_2020-08-22,mean_sq_abs_error_2020-07-20_2020-08-29,mean_sq_abs_error_2020-07-27_2020-09-05,mean_sq_abs_error_2020-08-03_2020-09-12,mean_sq_abs_error_2020-08-10_2020-09-19,mean_sq_abs_error_2020-08-17_2020-09-26,mean_sq_abs_error_2020-08-24_2020-10-03,mean_sq_abs_error_2020-08-31_2020-10-10,mean_sq_abs_error_2020-09-07_2020-10-17,mean_sq_abs_error_2020-09-14_2020-10-24,mean_sq_abs_error_2020-09-21_2020-10-31,mean_sq_abs_error_2020-09-28_2020-11-07,mean_sq_abs_error_2020-10-05_2020-11-14,mean_sq_abs_error_2020-10-12_2020-11-21,mean_sq_abs_error_2020-10-19_2020-11-28,mean_sq_abs_error_2020-10-26_2020-12-05,mean_sq_abs_error_2020-11-02_2020-12-12,mean_sq_abs_error_2020-11-09_2020-12-19,mean_sq_abs_error_2020-11-16_2020-12-26,mean_sq_abs_error_2020-11-23_2021-01-02,mean_sq_abs_error_2020-11-30_2021-01-09,mean_sq_abs_error_2020-12-07_2021-01-16,mean_sq_abs_error_2020-12-14_2021-01-23,mean_sq_abs_error_2020-12-21_2021-01-30,mean_sq_abs_error_2020-12-28_2021-02-06,mean_sq_abs_error_2021-01-04_2021-02-13,mean_sq_abs_error_2021-01-11_2021-02-20,mean_sq_abs_error_2021-01-18_2021-02-27,mean_sq_abs_error_2021-01-25_2021-03-06
CovidAnalytics-DELPHI,,416.1,442.8,,,,,,,,,337.8,267.2,241.1,211.9,201.6,205.2,175.9,209.7,202.8,207.8,222.0,252.1,299.2,328.4,414.2,613.8,614.3,816.5,980.0,1069.2,799.2,,827.6,843.9,606.0,1008.2,1053.4,1235.0,1338.5,1086.7,,724828.5,759735.5,,,,,,,,,529891.3,398596.4,273095.5,195999.6,128528.7,124340.2,78628.1,203034.8,157635.3,112300.5,108734.5,123170.9,165263.9,227296.5,396295.6,803882.3,888190.5,1553186.1,2417772.9,3049581.4,2078860.8,,3046294.4,3836391.7,1211958.2,3395369.4,4215379.2,7201445.2,8865216.2,6180567.6
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,,,,167.7,142.6,152.1,200.5,260.3,341.7,423.5,617.0,842.3,1075.5,506.2,560.4,785.2,867.0,876.9,660.7,603.9,653.7,666.3,596.3,580.5,,,,,,,,,,,,,,,,,,,,,88624.1,52061.6,54170.0,86356.6,138643.9,251348.3,385963.4,808597.5,1503696.2,2438825.1,599449.8,723604.2,1444632.7,1834020.5,2174847.9,1339410.3,1015518.2,1368840.5,1263802.2,1140579.9,901988.6
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,278.6,224.2,236.5,202.5,286.5,324.2,345.9,534.3,589.9,912.0,802.4,691.8,595.7,521.9,986.0,1294.8,1096.3,915.8,,585.2,,,,,,,,,,,,,,,,,,,,,,315382.0,193701.3,182643.5,101448.5,205973.9,305770.7,325540.1,731177.7,952403.9,2530039.8,4273755.2,1126045.0,1055024.7,610816.1,3238399.0,3434445.0,5094780.7,4516097.7,,1229003.2
USACE-ERDC_SEIR,,,,,337.0,269.6,354.7,305.0,200.1,256.7,380.5,232.8,253.1,911.8,536.8,464.5,388.7,351.7,303.7,342.8,347.7,334.3,378.3,346.9,,427.6,,508.3,,,1668.0,1654.0,1556.7,,,,,,,,,,,,,382406.5,249013.0,423163.0,333203.3,181353.1,328460.6,976661.6,380583.1,304859.3,3901028.8,864788.0,588377.5,421794.8,376945.3,304078.6,325002.5,413821.8,302021.5,389334.4,361505.6,,636178.5,,970785.9,,,10533332.6,9371137.2,9980297.1,,,,,,,,
COVIDhub-baseline,,,,,,,,,,,,,,,,,,,,,,,,,239.5,309.9,432.7,503.0,697.0,830.1,879.3,757.0,985.5,768.7,851.9,782.8,857.5,796.1,579.4,651.1,661.3,,,,,,,,,,,,,,,,,,,,,,,,,129085.8,236754.0,489665.4,652174.9,1309695.4,1640181.1,1959680.8,1782943.9,2963032.8,2507094.6,2791015.9,2210884.2,3229159.7,2092769.0,847297.3,1170606.5,1169151.3
NotreDame-mobility,,,,,,,,,,378.4,1026.6,495.9,398.8,368.2,376.4,423.3,448.5,326.1,274.8,167.1,216.2,266.7,280.6,364.0,345.9,433.9,533.2,624.8,781.8,959.6,914.0,1028.0,1068.3,1256.0,1559.2,,,,,,,,,,,,,,,,1384792.5,19245094.4,1491260.5,876423.0,484939.7,634889.5,877981.5,1269261.3,503561.0,214143.4,67206.5,150402.1,177086.1,233468.4,464861.9,295709.9,405485.1,619033.8,963531.3,1437132.5,2256919.9,1719745.4,2336752.7,3647310.2,5482513.5,8325043.6,,,,,,
PSI-DRAFT,,,,,549.4,306.2,243.6,660.5,431.3,497.1,532.6,611.1,550.3,584.3,1128.3,1632.8,569.5,516.2,306.8,296.7,395.5,252.4,240.7,266.8,362.5,468.1,582.8,666.2,683.8,906.9,1175.6,1208.1,1154.8,1356.7,2013.1,998.5,951.1,929.3,1236.4,646.3,1049.5,,,,,1157518.1,421154.6,253082.5,5320750.5,1382541.6,1618605.0,1846579.4,2067758.4,1816345.1,1785175.7,11724655.3,27415205.5,1032716.1,939311.8,495769.2,313446.5,860671.7,166667.9,128319.5,155947.5,261672.7,428183.9,769572.8,1090603.7,1311566.7,1934264.8,3411813.0,4803335.0,3832821.1,10730973.9,29142277.6,4018576.3,2174470.9,3015814.3,7827409.4,1954532.7,8326559.9
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,260.4,385.4,422.9,449.6,555.6,566.6,636.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127836.1,322548.6,585027.2,454921.7,592208.7,714506.5,1012945.7,,,,,,,,,,
UT-Mobility,949.9,802.0,2616.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5215294.7,3637657.4,200667582.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,396.0,325.5,896.8,751.4,430.0,386.2,485.6,665.5,770.0,1035.9,2450.0,2336.4,1052.1,1193.5,1028.3,1757.6,939.5,1158.8,,1253.9,932.2,,,,,,,,,,,,,,,,,,,,,717918.3,340135.2,12098247.4,7916822.2,720289.9,310551.7,588701.9,2017470.3,2055403.6,2634974.6,20980135.4,16320211.9,3534970.2,3331495.5,4091558.4,27125042.2,2558602.5,4581213.5,,5388864.9,4024903.7
Auquan-SEIR,,,,,,,,,,,,549.1,,,,,,178.6,174.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630237.6,,,,,,108866.6,104679.5,,,,,,,,,,,,,,,,,,,,,,
SWC-TerminusCM,,,,,,,353.4,633.6,456.3,,449.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368628.0,2442074.1,1310521.3,,1248733.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCovAlliance-SIR,,,,,,,,,,,,656.8,736.8,620.8,619.0,449.0,,568.2,,,304.7,386.2,444.3,182.1,,,481.6,,,,,,,,,,,1194.7,1237.2,,,,,,,,,,,,,,1979976.7,2419078.8,2428466.1,2229530.9,1216298.4,,1685859.2,,,414194.8,665586.1,916010.2,88053.2,,,560634.0,,,,,,,,,,,7267351.9,6442427.2,,
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,290.7,289.1,276.6,330.8,378.4,401.4,458.8,465.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280806.6,267195.8,220758.6,338472.3,379691.5,430031.5,462210.6,386640.3,,,,,,,,,,,,,,,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,330.4,348.4,328.5,396.4,457.4,567.8,654.9,839.0,1062.0,1280.8,1424.4,1534.6,1750.2,1852.5,1868.9,1907.0,,1824.0,1569.1,1290.4,1056.8,,,,,,,,,,,,,,,,,,,,,260856.5,263869.7,233233.2,309934.3,418518.3,625847.6,883297.1,1447704.5,2301640.1,3310794.1,4146877.8,4994086.6,6780363.3,8317625.7,9490362.9,10865454.1,,11519440.2,8994307.2,6663857.7,4640013.2
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.3,1270.7,1603.3,,803.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3057402.1,5216879.4,6796492.6,,2832338.6,,,
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.2,1154.2,910.8,1348.0,1959.7,1560.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7875549.1,7133257.8,2170618.9,11364163.8,31132722.1,13318545.2
CovidActNow-SEIR_CAN,,,,,,,,,,,,1767.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22638568.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
