,mean_abs_error_2020-05-04_2020-09-05,mean_abs_error_2020-05-11_2020-09-05,mean_abs_error_2020-05-18_2020-09-05,mean_abs_error_2020-05-25_2020-09-05,mean_abs_error_2020-06-01_2020-09-05,mean_abs_error_2020-06-08_2020-09-05,mean_abs_error_2020-06-15_2020-09-05,mean_abs_error_2020-06-22_2020-09-05,mean_abs_error_2020-06-29_2020-09-05,mean_abs_error_2020-07-06_2020-09-05,mean_abs_error_2020-07-13_2020-09-05,mean_abs_error_2020-07-20_2020-09-05,mean_abs_error_2020-07-27_2020-09-05,mean_abs_error_2020-08-03_2020-09-05,mean_abs_error_2020-08-10_2020-09-05,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-05,mean_abs_error_2020-08-31_2020-09-05,mean_sq_abs_error_2020-05-04_2020-09-05,mean_sq_abs_error_2020-05-11_2020-09-05,mean_sq_abs_error_2020-05-18_2020-09-05,mean_sq_abs_error_2020-05-25_2020-09-05,mean_sq_abs_error_2020-06-01_2020-09-05,mean_sq_abs_error_2020-06-08_2020-09-05,mean_sq_abs_error_2020-06-15_2020-09-05,mean_sq_abs_error_2020-06-22_2020-09-05,mean_sq_abs_error_2020-06-29_2020-09-05,mean_sq_abs_error_2020-07-06_2020-09-05,mean_sq_abs_error_2020-07-13_2020-09-05,mean_sq_abs_error_2020-07-20_2020-09-05,mean_sq_abs_error_2020-07-27_2020-09-05,mean_sq_abs_error_2020-08-03_2020-09-05,mean_sq_abs_error_2020-08-10_2020-09-05,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-05,mean_sq_abs_error_2020-08-31_2020-09-05
CMU-TimeSeries,,,,,,,,,,,,,,,126.3,56.0,47.6,22.6,,,,,,,,,,,,,,,72987.2,15322.0,11032.4,1448.2
Covid19Sim-Simulator,,,,1021.5,1014.0,955.2,687.6,604.4,564.9,441.1,259.0,227.2,177.7,153.7,,,243.5,25.4,,,,4994031.2,4821715.5,4418612.1,2793407.5,2107585.0,1812256.8,1548855.4,530689.0,329000.5,167623.3,122545.0,,,358550.8,2462.2
NotreDame-mobility,,,,,,,,,,,,,376.4,377.7,272.6,101.3,52.0,28.3,,,,,,,,,,,,,634889.5,636417.1,422282.8,49650.7,6460.4,2659.8
CEID-Walk,,,,,,,,,,,,,,,108.2,90.8,52.1,28.6,,,,,,,,,,,,,,,69143.9,44392.8,12130.9,3005.9
LANL-GrowthRate,,,,,,,,,,,,465.9,415.5,283.8,162.2,113.2,60.5,28.7,,,,,,,,,,,,1220288.6,1115895.5,438256.5,93672.5,45036.8,13990.7,3405.4
CU-select,,,,,,,,,,,,,,,108.2,116.4,55.5,27.5,,,,,,,,,,,,,,,28162.3,72553.9,7926.4,2156.8
UA-EpiCovDA,,,,,,,,,,,,,,,131.9,79.5,47.4,42.9,,,,,,,,,,,,,,,95510.5,92382.2,9457.5,12017.2
COVIDhub-baseline,,,,,,,,,,,,,,,116.4,90.8,53.8,28.9,,,,,,,,,,,,,,,69593.3,41780.3,14569.1,2928.2
IowaStateLW-STEM,1640.5,,1380.0,1228.7,1237.2,1070.5,869.4,777.0,810.1,596.3,463.8,336.2,217.5,193.3,,112.4,92.8,33.3,7126839.7,,7004478.2,6010522.9,6768621.2,5304169.6,3670803.5,2849567.8,3797068.1,1779870.9,952415.0,309219.4,166834.3,140203.1,,41864.9,40456.2,3365.3
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,137.1,81.0,55.6,28.4,,,,,,,,,,,,,,,66249.9,23091.3,9143.8,2315.2
DDS-NBDS,,,,,,,,,,,,,,,947.5,110.0,51.3,21.7,,,,,,,,,,,,,,,7981320.9,34677.6,13026.4,1378.1
IHME-CurveFit,,,,,,876.7,620.7,455.1,557.6,512.7,,312.9,215.5,186.2,137.0,,109.8,57.5,,,,,,3261464.6,2210573.1,846772.5,1547885.7,1242309.7,,270014.5,110684.9,130493.1,62068.9,,68001.6,15273.2
Karlen-pypm,,,,,,,,,,,,,,428.5,208.6,116.5,52.3,27.6,,,,,,,,,,,,,,1607687.0,193784.9,89839.6,20391.4,3641.6
GT-DeepCOVID,,,,,,,,,,,,,,,142.2,89.2,55.2,37.4,,,,,,,,,,,,,,,110619.8,36445.2,14805.7,6425.5
JHU_IDD-CovidSP,,,,,,,,,,,,,,351.4,239.3,157.2,74.0,42.8,,,,,,,,,,,,,,361303.9,167000.9,75985.2,14328.4,6825.5
USACE-ERDC_SEIR,,,,,,,,578.6,606.5,,331.4,1076.0,536.8,375.6,251.2,166.9,98.8,44.0,,,,,,,,1540711.2,2236383.2,,473019.4,4979376.0,864788.0,387103.7,164265.9,80337.3,27329.3,5018.5
PSI-DRAFT,,,,,,,,,,,,,1128.3,1151.9,272.0,220.6,72.0,31.2,,,,,,,,,,,,,11724655.3,14280506.8,214555.6,223404.3,24772.3,2952.5
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,59.5,26.7,,,,,,,,,,,,,,,,,23233.6,3255.2
Google_Harvard-CPF,,,,,,,,,,,,,,,,,73.3,27.1,,,,,,,,,,,,,,,,,21063.1,2298.2
Auquan-SEIR,,,,,,,,,,,,,,,141.3,159.6,165.6,,,,,,,,,,,,,,,,90213.5,100215.6,81155.6,
RobertWalraven-ESG,,,,,,,,,,,,,,,672.2,144.8,91.8,38.3,,,,,,,,,,,,,,,2485736.2,77856.8,29039.5,4834.6
MITCovAlliance-SIR,,,,,,,,,,,895.6,691.9,619.0,394.9,,385.6,,,,,,,,,,,,,3431032.2,2950531.6,2229530.9,1005505.8,,942488.9,,
UT-Mobility,,,,,,,,,,,,,,,,179.0,61.7,,,,,,,,,,,,,,,,,178267.3,14912.4,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,2657.9
epiforecasts-ensemble1,,,,,,,,,,,,,,,,123.0,126.4,100.7,,,,,,,,,,,,,,,,39332.1,54482.5,39797.5
UMich-RidgeTfReg,,,,,,,,,,,,,,,394.9,,,33.7,,,,,,,,,,,,,,,2271455.1,,,3030.7
TTU-squider,,,,,,,,,,,,,,,,2890.3,335.6,,,,,,,,,,,,,,,,,24694675.6,341874.6,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,77.3,,,,,,,,,,,,,,,,,,24262.7
