,mean_abs_error_2020-04-20_2020-06-06,mean_abs_error_2020-04-27_2020-06-13,mean_abs_error_2020-05-04_2020-06-20,mean_abs_error_2020-05-11_2020-06-27,mean_abs_error_2020-05-18_2020-07-04,mean_abs_error_2020-05-25_2020-07-11,mean_abs_error_2020-06-01_2020-07-18,mean_abs_error_2020-06-08_2020-07-25,mean_abs_error_2020-06-15_2020-08-01,mean_abs_error_2020-06-22_2020-08-08,mean_abs_error_2020-06-29_2020-08-15,mean_abs_error_2020-07-06_2020-08-22,mean_abs_error_2020-07-13_2020-08-29,mean_abs_error_2020-07-20_2020-09-05,mean_abs_error_2020-07-27_2020-09-12,mean_abs_error_2020-08-03_2020-09-19,mean_abs_error_2020-08-10_2020-09-26,mean_abs_error_2020-08-17_2020-10-03,mean_abs_error_2020-08-24_2020-10-10,mean_abs_error_2020-08-31_2020-10-17,mean_abs_error_2020-09-07_2020-10-24,mean_abs_error_2020-09-14_2020-10-31,mean_abs_error_2020-09-21_2020-11-07,mean_abs_error_2020-09-28_2020-11-14,mean_abs_error_2020-10-05_2020-11-21,mean_abs_error_2020-10-12_2020-11-28,mean_abs_error_2020-10-19_2020-12-05,mean_abs_error_2020-10-26_2020-12-12,mean_abs_error_2020-11-02_2020-12-19,mean_abs_error_2020-11-09_2020-12-26,mean_abs_error_2020-11-16_2021-01-02,mean_abs_error_2020-11-23_2021-01-09,mean_abs_error_2020-11-30_2021-01-16,mean_abs_error_2020-12-07_2021-01-23,mean_abs_error_2020-12-14_2021-01-30,mean_abs_error_2020-12-21_2021-02-06,mean_sq_abs_error_2020-04-20_2020-06-06,mean_sq_abs_error_2020-04-27_2020-06-13,mean_sq_abs_error_2020-05-04_2020-06-20,mean_sq_abs_error_2020-05-11_2020-06-27,mean_sq_abs_error_2020-05-18_2020-07-04,mean_sq_abs_error_2020-05-25_2020-07-11,mean_sq_abs_error_2020-06-01_2020-07-18,mean_sq_abs_error_2020-06-08_2020-07-25,mean_sq_abs_error_2020-06-15_2020-08-01,mean_sq_abs_error_2020-06-22_2020-08-08,mean_sq_abs_error_2020-06-29_2020-08-15,mean_sq_abs_error_2020-07-06_2020-08-22,mean_sq_abs_error_2020-07-13_2020-08-29,mean_sq_abs_error_2020-07-20_2020-09-05,mean_sq_abs_error_2020-07-27_2020-09-12,mean_sq_abs_error_2020-08-03_2020-09-19,mean_sq_abs_error_2020-08-10_2020-09-26,mean_sq_abs_error_2020-08-17_2020-10-03,mean_sq_abs_error_2020-08-24_2020-10-10,mean_sq_abs_error_2020-08-31_2020-10-17,mean_sq_abs_error_2020-09-07_2020-10-24,mean_sq_abs_error_2020-09-14_2020-10-31,mean_sq_abs_error_2020-09-21_2020-11-07,mean_sq_abs_error_2020-09-28_2020-11-14,mean_sq_abs_error_2020-10-05_2020-11-21,mean_sq_abs_error_2020-10-12_2020-11-28,mean_sq_abs_error_2020-10-19_2020-12-05,mean_sq_abs_error_2020-10-26_2020-12-12,mean_sq_abs_error_2020-11-02_2020-12-19,mean_sq_abs_error_2020-11-09_2020-12-26,mean_sq_abs_error_2020-11-16_2021-01-02,mean_sq_abs_error_2020-11-23_2021-01-09,mean_sq_abs_error_2020-11-30_2021-01-16,mean_sq_abs_error_2020-12-07_2021-01-23,mean_sq_abs_error_2020-12-14_2021-01-30,mean_sq_abs_error_2020-12-21_2021-02-06
USACE-ERDC_SEIR,,,,,365.5,326.3,430.5,390.1,293.4,326.6,440.0,271.4,294.5,1075.0,666.2,549.6,454.4,416.6,363.8,421.3,416.3,406.6,452.3,414.2,,550.6,,623.8,,,1973.6,1775.8,1804.8,,,,,,,,449934.1,349674.6,567843.1,513048.5,459085.2,538444.6,1302061.3,526442.2,391986.1,4980253.0,1269165.7,841973.1,615038.9,528861.0,431691.9,482682.7,589146.9,436822.6,520420.0,502240.4,,999311.0,,1337668.4,,,14866176.6,11211635.1,12415636.1,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,322.0,,,,357.7,438.2,442.9,651.5,638.1,1437.7,1025.1,775.7,667.2,631.7,1204.0,,,,,,,,,,,,,,,,,,,,,,391387.2,,,,333899.1,534463.0,402644.9,940783.9,1062937.6,5902919.5,6392513.9,1287423.5,1230341.6,842108.4,4861063.5
COVIDhub-baseline,,,,,,,,,,,,,,,,,,,,,,,,,328.1,377.7,574.1,648.4,867.8,926.1,994.7,907.4,1163.9,922.2,1036.9,937.8,,,,,,,,,,,,,,,,,,,,,,,,,235755.9,320229.9,745146.8,948306.6,1775365.7,1905680.3,2428569.5,2518205.4,4665556.2,3868731.1,4400959.0,3230570.9
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,381.9,457.2,511.9,656.4,771.1,627.0,704.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263141.3,424848.8,749467.1,1079955.0,1297448.1,925053.4,1286560.8,,,,,
MITCovAlliance-SIR,,,,,,,,,,,,742.7,822.4,692.6,692.2,511.7,,635.8,,,401.4,491.2,549.7,259.5,,,663.5,,,,,,,,,,,,,,,,,,,,,2476056.2,2934665.0,2950699.9,2690713.1,1463708.4,,1980573.4,,,706873.9,1099035.3,1434252.7,163632.7,,,976444.8,,,,,,,,,
Auquan-SEIR,,,,,,,,,,,,671.6,,,,,,204.1,206.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2336731.7,,,,,,142683.1,145122.7,,,,,,,,,,,,,,,,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,409.7,422.7,447.4,496.4,604.1,701.7,873.9,1076.0,1313.4,1466.5,1645.3,1826.3,2068.8,2127.4,2162.1,2219.9,,,,,,,,,,,,,,,,,,,,,383243.7,377399.5,409837.7,487159.3,708095.5,937311.7,1477603.5,2205592.9,3305515.1,4153221.1,5398273.0,7092975.7,9842544.2,11523264.9,13484278.6,14997487.4
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,339.8,344.5,337.7,412.8,462.5,504.3,574.4,629.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367390.2,356068.5,333109.6,475216.0,514723.7,630910.1,704156.4,713261.8,,,,,,,,,,,
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,589.4,477.9,1696.1,1202.9,599.5,533.5,709.2,1055.2,1208.7,1819.2,4618.9,4470.1,1642.5,1298.3,1527.6,2849.1,,,,,,,,,,,,,,,,,,,,,1745731.2,752370.4,53688096.0,22360482.6,1401402.6,602312.6,1420992.4,5639504.5,5905915.0,9203291.7,75472472.8,63961470.6,11220312.1,3996425.9,12041488.5,80617470.9
SWC-TerminusCM,,,,,,,,,567.7,,557.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762239.2,,1890833.6,,,,,,,,,,,,,,,,,,,,,,,,,
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813111.8,,
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20547054.6
