,mean_abs_error_2020-09-21_2021-03-06,mean_abs_error_2020-09-28_2021-03-06,mean_abs_error_2020-10-05_2021-03-06,mean_abs_error_2020-10-12_2021-03-06,mean_abs_error_2020-10-19_2021-03-06,mean_abs_error_2020-10-26_2021-03-06,mean_abs_error_2020-11-02_2021-03-06,mean_abs_error_2020-11-09_2021-03-06,mean_abs_error_2020-11-16_2021-03-06,mean_abs_error_2020-11-23_2021-03-06,mean_abs_error_2020-11-30_2021-03-06,mean_abs_error_2020-12-07_2021-03-06,mean_abs_error_2020-12-14_2021-03-06,mean_abs_error_2020-12-21_2021-03-06,mean_abs_error_2020-12-28_2021-03-06,mean_abs_error_2021-01-04_2021-03-06,mean_abs_error_2021-01-11_2021-03-06,mean_abs_error_2021-01-18_2021-03-06,mean_abs_error_2021-01-25_2021-03-06,mean_abs_error_2021-02-01_2021-03-06,mean_abs_error_2021-02-08_2021-03-06,mean_abs_error_2021-02-15_2021-03-06,mean_abs_error_2021-02-22_2021-03-06,mean_abs_error_2021-03-01_2021-03-06,mean_sq_abs_error_2020-09-21_2021-03-06,mean_sq_abs_error_2020-09-28_2021-03-06,mean_sq_abs_error_2020-10-05_2021-03-06,mean_sq_abs_error_2020-10-12_2021-03-06,mean_sq_abs_error_2020-10-19_2021-03-06,mean_sq_abs_error_2020-10-26_2021-03-06,mean_sq_abs_error_2020-11-02_2021-03-06,mean_sq_abs_error_2020-11-09_2021-03-06,mean_sq_abs_error_2020-11-16_2021-03-06,mean_sq_abs_error_2020-11-23_2021-03-06,mean_sq_abs_error_2020-11-30_2021-03-06,mean_sq_abs_error_2020-12-07_2021-03-06,mean_sq_abs_error_2020-12-14_2021-03-06,mean_sq_abs_error_2020-12-21_2021-03-06,mean_sq_abs_error_2020-12-28_2021-03-06,mean_sq_abs_error_2021-01-04_2021-03-06,mean_sq_abs_error_2021-01-11_2021-03-06,mean_sq_abs_error_2021-01-18_2021-03-06,mean_sq_abs_error_2021-01-25_2021-03-06,mean_sq_abs_error_2021-02-01_2021-03-06,mean_sq_abs_error_2021-02-08_2021-03-06,mean_sq_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2021-02-22_2021-03-06,mean_sq_abs_error_2021-03-01_2021-03-06
Covid19Sim-Simulator,,,,,4178.7,2760.7,2553.6,2904.0,,2423.4,2152.7,1591.0,1082.7,949.2,1183.4,1078.3,610.0,626.1,656.9,391.6,296.2,282.5,222.8,238.8,,,,,49172689.0,27567120.1,25789777.4,26756697.8,,18803132.9,15427300.4,7525362.7,3231531.9,2310072.6,4785450.5,3987532.2,1010136.0,928328.6,958392.3,414954.6,300660.8,366044.5,298265.6,307075.8
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,,,201.5,206.2,149.6,84.2,,,,,,,,,,,,,,,,,,,,,132257.3,173164.0,176682.7,45519.6
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,253.9,1571.6,139.5,54.7,,,,,,,,,,,,,,,,,,,,,231044.6,33258352.9,135153.9,19787.0
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,346.5,253.1,141.0,65.7,,,,,,,,,,,,,,,,,,,,,354086.4,195549.5,111076.7,25061.7
UA-EpiCovDA,,,,,,,,,,,,,,,,,,,,,312.4,225.5,164.2,64.5,,,,,,,,,,,,,,,,,,,,,463740.5,217294.6,171991.3,22560.4
Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,,293.2,264.6,143.3,76.5,,,,,,,,,,,,,,,,,,,,,234639.6,279542.0,156382.6,37076.1
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,381.4,276.4,142.7,64.5,,,,,,,,,,,,,,,,,,,,,390245.5,207539.3,111667.7,24124.4
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,544.8,356.5,135.9,49.1,,,,,,,,,,,,,,,,,,,,,741955.9,455660.0,138826.9,12860.7
CU-select,,,,,,,,,,,,,,,,,,,,,283.1,193.3,169.9,84.8,,,,,,,,,,,,,,,,,,,,,268076.8,182994.0,175980.1,40192.3
COVIDhub-baseline,,,,,,,,,,,,,,,,,938.2,887.9,661.3,702.9,719.3,602.2,176.6,58.6,,,,,,,,,,,,,,,,,2021210.7,2095834.9,1169151.3,1448813.2,1654676.3,3894191.0,143818.8,14374.4
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,429.6,301.5,141.5,62.5,,,,,,,,,,,,,,,,,,,,,557551.5,229191.9,130628.1,23922.9
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,,580.5,498.7,409.4,331.3,263.2,200.0,,,,,,,,,,,,,,,,,,,901988.6,601396.1,428669.5,286223.5,298907.6,203250.8
CMU-TimeSeries,,,,,,,,,,,,,,,,,,,,,332.6,230.4,172.6,71.8,,,,,,,,,,,,,,,,,,,,,281462.5,176990.8,171998.0,32913.6
UCLA-SuEIR,,,,,,,,,,,2563.8,2032.8,1872.9,1563.6,1616.2,1248.4,962.6,689.2,660.2,457.0,414.4,,224.4,70.9,,,,,,,,,,,27950556.0,17355272.0,14812039.8,10583656.3,12659707.7,5593033.0,2672067.9,1379943.8,1368226.7,510956.9,490613.3,,229394.7,17812.1
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,360.6,368.2,150.3,61.8,,,,,,,,,,,,,,,,,,,,,375641.7,1451548.0,139796.5,22956.2
AIpert-pwllnod,,,,,,,,,,,,,,,,,2606.5,2847.7,1560.9,889.6,577.9,378.4,158.8,62.0,,,,,,,,,,,,,,,,,57291665.1,68587415.5,13318545.2,3184707.9,1071869.3,440033.4,96938.9,12812.6
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,381.5,341.5,165.3,62.4,,,,,,,,,,,,,,,,,,,,,425876.1,717564.0,166495.1,15494.2
GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,,374.4,1177.4,155.5,58.6,,,,,,,,,,,,,,,,,,,,,458674.0,42984652.3,169389.4,19553.2
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,523.1,439.5,140.4,70.1,,,,,,,,,,,,,,,,,,,,,671359.9,507831.5,129714.4,27536.2
IowaStateLW-STEM,,,,,4675.7,4316.5,3945.3,3664.0,3291.0,2364.0,2326.8,2065.5,1964.4,1759.1,1359.8,1035.2,882.2,993.8,715.0,945.2,659.4,405.1,149.1,103.8,,,,,55606198.2,50889937.3,45555706.0,41669584.6,38364107.8,24376832.1,23653667.2,19175366.4,13265946.6,9411538.8,5307295.2,3574101.5,1872296.6,2458960.3,1434237.1,2796219.2,1450984.2,405431.6,132319.9,45473.8
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,,,265.2,,160.6,83.2,,,,,,,,,,,,,,,,,,,,,186276.6,,188779.1,45539.6
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,1758.1,932.2,,376.2,318.4,209.3,88.1,,,,,,,,,,,,,,,,,,10764917.7,4024903.7,,373129.7,665797.1,306501.1,51331.4
PSI-DRAFT,,,,,,,,,,,,,,,,,,,1049.5,895.1,528.8,310.9,188.5,95.4,,,,,,,,,,,,,,,,,,,8326559.9,5826680.6,802836.6,317719.4,156577.6,42889.4
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,1888.9,1420.8,1056.8,729.6,510.6,356.1,254.6,,,,,,,,,,,,,,,,,,13807971.6,8318250.4,4640013.2,2225441.8,1001927.2,482268.0,282299.0,
Caltech-CS156,,,,,,,,,,,,,,,,,,,,,298.4,,174.3,78.7,,,,,,,,,,,,,,,,,,,,,226092.8,,207686.4,35049.1
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,167.3,64.0,,,,,,,,,,,,,,,,,,,,,,,202150.4,11686.7
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,629.3,395.3,174.9,85.6,,,,,,,,,,,,,,,,,,,,,1955750.5,796511.2,207093.0,30951.9
JHUAPL-Bucky,,,,,,,,,,,,,,,,1441.8,1104.3,,585.2,1064.5,886.7,958.6,399.7,177.5,,,,,,,,,,,,,,,,9658813.9,6994982.1,,1229003.2,4390934.1,3216193.7,4544183.4,786551.5,164342.0
CEID-Walk,,,,,,,,,,,,,,,,,,,,,753.0,616.6,192.0,77.1,,,,,,,,,,,,,,,,,,,,,1830365.1,4382716.5,161168.4,33117.0
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,,,930.8,31438.1,176.9,73.4,,,,,,,,,,,,,,,,,,,,,11657970.0,49660032701.1,254227.5,32142.7
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,325.3,233.0,114.3,,,,,,,,,,,,,,,,,,,,,,424920.4,280754.7,58033.7
DDS-NBDS,,,,,,,,,,,,,,,,,,,,,767.3,,233.5,76.4,,,,,,,,,,,,,,,,,,,,,1868441.0,,169965.3,19291.0
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,173.7,,,,,,,,,,,,,,,,,,,,,,,,161115.7,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,18085.8
TTU-squider,,,,,,,,,,,,,,,,,,,,,816.2,648.6,578.4,517.9,,,,,,,,,,,,,,,,,,,,,1542155.2,992456.1,777440.2,666582.3
MITCovAlliance-SIR,,,,,,,,,,,,,,,,,1715.6,,,,,,,,,,,,,,,,,,,,,,,,11634251.1,,,,,,,
