,mean_abs_error_2020-08-24_2021-01-09,mean_abs_error_2020-08-31_2021-01-09,mean_abs_error_2020-09-07_2021-01-09,mean_abs_error_2020-09-14_2021-01-09,mean_abs_error_2020-09-21_2021-01-09,mean_abs_error_2020-09-28_2021-01-09,mean_abs_error_2020-10-05_2021-01-09,mean_abs_error_2020-10-12_2021-01-09,mean_abs_error_2020-10-19_2021-01-09,mean_abs_error_2020-10-26_2021-01-09,mean_abs_error_2020-11-02_2021-01-09,mean_abs_error_2020-11-09_2021-01-09,mean_abs_error_2020-11-16_2021-01-09,mean_abs_error_2020-11-23_2021-01-09,mean_abs_error_2020-11-30_2021-01-09,mean_abs_error_2020-12-07_2021-01-09,mean_abs_error_2020-12-14_2021-01-09,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-09,mean_abs_error_2021-01-04_2021-01-09,mean_sq_abs_error_2020-08-24_2021-01-09,mean_sq_abs_error_2020-08-31_2021-01-09,mean_sq_abs_error_2020-09-07_2021-01-09,mean_sq_abs_error_2020-09-14_2021-01-09,mean_sq_abs_error_2020-09-21_2021-01-09,mean_sq_abs_error_2020-09-28_2021-01-09,mean_sq_abs_error_2020-10-05_2021-01-09,mean_sq_abs_error_2020-10-12_2021-01-09,mean_sq_abs_error_2020-10-19_2021-01-09,mean_sq_abs_error_2020-10-26_2021-01-09,mean_sq_abs_error_2020-11-02_2021-01-09,mean_sq_abs_error_2020-11-09_2021-01-09,mean_sq_abs_error_2020-11-16_2021-01-09,mean_sq_abs_error_2020-11-23_2021-01-09,mean_sq_abs_error_2020-11-30_2021-01-09,mean_sq_abs_error_2020-12-07_2021-01-09,mean_sq_abs_error_2020-12-14_2021-01-09,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-09,mean_sq_abs_error_2021-01-04_2021-01-09
USC-SI_kJalpha,,,,,,,,,,,,,,,,,232.3,198.6,131.4,125.4,,,,,,,,,,,,,,,,,170427.8,126845.7,46009.0,44329.0
OliverWyman-Navigator,,,,,,,,,,,,,,,,,401.4,191.4,157.4,86.7,,,,,,,,,,,,,,,,,515448.6,108215.9,114089.5,28022.8
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,233.0,167.0,160.0,121.5,,,,,,,,,,,,,,,,,256208.6,105533.8,77653.5,41911.3
Baseline,2064.3,1918.7,1882.1,2044.9,1992.9,1985.7,1997.9,1996.6,1980.3,1815.1,1763.4,1605.4,1390.6,985.4,1004.2,533.8,430.7,221.3,227.7,112.9,9415145.5,8070561.2,7899708.4,8582024.9,8221690.0,8521799.4,8338511.3,8749367.1,8883137.8,7783832.8,7777259.3,6266768.7,5185871.8,3079943.4,3090354.6,1227476.2,693433.6,197131.4,203236.4,45701.7
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,431.0,203.2,133.5,81.8,,,,,,,,,,,,,,,,,698889.4,117252.0,62559.8,21422.4
JHUAPL-Bucky,,,,,,,,,,,,1225.2,1798.1,1049.2,691.8,438.0,321.2,416.4,377.0,177.9,,,,,,,,,,,,4227802.2,9256749.4,6522398.0,1126045.0,624487.6,242546.6,671091.7,345119.2,118707.9
UMass-MechBayes,,,,,,,,,,,,,,,,,226.8,139.9,210.6,125.6,,,,,,,,,,,,,,,,,136870.1,74414.4,118933.2,51241.0
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,358.6,266.3,129.5,101.0,,,,,,,,,,,,,,,,,366799.5,157566.0,84224.3,44631.5
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,454.4,221.2,161.4,78.6,,,,,,,,,,,,,,,,,707961.5,122812.3,69513.4,19521.1
UCLA-SuEIR,,,,,,,2424.7,2368.9,2362.1,2253.5,2084.2,1871.4,1778.5,891.6,1045.3,524.8,450.6,239.3,286.8,116.6,,,,,,,12090889.6,11667935.6,11659490.7,10818914.7,9961695.2,7846341.6,7454756.5,2767295.7,3252155.4,1108940.4,748261.0,212793.3,281975.4,41012.9
CMU-TimeSeries,,,,,,,,,,,,,,,,,400.5,201.8,179.3,102.5,,,,,,,,,,,,,,,,,342731.0,84325.0,140717.3,31511.1
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,326.4,206.7,168.5,117.7,,,,,,,,,,,,,,,,,343247.6,87699.3,101355.2,40747.7
LNQ-ens1,,,,,,,,,,,,,,,,,238.7,166.9,247.1,120.4,,,,,,,,,,,,,,,,,147014.4,70769.4,150042.4,36681.2
JHU_IDD-CovidSP,,,,,,,,,,,,,,,785.2,679.9,554.1,329.4,179.5,140.0,,,,,,,,,,,,,,,1444632.7,1038325.5,720321.4,353714.4,96064.3,51980.5
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,612.1,464.9,195.7,227.6,112.5,,,,,,,,,,,,,,,,1569956.0,1092264.0,125112.1,153039.9,46214.0
Columbia_UNC-SurvCon,,,,,,,,,,,,,8068.6,4371.6,1052.1,963.1,422.9,383.0,166.0,140.8,,,,,,,,,,,,,256725376.0,63067352.3,3534970.2,2171598.0,444515.9,680230.9,68287.7,59330.3
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,293.4,192.9,228.5,185.5,,,,,,,,,,,,,,,,,282025.8,121440.2,151846.9,113708.2
BPagano-RtDriven,,,,,,,,,1552.1,1371.2,,,1003.2,,,,403.3,249.0,145.6,183.5,,,,,,,,,6204942.0,3920307.4,,,2835616.0,,,,425003.3,174764.7,57938.7,149922.0
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,366.9,269.0,167.8,,,,,,,,,,,,,,,,,,400981.6,297396.2,188868.4,
UCSB-ACTS,,,,,,,,,,,,,,,,,450.3,233.4,196.2,148.6,,,,,,,,,,,,,,,,,624165.7,131372.6,93296.8,53421.5
IHME-CurveFit,2014.5,1700.2,1629.5,,1527.6,1441.1,,,1095.0,1096.4,,,,639.6,,504.9,497.1,338.6,245.7,,21008679.3,19271770.5,14796724.5,,9904148.2,9322555.4,,,2880116.0,3189259.6,,,,1473992.2,,583967.6,634442.3,274016.8,132208.9,
CU-select,,,,,,,,,,,,,,,,,320.7,299.0,224.5,187.3,,,,,,,,,,,,,,,,,255085.5,324716.3,183357.3,108063.2
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,320.4,227.4,92.2,,,,,,,,,,,,,,,,,,334764.5,179731.6,23257.4
PSI-DRAFT,,,,,,,,,,,,,,,1154.8,959.8,892.3,397.2,226.8,122.5,,,,,,,,,,,,,,,3832821.1,4434265.0,4358939.6,586010.4,153098.5,51332.5
UA-EpiCovDA,,,,,,,,,,,,,,,,,294.6,317.9,358.5,148.8,,,,,,,,,,,,,,,,,213727.5,345269.2,351110.2,71972.6
UT-Mobility,,,,,,,,,,,,,,,,,391.0,277.8,,,,,,,,,,,,,,,,,,,469763.9,199505.7,,
NotreDame-mobility,,,,,,,,,,,,,,,1068.3,929.9,883.2,,,,,,,,,,,,,,,,,,3647310.2,2903182.4,2752940.9,,,
AIpert-pwllnod,,,,,,,,,,,,,,,,,,332.3,252.8,90.7,,,,,,,,,,,,,,,,,,348531.2,339221.1,23356.2
CEID-Walk,,,,,,,,,,,,,,,,,,,208.3,102.8,,,,,,,,,,,,,,,,,,,156353.3,30740.7
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,684.3,556.8,460.0,,108.5,,,,,,,,,,,,,,,,1369179.9,819580.4,533945.0,,40885.9
DDS-NBDS,,,,,,,,,,,,,,,,,902.8,272.3,241.1,125.8,,,,,,,,,,,,,,,,,2484047.7,266938.9,179626.6,48863.5
RobertWalraven-ESG,,,,,,,,,,,,,,,,,540.7,258.3,304.6,177.1,,,,,,,,,,,,,,,,,733966.2,176002.8,280875.3,82429.6
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,83.9,,,,,,,,,,,,,,,,,,,,22103.9
USACE-ERDC_SEIR,,,,,,,,,,,,,1978.8,1677.3,1556.7,,,,,,,,,,,,,,,,,,15137584.5,10403412.6,9980297.1,,,,,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,105.2,,,,,,,,,,,,,,,,,,,,28593.4
TTU-squider,,,,,,,,,,,,,,,,,563.5,447.4,446.4,335.6,,,,,,,,,,,,,,,,,764678.2,598481.5,609264.8,298272.7
WalmartLabsML-LogForecasting,,,,,,,,,,,,,2151.7,1924.8,1750.2,1451.9,1131.8,847.8,,314.2,,,,,,,,,,,,,9704188.1,8011490.8,6780363.3,4913893.6,3211174.0,1887636.5,,278077.6
MITCovAlliance-SIR,,,,,,,,,,,,,,,,,,,,170.4,,,,,,,,,,,,,,,,,,,,146604.3
