,mean_abs_error_2020-08-10_2020-12-26,mean_abs_error_2020-08-17_2020-12-26,mean_abs_error_2020-08-24_2020-12-26,mean_abs_error_2020-08-31_2020-12-26,mean_abs_error_2020-09-07_2020-12-26,mean_abs_error_2020-09-14_2020-12-26,mean_abs_error_2020-09-21_2020-12-26,mean_abs_error_2020-09-28_2020-12-26,mean_abs_error_2020-10-05_2020-12-26,mean_abs_error_2020-10-12_2020-12-26,mean_abs_error_2020-10-19_2020-12-26,mean_abs_error_2020-10-26_2020-12-26,mean_abs_error_2020-11-02_2020-12-26,mean_abs_error_2020-11-09_2020-12-26,mean_abs_error_2020-11-16_2020-12-26,mean_abs_error_2020-11-23_2020-12-26,mean_abs_error_2020-11-30_2020-12-26,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2020-12-26,mean_abs_error_2020-12-21_2020-12-26,mean_sq_abs_error_2020-08-10_2020-12-26,mean_sq_abs_error_2020-08-17_2020-12-26,mean_sq_abs_error_2020-08-24_2020-12-26,mean_sq_abs_error_2020-08-31_2020-12-26,mean_sq_abs_error_2020-09-07_2020-12-26,mean_sq_abs_error_2020-09-14_2020-12-26,mean_sq_abs_error_2020-09-21_2020-12-26,mean_sq_abs_error_2020-09-28_2020-12-26,mean_sq_abs_error_2020-10-05_2020-12-26,mean_sq_abs_error_2020-10-12_2020-12-26,mean_sq_abs_error_2020-10-19_2020-12-26,mean_sq_abs_error_2020-10-26_2020-12-26,mean_sq_abs_error_2020-11-02_2020-12-26,mean_sq_abs_error_2020-11-09_2020-12-26,mean_sq_abs_error_2020-11-16_2020-12-26,mean_sq_abs_error_2020-11-23_2020-12-26,mean_sq_abs_error_2020-11-30_2020-12-26,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2020-12-26,mean_sq_abs_error_2020-12-21_2020-12-26
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,381.9,230.1,167.6,78.5,,,,,,,,,,,,,,,,,515880.7,171621.7,84531.1,14992.9
UA-EpiCovDA,,,,,,,,,,,,,,,,,552.1,264.7,129.3,60.9,,,,,,,,,,,,,,,,,888044.9,259087.1,52360.9,14711.3
OliverWyman-Navigator,,,,,,,,,,,,,,,,,350.7,239.1,180.8,78.8,,,,,,,,,,,,,,,,,430457.2,205879.5,115073.6,17554.9
UCSB-ACTS,,,,,,,,,,,,,,,,,389.8,320.2,173.7,58.9,,,,,,,,,,,,,,,,,522274.6,338630.8,96634.5,7429.1
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,373.7,237.1,182.2,85.2,,,,,,,,,,,,,,,,,495355.6,168609.5,86068.3,16901.6
CEID-Walk,,,,,,,,,,,,,,,,,561.9,243.0,154.8,70.8,,,,,,,,,,,,,,,,,864422.4,222889.5,90482.7,14329.1
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,533.4,182.2,171.2,102.9,,,,,,,,,,,,,,,,,688409.1,115769.2,94567.4,34029.2
CU-select,,,,,,,,,,,,,,,,,539.2,267.9,142.1,94.8,,,,,,,,,,,,,,,,,632552.3,182536.5,41160.3,26591.6
Columbia_UNC-SurvCon,,,,,,,,,,,,,1969.8,1814.4,2450.0,1199.6,446.4,623.8,131.0,108.8,,,,,,,,,,,,,17365510.9,9180220.3,20980135.4,3866211.5,496965.2,844881.7,48414.3,33727.8
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,110.4,68.7,,,,,,,,,,,,,,,,,,,28290.8,13236.5
IHME-CurveFit,1687.0,,1776.0,1552.4,1561.8,,1388.9,1380.4,,,839.4,821.3,,,,426.3,,299.8,282.5,130.1,10985364.8,,17169543.0,15724726.6,12748199.5,,8122541.7,7776323.6,,,1855126.4,1832935.7,,,,605031.6,,229102.7,201165.7,41116.8
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,194.4,172.8,101.3,,,,,,,,,,,,,,,,,,115081.2,61988.7,21759.4
UT-Mobility,,,,,,,,,,,,,,,,,535.5,323.4,162.4,93.8,,,,,,,,,,,,,,,,,674039.4,334817.1,79381.4,20465.9
NotreDame-mobility,,,,,,,,,,,,,,,914.0,786.9,607.8,465.0,366.4,,,,,,,,,,,,,,,,1719745.4,1330653.1,1112708.0,651154.9,492106.4,
Covid19Sim-Simulator,,,2307.3,1759.9,1689.5,1784.6,1780.7,1592.8,1228.8,1230.6,1356.6,934.6,734.7,602.2,,599.9,435.4,327.2,312.0,213.6,,,10432505.0,6219941.1,6329508.5,7033586.9,6969740.6,5456499.7,3827947.9,3585252.7,4065408.9,2304195.4,1709613.8,1273514.1,,1178919.2,503171.3,295224.4,241591.9,114614.7
PSI-DRAFT,,,,,,,,,,,,,,,1175.6,893.0,673.8,421.2,275.0,118.0,,,,,,,,,,,,,,,3411813.0,2318346.0,1298429.4,627299.2,276587.6,45144.0
RobertWalraven-ESG,,,,,,,,,,,,,,,,,790.6,490.4,218.1,71.6,,,,,,,,,,,,,,,,,1630830.4,633056.0,121777.0,15796.3
DDS-NBDS,,,,,,,,,,,,,,,,,674.9,270.2,303.1,104.3,,,,,,,,,,,,,,,,,1189595.8,309318.6,250866.3,27340.8
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,314.1,203.1,143.4,,,,,,,,,,,,,,,,,,249499.8,97254.9,43106.0
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,78.8,,,,,,,,,,,,,,,,,,,,21698.3
WalmartLabsML-LogForecasting,,,,,,,,,,,,,1688.5,1564.8,1424.4,1216.5,1061.6,790.8,502.3,248.5,,,,,,,,,,,,,5704416.4,4946481.4,4146877.8,3095656.5,2375413.7,1363861.0,582866.1,144999.9
USACE-ERDC_SEIR,,,,,,,,,,,,,,,1668.0,1503.4,1289.8,,,,,,,,,,,,,,,,,,10533332.6,7413816.2,6068000.4,,,
TTU-squider,,,,,,,,,,,,,,,,,658.7,447.1,374.6,304.9,,,,,,,,,,,,,,,,,1659122.7,1037961.8,398239.9,319985.0
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,101.8,,,,,,,,,,,,,,,,,,,,28882.3
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,107.6,,,,,,,,,,,,,,,,,,,,30225.4
