,perc_error_2020-08-10_2020-12-26,perc_error_2020-08-17_2020-12-26,perc_error_2020-08-24_2020-12-26,perc_error_2020-08-31_2020-12-26,perc_error_2020-09-07_2020-12-26,perc_error_2020-09-14_2020-12-26,perc_error_2020-09-21_2020-12-26,perc_error_2020-09-28_2020-12-26,perc_error_2020-10-05_2020-12-26,perc_error_2020-10-12_2020-12-26,perc_error_2020-10-19_2020-12-26,perc_error_2020-10-26_2020-12-26,perc_error_2020-11-02_2020-12-26,perc_error_2020-11-09_2020-12-26,perc_error_2020-11-16_2020-12-26,perc_error_2020-11-23_2020-12-26,perc_error_2020-11-30_2020-12-26,perc_error_2020-12-07_2020-12-26,perc_error_2020-12-14_2020-12-26,perc_error_2020-12-21_2020-12-26
UT-Mobility,,,,,,,,,,,,,,,,,-0.323,-0.031,0.048,0.171
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.263,-0.102,0.039,0.166
Baseline,-0.161,-0.199,-0.250,-0.316,-0.368,-0.469,-0.454,-0.491,-0.539,-0.553,-0.588,-0.559,-0.571,-0.542,-0.498,-0.349,-0.433,-0.154,-0.086,0.054
Caltech-CS156,,,,,,,,,,,,,,,,,-0.266,-0.134,-0.050,0.088
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.383,-0.198,-0.030,-0.022
COVIDhub-baseline,,,,,,,,,,,,,-0.576,-0.543,-0.502,-0.361,-0.419,-0.149,-0.066,0.121
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.179,-0.091,0.108,0.192
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.209,-0.198,-0.322,-0.349,-0.363,0.228
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.075,-0.120,0.068,0.271
IowaStateLW-STEM,,-0.523,-0.478,-0.473,-0.544,-0.475,-0.518,-0.739,-0.607,-0.622,-0.678,-0.610,-0.579,-0.575,-0.476,-0.223,-0.289,-0.134,0.154,0.336
MSRA-DeepST,,,,,,,,,,,,,,,,,-0.227,-0.056,,
CEID-Walk,,,,,,,,,,,,,,,,,-0.393,-0.145,-0.067,0.155
Covid19Sim-Simulator,,-0.692,-0.781,-0.702,-0.685,-0.717,-0.782,-0.723,-0.431,-0.446,-0.655,-0.185,-0.211,-0.077,,0.057,0.158,-0.323,-0.470,-0.775
CU-select,,,,,,,,,,,,,,,,,-0.406,-0.245,0.039,0.166
LNQ-ens1,,,,,,,,,,,,,,,,,-0.333,0.033,0.205,0.245
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.410,-0.044,-0.143,-0.227
TTU-squider,,,,,,,,,,,,,,,,,0.059,-0.174,0.118,0.369
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,0.013,0.140
RobertWalraven-ESG,,,,,,,,,,,,,,,,,-0.696,0.531,0.045,0.106
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,-0.043,0.136,0.283
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.374,-0.175,0.118,0.278
NotreDame-mobility,,,,,,,,,,,,,,,-0.380,-0.428,-0.439,-0.360,-0.476,
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.578,-0.541,0.123,0.427,1.005
DDS-NBDS,,,,,,,,,,,,,,,,,-0.506,-0.201,0.303,0.271
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,0.235
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.767,-0.773,-0.769,-0.759,-0.754,-0.728,-0.692,-0.709
USACE-ERDC_SEIR,,,,,,,,,,,,,,,0.871,0.898,0.886,,,
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,0.426
STH-3PU,-0.387,-0.403,-0.426,-0.443,-0.797,-0.520,-0.551,,-0.595,-0.603,-0.620,-0.655,-0.636,,,,,,,
