,perc_error_2020-09-21_2021-02-06,perc_error_2020-09-28_2021-02-06,perc_error_2020-10-05_2021-02-06,perc_error_2020-10-12_2021-02-06,perc_error_2020-10-19_2021-02-06,perc_error_2020-10-26_2021-02-06,perc_error_2020-11-02_2021-02-06,perc_error_2020-11-09_2021-02-06,perc_error_2020-11-16_2021-02-06,perc_error_2020-11-23_2021-02-06,perc_error_2020-11-30_2021-02-06,perc_error_2020-12-07_2021-02-06,perc_error_2020-12-14_2021-02-06,perc_error_2020-12-21_2021-02-06,perc_error_2020-12-28_2021-02-06,perc_error_2021-01-04_2021-02-06,perc_error_2021-01-11_2021-02-06,perc_error_2021-01-18_2021-02-06,perc_error_2021-01-25_2021-02-06,perc_error_2021-02-01_2021-02-06
BPagano-RtDriven,,,,,,,,,,,,,,,,,-0.140,-0.144,-0.100,0.025
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,-0.042,0.208,0.091,-0.096
RobertWalraven-ESG,,,,,,,,,,,,,,,,,0.286,0.012,-0.075,-0.180
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.098,0.174,0.103,0.037
JHUAPL-Bucky,,,,,,,,,,,,-0.153,-0.173,-0.145,-0.432,-0.440,-0.322,,-0.089,0.019
UT-Mobility,,,,,,,,,,,,,,,,,0.031,,0.048,
Covid19Sim-Simulator,-0.883,-0.847,-0.546,-0.571,-0.793,-0.129,-0.200,0.102,,0.068,0.013,0.046,-0.112,-0.120,-0.068,-0.113,-0.315,-0.360,0.324,-0.894
OliverWyman-Navigator,,,,,,,,,,,,,,,,,0.204,0.116,-0.095,-0.076
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.073,-0.085,-0.132,-0.179
AIpert-pwllnod,,,,,,,,,,,,,,1.047,-0.778,-0.338,0.129,0.274,0.134,0.080
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,-0.028,-0.298,0.045
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,0.276,0.366,0.132,0.005
TTU-squider,,,,,,,,,,,,,,,,,-0.097,-0.105,-0.148,-0.278
DDS-NBDS,,,,,,,,,,,,,,,,,0.300,0.206,0.650,0.005
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,0.029,0.078
UCLA-SuEIR,,,,,,,-0.697,-0.568,-0.468,-0.320,-0.554,-0.236,-0.319,-0.218,-0.682,-0.470,-0.280,-0.250,-0.273,-0.074
UpstateSU-GRU,,,,,,,,,,,,,,,,,-0.270,-0.108,-0.200,-0.114
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,-0.184,-0.032
Caltech-CS156,,,,,,,,,,,,,,,,,-0.229,-0.160,,-0.100
CU-select,,,,,,,,,,,,,,,,,-0.419,-0.156,-0.187,-0.205
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,-0.118,0.238
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.100
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,-0.104
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.781,-0.762,,-0.681,-0.621,-0.558,-0.495,-0.415
STH-3PU,-0.682,,-0.709,-0.709,-0.719,-0.737,-0.730,,,,,,,,,,,,,
