,mean_abs_error_2020-04-20_2020-07-25,mean_abs_error_2020-04-27_2020-07-25,mean_abs_error_2020-05-04_2020-07-25,mean_abs_error_2020-05-11_2020-07-25,mean_abs_error_2020-05-18_2020-07-25,mean_abs_error_2020-05-25_2020-07-25,mean_abs_error_2020-06-01_2020-07-25,mean_abs_error_2020-06-08_2020-07-25,mean_abs_error_2020-06-15_2020-07-25,mean_abs_error_2020-06-22_2020-07-25,mean_abs_error_2020-06-29_2020-07-25,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-04-20_2020-07-25,mean_sq_abs_error_2020-04-27_2020-07-25,mean_sq_abs_error_2020-05-04_2020-07-25,mean_sq_abs_error_2020-05-11_2020-07-25,mean_sq_abs_error_2020-05-18_2020-07-25,mean_sq_abs_error_2020-05-25_2020-07-25,mean_sq_abs_error_2020-06-01_2020-07-25,mean_sq_abs_error_2020-06-08_2020-07-25,mean_sq_abs_error_2020-06-15_2020-07-25,mean_sq_abs_error_2020-06-22_2020-07-25,mean_sq_abs_error_2020-06-29_2020-07-25,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-07-25
IowaStateLW-STEM,,847.7,883.8,,575.0,456.5,433.8,360.6,280.4,216.6,231.3,171.1,96.6,48.9,,1812842.5,2144590.5,,988915.1,668898.3,649350.3,483434.8,287320.6,186871.9,302342.2,136854.4,40048.7,6218.5
COVIDhub-baseline,,,,,,,,,,,343.0,164.2,93.7,31.3,,,,,,,,,,,1238670.7,147090.8,43579.6,3994.1
CU-select,,,,,,,,,,,709.2,184.3,68.7,34.0,,,,,,,,,,,4038009.9,151386.1,23109.4,4218.5
MOBS-GLEAM_COVID,,,,,,,,,,,231.2,162.2,102.9,50.6,,,,,,,,,,,260056.6,149962.4,55913.6,8249.5
JHU_IDD-CovidSP,,,,,,,,,,,264.2,169.4,92.7,56.0,,,,,,,,,,,175848.5,79389.1,30348.8,11455.5
NotreDame-mobility,,,,,,,,,,313.6,441.4,175.7,94.0,60.0,,,,,,,,,,1110018.4,3055195.1,167084.3,41648.3,13604.3
PSI-DRAFT,,,,,,,,,424.1,351.6,272.0,227.6,157.1,42.3,,,,,,,,,1356874.7,808052.5,475281.0,281672.0,130390.7,5898.4
LNQ-ens1,,,,,,,,,,,,,,20.8,,,,,,,,,,,,,,1731.1
Geneva-DetGrowth,,,,,,,,,,,,,,23.8,,,,,,,,,,,,,,2488.9
CMU-TimeSeries,,,,,,,,,,,,,,29.8,,,,,,,,,,,,,,3780.5
Auquan-SEIR,,,,,,,,,,,208.5,195.7,,,,,,,,,,,,,218764.8,235842.7,,
GT-DeepCOVID,,,,,,,,,,,,214.7,120.5,64.5,,,,,,,,,,,,182046.0,69948.4,34391.1
SWC-TerminusCM,,,,,,,,,447.3,,219.2,,,,,,,,,,,,1285617.9,,258866.5,,,
MITCovAlliance-SIR,,,,,,,,,,,303.9,384.2,380.9,210.8,,,,,,,,,,,363977.3,880591.3,864488.3,484441.9
RobertWalraven-ESG,,,,,,,,,,,,369.7,347.1,2028.3,,,,,,,,,,,,1257536.2,1500651.1,26578103.0
Karlen-pypm,,,,,,,,,,,,,,64.7,,,,,,,,,,,,,,54888.4
CovidActNow-SEIR_CAN,,,,,,,,,,,,414.1,,,,,,,,,,,,,,948652.0,,
