,mean_abs_error_2020-04-20_2020-04-25,mean_abs_error_2020-04-27_2020-05-02,mean_abs_error_2020-05-04_2020-05-09,mean_abs_error_2020-05-11_2020-05-16,mean_abs_error_2020-05-18_2020-05-23,mean_abs_error_2020-05-25_2020-05-30,mean_abs_error_2020-06-01_2020-06-06,mean_abs_error_2020-06-08_2020-06-13,mean_abs_error_2020-06-15_2020-06-20,mean_abs_error_2020-06-22_2020-06-27,mean_abs_error_2020-06-29_2020-07-04,mean_abs_error_2020-07-06_2020-07-11,mean_abs_error_2020-07-13_2020-07-18,mean_abs_error_2020-07-20_2020-07-25,mean_abs_error_2020-07-27_2020-08-01,mean_abs_error_2020-08-03_2020-08-08,mean_abs_error_2020-08-10_2020-08-15,mean_abs_error_2020-08-17_2020-08-22,mean_abs_error_2020-08-24_2020-08-29,mean_abs_error_2020-08-31_2020-09-05,mean_abs_error_2020-09-07_2020-09-12,mean_abs_error_2020-09-14_2020-09-19,mean_abs_error_2020-09-21_2020-09-26,mean_abs_error_2020-09-28_2020-10-03,mean_abs_error_2020-10-05_2020-10-10,mean_abs_error_2020-10-12_2020-10-17,mean_abs_error_2020-10-19_2020-10-24,mean_abs_error_2020-10-26_2020-10-31,mean_sq_abs_error_2020-04-20_2020-04-25,mean_sq_abs_error_2020-04-27_2020-05-02,mean_sq_abs_error_2020-05-04_2020-05-09,mean_sq_abs_error_2020-05-11_2020-05-16,mean_sq_abs_error_2020-05-18_2020-05-23,mean_sq_abs_error_2020-05-25_2020-05-30,mean_sq_abs_error_2020-06-01_2020-06-06,mean_sq_abs_error_2020-06-08_2020-06-13,mean_sq_abs_error_2020-06-15_2020-06-20,mean_sq_abs_error_2020-06-22_2020-06-27,mean_sq_abs_error_2020-06-29_2020-07-04,mean_sq_abs_error_2020-07-06_2020-07-11,mean_sq_abs_error_2020-07-13_2020-07-18,mean_sq_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-08-31_2020-09-05,mean_sq_abs_error_2020-09-07_2020-09-12,mean_sq_abs_error_2020-09-14_2020-09-19,mean_sq_abs_error_2020-09-21_2020-09-26,mean_sq_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-10-05_2020-10-10,mean_sq_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-10-19_2020-10-24,mean_sq_abs_error_2020-10-26_2020-10-31
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,36.7,38.6,29.7,34.7,29.6,31.2,26.9,24.5,,,,,,,,,,,,,,,,,,,,,3902.1,4864.8,3133.4,5255.0,3419.6,2835.3,1801.7,1652.6
CovidActNow-SEIR_CAN,,,,,,,48.2,54.6,55.2,58.1,,83.6,,,,,,,,,,,,,,,,,,,,,,,7355.1,7276.6,10823.1,16581.2,,24272.3,,,,,,,,,,,,,,,,
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,55.6,,,35.3,32.2,56.1,58.5,33.4,26.4,31.8,33.5,30.4,,,,,,,,,,,,,,,,,26575.0,,,3742.1,3053.3,22788.7,24148.2,3796.0,2116.4,3153.5,2289.4,2191.3
MITCovAlliance-SIR,,,,,,,,,,,154.1,270.6,311.4,210.8,226.5,182.9,,282.5,,,28.1,40.9,37.0,25.9,,,30.6,,,,,,,,,,,,124389.3,674720.5,739175.6,484441.9,531967.5,447685.1,,628286.4,,,3546.3,7843.7,5667.0,1843.8,,,2654.8,
Auquan-SEIR,,,,,143.7,266.1,281.0,286.9,323.1,45.9,49.1,62.1,,,,81.7,84.8,98.9,109.1,,,,,,,,,,,,,,95180.1,356467.6,360600.4,240084.9,316884.0,9495.1,10840.9,29820.3,,,,21804.8,20464.1,28980.7,34703.7,,,,,,,,,
MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,24.6,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,1766.6,1174.5,836.0
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,29.3,34.0,28.7,31.9,,,,,,,,,,,,,,,,,,,,,,,,,2661.8,4469.3,2382.1,2572.3
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,78.7,63.0,73.4,61.0,56.6,37.2,34.5,34.3,49.4,,,,,,,,,,,,,,,,,,,,25953.7,20373.7,16140.2,13276.0,10238.5,3498.2,3097.8,2866.7,11447.8
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,136.6,131.3,102.4,89.1,122.2,84.9,86.8,86.1,39.0,47.8,46.6,,,,,,,,,,,,,,,,,,86387.5,72181.3,42144.2,36450.3,57527.3,31909.8,35731.3,22698.6,5268.6,7439.5,10413.8
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,50.3,47.7,,,,,,,,,,,,,,,,,,,,,,,,,1815.8,,8057.3,6819.6
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,95.3,79.4,75.0,74.0,79.6,78.8,71.1,76.8,,,,,,,,,,,,,,,,,,,,,45810.7,31929.0,33017.2,32307.5,35242.1,35293.2,13221.6,14060.7
UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226.4
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5426.3
TTU-squider,,,,,,,,,,,,,,,,,,2331.8,255.3,,,315.3,,394.3,226.5,285.8,330.3,211.1,,,,,,,,,,,,,,,,,,16730469.9,199189.2,,,601068.6,,973660.0,153850.7,280726.3,373842.6,139305.8
