,mean_abs_error_2020-04-20_2020-05-09,mean_abs_error_2020-04-27_2020-05-16,mean_abs_error_2020-05-04_2020-05-23,mean_abs_error_2020-05-11_2020-05-30,mean_abs_error_2020-05-18_2020-06-06,mean_abs_error_2020-05-25_2020-06-13,mean_abs_error_2020-06-01_2020-06-20,mean_abs_error_2020-06-08_2020-06-27,mean_abs_error_2020-06-15_2020-07-04,mean_abs_error_2020-06-22_2020-07-11,mean_abs_error_2020-06-29_2020-07-18,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-24,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-12,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-23,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2020-04-20_2020-05-09,mean_sq_abs_error_2020-04-27_2020-05-16,mean_sq_abs_error_2020-05-04_2020-05-23,mean_sq_abs_error_2020-05-11_2020-05-30,mean_sq_abs_error_2020-05-18_2020-06-06,mean_sq_abs_error_2020-05-25_2020-06-13,mean_sq_abs_error_2020-06-01_2020-06-20,mean_sq_abs_error_2020-06-08_2020-06-27,mean_sq_abs_error_2020-06-15_2020-07-04,mean_sq_abs_error_2020-06-22_2020-07-11,mean_sq_abs_error_2020-06-29_2020-07-18,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-24,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-12,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-23,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-03-06
CU-select,317.9,259.5,138.6,129.1,140.2,130.4,213.4,179.3,181.2,299.9,438.5,186.7,123.3,144.1,141.7,120.3,90.9,116.4,87.9,104.0,84.2,108.3,108.6,130.0,94.9,89.1,89.8,103.4,130.7,154.9,143.2,205.9,407.0,267.9,218.8,299.0,481.7,644.7,533.5,334.5,357.2,289.7,198.9,193.3,399788.0,266668.8,57579.0,37235.0,78008.9,49850.7,202058.8,119001.5,128604.1,450274.5,1380860.6,153627.1,108792.3,129744.1,67915.5,43473.8,22791.5,72553.9,20424.9,35266.9,16573.3,33472.6,36886.1,44010.9,25721.0,19086.7,21436.8,25980.9,37421.7,77867.2,56002.0,115893.6,364465.3,182536.5,106412.1,324716.3,766138.5,1251762.3,1073056.2,309593.8,505270.2,260046.5,124118.4,182994.0
GT-DeepCOVID,,,,,,,,,,,,217.0,200.8,170.5,147.4,128.2,109.7,89.2,67.2,97.0,90.2,71.5,71.9,72.0,85.1,82.6,115.1,126.3,146.6,159.7,190.1,208.5,292.8,177.6,223.1,146.6,305.2,300.8,233.5,195.8,232.1,142.2,255.7,1177.4,,,,,,,,,,,,191236.5,212961.4,176508.4,122170.1,85695.6,59371.6,36445.2,24891.9,45132.9,42566.1,17061.7,15865.6,15098.3,17943.0,16743.3,31429.3,39541.8,57940.4,85809.0,119616.7,140268.6,299736.9,128097.6,185554.4,92900.4,305031.9,251953.0,170661.6,78558.5,170983.5,46187.1,215781.7,42984652.3
IowaStateLW-STEM,,154.5,252.9,,136.6,110.2,139.2,111.6,105.7,87.2,160.5,174.5,175.6,155.7,122.7,105.7,,112.4,130.1,83.4,88.3,71.1,110.2,78.7,86.2,92.5,135.0,145.9,180.3,200.3,256.5,190.0,298.7,252.7,292.8,253.4,262.6,312.0,337.8,251.6,258.2,506.4,465.6,405.1,,66755.1,563591.8,,83051.4,42204.8,69119.8,35849.4,38506.9,24769.4,129379.9,143290.3,178753.8,94285.0,61931.9,34900.4,,41864.9,87594.1,26909.3,24121.6,12721.2,28836.4,15244.5,18317.4,20054.0,36932.5,50241.2,83896.7,132231.5,193481.5,126288.6,258636.8,205640.0,219124.2,192704.6,267783.2,405776.7,334098.7,166986.4,188482.3,925088.3,758608.0,405431.6
UA-EpiCovDA,,,,,,236.3,197.5,221.5,80.1,75.6,179.5,170.0,180.5,108.3,82.6,95.2,86.7,79.5,80.3,144.6,137.8,118.7,82.2,99.1,76.0,102.0,117.0,118.1,174.8,171.0,182.4,225.6,440.8,264.7,206.5,317.9,649.4,444.6,247.3,295.5,308.1,211.9,229.5,225.5,,,,,,147364.6,89813.6,160177.2,19121.6,17826.4,308254.6,178299.5,228915.0,56660.3,32331.1,43583.2,46876.2,92382.2,51112.8,134233.2,100360.4,97297.0,13830.9,33338.1,18540.2,44679.3,38801.5,47332.4,78978.7,86926.6,109829.1,200285.6,536057.8,259087.1,115125.4,345269.2,1192536.8,698675.7,176906.9,176522.0,225872.8,113317.3,230927.0,217294.6
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,90.1,79.6,55.5,58.2,55.3,89.0,70.6,63.3,110.6,119.5,150.2,149.7,190.5,229.1,235.5,214.5,165.3,167.0,346.8,321.9,282.0,221.6,177.0,170.4,190.7,,,,,,,,,,,,,,,,,,,,51961.3,34085.0,10891.2,10053.8,7786.7,25345.8,12794.5,11726.7,39433.5,51044.8,61032.7,84569.7,125186.3,150858.9,140760.5,165478.5,95918.4,105533.8,357557.0,380349.8,366309.8,121283.8,81488.9,77502.9,107239.6,
CovidAnalytics-DELPHI,,170.7,248.3,228.6,174.2,113.0,99.3,127.8,123.8,108.6,127.1,187.0,146.0,126.4,115.7,112.8,101.8,69.3,82.5,86.5,90.7,88.4,87.6,95.2,92.8,98.9,182.2,156.5,212.9,251.7,318.5,294.3,341.5,299.1,298.4,195.7,403.5,464.6,570.1,677.7,399.2,266.7,217.8,224.5,,98318.9,238642.4,187953.1,112468.6,39591.4,28864.5,48066.3,62530.9,40626.1,70128.9,174390.6,124826.8,103598.2,85034.5,64743.3,36956.3,12989.6,38364.3,34526.8,26292.2,20672.5,17477.1,18811.9,19839.5,23956.0,66641.8,61769.7,121636.4,172971.5,277581.5,267326.0,371952.5,335304.8,441054.2,125112.1,506416.2,766249.2,1713835.6,2835791.0,695977.2,208407.4,172413.7,204073.2
Covid19Sim-Simulator,,,,,,142.2,156.5,141.9,92.1,96.3,146.5,159.4,115.3,126.6,123.9,123.0,,,272.6,66.1,74.4,69.7,87.4,77.6,87.8,105.4,142.9,120.5,138.6,158.9,,322.7,308.5,327.2,326.6,262.2,222.1,343.0,518.1,423.6,284.2,199.0,238.8,282.5,,,,,,57688.8,70115.2,57392.3,21181.6,29963.3,156790.4,185727.2,86276.7,117931.0,108440.4,91727.8,,,438422.1,22201.6,28676.9,17534.6,22128.7,14349.1,17658.8,25199.0,45950.6,53304.9,83750.2,79599.0,,349827.0,247808.6,295224.4,328621.8,210096.2,141137.4,357994.6,933050.3,792783.4,230572.0,102786.9,192429.6,366044.5
UT-Mobility,487.0,411.4,334.0,145.9,143.8,87.8,78.7,84.9,87.1,85.4,88.5,143.6,109.6,134.9,244.9,372.3,,179.0,95.7,,,89.8,98.2,138.3,64.6,104.9,139.0,130.9,199.4,220.1,281.1,298.0,406.6,323.4,253.1,277.8,,,294.5,,312.0,,,,2453335.3,1875179.6,1550722.2,90016.9,72252.2,28650.5,16854.9,22106.1,28336.0,21069.9,35524.1,101892.7,45891.9,107438.6,334124.7,1122071.2,,178267.3,34037.5,,,31155.7,25324.3,54131.3,11683.0,35569.2,61652.0,52977.2,116642.1,127881.1,204270.0,218239.1,362642.5,334817.1,211970.6,199505.7,,,236185.5,,321862.8,,,
Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,85.4,97.3,98.8,137.7,80.4,117.5,83.5,102.8,116.6,133.2,132.0,199.6,159.6,227.6,275.4,187.6,186.4,214.0,270.1,258.7,243.4,198.3,164.9,193.3,264.6,,,,,,,,,,,,,,,,,,,,13814.9,28392.7,32219.3,56375.1,25144.2,34705.2,17313.6,25755.0,39751.7,52183.7,56709.5,131371.1,90720.7,166965.7,235027.1,98659.8,87238.5,147305.5,281493.8,177365.6,111850.1,104094.1,51899.3,92192.9,279542.0
JHU_IDD-CovidSP,,,,,758.7,285.9,254.2,241.3,153.6,180.3,167.5,171.4,164.9,172.0,161.3,155.8,162.2,157.2,109.3,97.8,79.6,72.1,59.7,63.1,81.9,97.3,138.4,183.8,272.1,342.0,195.6,254.8,387.8,385.9,381.6,329.4,283.2,333.1,329.1,307.6,330.3,332.9,330.4,331.3,,,,,1750992.4,214587.0,155833.1,154513.7,96035.3,97652.9,72345.8,83748.9,135999.4,125811.5,95358.7,62390.0,69470.8,75985.2,37073.5,24239.0,14153.1,10046.8,8033.4,7751.3,15038.5,19980.7,41557.1,76509.4,175845.8,274275.4,105888.8,153747.9,335039.0,315044.0,316420.6,353714.4,213946.6,340758.1,370752.3,266709.0,296126.2,266149.6,289858.1,286223.5
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,87.9,88.1,91.4,132.3,97.5,95.8,108.7,107.8,175.9,146.1,201.6,216.5,267.8,237.1,310.6,221.2,286.9,269.8,253.0,249.8,177.2,236.5,270.7,276.4,,,,,,,,,,,,,,,,,,,,,34103.8,26076.6,24684.9,68473.0,33762.2,24611.3,28711.9,32193.6,89754.3,72488.0,130726.8,153934.8,264374.1,168609.5,267862.6,122812.3,246968.8,248034.5,160333.0,138842.7,75782.5,162134.5,198324.5,207539.3
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,66.9,105.3,54.0,63.8,72.0,84.5,102.7,145.0,187.2,202.2,274.7,193.9,219.7,216.2,206.2,206.7,291.4,391.8,252.5,289.0,267.5,288.2,348.4,439.5,,,,,,,,,,,,,,,,,,,,,17067.0,43829.3,7748.7,10258.5,13568.2,18600.8,28541.2,60629.7,113045.5,131247.1,227545.6,129558.3,159508.3,154285.7,108978.6,87699.3,346984.8,601841.0,255105.9,165681.2,151740.6,275567.1,316542.4,507831.5
IHME-CurveFit,354.3,402.9,196.2,151.4,155.5,,130.3,85.9,95.2,68.3,92.1,136.5,,170.6,145.6,142.4,117.1,,182.9,151.6,113.3,,99.5,140.2,,,140.9,190.4,,,,270.5,,299.8,367.3,338.6,344.6,,,443.9,294.4,245.7,225.6,278.6,583968.8,840163.1,152245.4,102242.5,91208.7,,56238.1,15547.2,22409.7,13809.2,33184.1,92152.6,,95028.1,80509.6,91485.4,57173.7,,213359.2,141751.7,35235.4,,27015.2,60315.0,,,55754.8,116722.1,,,,206172.8,,229102.7,337336.7,274016.8,247280.0,,,490338.6,297740.6,152558.2,164241.1,485640.2
CEID-Walk,,,,,,,,,,,,,,,,,66.6,90.8,91.4,90.3,69.8,69.1,85.2,83.8,64.9,82.8,131.1,137.8,189.5,204.5,285.4,269.7,433.1,243.0,263.8,,375.1,363.2,296.5,229.7,201.4,323.9,497.6,616.6,,,,,,,,,,,,,,,,,20879.7,44392.8,49892.2,29000.7,22633.7,12610.5,18345.6,15625.5,11530.0,17867.5,48074.1,46614.4,110542.1,114773.7,209785.6,236810.2,468153.8,222889.5,267795.6,,565562.2,455917.1,227805.0,125956.1,107974.6,412369.5,869563.3,4382716.5
