,perc_error_2020-09-21_2021-02-13,perc_error_2020-09-28_2021-02-13,perc_error_2020-10-05_2021-02-13,perc_error_2020-10-12_2021-02-13,perc_error_2020-10-19_2021-02-13,perc_error_2020-10-26_2021-02-13,perc_error_2020-11-02_2021-02-13,perc_error_2020-11-09_2021-02-13,perc_error_2020-11-16_2021-02-13,perc_error_2020-11-23_2021-02-13,perc_error_2020-11-30_2021-02-13,perc_error_2020-12-07_2021-02-13,perc_error_2020-12-14_2021-02-13,perc_error_2020-12-21_2021-02-13,perc_error_2020-12-28_2021-02-13,perc_error_2021-01-04_2021-02-13,perc_error_2021-01-11_2021-02-13,perc_error_2021-01-18_2021-02-13,perc_error_2021-01-25_2021-02-13,perc_error_2021-02-01_2021-02-13,perc_error_2021-02-08_2021-02-13
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,0.067,-0.101,-0.146,-0.081
UA-EpiCovDA,,,,,,,,,,,,,,,,,,-0.049,-0.119,-0.159,-0.152
GT-DeepCOVID,,,,,,,,,,,,,,,,,,0.143,-0.010,-0.157,0.178
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,0.093,0.077,0.095,0.190,0.541
LNQ-ens1,,,,,,,,,,,,,,,,,,0.196,0.135,0.048,0.150
CU-select,,,,,,,,,,,,,,,,,,-0.085,-0.170,-0.186,-0.086
CEID-Walk,,,,,,,,,,,,,,,,,,0.092,0.052,0.134,0.308
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,0.130,0.139,0.102,0.171
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,-0.001,-0.392,0.125,0.231
IHME-CurveFit,,0.012,,,-0.265,-0.287,,,,-0.188,,-0.074,-0.245,0.067,0.091,,,0.103,0.040,-0.174,-0.450
TTU-squider,,,,,,,,,,,,,,,,,,-0.083,-0.099,-0.133,-0.285
Covid19Sim-Simulator,,-0.855,-0.545,-0.576,-0.802,-0.107,-0.179,0.144,,0.092,0.006,0.108,-0.066,-0.090,-0.062,-0.045,-0.230,-0.260,0.380,-0.377,-0.965
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,-0.066,0.176,0.064
UCLA-SuEIR,,,,,,,,-0.565,-0.454,-0.296,-0.551,-0.225,-0.314,-0.209,-0.700,-0.487,-0.302,-0.285,-0.316,-0.105,0.166
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,0.191,0.171,0.102,0.177
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,-0.047,0.067
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,0.283,0.181,0.046,0.198
AIpert-pwllnod,,,,,,,,,,,,,,1.342,-0.797,-0.331,0.253,0.434,0.263,0.194,0.222
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,0.028,0.238
DDS-NBDS,,,,,,,,,,,,,,,,,,0.215,0.948,0.081,0.251
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,0.557,0.241,0.099,0.197
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,0.093,0.153,
UT-Mobility,,,,,,,,,,,,,,,,,,,0.142,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,-0.761,,-0.679,-0.618,-0.551,-0.482,-0.392,-0.273
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,0.334
STH-3PU,,,-0.714,-0.714,-0.722,-0.739,-0.732,,,,,,,,,,,,,,
JCB-PRM,,,,,,,,,,,,,,0.482,0.176,,,,,,
