,perc_error_2020-09-21_2021-02-27,perc_error_2020-09-28_2021-02-27,perc_error_2020-10-05_2021-02-27,perc_error_2020-10-12_2021-02-27,perc_error_2020-10-19_2021-02-27,perc_error_2020-10-26_2021-02-27,perc_error_2020-11-02_2021-02-27,perc_error_2020-11-09_2021-02-27,perc_error_2020-11-16_2021-02-27,perc_error_2020-11-23_2021-02-27,perc_error_2020-11-30_2021-02-27,perc_error_2020-12-07_2021-02-27,perc_error_2020-12-14_2021-02-27,perc_error_2020-12-21_2021-02-27,perc_error_2020-12-28_2021-02-27,perc_error_2021-01-04_2021-02-27,perc_error_2021-01-11_2021-02-27,perc_error_2021-01-18_2021-02-27,perc_error_2021-01-25_2021-02-27,perc_error_2021-02-01_2021-02-27,perc_error_2021-02-08_2021-02-27,perc_error_2021-02-15_2021-02-27,perc_error_2021-02-22_2021-02-27
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,-0.674,-0.599,-0.524,-0.444,-0.339,-0.206,-0.056,-0.090
OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,,0.129,0.169,0.110,-0.127
Covid19Sim-Simulator,,,,-0.578,-0.813,-0.050,-0.121,0.239,,0.156,0.013,0.237,0.039,-0.020,-0.049,0.107,-0.049,-0.125,0.447,-0.019,-0.272,-0.466,-0.885
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,0.160,0.211,0.222,-0.046
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,0.127,0.159,0.271,-0.130
IowaStateLW-STEM,,,,-0.733,-0.770,-0.717,-0.676,-0.661,-0.568,-0.336,-0.374,-0.258,0.033,0.052,0.014,-0.219,-0.025,0.268,0.184,0.404,0.435,0.283,-0.176
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,,0.101,0.174,0.130,-0.251
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,,-0.035,0.016,,-0.196
COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,,0.112,0.179,0.247,-0.154
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,0.192,0.255,0.260,-0.049
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,0.036,0.148,0.715,-0.136
UCLA-SuEIR,,,,,,,,,,-0.228,-0.532,-0.178,-0.281,-0.163,-0.719,-0.494,-0.308,-0.315,-0.360,-0.144,0.078,,-0.302
COVIDhub-baseline,,,,,,,,,,,,,,,,-0.066,0.166,0.279,0.232,0.350,0.539,0.658,-0.079
IBF-TimeSeries,,,,,,,,,,,,,,,,0.073,0.308,0.385,0.348,0.506,0.361,0.523,0.026
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,0.264,0.363,0.354,0.036
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,0.238,0.259,0.292,-0.126
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,,0.285,0.388,0.379,-0.022
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,0.268,0.253,0.307,-0.147
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,0.300,,0.294,-0.022
Caltech-CS156,,,,,,,,,,,,,,,,,,,,0.132,0.159,,-0.170
LNQ-ens1,,,,,,,,,,,,,,,,,,,,0.193,0.253,0.391,-0.183
GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,-0.121,0.186,0.471,-0.299
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,0.317,0.365,0.481,-0.064
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,,0.099,0.303,0.750,-0.210
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,0.314,0.460,0.923,1.214,-0.067
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,0.276,0.392,0.346,-0.193
CEID-Walk,,,,,,,,,,,,,,,,,,,,0.351,0.559,0.656,-0.090
AIpert-pwllnod,,,,,,,,,,,,,,,,-0.299,0.606,0.904,0.606,0.453,0.430,0.428,-0.847
DDS-NBDS,,,,,,,,,,,,,,,,,,,,0.278,0.546,,0.239
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,-0.272
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,-0.303
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,,-0.314
STH-3PU,,,,-0.714,-0.721,-0.737,-0.727,,,,,,,,,,,,,,,,
