,mean_abs_error_2020-08-17_2021-01-02,mean_abs_error_2020-08-24_2021-01-02,mean_abs_error_2020-08-31_2021-01-02,mean_abs_error_2020-09-07_2021-01-02,mean_abs_error_2020-09-14_2021-01-02,mean_abs_error_2020-09-21_2021-01-02,mean_abs_error_2020-09-28_2021-01-02,mean_abs_error_2020-10-05_2021-01-02,mean_abs_error_2020-10-12_2021-01-02,mean_abs_error_2020-10-19_2021-01-02,mean_abs_error_2020-10-26_2021-01-02,mean_abs_error_2020-11-02_2021-01-02,mean_abs_error_2020-11-09_2021-01-02,mean_abs_error_2020-11-16_2021-01-02,mean_abs_error_2020-11-23_2021-01-02,mean_abs_error_2020-11-30_2021-01-02,mean_abs_error_2020-12-07_2021-01-02,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-02,mean_abs_error_2020-12-28_2021-01-02,mean_sq_abs_error_2020-08-17_2021-01-02,mean_sq_abs_error_2020-08-24_2021-01-02,mean_sq_abs_error_2020-08-31_2021-01-02,mean_sq_abs_error_2020-09-07_2021-01-02,mean_sq_abs_error_2020-09-14_2021-01-02,mean_sq_abs_error_2020-09-21_2021-01-02,mean_sq_abs_error_2020-09-28_2021-01-02,mean_sq_abs_error_2020-10-05_2021-01-02,mean_sq_abs_error_2020-10-12_2021-01-02,mean_sq_abs_error_2020-10-19_2021-01-02,mean_sq_abs_error_2020-10-26_2021-01-02,mean_sq_abs_error_2020-11-02_2021-01-02,mean_sq_abs_error_2020-11-09_2021-01-02,mean_sq_abs_error_2020-11-16_2021-01-02,mean_sq_abs_error_2020-11-23_2021-01-02,mean_sq_abs_error_2020-11-30_2021-01-02,mean_sq_abs_error_2020-12-07_2021-01-02,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-02,mean_sq_abs_error_2020-12-28_2021-01-02
UCLA-SuEIR,,,,,,,2025.6,2029.7,1976.4,1967.4,1861.3,1707.3,1511.1,1421.3,676.2,798.7,360.4,267.4,122.0,100.7,,,,,,,8377095.5,8432826.6,8088330.4,8040062.8,7330636.9,6671556.4,5015002.0,4711803.9,1514982.1,1783499.4,467768.8,253576.3,44744.4,30946.1
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,329.2,206.2,154.5,59.1,,,,,,,,,,,,,,,,,332292.8,108978.6,45017.9,9732.5
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,329.1,165.3,120.3,90.0,,,,,,,,,,,,,,,,,372131.9,95918.4,48614.6,19668.8
USC-SI_kJalpha,,,,,,,,,,,,,959.8,,,,296.8,179.0,166.4,68.0,,,,,,,,,,,,,2365196.1,,,,251613.3,103746.2,78479.1,11995.3
LANL-GrowthRate,,,,,,,,,,,,,,,703.4,708.4,318.2,227.0,204.0,159.5,,,,,,,,,,,,,,,1595915.0,1481120.3,252478.0,196260.6,193994.2,89619.0
CovidAnalytics-DELPHI,,,,,,,,,,,,,,1393.4,799.2,601.3,421.9,298.4,117.4,100.2,,,,,,,,,,,,,,5195352.6,2078860.8,1252578.4,730519.8,441054.2,44112.9,24092.8
JHUAPL-Bucky,,,,,,,,,1776.5,,,,948.8,1334.3,802.4,526.3,324.5,227.2,287.3,199.7,,,,,,,,,6658338.5,,,,2503433.0,5361896.9,4273755.2,687197.2,355299.3,122599.1,350753.9,103021.1
Covid19Sim-Simulator,,2636.6,2082.6,1978.1,2096.9,2098.7,1891.8,1468.1,1483.1,1632.8,1125.0,896.8,756.3,,750.5,560.1,355.8,326.6,202.9,145.8,,13550714.1,8647380.9,8876494.9,9819042.0,9757539.3,7759962.3,5339072.7,5047617.2,5911901.2,3359815.7,2581524.3,2006045.5,,1869460.3,851957.9,405878.5,328621.8,131004.9,58585.2
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,358.3,290.4,149.3,60.8,,,,,,,,,,,,,,,,,396131.5,261596.5,55553.2,10200.1
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,295.1,244.4,206.6,68.1,,,,,,,,,,,,,,,,,296693.0,136011.2,86068.6,19133.0
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,273.7,219.4,145.8,127.5,,,,,,,,,,,,,,,,,299754.9,154557.9,60390.5,51843.1
OliverWyman-Navigator,,,,,,,,,,,,,,,,,338.7,295.2,153.3,74.4,,,,,,,,,,,,,,,,,412465.4,277477.4,66355.2,19985.3
JHU_IDD-CovidSP,,,,,,,,,,,,,,,560.4,602.5,506.9,381.6,253.8,104.9,,,,,,,,,,,,,,,723604.2,813613.9,554462.5,316420.6,189746.7,29155.1
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,339.5,257.6,177.9,78.2,,,,,,,,,,,,,,,,,369250.1,154334.9,86574.9,24056.8
CU-select,,,,,,,,,,,,,,,,,354.5,218.8,187.5,89.8,,,,,,,,,,,,,,,,,309382.3,106412.1,122722.6,25218.8
CEID-Walk,,,,,,,,,,,,,,,,,370.5,263.8,140.3,80.9,,,,,,,,,,,,,,,,,523284.1,267795.6,55562.5,20439.9
CMU-TimeSeries,,,,,,,,,,,,,,,,,383.4,293.9,137.9,74.5,,,,,,,,,,,,,,,,,310494.4,180929.5,46094.7,20614.3
Columbia_UNC-SurvCon,,,,,,,,,,,,,3050.6,4520.9,2336.4,673.6,755.8,246.4,231.6,74.8,,,,,,,,,,,,,29150168.1,74476422.8,16320211.9,1191310.5,1314067.8,159576.9,189109.2,15063.5
UA-EpiCovDA,,,,,,,,,,,,,,,,,355.3,206.5,159.6,130.3,,,,,,,,,,,,,,,,,495634.3,115125.4,90794.8,48595.7
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,379.4,310.6,165.4,73.4,,,,,,,,,,,,,,,,,398205.1,267862.6,61737.3,11760.5
UCSB-ACTS,,,,,,,,,,,,,,,,,467.7,294.8,129.0,91.8,,,,,,,,,,,,,,,,,744052.9,264721.8,33714.9,20558.1
IHME-CurveFit,,1893.3,1637.2,1617.6,,1479.5,1433.5,,,945.2,942.0,,,,529.1,,405.6,367.3,235.7,157.1,,19019035.2,17747502.6,14178781.0,,9349739.8,8839152.1,,,2278980.8,2373064.5,,,,944752.4,,379252.0,337336.7,133466.4,58955.2
MSRA-DeepST,,,,,,,,,,,,,,,,,292.5,,,,,,,,,,,,,,,,,,,,297647.9,,,
BPagano-RtDriven,,,,,,,,,1405.5,1297.1,1112.3,,860.8,808.1,,,422.0,336.2,189.4,81.8,,,,,,,,,4636563.1,4435373.9,2514850.5,,1885828.4,1688132.6,,,366723.8,263132.4,96363.8,17066.6
UT-Mobility,,,,,,,,,,,,,,,,,518.4,253.1,195.0,,,,,,,,,,,,,,,,,,833481.1,211970.6,94707.9,
PSI-DRAFT,,,,,,,,,,,,,,,1208.1,884.0,648.9,533.5,235.4,96.1,,,,,,,,,,,,,,,4803335.0,2235658.9,1708952.7,1277921.7,195959.5,26452.5
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,115.8,,,,,,,,,,,,,,,,,,,,37702.8,
DDS-NBDS,,,,,,,,,,,,,,,,,418.5,569.7,173.9,99.4,,,,,,,,,,,,,,,,,748224.0,902336.6,88551.9,26669.8
NotreDame-mobility,,,,,,,,,,,,,,,1028.0,790.8,662.2,579.8,,,,,,,,,,,,,,,,,2336752.7,1977685.4,1378733.5,1239770.8,,
RobertWalraven-ESG,,,,,,,,,,,,,,,,,656.6,386.9,160.5,126.5,,,,,,,,,,,,,,,,,1106239.1,364630.7,73008.0,45740.9
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,201.6,82.9,,,,,,,,,,,,,,,,,,,122453.1,18471.0
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,189.7,98.5,,,,,,,,,,,,,,,,,,,115505.0,43734.9
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,459.6,347.1,280.8,,,,,,,,,,,,,,,,,,532586.0,304652.4,191237.7,
USACE-ERDC_SEIR,,,,,,,,,,,,,,1870.2,1654.0,1445.3,,,,,,,,,,,,,,,,,,13537954.7,9371137.2,8326991.7,,,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,1896.6,1748.7,1534.6,1367.7,1082.8,778.3,509.3,,,,,,,,,,,,,,7311361.4,6313594.2,4994086.6,4033479.3,2646297.3,1463368.3,649342.0,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,22439.6
TTU-squider,,,,,,,,,,,,,,,,,581.0,469.8,391.9,392.6,,,,,,,,,,,,,,,,,1864724.2,592847.4,480687.0,489890.6
