,perc_error_2020-08-24_2021-01-09,perc_error_2020-08-31_2021-01-09,perc_error_2020-09-07_2021-01-09,perc_error_2020-09-14_2021-01-09,perc_error_2020-09-21_2021-01-09,perc_error_2020-09-28_2021-01-09,perc_error_2020-10-05_2021-01-09,perc_error_2020-10-12_2021-01-09,perc_error_2020-10-19_2021-01-09,perc_error_2020-10-26_2021-01-09,perc_error_2020-11-02_2021-01-09,perc_error_2020-11-09_2021-01-09,perc_error_2020-11-16_2021-01-09,perc_error_2020-11-23_2021-01-09,perc_error_2020-11-30_2021-01-09,perc_error_2020-12-07_2021-01-09,perc_error_2020-12-14_2021-01-09,perc_error_2020-12-21_2021-01-09,perc_error_2020-12-28_2021-01-09,perc_error_2021-01-04_2021-01-09
Baseline,-0.337,-0.397,-0.444,-0.532,-0.520,-0.552,-0.593,-0.604,-0.634,-0.606,-0.613,-0.584,-0.539,-0.398,-0.465,-0.199,-0.142,-0.069,-0.283,-0.250
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.008,0.086,-0.204,-0.257
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,0.107,0.048,-0.103,
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.329,-0.345,-0.342,0.228,-0.033,-0.277
IHME-CurveFit,0.161,0.152,0.273,,0.132,0.097,,,-0.274,-0.279,,,,-0.144,,-0.044,-0.280,0.143,0.157,
Caltech-CS156,,,,,,,,,,,,,,,,,-0.076,-0.010,-0.172,-0.284
Covid19Sim-Simulator,-0.813,-0.762,-0.742,-0.770,-0.829,-0.780,-0.484,-0.499,-0.719,-0.169,-0.216,-0.016,,0.059,0.119,-0.164,-0.263,-0.227,-0.174,-0.561
CU-select,,,,,,,,,,,,,,,,,0.013,-0.007,-0.277,-0.489
USC-SI_kJalpha,,,,,,,,,,,,,,,,,0.039,0.099,-0.123,-0.296
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,-0.218,-0.068,-0.111,-0.208,-0.220
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.013,0.094,-0.212,-0.354
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,0.115,0.158,-0.195,-0.093
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,0.072,0.183,-0.106,-0.236
DDS-NBDS,,,,,,,,,,,,,,,,,0.473,-0.012,-0.142,-0.272
UMass-MechBayes,,,,,,,,,,,,,,,,,0.046,-0.087,-0.237,-0.261
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,0.055,0.314,0.653,-0.213,-0.204
LNQ-ens1,,,,,,,,,,,,,,,,,0.169,0.082,-0.231,-0.216
UCLA-SuEIR,,,,,,,-0.707,-0.698,-0.705,-0.718,-0.644,-0.534,-0.464,-0.329,-0.511,-0.172,-0.223,-0.104,-0.473,-0.257
BPagano-RtDriven,,,,,,,,,-0.387,-0.362,,,-0.238,,,,0.200,0.095,-0.056,-0.428
RobertWalraven-ESG,,,,,,,,,,,,,,,,,0.019,0.115,-0.242,-0.331
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.026,-0.191,-0.450,-0.341
UT-Mobility,,,,,,,,,,,,,,,,,0.087,0.172,,
CEID-Walk,,,,,,,,,,,,,,,,,,,-0.226,-0.215
NotreDame-mobility,,,,,,,,,,,,,,,-0.474,-0.427,-0.508,,,
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,-0.152
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.091,-0.178,-0.390,-0.521
USACE-ERDC_SEIR,,,,,,,,,,,,,0.628,0.601,0.571,,,,,
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.199,-0.251,-0.337,-0.467
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.228
AIpert-pwllnod,,,,,,,,,,,,,,,,,,0.453,-0.593,-0.279
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.801,-0.790,-0.782,-0.759,-0.735,-0.727,,-0.633
STH-3PU,-0.499,-0.515,-0.825,-0.581,-0.608,,-0.645,-0.651,-0.665,-0.692,-0.683,,,,,,,,,
