,perc_error_2020-04-20_2020-05-09,perc_error_2020-04-27_2020-05-16,perc_error_2020-05-04_2020-05-23,perc_error_2020-05-11_2020-05-30,perc_error_2020-05-18_2020-06-06,perc_error_2020-05-25_2020-06-13,perc_error_2020-06-01_2020-06-20,perc_error_2020-06-08_2020-06-27,perc_error_2020-06-15_2020-07-04,perc_error_2020-06-22_2020-07-11,perc_error_2020-06-29_2020-07-18,perc_error_2020-07-06_2020-07-25,perc_error_2020-07-13_2020-08-01,perc_error_2020-07-20_2020-08-08,perc_error_2020-07-27_2020-08-15,perc_error_2020-08-03_2020-08-22,perc_error_2020-08-10_2020-08-29,perc_error_2020-08-17_2020-09-05,perc_error_2020-08-24_2020-09-12,perc_error_2020-08-31_2020-09-19,perc_error_2020-09-07_2020-09-26,perc_error_2020-09-14_2020-10-03,perc_error_2020-09-21_2020-10-10,perc_error_2020-09-28_2020-10-17,perc_error_2020-10-05_2020-10-24,perc_error_2020-10-12_2020-10-31,perc_error_2020-10-19_2020-11-07,perc_error_2020-10-26_2020-11-14,perc_error_2020-11-02_2020-11-21,perc_error_2020-11-09_2020-11-28,perc_error_2020-11-16_2020-12-05,perc_error_2020-11-23_2020-12-12,perc_error_2020-11-30_2020-12-19,perc_error_2020-12-07_2020-12-26,perc_error_2020-12-14_2021-01-02,perc_error_2020-12-21_2021-01-09,perc_error_2020-12-28_2021-01-16,perc_error_2021-01-04_2021-01-23,perc_error_2021-01-11_2021-01-30,perc_error_2021-01-18_2021-02-06,perc_error_2021-01-25_2021-02-13,perc_error_2021-02-01_2021-02-20,perc_error_2021-02-08_2021-02-27,perc_error_2021-02-15_2021-03-06
PSI-DRAFT,,,,,0.236,0.011,0.105,0.092,0.297,-0.068,-0.220,-0.416,-0.359,-0.173,0.240,0.866,0.112,-0.328,0.167,0.119,0.131,-0.205,-0.142,-0.135,-0.336,-0.369,-0.451,-0.386,-0.321,-0.428,-0.219,-0.237,-0.476,-0.168,0.341,-0.105,-0.202,-0.215,-0.086,-0.075,0.207,0.349,0.404,0.186
Covid19Sim-Simulator,,,,,,-0.375,-0.529,-0.565,0.161,-0.036,-0.244,-0.228,-0.377,-0.323,-0.342,-0.193,,-0.702,-0.805,0.200,-0.057,-0.170,-0.253,-0.149,-0.096,-0.272,-0.389,-0.089,-0.094,-0.095,,0.034,0.109,-0.323,-0.318,-0.227,-0.105,-0.227,-0.396,-0.360,0.380,-0.138,-0.272,-0.335
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,-0.189,-0.155,-0.028,0.279,-0.241,-0.004,-0.158,-0.048,-0.237,-0.183,-0.247,-0.117,-0.238,0.009,0.087,0.084,-0.205,-0.120,0.038,0.126,0.040,0.166,0.255,0.243
STH-3PU,,,,,,,,,0.182,-0.306,-0.531,-0.653,-0.776,-0.348,0.151,0.985,0.023,0.025,0.013,-0.011,-0.629,0.021,-0.042,,-0.188,-0.183,-0.257,-0.364,-0.374,,,,,,,,,,,,,,,
epiforecasts-ensemble1,,,,,,,,,0.368,0.056,-0.198,-0.557,-0.510,-0.466,0.022,-0.216,-0.283,-0.201,-0.355,-0.663,-0.690,-0.570,-0.784,-0.680,-0.658,-0.106,-0.212,-0.245,-0.243,-0.255,-0.276,0.323,-0.420,-0.044,-0.091,-0.178,-0.397,-0.347,-0.227,-0.045,0.007,0.095,0.303,0.847
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,-0.403,0.302,-0.279,-0.205,-0.089,-0.063,-0.107,-0.133,-0.024,-0.251,-0.223,-0.021,-0.220,-0.252,-0.126,-0.126,-0.031,-0.373,-0.387,-0.295,,-0.085,0.090,0.043,0.108
CEID-Walk,,,,,,,,,,,,,,,,,0.046,0.136,0.216,0.184,0.101,-0.024,0.116,0.047,-0.122,-0.124,-0.227,-0.217,-0.350,-0.359,-0.395,-0.306,-0.409,-0.145,-0.090,,-0.269,-0.202,-0.023,0.038,0.052,0.292,0.559,0.708
UMich-RidgeTfReg,,,,,,,,,,,,-0.591,-0.464,-0.506,-0.349,-0.294,-0.249,-0.382,0.268,0.317,0.331,0.437,0.500,0.227,0.061,0.001,-0.122,-0.142,-0.294,-0.334,-0.392,-0.312,-0.370,-0.175,0.141,0.158,-0.262,-0.126,0.061,0.077,0.139,0.224,0.253,0.264
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.309,-0.336,0.017,0.017,-0.143,-0.069,-0.133,-0.015,-0.153,0.085,0.249,0.095,-0.081,-0.200,-0.182,-0.144,-0.056,0.218,0.259,0.241
TTU-squider,,,,,,,,,,,,,,,,,,7.600,1.069,,,1.580,,1.842,0.430,0.623,0.330,0.197,-0.243,-0.156,-0.273,-0.104,0.008,-0.174,0.092,0.103,0.080,-0.066,-0.090,-0.105,-0.099,-0.027,0.027,-0.029
RobertWalraven-ESG,,,,,,,,,,,,-1.124,-1.112,-0.169,-0.405,-0.316,0.867,-0.510,-0.513,-0.266,-0.444,-0.514,-0.469,,-0.405,-0.516,-0.276,-0.293,-0.223,-0.231,-0.302,0.040,-0.678,0.531,0.066,0.115,-0.280,-0.278,0.231,0.012,0.001,0.069,0.174,0.135
DDS-NBDS,,,,,,,,,,,,,,,0.637,0.384,1.072,0.124,0.248,0.063,0.017,-0.009,-0.002,-0.170,-0.332,-0.051,-0.211,-0.248,-0.413,-0.273,-0.430,-0.297,-0.492,-0.201,0.403,-0.012,-0.137,-0.312,0.215,0.206,0.948,0.211,0.546,
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,0.004,-0.309,-0.088,-0.084,-0.141,-0.216,-0.200,-0.284,-0.345,-0.324,-0.363,-0.127,-0.135,-0.120,0.049,0.086,-0.219,-0.272,-0.070,0.174,0.171,0.246,0.365,0.511
IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,0.412,0.292,0.411,0.379,,0.213,0.085,0.088,-0.077,-0.061,-0.145,-0.084,-0.259,-0.003,0.134,0.097,-0.130,-0.035,0.158,0.230,0.234,0.488,0.361,0.580
NotreDame-mobility,,,,,,,,,,-0.880,-0.062,-0.535,-0.434,-0.383,-0.384,-0.464,-0.038,0.096,0.049,-0.167,-0.035,-0.074,-0.228,-0.215,-0.263,-0.306,-0.399,-0.372,-0.414,-0.445,-0.334,-0.426,-0.459,-0.360,-0.479,,,,,,,,,
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,-0.448,-0.393,-0.283,-0.113,-0.153,-0.186,-0.214,-0.209,-0.239,-0.256,0.332,0.224,0.128,-0.068,-0.244,-0.350,-0.473,-0.551,-0.532,0.123,0.394,0.653,-0.245,-0.191,0.002,-0.009,0.095,0.363,0.923,1.348
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,0.391,0.495,0.540,0.449,0.498,0.137,0.030,-0.035,0.046,-0.101,-0.237,-0.263,-0.235,-0.306,-0.357,-0.381,-0.402,-0.175,-0.020,-0.124,-0.251,-0.399,-0.476,0.120,0.366,0.241,0.231,0.388,0.400
Auquan-SEIR,,,,,,,0.975,3.431,2.433,2.591,-0.154,-0.236,,,,-0.160,-0.106,-0.053,0.066,,,,,,,,,,,,,,,,,,,,,,,,,
USACE-ERDC_SEIR,,,,,-0.299,-0.281,-0.547,-0.514,-0.094,-0.269,-0.461,0.010,-0.010,0.672,0.247,0.346,0.362,0.342,0.288,0.239,0.223,0.210,0.288,0.352,,0.354,,0.479,,,0.840,1.007,0.915,,,,,,,,,,,
Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.298,-0.205,-0.245,-0.168,-0.295,-0.134,-0.047,-0.010,-0.197,-0.258,-0.241,-0.160,,0.083,0.159,
MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,-0.133,-0.198,-0.179,-0.253,-0.230,-0.273,-0.114,-0.240,-0.056,,,,,,,,,,
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.195,-0.353,-0.356,-0.218,-0.072,-0.242,-0.091,0.136,0.048,-0.157,,,,0.093,0.263,,0.271
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.154,-0.046,-0.035,0.013,0.033,0.039
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.043,0.098,0.183,-0.143,-0.239,-0.070,0.208,0.181,0.168,0.392,0.389
CovidActNow-SEIR_CAN,,,,,,,,11.031,0.545,,,-0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCovAlliance-SIR,,,,,,,,,,,-0.027,-0.508,-0.655,-0.687,-0.714,-0.540,,-0.821,,,,,,,,,,,,,,,,,,,,,,,,,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,-0.172,-0.305,-0.284,-0.282,-0.273,-0.271,-0.319,-0.354,-0.433,-0.485,-0.577,-0.635,-0.692,-0.721,-0.749,-0.728,-0.710,-0.727,,-0.668,-0.614,-0.558,-0.482,-0.345,-0.206,-0.066
SWC-TerminusCM,,,,,,,-0.184,,,,-0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271,-0.108,-0.151,0.080,0.159,0.252
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.066,0.227,0.116,0.134
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028,-0.392,0.236,0.363,0.316
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453,-0.668,-0.316,0.049,0.274,0.263,0.360,0.430,0.454
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.148,0.735
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350,-0.328,,,,,,,,,,,,,,
