,mean_abs_error_2020-04-27_2020-08-29,mean_abs_error_2020-05-04_2020-08-29,mean_abs_error_2020-05-11_2020-08-29,mean_abs_error_2020-05-18_2020-08-29,mean_abs_error_2020-05-25_2020-08-29,mean_abs_error_2020-06-01_2020-08-29,mean_abs_error_2020-06-08_2020-08-29,mean_abs_error_2020-06-15_2020-08-29,mean_abs_error_2020-06-22_2020-08-29,mean_abs_error_2020-06-29_2020-08-29,mean_abs_error_2020-07-06_2020-08-29,mean_abs_error_2020-07-13_2020-08-29,mean_abs_error_2020-07-20_2020-08-29,mean_abs_error_2020-07-27_2020-08-29,mean_abs_error_2020-08-03_2020-08-29,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-04-27_2020-08-29,mean_sq_abs_error_2020-05-04_2020-08-29,mean_sq_abs_error_2020-05-11_2020-08-29,mean_sq_abs_error_2020-05-18_2020-08-29,mean_sq_abs_error_2020-05-25_2020-08-29,mean_sq_abs_error_2020-06-01_2020-08-29,mean_sq_abs_error_2020-06-08_2020-08-29,mean_sq_abs_error_2020-06-15_2020-08-29,mean_sq_abs_error_2020-06-22_2020-08-29,mean_sq_abs_error_2020-06-29_2020-08-29,mean_sq_abs_error_2020-07-06_2020-08-29,mean_sq_abs_error_2020-07-13_2020-08-29,mean_sq_abs_error_2020-07-20_2020-08-29,mean_sq_abs_error_2020-07-27_2020-08-29,mean_sq_abs_error_2020-08-03_2020-08-29,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-08-29
CMU-TimeSeries,,,,,,,,,,,,,,,82.1,91.5,36.3,24.7,,,,,,,,,,,,,,,25149.9,34013.6,5573.7,2824.2
Covid19Sim-Simulator,,,,,951.4,941.0,879.8,619.2,539.9,484.7,386.1,214.3,184.3,148.5,139.3,,,208.9,,,,,4224220.3,4090271.9,3734762.5,2294345.9,1730846.4,1232325.6,1026618.4,317156.7,224757.1,118041.2,107980.6,,,274766.3
NotreDame-mobility,,,,,,,,,,,,,366.2,324.8,325.6,192.6,58.7,23.8,,,,,,,,,,,,,474563.5,443290.7,444719.7,195491.6,14509.6,1231.8
UA-EpiCovDA,,,,,,,,,,,,,,,137.8,87.5,49.0,27.0,,,,,,,,,,,,,,,86120.2,49209.3,17828.6,2595.7
COVIDhub-baseline,,,,,,,,,,,,,,,154.4,73.3,49.4,25.3,,,,,,,,,,,,,,,160437.5,26469.2,13076.7,2935.4
IHME-CurveFit,,,,,,,769.9,570.7,427.7,499.9,462.5,,272.8,188.3,162.9,116.3,,57.2,,,,,,,2657706.9,1854296.0,766553.7,1279280.3,1046446.7,,215632.2,92138.0,103738.2,55365.1,,14517.4
IowaStateLW-STEM,1460.5,1533.5,,1267.4,1121.4,1118.4,968.7,788.3,700.5,731.6,534.4,415.3,300.5,191.9,150.1,,78.3,56.5,6758670.2,6184361.6,,5858925.2,4897631.6,5435598.3,4345178.8,3011420.8,2349757.8,3143546.1,1493529.5,808806.4,257795.3,124325.1,77313.0,,19148.3,13673.6
LANL-GrowthRate,,,,,,,,,,,,466.6,398.3,347.3,222.4,115.4,71.7,29.3,,,,,,,,,,,,1278944.7,909966.9,814400.7,283775.9,49075.7,18251.4,3101.8
CEID-Walk,,,,,,,,,,,,,,,,66.8,48.3,25.6,,,,,,,,,,,,,,,,22170.2,13031.4,2824.4
GT-DeepCOVID,,,,,,,,,,,,,,,166.2,110.3,68.7,31.6,,,,,,,,,,,,,,,164858.4,60351.6,22484.2,4401.1
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,418.9,97.3,52.0,27.4,,,,,,,,,,,,,,,1937692.2,37738.3,9063.4,2447.8
CU-select,,,,,,,,,,,,,,,184.6,90.4,74.9,31.7,,,,,,,,,,,,,,,96964.8,22149.8,20115.8,2656.2
Karlen-pypm,,,,,,,,,,,,,,548.9,326.5,144.2,71.6,26.7,,,,,,,,,,,,,,3958640.6,1273977.7,86652.2,31830.8,4337.6
DDS-NBDS,,,,,,,,,,,,,,,391.0,436.9,59.0,20.9,,,,,,,,,,,,,,,1326374.8,1773313.0,11023.2,1883.4
JHU_IDD-CovidSP,,,,,,,,,,,,,,339.0,242.2,160.9,101.5,49.4,,,,,,,,,,,,,,293378.0,157793.5,68390.6,23636.1,8844.0
USACE-ERDC_SEIR,,,,,,,,634.8,517.5,554.9,305.6,291.6,913.7,426.9,299.4,195.0,113.9,50.1,,,,,,,,2062436.4,1253327.2,1950743.3,634219.4,374227.4,3922095.6,559006.0,241923.9,93204.5,36217.2,6439.5
RobertWalraven-ESG,,,,,,,,,,,,,,,183.7,419.3,97.0,46.6,,,,,,,,,,,,,,,140801.3,868251.5,35536.4,7141.3
PSI-DRAFT,,,,,,,,,,,,,584.7,759.7,740.8,164.8,147.5,34.1,,,,,,,,,,,,,1814227.9,4915294.3,6074886.2,81906.6,113076.7,5565.6
Auquan-SEIR,,,,,,,,,,,785.1,,,,202.1,130.7,153.4,109.8,,,,,,,,,,,3020718.5,,,,203091.7,74572.1,80003.0,35049.7
UT-Mobility,,,,,,,,,,,,,,,619.4,,100.4,28.9,,,,,,,,,,,,,,,3286182.6,,57330.7,3364.0
MITCovAlliance-SIR,,,,,,,,,,,824.9,819.5,618.8,541.7,343.5,,335.0,,,,,,,,,,,,2947841.1,2887907.4,2395889.8,1790118.9,815682.0,,769986.1,
Google_Harvard-CPF,,,,,,,,,,,,,,,,,93.4,37.2,,,,,,,,,,,,,,,,,35443.7,5138.5
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,,,,,,,3817.2
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,39.5,,,,,,,,,,,,,,,,,,10367.1
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,132.8,128.7,,,,,,,,,,,,,,,,,59757.6,70034.2
UMich-RidgeTfReg,,,,,,,,,,,,,,,,239.8,,,,,,,,,,,,,,,,,,759278.5,,
TTU-squider,,,,,,,,,,,,,,,,,2606.3,253.0,,,,,,,,,,,,,,,,,20492957.0,196898.7
