,mean_abs_error_2020-09-14_2021-01-30,mean_abs_error_2020-09-21_2021-01-30,mean_abs_error_2020-09-28_2021-01-30,mean_abs_error_2020-10-05_2021-01-30,mean_abs_error_2020-10-12_2021-01-30,mean_abs_error_2020-10-19_2021-01-30,mean_abs_error_2020-10-26_2021-01-30,mean_abs_error_2020-11-02_2021-01-30,mean_abs_error_2020-11-09_2021-01-30,mean_abs_error_2020-11-16_2021-01-30,mean_abs_error_2020-11-23_2021-01-30,mean_abs_error_2020-11-30_2021-01-30,mean_abs_error_2020-12-07_2021-01-30,mean_abs_error_2020-12-14_2021-01-30,mean_abs_error_2020-12-21_2021-01-30,mean_abs_error_2020-12-28_2021-01-30,mean_abs_error_2021-01-04_2021-01-30,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-01-30,mean_abs_error_2021-01-25_2021-01-30,mean_sq_abs_error_2020-09-14_2021-01-30,mean_sq_abs_error_2020-09-21_2021-01-30,mean_sq_abs_error_2020-09-28_2021-01-30,mean_sq_abs_error_2020-10-05_2021-01-30,mean_sq_abs_error_2020-10-12_2021-01-30,mean_sq_abs_error_2020-10-19_2021-01-30,mean_sq_abs_error_2020-10-26_2021-01-30,mean_sq_abs_error_2020-11-02_2021-01-30,mean_sq_abs_error_2020-11-09_2021-01-30,mean_sq_abs_error_2020-11-16_2021-01-30,mean_sq_abs_error_2020-11-23_2021-01-30,mean_sq_abs_error_2020-11-30_2021-01-30,mean_sq_abs_error_2020-12-07_2021-01-30,mean_sq_abs_error_2020-12-14_2021-01-30,mean_sq_abs_error_2020-12-21_2021-01-30,mean_sq_abs_error_2020-12-28_2021-01-30,mean_sq_abs_error_2021-01-04_2021-01-30,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-01-30,mean_sq_abs_error_2021-01-25_2021-01-30
UCLA-SuEIR,,,,,,,3449.0,3232.7,2968.7,2868.3,1629.0,1803.1,1190.6,1104.7,818.0,944.2,581.8,277.0,131.6,76.1,,,,,,,27114793.1,25591095.6,21831136.7,21218143.9,10575545.8,11774858.5,6155395.6,5214725.3,2847475.8,3816259.3,1364288.8,260035.2,63367.3,25636.8
CMU-TimeSeries,,,,,,,,,,,,,,,,,426.3,287.0,162.5,64.4,,,,,,,,,,,,,,,,,608417.7,264526.6,73386.7,14331.7
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,461.7,257.1,180.4,59.1,,,,,,,,,,,,,,,,,1055630.1,315278.3,66871.8,11214.4
CEID-Walk,,,,,,,,,,,,,,,,,512.5,296.5,137.8,57.9,,,,,,,,,,,,,,,,,942011.2,227805.0,43682.9,9861.2
AIpert-pwllnod,,,,,,,,,,,,,,,1280.2,900.9,438.6,331.9,228.2,77.1,,,,,,,,,,,,,,,7875549.1,4634597.1,486082.6,320767.0,248619.6,16348.7
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,539.1,252.5,170.6,72.9,,,,,,,,,,,,,,,,,1218437.2,255105.9,62312.4,9443.5
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,481.5,276.9,173.5,76.0,,,,,,,,,,,,,,,,,895388.2,244242.8,85544.8,19549.5
UA-EpiCovDA,,,,,,,,,,,,,,,,,579.5,247.3,170.5,82.3,,,,,,,,,,,,,,,,,1256834.2,176906.9,65319.0,18594.2
RobertWalraven-ESG,,,,,,,,,,,,,,,,,715.4,273.9,135.8,81.2,,,,,,,,,,,,,,,,,1613473.5,188361.6,43880.2,24659.4
IHME-CurveFit,,1584.6,1440.1,,,1482.8,1463.4,,,,1000.7,,794.1,888.7,580.5,525.6,,,320.3,128.3,,10255397.3,10480410.6,,,4900559.2,6286937.5,,,,4362212.2,,1547856.2,2324504.7,817870.6,560542.7,,,272927.0,52714.1
Caltech-CS156,,,,,,,,,,,,,,,,,452.0,347.9,169.2,,,,,,,,,,,,,,,,,,749404.0,486106.9,109886.9,
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,307.2,165.6,65.2,,,,,,,,,,,,,,,,,,372428.6,70603.8,17072.9
USC-SI_kJalpha,,,,,,,,,,,,,,,,,564.1,297.3,180.4,72.3,,,,,,,,,,,,,,,,,1113996.8,271403.9,78940.1,15287.0
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,606.0,803.7,669.9,570.1,412.9,100.5,,,,,,,,,,,,,,,1211958.2,2073969.0,1633565.1,1713835.6,919896.4,40278.8
BPagano-RtDriven,,,,,,,,,,,,,,,,,520.6,461.0,235.1,68.9,,,,,,,,,,,,,,,,,1210381.1,906999.3,186561.7,15925.7
Columbia_UNC-SurvCon,,,,,,,,,,,,,1565.0,1529.8,1757.6,667.6,752.9,,184.6,84.3,,,,,,,,,,,,,5662581.9,12036172.1,27125042.2,1130636.9,1911380.8,,76813.9,20276.5
PSI-DRAFT,,,,,,,,,,,,,,,998.5,784.4,600.3,484.5,239.1,116.4,,,,,,,,,,,,,,,4018576.3,1564609.2,1348596.0,877147.7,194572.6,54455.9
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,1603.3,,502.4,,,,,,,,,,,,,,,,,,6796492.6,,971517.3,,,
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,81.4,83.6,,,,,,,,,,,,,,,,,,,18001.3,30394.1
UT-Mobility,,,,,,,,,,,,,,,,,,294.5,,63.6,,,,,,,,,,,,,,,,,,236185.5,,11216.6
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,550.4,461.9,261.2,80.7,,,,,,,,,,,,,,,,,881800.7,594053.0,206598.0,14845.9
UCSB-ACTS,,,,,,,,,,,,,,,,,502.3,434.3,425.8,95.1,,,,,,,,,,,,,,,,,727258.2,447368.7,317479.2,27442.8
JHUAPL-Bucky,,,,,,,,,,,,,940.8,651.7,986.0,1040.7,710.1,612.5,,138.4,,,,,,,,,,,,,2337098.8,894986.9,3238399.0,2246158.1,2241955.0,1736107.6,,58024.4
DDS-NBDS,,,,,,,,,,,,,,,,,608.8,424.6,270.9,216.6,,,,,,,,,,,,,,,,,1328316.7,502102.3,174887.1,255938.3
CU-select,,,,,,,,,,,,,,,,,855.0,533.5,229.3,124.5,,,,,,,,,,,,,,,,,2307174.3,1073056.2,172004.0,61393.6
TTU-squider,,,,,,,,,,,,,,,,,545.8,533.0,414.6,405.3,,,,,,,,,,,,,,,,,715832.2,694130.1,420960.2,405313.4
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,18114.3
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,96.1,,,,,,,,,,,,,,,,,,,,27749.1
MITCovAlliance-SIR,,,,,,,,,,,,,,,,,809.2,588.0,,,,,,,,,,,,,,,,,,,3393652.8,1892040.5,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,2605.4,2233.3,1907.0,,1273.2,899.1,540.8,262.2,,,,,,,,,,,,,17559843.8,14027538.8,10865454.1,,5495666.1,2871561.7,1078985.2,244476.1
