,mean_abs_error_2020-05-18_2020-09-12,mean_abs_error_2020-05-25_2020-09-12,mean_abs_error_2020-06-01_2020-09-12,mean_abs_error_2020-06-08_2020-09-12,mean_abs_error_2020-06-15_2020-09-12,mean_abs_error_2020-06-22_2020-09-12,mean_abs_error_2020-06-29_2020-09-12,mean_abs_error_2020-07-06_2020-09-12,mean_abs_error_2020-07-13_2020-09-12,mean_abs_error_2020-07-20_2020-09-12,mean_abs_error_2020-07-27_2020-09-12,mean_abs_error_2020-08-03_2020-09-12,mean_abs_error_2020-08-10_2020-09-12,mean_abs_error_2020-08-17_2020-09-12,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-12,mean_abs_error_2020-09-07_2020-09-12,mean_sq_abs_error_2020-05-18_2020-09-12,mean_sq_abs_error_2020-05-25_2020-09-12,mean_sq_abs_error_2020-06-01_2020-09-12,mean_sq_abs_error_2020-06-08_2020-09-12,mean_sq_abs_error_2020-06-15_2020-09-12,mean_sq_abs_error_2020-06-22_2020-09-12,mean_sq_abs_error_2020-06-29_2020-09-12,mean_sq_abs_error_2020-07-06_2020-09-12,mean_sq_abs_error_2020-07-13_2020-09-12,mean_sq_abs_error_2020-07-20_2020-09-12,mean_sq_abs_error_2020-07-27_2020-09-12,mean_sq_abs_error_2020-08-03_2020-09-12,mean_sq_abs_error_2020-08-10_2020-09-12,mean_sq_abs_error_2020-08-17_2020-09-12,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-12,mean_sq_abs_error_2020-09-07_2020-09-12
RobertWalraven-ESG,,,,,,,,,,,,,,184.3,133.2,69.5,34.6,,,,,,,,,,,,,,122820.2,62748.7,16068.3,6240.6
Auquan-SEIR,,,,,,,,,,,,,,153.6,176.8,,,,,,,,,,,,,,,,105213.0,102578.1,,
UT-Mobility,,,,,,,,,,,,,,285.5,95.7,,,,,,,,,,,,,,,,422332.6,34037.5,,
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,2580.4
Geneva-DetGrowth,,,,,,,,,,,,,,,,,32.3,,,,,,,,,,,,,,,,,3206.2
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,3225.5
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,37.3,,,,,,,,,,,,,,,,,4016.8
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,37.6,,,,,,,,,,,,,,,,,7604.6
JHUAPL-Bucky,,,,,,,,,,,,,,,,126.4,63.9,,,,,,,,,,,,,,,,70813.2,20575.3
TTU-squider,,,,,,,,,,,,,,3189.8,431.5,,,,,,,,,,,,,,,,29541891.4,575713.3,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,94.7,,,,,,,,,,,,,,,,,45968.2
