,perc_error_2020-04-20_2020-05-16,perc_error_2020-04-27_2020-05-23,perc_error_2020-05-04_2020-05-30,perc_error_2020-05-11_2020-06-06,perc_error_2020-05-18_2020-06-13,perc_error_2020-05-25_2020-06-20,perc_error_2020-06-01_2020-06-27,perc_error_2020-06-08_2020-07-04,perc_error_2020-06-15_2020-07-11,perc_error_2020-06-22_2020-07-18,perc_error_2020-06-29_2020-07-25,perc_error_2020-07-06_2020-08-01,perc_error_2020-07-13_2020-08-08,perc_error_2020-07-20_2020-08-15,perc_error_2020-07-27_2020-08-22,perc_error_2020-08-03_2020-08-29,perc_error_2020-08-10_2020-09-05,perc_error_2020-08-17_2020-09-12,perc_error_2020-08-24_2020-09-19,perc_error_2020-08-31_2020-09-26,perc_error_2020-09-07_2020-10-03,perc_error_2020-09-14_2020-10-10,perc_error_2020-09-21_2020-10-17,perc_error_2020-09-28_2020-10-24,perc_error_2020-10-05_2020-10-31,perc_error_2020-10-12_2020-11-07,perc_error_2020-10-19_2020-11-14,perc_error_2020-10-26_2020-11-21,perc_error_2020-11-02_2020-11-28,perc_error_2020-11-09_2020-12-05,perc_error_2020-11-16_2020-12-12,perc_error_2020-11-23_2020-12-19,perc_error_2020-11-30_2020-12-26,perc_error_2020-12-07_2021-01-02,perc_error_2020-12-14_2021-01-09,perc_error_2020-12-21_2021-01-16,perc_error_2020-12-28_2021-01-23,perc_error_2021-01-04_2021-01-30,perc_error_2021-01-11_2021-02-06,perc_error_2021-01-18_2021-02-13,perc_error_2021-01-25_2021-02-20,perc_error_2021-02-01_2021-02-27,perc_error_2021-02-08_2021-03-06
Covid19Sim-Simulator,,,,,,-0.358,-0.498,-0.524,0.017,-0.131,-0.246,-0.232,-0.315,-0.238,-0.224,-0.139,,-0.598,-0.706,0.130,-0.077,-0.189,-0.249,-0.168,-0.067,-0.226,-0.365,-0.138,-0.094,-0.132,,0.020,0.158,-0.220,-0.263,-0.195,-0.063,-0.169,-0.315,-0.260,0.457,-0.019,-0.177
IHME-CurveFit,-0.511,-0.607,0.177,0.210,0.317,,-0.016,0.090,0.113,-0.114,-0.210,-0.318,,-0.103,-0.129,-0.067,0.047,,0.294,0.291,0.217,,-0.196,0.131,,,-0.214,-0.228,,,,-0.187,,-0.029,-0.280,0.112,0.134,,,0.103,0.102,-0.003,-0.038
JHU_IDD-CovidSP,,,,,2.106,1.046,1.002,1.148,0.655,0.695,0.419,0.182,0.073,0.132,0.190,0.360,0.417,0.516,0.271,0.234,0.157,0.102,0.035,-0.023,-0.154,-0.260,-0.343,-0.457,-0.551,-0.639,-0.206,-0.220,-0.322,-0.333,-0.342,0.199,-0.018,-0.109,-0.076,0.018,0.038,0.023,-0.005
UT-Mobility,-0.645,-0.557,-0.302,,-0.414,0.231,-0.061,-0.151,0.057,-0.072,-0.126,-0.273,0.319,0.348,0.757,1.167,,0.726,0.273,,,-0.064,0.033,-0.263,-0.145,-0.222,-0.225,-0.300,-0.374,-0.418,-0.393,-0.220,-0.323,0.034,0.087,0.152,,,0.031,,0.257,,
PSI-DRAFT,,,,,0.325,0.103,0.142,0.273,0.179,-0.142,-0.276,-0.468,-0.380,-0.061,0.469,1.218,0.211,-0.241,0.182,0.123,0.187,-0.223,-0.166,-0.184,-0.379,-0.422,-0.501,-0.455,-0.342,-0.487,-0.207,-0.222,-0.456,-0.109,0.409,-0.161,-0.208,-0.217,-0.062,-0.046,0.328,0.395,0.428
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,-0.127,-0.160,-0.033,0.257,-0.253,-0.037,-0.179,-0.122,-0.242,-0.246,-0.281,-0.121,-0.181,0.048,0.069,0.051,-0.195,-0.111,0.061,0.186,0.119,0.192,0.267
epiforecasts-ensemble1,,,,,,,,,0.202,-0.062,-0.226,-0.599,-0.434,-0.342,0.247,-0.076,-0.186,-0.049,-0.246,-0.764,-0.777,-0.517,-0.855,-0.723,-0.684,-0.169,-0.260,-0.332,-0.264,-0.326,-0.305,0.472,-0.410,0.076,-0.091,-0.196,-0.401,-0.290,-0.147,0.037,0.054,0.099,0.318
TTU-squider,,,,,,,,,,,,,,,,,,6.587,,,,1.467,,1.548,0.331,0.419,0.170,-0.001,-0.256,-0.237,-0.282,-0.118,0.059,-0.167,0.037,0.046,0.060,-0.082,-0.097,-0.083,-0.035,-0.002,0.056
STH-3PU,,,,,,,,,0.021,-0.417,-0.605,-0.708,-0.794,-0.338,0.272,1.277,0.016,0.035,-0.009,-0.031,-0.646,0.006,-0.073,,-0.223,-0.244,-0.308,-0.447,-0.423,,,,,,,,,,,,,,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.320,-0.289,0.012,-0.046,-0.146,-0.140,-0.156,-0.026,-0.125,0.100,0.200,0.049,-0.067,-0.172,-0.140,-0.052,0.012,0.238,0.238
