,mean_abs_error_2020-09-21_2021-02-13,mean_abs_error_2020-09-28_2021-02-13,mean_abs_error_2020-10-05_2021-02-13,mean_abs_error_2020-10-12_2021-02-13,mean_abs_error_2020-10-19_2021-02-13,mean_abs_error_2020-10-26_2021-02-13,mean_abs_error_2020-11-02_2021-02-13,mean_abs_error_2020-11-09_2021-02-13,mean_abs_error_2020-11-16_2021-02-13,mean_abs_error_2020-11-23_2021-02-13,mean_abs_error_2020-11-30_2021-02-13,mean_abs_error_2020-12-07_2021-02-13,mean_abs_error_2020-12-14_2021-02-13,mean_abs_error_2020-12-21_2021-02-13,mean_abs_error_2020-12-28_2021-02-13,mean_abs_error_2021-01-04_2021-02-13,mean_abs_error_2021-01-11_2021-02-13,mean_abs_error_2021-01-18_2021-02-13,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-13,mean_abs_error_2021-02-08_2021-02-13,mean_sq_abs_error_2020-09-21_2021-02-13,mean_sq_abs_error_2020-09-28_2021-02-13,mean_sq_abs_error_2020-10-05_2021-02-13,mean_sq_abs_error_2020-10-12_2021-02-13,mean_sq_abs_error_2020-10-19_2021-02-13,mean_sq_abs_error_2020-10-26_2021-02-13,mean_sq_abs_error_2020-11-02_2021-02-13,mean_sq_abs_error_2020-11-09_2021-02-13,mean_sq_abs_error_2020-11-16_2021-02-13,mean_sq_abs_error_2020-11-23_2021-02-13,mean_sq_abs_error_2020-11-30_2021-02-13,mean_sq_abs_error_2020-12-07_2021-02-13,mean_sq_abs_error_2020-12-14_2021-02-13,mean_sq_abs_error_2020-12-21_2021-02-13,mean_sq_abs_error_2020-12-28_2021-02-13,mean_sq_abs_error_2021-01-04_2021-02-13,mean_sq_abs_error_2021-01-11_2021-02-13,mean_sq_abs_error_2021-01-18_2021-02-13,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-13,mean_sq_abs_error_2021-02-08_2021-02-13
UMass-MechBayes,,,,,,,,,,,,,,,,,,284.9,204.3,121.4,58.9,,,,,,,,,,,,,,,,,,237323.4,201366.9,55637.1,13620.5
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,336.6,166.1,127.0,55.8,,,,,,,,,,,,,,,,,,275548.3,72854.7,43000.4,6766.1
LNQ-ens1,,,,,,,,,,,,,,,,,,359.0,227.1,91.9,54.3,,,,,,,,,,,,,,,,,,396150.2,126544.2,22757.7,8511.8
IowaStateLW-STEM,,4254.5,4169.6,4084.2,4081.4,3761.9,3445.7,3187.0,2851.4,1971.6,1977.2,1688.6,1379.1,1177.9,871.6,723.3,544.9,360.5,258.2,289.1,135.1,,40390087.0,39706504.3,39299520.5,39843479.7,36121435.7,32231086.1,29324117.7,26334919.1,15981962.9,15474313.0,11994996.8,7426043.3,5187538.1,2783521.3,2106411.8,874356.4,362903.1,188482.3,305683.3,76104.6
BPagano-RtDriven,,,,,,,,,,,,,,,,,,259.3,167.1,148.2,73.3,,,,,,,,,,,,,,,,,,213103.6,83414.6,73071.4,17661.2
GT-DeepCOVID,,,,,,,,,,,,,,,,,,309.7,232.1,122.7,59.9,,,,,,,,,,,,,,,,,,214397.7,170983.5,38386.1,9681.1
Google_Harvard-CPF,,,,,,,,,,,,,,,,,,374.1,198.3,133.2,48.9,,,,,,,,,,,,,,,,,,288159.7,104094.1,42872.8,5338.3
USC-SI_kJalpha,,,,,,,,,,,,,,,,,,490.0,225.6,91.4,51.1,,,,,,,,,,,,,,,,,,687230.2,146597.5,23871.6,6004.1
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,366.6,177.2,134.8,62.0,,,,,,,,,,,,,,,,,,312001.0,75782.5,44040.1,7782.1
Covid19Sim-Simulator,,4102.3,3703.9,3323.5,3642.0,2487.0,2187.7,2260.4,,2042.1,1625.0,1212.1,888.6,685.0,737.3,614.0,569.0,442.2,284.2,213.9,245.1,,40387419.9,34334276.3,26725249.8,34672492.5,20680730.0,18535818.2,17346964.0,,12877138.3,9456935.1,4538327.8,2884651.2,1273317.6,1837014.1,1098682.8,1191495.8,844022.3,230572.0,141044.0,166976.8
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,653.7,573.6,394.1,330.3,269.0,178.3,,,,,,,,,,,,,,,,1368840.5,956905.7,451801.8,296126.2,206959.0,140363.1
Caltech-CS156,,,,,,,,,,,,,,,,,,294.7,,126.3,48.9,,,,,,,,,,,,,,,,,,314368.1,,38204.0,4501.7
CEID-Walk,,,,,,,,,,,,,,,,,,316.2,201.4,153.4,118.7,,,,,,,,,,,,,,,,,,296051.8,107974.6,97162.7,68714.9
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,391.9,267.5,142.9,75.2,,,,,,,,,,,,,,,,,,294701.2,151740.6,55438.3,11738.6
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,504.3,282.5,124.8,75.1,,,,,,,,,,,,,,,,,,660753.3,211008.9,42967.5,15351.0
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,104.9,46.3,,,,,,,,,,,,,,,,,,,,32189.4,5997.3
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,1053.4,1076.9,921.7,399.2,169.2,54.8,,,,,,,,,,,,,,,,4215379.2,6020843.4,5176137.8,695977.2,75639.4,8162.1
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,458.7,258.1,164.5,80.8,,,,,,,,,,,,,,,,,,518324.6,165128.5,60159.0,15051.4
UA-EpiCovDA,,,,,,,,,,,,,,,,,,439.3,308.1,163.2,73.6,,,,,,,,,,,,,,,,,,396040.8,225872.8,65627.2,19296.6
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,399.8,281.3,136.4,173.4,,,,,,,,,,,,,,,,,,359961.7,367237.2,44143.3,500851.7
PSI-DRAFT,,,,,,,,,,,,,,,,929.3,986.2,465.6,406.3,273.5,81.8,,,,,,,,,,,,,,,,3015814.3,4374337.1,876127.9,1135536.1,540780.1,16880.4
CMU-TimeSeries,,,,,,,,,,,,,,,,,,569.2,233.7,138.1,102.9,,,,,,,,,,,,,,,,,,1117768.1,135498.4,52020.0,33619.1
AIpert-pwllnod,,,,,,,,,,,,,,2795.1,1420.3,910.8,877.0,782.6,415.3,196.5,89.3,,,,,,,,,,,,,,52595683.0,9952580.3,2170618.9,3943122.2,4440382.7,683100.0,131451.0,24313.5
CU-select,,,,,,,,,,,,,,,,,,400.7,357.2,202.2,61.4,,,,,,,,,,,,,,,,,,441053.6,505270.2,141569.8,8392.5
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,665.1,357.3,169.3,60.9,,,,,,,,,,,,,,,,,,2165556.4,429094.4,111726.3,7929.2
Columbia_UNC-SurvCon,,,,,,,,,,,,,,4570.1,1304.9,1158.8,,535.3,290.2,,81.2,,,,,,,,,,,,,,226608212.8,6196424.7,4581213.5,,808542.8,304947.5,,15865.4
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,116.7,95.0,,,,,,,,,,,,,,,,,,,,31709.1,23540.2
JHUAPL-Bucky,,,,,,,,,,,,,1038.9,1442.6,1524.7,1096.3,852.9,,308.7,724.1,483.5,,,,,,,,,,,,,2254093.5,7345373.3,4831707.1,5094780.7,3796249.6,,291941.4,1786032.9,809492.9
MITCovAlliance-SIR,,,,,,,,,,,,,,,,1194.7,1049.0,,,,,,,,,,,,,,,,,,,,7267351.9,5005300.4,,,,
IHME-CurveFit,,1663.3,,,1684.9,1682.6,,,,1249.7,,1024.9,1137.8,855.9,770.7,,,556.0,294.4,199.8,155.3,,13450917.1,,,6217136.2,7963183.1,,,,6341647.1,,2432388.9,3729045.5,1860425.8,1425530.1,,,781705.2,297740.6,124291.8,116255.9
DDS-NBDS,,,,,,,,,,,,,,,,,,503.2,1113.7,169.5,96.3,,,,,,,,,,,,,,,,,,628912.0,8813658.6,163486.1,32989.5
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,380.8,190.4,166.1,,,,,,,,,,,,,,,,,,,655106.8,133824.6,295449.0
UT-Mobility,,,,,,,,,,,,,,,,,,,312.0,,,,,,,,,,,,,,,,,,,,,321862.8,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,2517.3,,1824.0,1419.1,1008.8,692.6,401.0,215.6,,,,,,,,,,,,,,19477907.9,,11519440.2,7242518.8,3829043.1,1766873.0,577417.6,188308.0
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,17477.3
UCSB-ACTS,,,,,,,,,,,,,,,,,,1044.4,359.2,,,,,,,,,,,,,,,,,,,,2073845.8,737839.7,,
TTU-squider,,,,,,,,,,,,,,,,,,639.0,638.6,522.1,526.0,,,,,,,,,,,,,,,,,,995070.0,991544.9,648389.5,663195.3
SigSci-TS,,,,,,,,,,,,,,,,,,,,207.1,,,,,,,,,,,,,,,,,,,,,176174.1,
JCB-PRM,,,,,,,,,,,,,,1568.5,821.6,,,,,,,,,,,,,,,,,,,,8943979.8,2621585.0,,,,,,
