,mean_abs_error_2020-06-29_2020-11-14,mean_abs_error_2020-07-06_2020-11-14,mean_abs_error_2020-07-13_2020-11-14,mean_abs_error_2020-07-20_2020-11-14,mean_abs_error_2020-07-27_2020-11-14,mean_abs_error_2020-08-03_2020-11-14,mean_abs_error_2020-08-10_2020-11-14,mean_abs_error_2020-08-17_2020-11-14,mean_abs_error_2020-08-24_2020-11-14,mean_abs_error_2020-08-31_2020-11-14,mean_abs_error_2020-09-07_2020-11-14,mean_abs_error_2020-09-14_2020-11-14,mean_abs_error_2020-09-21_2020-11-14,mean_abs_error_2020-09-28_2020-11-14,mean_abs_error_2020-10-05_2020-11-14,mean_abs_error_2020-10-12_2020-11-14,mean_abs_error_2020-10-19_2020-11-14,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-14,mean_abs_error_2020-11-09_2020-11-14,mean_sq_abs_error_2020-06-29_2020-11-14,mean_sq_abs_error_2020-07-06_2020-11-14,mean_sq_abs_error_2020-07-13_2020-11-14,mean_sq_abs_error_2020-07-20_2020-11-14,mean_sq_abs_error_2020-07-27_2020-11-14,mean_sq_abs_error_2020-08-03_2020-11-14,mean_sq_abs_error_2020-08-10_2020-11-14,mean_sq_abs_error_2020-08-17_2020-11-14,mean_sq_abs_error_2020-08-24_2020-11-14,mean_sq_abs_error_2020-08-31_2020-11-14,mean_sq_abs_error_2020-09-07_2020-11-14,mean_sq_abs_error_2020-09-14_2020-11-14,mean_sq_abs_error_2020-09-21_2020-11-14,mean_sq_abs_error_2020-09-28_2020-11-14,mean_sq_abs_error_2020-10-05_2020-11-14,mean_sq_abs_error_2020-10-12_2020-11-14,mean_sq_abs_error_2020-10-19_2020-11-14,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-14,mean_sq_abs_error_2020-11-09_2020-11-14
Covid19Sim-Simulator,2674.2,2088.7,1460.8,976.7,771.4,563.5,,,796.4,406.8,411.1,377.0,368.8,283.0,252.9,209.6,192.4,120.5,94.8,69.0,72771405.7,43397432.9,15659101.2,4403163.5,2770257.7,760764.9,,,1788865.7,429607.9,427601.2,342607.8,299498.6,184267.5,152956.7,107951.3,92331.0,53304.9,37863.4,11942.2
COVIDhub-ensemble,,,,,,,,,,,,,,,,,178.9,113.7,84.7,36.6,,,,,,,,,,,,,,,,,76812.5,36886.6,22735.4,3998.3
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,166.7,107.8,95.5,36.1,,,,,,,,,,,,,,,,,67516.3,32193.6,29301.0,3814.8
BPagano-RtDriven,,,,,,,,,,,,,,,260.4,292.1,212.2,140.0,97.6,35.4,,,,,,,,,,,,,,,127836.1,180183.8,162357.5,52508.2,26364.2,2931.2
CU-select,,,,,,,,,,,,,,,,,128.9,103.4,89.2,57.0,,,,,,,,,,,,,,,,,48522.2,25980.9,19834.4,7608.7
Google_Harvard-CPF,,,,,,,,,,,,,,,,,170.7,116.6,86.1,43.2,,,,,,,,,,,,,,,,,73841.9,39751.7,23741.2,5457.1
GT-DeepCOVID,,,,,,,,,,,,,,,,,179.0,126.3,79.7,38.5,,,,,,,,,,,,,,,,,72530.2,39541.8,20727.4,5017.5
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,178.0,119.5,86.4,37.8,,,,,,,,,,,,,,,,,93103.1,51044.8,22201.0,4360.9
Columbia_UNC-SurvCon,,,,,,,,,,,,,3192.5,1224.2,430.0,243.0,209.9,152.5,94.4,36.5,,,,,,,,,,,,,237584002.9,22393125.5,720289.9,139434.2,115745.1,101252.6,26660.5,3904.7
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,171.5,109.6,96.0,37.2,,,,,,,,,,,,,,,,,69502.3,32957.1,29165.4,4089.3
IowaStateLW-STEM,,1180.0,1109.6,886.3,948.4,881.1,,768.3,732.0,511.0,459.2,298.7,321.2,330.7,289.9,241.2,213.5,145.9,91.0,48.3,,4447485.2,4047078.3,1658239.6,2793110.7,3069643.3,,1952635.6,1904778.0,688321.8,451901.3,227189.1,217767.6,222505.8,178550.4,125552.0,94622.4,50241.2,21830.7,6355.0
CMU-TimeSeries,,,,,,,,,,,,,,,,,193.6,135.6,84.3,42.4,,,,,,,,,,,,,,,,,98443.1,45605.1,23581.3,4366.5
UA-EpiCovDA,,,,,,,,,,,,,,,,,178.1,118.1,94.7,45.5,,,,,,,,,,,,,,,,,94828.7,47332.4,27082.1,5206.8
LANL-GrowthRate,,,,,,,,,,,,,,448.7,398.5,315.4,251.5,168.6,92.5,37.5,,,,,,,,,,,,,,414429.1,336228.8,209760.3,124862.0,78797.3,26608.6,3702.3
UCLA-SuEIR,,,,,,,794.1,630.6,522.8,449.1,420.4,401.6,359.7,314.6,301.1,262.8,249.9,167.8,108.0,44.8,,,,,,,1597171.9,827848.0,514369.3,393450.3,339656.9,311830.1,263012.7,196923.8,183643.9,145282.7,123868.9,62323.6,38593.9,5203.8
CEID-Walk,,,,,,,,,,,,,,,,,204.0,137.8,96.7,41.6,,,,,,,,,,,,,,,,,109017.3,46614.4,31572.1,4215.3
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,172.8,145.0,94.7,52.2,,,,,,,,,,,,,,,,,78832.2,60629.7,31995.3,6687.8
JHU_IDD-CovidSP,,,,,,,,,,,,,,,260.3,230.5,208.6,183.8,148.5,85.0,,,,,,,,,,,,,,,138643.9,114792.5,92965.7,76509.4,57367.6,17891.2
DDS-NBDS,,,,,,,,,,,,,,,,,185.6,138.8,108.9,44.1,,,,,,,,,,,,,,,,,89545.0,53930.4,37501.4,6136.3
CovidAnalytics-DELPHI,,,,,,,,,,,,,,407.4,328.4,259.0,286.7,156.5,109.9,55.5,,,,,,,,,,,,,,321196.7,227296.5,160855.4,168866.0,61769.7,36208.3,8711.5
Caltech-CS156,,,,,,,,,,,,,,,,,,,86.4,31.7,,,,,,,,,,,,,,,,,,,26504.9,3216.5
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,162.2,136.9,118.2,59.6,,,,,,,,,,,,,,,,,78044.4,52039.3,45563.8,11010.2
UT-Mobility,,,,,,,,,,,,,,,,,220.5,130.9,103.1,48.3,,,,,,,,,,,,,,,,,144999.9,52977.2,34010.3,5801.9
NotreDame-mobility,,,,,,,,,,,,,,,345.9,289.4,238.2,166.2,114.4,65.4,,,,,,,,,,,,,,,295709.9,184445.5,129182.7,76310.7,43368.0,12488.1
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,204.5,143.3,109.9,52.0,,,,,,,,,,,,,,,,,98285.5,46812.3,34575.0,6779.9
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,209.8,156.3,111.4,58.3,,,,,,,,,,,,,,,,,134593.6,73668.7,43021.4,12327.2
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,105.9,39.8,,,,,,,,,,,,,,,,,,,32006.4,3839.3
PSI-DRAFT,,,,,,,,,,,,,,,362.5,313.9,274.5,189.7,121.1,74.5,,,,,,,,,,,,,,,261672.7,198625.2,167367.0,99536.1,39994.7,14946.8
RobertWalraven-ESG,,,,,,,,,,,,,653.5,596.2,465.7,,212.3,253.4,197.3,45.1,,,,,,,,,,,,,983267.4,753299.2,386640.3,,104411.0,137409.9,90476.7,4821.9
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,98.9,46.5,,,,,,,,,,,,,,,,,,,34069.7,6615.1
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,3267.2
IHME-CurveFit,1187.7,893.5,,939.1,757.2,715.6,876.7,,1002.7,967.9,864.5,,467.4,492.9,,,206.1,190.4,,,3837991.4,1722084.8,,2174312.1,1135543.0,1606969.9,2669355.6,,6532761.9,4339768.7,2630785.4,,724833.7,973269.5,,,114519.5,116722.1,,
UCSB-ACTS,,,,,,,,,,,,,,,,,,186.0,99.0,58.4,,,,,,,,,,,,,,,,,,84563.4,29757.2,9997.9
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,170.0,115.5,63.6,,,,,,,,,,,,,,,,,,111686.0,52574.9,15836.6
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,43.6,,,,,,,,,,,,,,,,,,,,4284.5
MITCovAlliance-SIR,,,,,,,,,,,,,667.3,254.3,,,221.4,,,,,,,,,,,,,,,,2086415.6,159727.8,,,116412.2,,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,592.7,518.3,457.4,394.5,316.4,260.2,196.1,110.8,,,,,,,,,,,,,696349.2,528217.8,418518.3,311699.0,204601.7,144292.6,91751.5,29504.9
USACE-ERDC_SEIR,,,,,,,,,,,,,487.8,402.0,,359.0,,269.2,,,,,,,,,,,,,,,623186.4,494416.5,,433359.2,,239256.0,,
TTU-squider,,,,,,,,,,,,,,,,,480.5,259.6,329.9,266.5,,,,,,,,,,,,,,,,,877370.4,248022.5,476277.6,419268.3
