,mean_abs_error_2020-04-27_2020-08-15,mean_abs_error_2020-05-04_2020-08-15,mean_abs_error_2020-05-11_2020-08-15,mean_abs_error_2020-05-18_2020-08-15,mean_abs_error_2020-05-25_2020-08-15,mean_abs_error_2020-06-01_2020-08-15,mean_abs_error_2020-06-08_2020-08-15,mean_abs_error_2020-06-15_2020-08-15,mean_abs_error_2020-06-22_2020-08-15,mean_abs_error_2020-06-29_2020-08-15,mean_abs_error_2020-07-06_2020-08-15,mean_abs_error_2020-07-13_2020-08-15,mean_abs_error_2020-07-20_2020-08-15,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-04-27_2020-08-15,mean_sq_abs_error_2020-05-04_2020-08-15,mean_sq_abs_error_2020-05-11_2020-08-15,mean_sq_abs_error_2020-05-18_2020-08-15,mean_sq_abs_error_2020-05-25_2020-08-15,mean_sq_abs_error_2020-06-01_2020-08-15,mean_sq_abs_error_2020-06-08_2020-08-15,mean_sq_abs_error_2020-06-15_2020-08-15,mean_sq_abs_error_2020-06-22_2020-08-15,mean_sq_abs_error_2020-06-29_2020-08-15,mean_sq_abs_error_2020-07-06_2020-08-15,mean_sq_abs_error_2020-07-13_2020-08-15,mean_sq_abs_error_2020-07-20_2020-08-15,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-15
CMU-TimeSeries,,,,,,,,,,,,,155.9,104.1,41.5,25.0,,,,,,,,,,,,,175017.6,76064.9,6924.1,3320.8
UA-EpiCovDA,,,,,,,,,,,,,150.2,81.5,56.1,36.1,,,,,,,,,,,,,94096.3,31166.8,15572.2,5994.6
UMass-MechBayes,,,,,,,,,,,,,134.7,137.0,57.9,25.3,,,,,,,,,,,,,102130.6,130752.9,24497.2,3362.3
COVIDhub-baseline,,,,,,,,,,,,,220.2,118.1,54.2,22.3,,,,,,,,,,,,,235374.3,76229.8,24868.1,2539.2
USACE-ERDC_SEIR,,,,965.7,870.0,837.1,721.3,457.2,387.2,434.6,230.2,212.5,518.9,224.0,138.3,63.1,,,,3073393.5,2869402.4,2480723.4,1984808.6,1121370.8,711900.2,1266022.9,354338.2,211013.8,1562698.6,172997.4,52409.6,9432.0
JCB-PRM,,,,,,,,,,,,,,83.7,45.5,24.2,,,,,,,,,,,,,,21317.9,4515.8,1261.2
LANL-GrowthRate,,,,,,,,,,429.8,398.2,313.7,253.9,206.4,106.2,38.7,,,,,,,,,,1311447.7,1254323.1,615543.4,395343.7,317219.7,68741.4,6986.3
IHME-CurveFit,,964.6,800.8,,,,565.9,442.4,340.2,365.0,346.4,,204.5,145.8,117.4,60.2,,3183670.9,2529721.8,,,,1520737.1,1108259.1,505801.2,728459.1,621947.8,,125766.6,79545.2,66625.1,31149.9
CU-select,,,,,,,,,,,,,209.8,140.6,70.0,37.0,,,,,,,,,,,,,230851.2,66116.1,15741.5,4880.6
PSI-DRAFT,,,,,,,,,,,606.7,461.6,229.1,253.9,196.7,36.1,,,,,,,,,,,2023567.8,1264014.0,168991.6,375396.9,419898.4,6518.2
GT-DeepCOVID,,,,,,,,,,,,,239.0,147.4,85.5,43.1,,,,,,,,,,,,,265877.0,120441.3,38456.6,12234.6
NotreDame-mobility,,,,,,,,,,,493.3,315.7,236.3,214.9,216.0,77.2,,,,,,,,,,,1450963.7,577983.4,243550.6,197032.0,198773.3,23570.2
MOBS-GLEAM_COVID,,,,,,,,,,,,,230.5,156.9,139.6,36.1,,,,,,,,,,,,,183014.0,160363.0,217971.9,6853.6
JHU_IDD-CovidSP,,,,,,,,,,,,347.2,256.6,159.5,102.5,69.6,,,,,,,,,,,,364041.5,195940.5,92840.4,30163.4,24438.8
RobertWalraven-ESG,,,,,,,,,,,,,1787.8,207.8,108.8,50.7,,,,,,,,,,,,,17204680.6,230118.5,52784.6,10180.5
CEID-Walk,,,,,,,,,,,,,,,,21.6,,,,,,,,,,,,,,,,2101.2
UT-Mobility,,,,,,,,,,,,,247.0,246.5,189.0,,,,,,,,,,,,,,349895.0,337066.4,266574.8,
Karlen-pypm,,,,,,,,,,,,,834.3,291.5,205.9,37.9,,,,,,,,,,,,,14552710.9,1341612.0,1129032.5,5122.5
Geneva-DetGrowth,,,,,,,,,,,,,,,,30.2,,,,,,,,,,,,,,,,6949.6
DDS-NBDS,,,,,,,,,,,,,,332.0,108.9,62.7,,,,,,,,,,,,,,894761.9,81656.3,32383.8
Auquan-SEIR,,,,,,,,,,,544.7,,,,125.5,84.7,,,,,,,,,,,1588093.8,,,,61089.2,20448.5
MITCovAlliance-SIR,,,,,,,,,,,652.5,647.4,458.0,378.0,236.0,,,,,,,,,,,,1936799.9,1895453.1,1394959.6,1019766.2,530625.5,
CovidActNow-SEIR_CAN,,,,,,,,,,,1772.9,,,,,,,,,,,,,,,,22767144.3,,,,,
UMich-RidgeTfReg,,,,,,,,,,,,,,,,55.7,,,,,,,,,,,,,,,,26577.2
SWC-TerminusCM,,,,,,,,,,552.6,,,,,,,,,,,,,,,,1828695.4,,,,,,
