,perc_error_2020-09-21_2021-02-20,perc_error_2020-09-28_2021-02-20,perc_error_2020-10-05_2021-02-20,perc_error_2020-10-12_2021-02-20,perc_error_2020-10-19_2021-02-20,perc_error_2020-10-26_2021-02-20,perc_error_2020-11-02_2021-02-20,perc_error_2020-11-09_2021-02-20,perc_error_2020-11-16_2021-02-20,perc_error_2020-11-23_2021-02-20,perc_error_2020-11-30_2021-02-20,perc_error_2020-12-07_2021-02-20,perc_error_2020-12-14_2021-02-20,perc_error_2020-12-21_2021-02-20,perc_error_2020-12-28_2021-02-20,perc_error_2021-01-04_2021-02-20,perc_error_2021-01-11_2021-02-20,perc_error_2021-01-18_2021-02-20,perc_error_2021-01-25_2021-02-20,perc_error_2021-02-01_2021-02-20,perc_error_2021-02-08_2021-02-20,perc_error_2021-02-15_2021-02-20
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,0.101,0.069,0.150,0.138
PSI-DRAFT,,,,,,,,,,,,,,,,,0.055,0.008,0.328,0.349,0.396,0.336
IowaStateLW-STEM,,,-0.727,-0.733,-0.770,-0.718,-0.678,-0.664,-0.573,-0.347,-0.385,-0.272,0.009,0.027,-0.013,-0.242,-0.059,0.217,0.142,0.345,0.386,0.242
OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,0.071,0.100,0.164,0.170
Baseline,-0.603,-0.628,-0.659,-0.665,-0.686,-0.657,-0.658,-0.624,-0.575,-0.434,-0.483,-0.215,-0.152,-0.077,-0.241,-0.103,0.126,0.200,0.153,0.259,0.400,0.228
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,-0.001,0.227,0.125,0.343
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,-0.082,0.080,0.157,0.405
COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,0.080,0.095,0.188,0.364
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,0.094,0.137,0.219,0.333
UCLA-SuEIR,,,,,,,,,-0.432,-0.260,-0.540,-0.198,-0.294,-0.182,-0.709,-0.488,-0.300,-0.293,-0.328,-0.100,0.175,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,0.012,0.218,0.286,0.432
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,-0.670,-0.604,-0.531,-0.452,-0.345,-0.198,0.021
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,0.119,0.166,0.261,0.372
COVIDhub-baseline,,,,,,,,,,,,,,,-0.220,-0.103,0.115,0.220,0.170,0.285,0.497,0.744
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,0.054,0.095,0.302,0.807
GT-DeepCOVID,,,,,,,,,,,,,,,,,,,0.096,-0.110,0.228,0.604
Covid19Sim-Simulator,,,-0.538,-0.576,-0.807,-0.074,-0.147,0.199,,0.129,0.013,0.181,-0.006,-0.047,-0.046,0.043,-0.131,-0.177,0.457,-0.138,-0.414,-1.136
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,0.029,0.167,0.908
Caltech-CS156,,,,,,,,,,,,,,,,,,,,0.083,0.165,
IBF-TimeSeries,,,,,,,,,,,,,,,-0.104,0.034,0.260,0.337,0.310,0.488,0.277,0.527
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,0.303,0.168,0.355,0.386
LNQ-ens1,,,,,,,,,,,,,,,,,,,0.262,0.152,0.268,0.521
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,0.257,0.224,0.280,0.470
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,0.409,0.231,0.362,0.463
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,0.203,0.226,0.363,0.812,1.265
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,0.190,0.263,,0.418
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,0.297,0.246,0.326,0.589
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,-0.453,0.236,0.370,0.494
CEID-Walk,,,,,,,,,,,,,,,,,,,0.139,0.292,0.507,0.734
AIpert-pwllnod,,,,,,,,,,,,,,,-0.808,-0.309,0.431,0.672,0.453,0.360,0.392,0.516
UT-Mobility,,,,,,,,,,,,,,,,,,,0.257,,,
DDS-NBDS,,,,,,,,,,,,,,,,,,,1.420,0.211,0.466,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,0.400
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,0.374,
JCB-PRM,,,,,,,,,,,,,,,0.273,,,,,,,
STH-3PU,,,-0.714,-0.713,-0.721,-0.737,-0.729,,,,,,,,,,,,,,,
