,perc_error_2020-07-20_2020-12-05,perc_error_2020-07-27_2020-12-05,perc_error_2020-08-03_2020-12-05,perc_error_2020-08-10_2020-12-05,perc_error_2020-08-17_2020-12-05,perc_error_2020-08-24_2020-12-05,perc_error_2020-08-31_2020-12-05,perc_error_2020-09-07_2020-12-05,perc_error_2020-09-14_2020-12-05,perc_error_2020-09-21_2020-12-05,perc_error_2020-09-28_2020-12-05,perc_error_2020-10-05_2020-12-05,perc_error_2020-10-12_2020-12-05,perc_error_2020-10-19_2020-12-05,perc_error_2020-10-26_2020-12-05,perc_error_2020-11-02_2020-12-05,perc_error_2020-11-09_2020-12-05,perc_error_2020-11-16_2020-12-05,perc_error_2020-11-23_2020-12-05,perc_error_2020-11-30_2020-12-05
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.420,-0.392,-0.234,-0.264
IHME-CurveFit,-0.157,-0.261,-0.168,0.155,,0.320,0.414,0.561,,0.063,0.133,,,-0.263,-0.247,,,,-0.227,
UT-Mobility,,,,,,,,,,,,,,,,,-0.418,-0.353,-0.188,-0.398
DDS-NBDS,,,,,,,,,,,,,,,,,-0.318,-0.430,-0.190,-0.396
NotreDame-mobility,,,,,,,,,,,,,,,-0.531,-0.487,-0.505,-0.334,-0.396,-0.473
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,-0.009,-0.425
CEID-Walk,,,,,,,,,,,,,,,,,-0.438,-0.395,-0.229,-0.360
STH-3PU,0.217,0.057,0.552,-0.235,-0.249,-0.272,-0.289,-0.746,-0.385,-0.427,,-0.486,-0.486,-0.505,-0.555,-0.507,,,,
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,-0.410,,,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.194
USACE-ERDC_SEIR,,,,,,,,,,,,,0.067,,0.283,,,0.840,1.018,0.964
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,-0.295,-0.427
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.649,-0.660,-0.665,-0.674,-0.692,-0.692,-0.677,-0.693
