,perc_error_2020-04-20_2020-04-25,perc_error_2020-04-27_2020-05-02,perc_error_2020-05-04_2020-05-09,perc_error_2020-05-11_2020-05-16,perc_error_2020-05-18_2020-05-23,perc_error_2020-05-25_2020-05-30,perc_error_2020-06-01_2020-06-06,perc_error_2020-06-08_2020-06-13,perc_error_2020-06-15_2020-06-20,perc_error_2020-06-22_2020-06-27,perc_error_2020-06-29_2020-07-04,perc_error_2020-07-06_2020-07-11,perc_error_2020-07-13_2020-07-18,perc_error_2020-07-20_2020-07-25,perc_error_2020-07-27_2020-08-01,perc_error_2020-08-03_2020-08-08,perc_error_2020-08-10_2020-08-15,perc_error_2020-08-17_2020-08-22,perc_error_2020-08-24_2020-08-29,perc_error_2020-08-31_2020-09-05,perc_error_2020-09-07_2020-09-12,perc_error_2020-09-14_2020-09-19,perc_error_2020-09-21_2020-09-26,perc_error_2020-09-28_2020-10-03,perc_error_2020-10-05_2020-10-10,perc_error_2020-10-12_2020-10-17,perc_error_2020-10-19_2020-10-24,perc_error_2020-10-26_2020-10-31,perc_error_2020-11-02_2020-11-07,perc_error_2020-11-09_2020-11-14,perc_error_2020-11-16_2020-11-21,perc_error_2020-11-23_2020-11-28,perc_error_2020-11-30_2020-12-05,perc_error_2020-12-07_2020-12-12,perc_error_2020-12-14_2020-12-19,perc_error_2020-12-21_2020-12-26,perc_error_2020-12-28_2021-01-02,perc_error_2021-01-04_2021-01-09,perc_error_2021-01-11_2021-01-16,perc_error_2021-01-18_2021-01-23,perc_error_2021-01-25_2021-01-30,perc_error_2021-02-01_2021-02-06,perc_error_2021-02-08_2021-02-13,perc_error_2021-02-15_2021-02-20,perc_error_2021-02-22_2021-02-27,perc_error_2021-03-01_2021-03-06
QJHong-Encounter,,,,,,,,,,,,0.291,0.281,-0.041,-0.132,0.064,0.083,0.017,0.044,0.033,0.067,-0.106,-0.168,0.006,0.008,-0.032,-0.134,-0.057,-0.141,-0.119,-0.188,0.059,-0.047,-0.173,-0.134,0.135,0.185,0.053,-0.214,-0.045,-0.062,-0.041,0.109,0.390,-0.061,-0.019
Geneva-DetGrowth,-0.349,-0.189,-0.410,-0.334,-0.343,-0.105,-0.102,0.045,,,,-0.391,0.218,0.022,0.007,0.264,0.190,0.205,0.072,0.121,0.126,-0.071,-0.026,0.133,-0.033,-0.042,-0.178,0.067,-0.143,-0.102,-0.203,0.102,-0.194,-0.029,-0.094,0.235,-0.331,-0.228,-0.132,0.052,0.016,-0.100,0.334,0.400,-0.314,-0.060
Columbia_UNC-SurvCon,,,,,,,,,,,,-0.023,0.005,0.041,-0.157,-0.054,-0.111,0.073,0.029,0.063,0.161,-0.056,-0.050,0.185,0.140,0.086,0.022,0.104,-0.167,-0.063,-0.160,0.126,0.024,-0.121,0.042,0.262,0.127,-0.178,-0.111,0.090,0.001,-0.026,0.088,0.457,-0.153,-0.093
CU-select,0.052,-0.272,-0.204,-0.035,-0.176,0.209,0.311,0.125,0.334,0.557,1.078,0.334,0.022,-0.105,-0.045,0.074,-0.079,-0.095,-0.133,-0.111,-0.110,-0.292,-0.226,-0.105,-0.140,-0.216,-0.123,-0.025,-0.044,0.095,-0.197,-0.026,-0.401,-0.298,-0.069,0.166,-0.108,-0.489,-0.467,-0.290,-0.158,-0.205,-0.086,0.072,-0.177,-0.184
LNQ-ens1,,,,,,,,,,,,,,0.092,-0.141,0.162,0.069,0.053,0.003,-0.024,0.086,-0.129,-0.047,0.084,-0.004,0.028,-0.086,0.069,-0.082,-0.027,-0.136,0.219,-0.294,-0.031,0.065,0.245,-0.153,-0.216,0.002,0.131,0.013,-0.024,0.150,0.521,-0.183,-0.003
LANL-GrowthRate,,0.213,-0.002,-0.171,-0.086,0.074,0.014,0.108,0.540,0.562,0.474,-0.382,-0.195,-0.302,-0.401,-0.295,-0.230,-0.234,-0.240,-0.228,-0.235,-0.196,-0.208,-0.235,-0.234,-0.220,-0.375,-0.290,-0.143,-0.064,-0.143,0.036,-0.351,-0.096,-0.011,0.273,0.366,-0.222,-0.034,0.060,0.006,-0.101,0.029,0.141,-0.200,-0.013
USC-SI_kJalpha,,,,,,,,,,,0.475,0.212,0.430,0.031,-0.320,0.181,0.052,-0.023,0.031,0.095,0.156,-0.101,-0.166,0.106,0.027,-0.006,-0.097,0.052,-0.102,-0.076,-0.182,0.154,-0.186,-0.208,-0.111,0.217,-0.028,-0.296,-0.218,0.138,0.034,-0.013,0.035,0.347,-0.155,-0.165
CovidAnalytics-DELPHI,,,-0.113,0.364,0.284,0.090,-0.011,0.102,0.235,0.119,0.332,0.471,0.308,0.042,-0.179,-0.218,-0.231,-0.188,-0.002,0.009,0.054,-0.127,-0.202,-0.177,-0.183,-0.185,-0.405,-0.253,-0.326,-0.329,-0.353,0.015,-0.294,-0.296,0.362,0.026,-0.165,-0.220,-0.280,0.677,-0.136,-0.139,-0.025,0.398,-0.043,-0.080
Karlen-pypm,,,,,,,,,,,,,,,-1.229,-1.161,0.239,0.208,0.063,0.061,0.068,-0.106,-0.117,-0.004,-0.003,0.038,-0.062,0.054,-0.037,-0.003,-0.058,0.145,-0.155,-0.115,-0.089,0.185,0.019,-0.183,-0.131,-0.038,-0.099,-0.116,-0.039,0.138,-0.159,-0.253
UA-EpiCovDA,,,,,,0.321,0.766,0.572,1.487,-0.095,0.319,-0.461,-0.222,-0.203,-0.152,-1.291,-0.094,-0.096,-0.022,0.116,0.121,0.028,-0.131,-0.005,0.006,-0.061,-0.157,-0.021,-0.148,-0.098,-0.186,-0.044,-0.414,-0.256,-0.165,-0.022,-0.361,-0.341,-0.190,-0.126,-0.155,-0.179,-0.152,0.058,-0.190,-0.095
JCB-PRM,,,,,,,,,,,,,,,-0.172,0.077,0.137,0.063,0.066,0.051,0.088,-0.123,-0.124,-0.068,-0.062,-0.009,-0.105,-0.018,-0.117,-0.085,-0.200,0.022,-0.211,-0.136,-0.072,0.246,0.066,,,,,,,,,
PSI-DRAFT,,,,,-0.039,-0.333,-0.074,-0.920,0.183,-0.032,-0.047,-0.422,-0.292,-0.332,-0.216,0.221,-0.102,-0.714,0.077,0.088,0.174,-0.183,-0.141,-0.056,-0.235,-0.277,-0.360,-0.275,-0.232,-0.340,-0.271,-0.114,-0.456,-0.276,0.038,0.067,-0.062,-0.200,-0.158,-0.056,0.092,0.121,0.244,0.336,-0.062,-0.141
IowaStateLW-STEM,,,-0.469,,0.447,0.444,0.515,0.345,0.550,0.408,-0.276,0.495,-0.037,-0.194,-0.258,-0.029,,-0.152,-0.015,0.030,-0.001,0.021,0.201,-0.363,-0.004,-0.081,-0.384,-0.169,-0.301,-0.375,-0.352,0.132,-0.232,-0.146,0.061,0.336,0.227,-0.301,-0.261,0.051,-0.074,0.078,0.159,0.242,-0.176,0.045
UMich-RidgeTfReg,,,,,,,,,,,,-0.476,-0.314,-0.352,-0.404,-0.332,-0.270,-0.294,-0.124,-0.052,0.048,0.318,0.369,0.241,0.078,0.067,-0.084,-0.005,-0.176,-0.194,-0.292,-0.046,-0.264,-0.153,0.002,0.278,-0.055,-0.093,0.031,0.087,0.036,0.033,0.171,0.470,-0.147,-0.086
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,-0.031,-0.170,-0.080,0.273,-0.205,0.036,-0.136,0.045,-0.173,-0.105,-0.223,0.063,-0.248,-0.091,-0.057,0.205,-0.119,-0.136,-0.047,0.101,-0.021,-0.011,0.134,0.372,-0.049,-0.051
CEID-Walk,,,,,,,,,,,,,,,,,0.019,0.074,0.115,0.133,0.160,-0.060,0.052,0.085,-0.054,-0.027,-0.156,-0.057,-0.224,-0.211,-0.314,-0.034,-0.360,-0.146,-0.121,0.155,-0.160,-0.215,-0.067,0.048,-0.024,0.030,0.308,0.734,-0.090,0.162
UT-Mobility,-0.614,-0.680,-0.733,-0.099,-0.145,0.184,-0.091,-0.096,0.092,0.139,0.175,-0.242,0.063,0.098,0.055,0.401,,0.281,0.167,,,-0.303,-0.194,-0.339,-0.159,-0.142,-0.197,-0.152,-0.270,-0.278,-0.351,-0.096,-0.398,-0.223,-0.124,0.171,,,-0.192,,-0.048,,,,,
STH-3PU,,,,,,,,,0.271,-0.030,-0.247,-0.556,-0.710,-0.297,-0.102,0.448,0.079,0.082,0.003,-0.001,-0.583,0.045,-0.040,,-0.100,-0.082,-0.178,-0.259,-0.235,,,,,,,,,,,,,,,,,
DDS-NBDS,,,,,,,,,,,,,,,0.017,0.114,0.376,0.007,0.093,0.070,0.121,-0.072,-0.097,-0.034,-0.214,-0.019,-0.051,-0.068,-0.238,-0.163,-0.325,0.058,-0.396,-0.130,0.117,0.271,-0.089,-0.272,0.089,0.329,0.489,0.005,0.251,,0.239,0.286
JHU_IDD-CovidSP,,-0.921,,,0.938,0.368,0.186,0.346,0.184,0.460,0.362,-0.148,-0.228,-0.242,-0.363,-0.212,-0.231,-0.125,-0.241,-0.174,-0.141,0.039,-0.001,0.081,-0.126,-0.139,-0.301,-0.340,-0.498,-0.581,-0.102,0.017,-0.490,-0.518,-0.529,0.228,-0.073,-0.277,-0.267,-0.156,-0.327,-0.420,-0.472,-0.356,-0.449,-0.822
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,0.098,0.021,0.034,-0.087,-0.112,0.118,0.158,-0.086,-0.097,0.092,-0.060,0.022,-0.058,0.277,0.267,-0.229,-0.138,0.228,-0.065,-0.354,-0.206,0.111,-0.041,-0.162,-0.081,,-0.196,-0.248
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,-0.082,0.054,0.059,0.140,0.100,0.193,-0.018,-0.096,0.090,-0.049,-0.182,-0.212,-0.153,-0.241,-0.289,-0.357,-0.271,-0.234,-0.181,-0.159,-0.055,-0.236,-0.467,-0.178,0.153,0.079,0.005,0.197,0.463,-0.022,-0.241
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,0.197,-0.151,-0.038,0.034,0.027,-0.058,-0.076,-0.124,-0.207,-0.190,-0.268,0.104,-0.160,-0.173,-0.061,0.271,-0.086,-0.257,-0.124,0.162,0.107,0.037,0.177,0.589,-0.064,-0.042
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.467,-0.997,-0.024,0.048,-0.065,0.010,-0.216,0.098,-0.072,-0.018,0.078,0.249,0.015,-0.428,-0.513,-0.610,-0.114,0.025,0.164,0.432,-0.126,-0.176
IHME-CurveFit,-0.235,-0.371,0.329,0.379,0.318,,-0.091,-0.165,-0.046,-0.222,-0.112,-0.494,,-0.137,-0.362,-0.400,-0.258,,-0.112,-0.002,-0.121,,-0.710,-0.180,,,-0.527,-0.467,,,,-0.295,,-0.284,-0.684,0.001,0.199,,,-0.074,-0.137,-0.379,-0.450,-0.497,-0.361,-0.579
RobertWalraven-ESG,,,,,,,,,,,,-2.574,-2.587,-0.107,-0.485,-0.445,-0.040,-0.781,-0.779,-0.238,-0.332,-0.529,-0.463,,-0.286,-0.383,-0.217,-0.248,-0.101,-0.181,-0.302,0.224,-0.636,0.128,-0.127,0.106,-0.195,-0.331,-0.164,-0.059,-0.160,-0.180,-0.051,0.138,-0.251,-0.232
epiforecasts-ensemble1,,,,,,,,,0.464,0.348,-0.194,-0.655,-1.125,-1.103,-0.765,-1.023,-0.768,-1.052,-1.206,0.132,0.155,-1.215,-0.214,-0.297,-0.462,0.020,-0.147,-0.128,-0.157,-0.161,-0.277,0.307,-0.387,-0.187,-0.307,-0.227,-0.428,-0.521,-0.428,-0.204,-0.052,0.004,0.169,0.807,-0.210,-0.190
USACE-ERDC_SEIR,,,,,-0.354,-0.299,-1.160,-1.243,-0.840,-1.384,-2.694,-0.035,0.066,-0.034,-0.015,0.203,0.291,0.251,0.181,0.143,0.163,0.141,0.116,0.218,,0.277,,0.377,,,0.435,1.105,0.964,,,,,,,,,,,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,-0.612,0.200,-0.331,-0.322,-0.110,-0.046,-0.091,-0.152,-0.047,-0.322,-0.318,-0.228,-0.498,-0.145,-0.238,-0.307,0.032,-0.393,-0.395,-0.364,,-0.190,0.019,-0.135,-0.013,-0.382,-0.516
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,-0.669,-0.808,-0.766,-0.598,-0.143,-0.256,-0.274,-0.312,-0.406,-0.384,0.596,0.533,0.466,0.105,-0.102,-0.221,-0.412,-0.413,-0.315,0.145,0.348,1.005,-0.142,-0.204,-0.078,-0.079,-0.037,0.068,0.541,1.265,-0.067,0.147
NotreDame-mobility,,,,,,,,,,-2.082,0.088,-0.448,-0.363,-0.434,-0.636,-0.990,-0.249,-0.016,-0.060,-0.244,0.028,-0.263,-0.311,-0.222,-0.233,-0.197,-0.349,-0.295,-0.360,-0.397,-0.343,-0.319,-0.473,-0.411,-0.533,,,,,,,,,,,
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,-0.237,0.158,-0.425,0.058,-0.077,0.140,,-0.152,0.061,0.018,-0.162,-0.032,0.238,,-0.272,0.114
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.488,-0.579,-0.463,-0.371,-0.082,-0.278,-0.086,-0.026,0.192,-0.002,,,,-0.004,0.078,,0.418,-0.022,-0.032
TTU-squider,,,,,,,,,,,,,,,,,,17.950,1.600,,,2.774,,3.849,1.055,1.775,1.255,1.073,-0.150,0.045,-0.417,0.104,0.147,-0.227,0.114,0.369,0.470,0.059,-0.072,-0.098,-0.201,-0.278,-0.285,-0.312,-0.394,-0.053
Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.206,-0.094,-0.229,0.023,-0.270,-0.180,-0.138,0.088,-0.110,-0.284,-0.288,-0.151,,-0.100,0.061,,-0.170,-0.156
Covid19Sim-Simulator,,,,,,-0.484,-0.782,-0.902,0.236,0.152,-0.454,-0.515,-0.688,-0.738,-0.981,-0.428,,-1.538,-1.741,0.366,0.071,-0.210,-0.633,-0.495,-0.433,-0.931,-0.968,-0.002,-0.002,-0.116,,0.193,0.136,-0.920,-0.927,-0.775,-0.432,-0.561,-0.896,-1.027,0.302,-0.894,-0.965,-1.136,-0.885,-1.144
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,0.285,-0.031,0.045,0.115,-0.025,-0.069,,-0.085,-0.245,-0.202,-0.318,-0.116,-0.427,,,,,,,,,,,,,
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.104,0.072,0.283,-0.136,-0.236,-0.081,0.119,-0.012,-0.096,0.198,0.386,-0.193,-0.013
MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016,-0.191,-0.055,-0.191,-0.180,-0.242,0.123,-0.290,-0.099,,,,,,,,,,,,
Auquan-SEIR,,,,,,,1.291,3.961,3.101,4.430,0.396,0.204,,,,0.091,0.192,0.283,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,1.031,0.773,0.856,1.051,,0.981,0.788,0.867,0.592,0.636,0.284,0.585,0.047,0.180,0.291,0.552,0.257,0.182,0.318,0.499,0.431,0.559,-0.033,0.527,0.026,0.079
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.281,-0.117,-0.025,-0.047,-0.021,0.215,-0.047,-0.063
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,-0.197,-0.269,-0.156,-0.239,-0.249,-0.172,-0.206,-0.212,-0.318,-0.331,-0.444,-0.520,-0.611,-0.570,-0.693,-0.694,-0.688,-0.709,,-0.633,-0.596,-0.515,-0.480,-0.415,-0.273,0.021,-0.090,
CovidActNow-SEIR_CAN,,,,,,,,25.393,0.576,,,-0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008,-0.173,0.045,0.231,0.494,0.036,-0.017
SWC-TerminusCM,,,,,,,-0.377,,,,-0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426,-0.478,-0.279,-0.103,0.130,0.067,0.080,0.222,0.516,-0.847,0.087
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.306,-0.080,-0.219,-0.114,0.037,0.405,-0.130,-0.144
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.121,0.238,0.064,0.343,-0.088,-0.045
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.104,0.067,0.908,-0.136,-0.179
MITCovAlliance-SIR,,,,,,,,,,,0.459,-0.927,-1.158,-1.215,-1.236,-1.007,,-1.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.178,-0.182,,,,,,,,,,,,,,,,
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.303,
