,perc_error_2020-04-20_2020-05-02,perc_error_2020-04-27_2020-05-09,perc_error_2020-05-04_2020-05-16,perc_error_2020-05-11_2020-05-23,perc_error_2020-05-18_2020-05-30,perc_error_2020-05-25_2020-06-06,perc_error_2020-06-01_2020-06-13,perc_error_2020-06-08_2020-06-20,perc_error_2020-06-15_2020-06-27,perc_error_2020-06-22_2020-07-04,perc_error_2020-06-29_2020-07-11,perc_error_2020-07-06_2020-07-18,perc_error_2020-07-13_2020-07-25,perc_error_2020-07-20_2020-08-01,perc_error_2020-07-27_2020-08-08,perc_error_2020-08-03_2020-08-15,perc_error_2020-08-10_2020-08-22,perc_error_2020-08-17_2020-08-29,perc_error_2020-08-24_2020-09-05,perc_error_2020-08-31_2020-09-12,perc_error_2020-09-07_2020-09-19,perc_error_2020-09-14_2020-09-26,perc_error_2020-09-21_2020-10-03,perc_error_2020-09-28_2020-10-10,perc_error_2020-10-05_2020-10-17,perc_error_2020-10-12_2020-10-24,perc_error_2020-10-19_2020-10-31,perc_error_2020-10-26_2020-11-07,perc_error_2020-11-02_2020-11-14,perc_error_2020-11-09_2020-11-21,perc_error_2020-11-16_2020-11-28,perc_error_2020-11-23_2020-12-05,perc_error_2020-11-30_2020-12-12,perc_error_2020-12-07_2020-12-19,perc_error_2020-12-14_2020-12-26,perc_error_2020-12-21_2021-01-02,perc_error_2020-12-28_2021-01-09,perc_error_2021-01-04_2021-01-16,perc_error_2021-01-11_2021-01-23,perc_error_2021-01-18_2021-01-30,perc_error_2021-01-25_2021-02-06,perc_error_2021-02-01_2021-02-13,perc_error_2021-02-08_2021-02-20,perc_error_2021-02-15_2021-02-27,perc_error_2021-02-22_2021-03-06
USC-SI_kJalpha,,,,,,,,,,,0.321,0.391,0.471,-0.072,-0.284,0.197,0.021,-0.022,0.013,0.093,0.102,-0.124,-0.081,0.121,0.021,-0.051,-0.056,0.014,-0.067,-0.126,-0.043,0.062,-0.183,-0.191,0.013,0.176,-0.123,-0.329,-0.146,0.181,0.021,-0.013,0.086,0.156,-0.197
UCLA-SuEIR,,,-0.125,0.017,0.194,0.073,-0.041,0.033,-0.078,-0.128,-0.201,-0.398,-0.185,-0.295,-0.115,0.149,-0.075,0.039,0.017,0.082,0.017,-0.127,-0.022,-0.046,-0.074,-0.120,-0.186,-0.228,-0.282,-0.303,-0.287,-0.187,-0.444,-0.123,-0.116,0.001,-0.473,-0.342,-0.163,-0.179,-0.273,-0.105,0.175,,-0.384
COVIDhub-baseline,0.267,0.108,0.133,0.376,0.342,0.353,0.222,0.281,0.341,0.153,0.325,-0.348,-0.155,-0.263,-0.171,0.116,0.050,0.079,0.134,0.186,0.102,-0.052,0.089,0.053,-0.046,-0.095,-0.167,-0.147,-0.260,-0.322,-0.304,-0.230,-0.400,-0.177,-0.066,0.035,-0.243,-0.219,-0.026,0.063,-0.004,0.144,0.497,0.658,-0.011
Karlen-pypm,,,,,,,,,,,,,,,-0.583,-0.498,0.271,0.228,0.066,0.079,-0.022,-0.137,-0.101,-0.048,-0.025,-0.011,-0.036,0.014,-0.010,-0.071,0.067,0.022,-0.153,-0.103,0.029,0.122,-0.075,-0.198,-0.078,-0.044,-0.104,-0.093,0.022,-0.004,-0.187
LNQ-ens1,,,,,,,,,,,,,,0.005,-0.068,0.185,0.080,0.064,0.008,0.024,0.022,-0.138,-0.012,0.073,-0.020,-0.032,-0.080,-0.019,-0.069,-0.112,-0.046,0.035,-0.321,-0.039,0.205,0.168,-0.231,-0.231,0.076,0.117,0.050,0.048,0.268,0.391,-0.171
CovidAnalytics-DELPHI,,,0.079,0.311,0.281,0.091,0.002,0.184,0.264,0.147,0.116,0.450,0.200,-0.062,-0.115,-0.173,-0.203,-0.154,0.041,0.074,0.003,-0.129,-0.161,-0.203,-0.204,-0.243,-0.422,-0.308,-0.328,-0.378,-0.279,-0.111,-0.262,-0.268,0.143,-0.034,-0.208,-0.282,-0.191,0.325,-0.065,-0.045,0.124,0.231,-0.008
UA-EpiCovDA,,,,,,0.420,0.684,0.728,1.494,0.025,0.147,-0.443,-0.286,-0.230,-0.049,-0.680,0.028,0.003,0.039,0.253,0.181,0.098,0.023,0.085,0.074,-0.053,-0.115,-0.028,-0.112,-0.132,-0.075,-0.176,-0.422,-0.258,-0.030,-0.094,-0.450,-0.349,-0.144,-0.108,-0.132,-0.159,-0.062,-0.005,-0.175
LANL-GrowthRate,,0.235,0.061,-0.175,-0.024,0.090,0.038,0.189,0.452,0.488,0.176,-0.404,-0.272,-0.382,-0.388,-0.299,-0.244,-0.237,-0.248,-0.220,-0.299,-0.228,-0.201,-0.289,-0.282,-0.306,-0.415,-0.387,-0.152,-0.146,-0.061,-0.163,-0.404,-0.097,0.102,0.184,0.141,-0.255,0.040,0.072,-0.032,-0.097,0.084,-0.018,-0.248
JCB-PRM,,,,,,,,,,,,,,,-0.016,0.124,0.139,0.066,0.056,0.052,-0.002,-0.147,-0.096,-0.094,-0.068,-0.051,-0.101,-0.084,-0.113,-0.168,-0.123,-0.096,-0.197,-0.121,0.054,0.209,-0.002,,,,,,,,
IowaStateLW-STEM,,,-0.351,,0.237,0.234,0.289,0.232,0.328,0.209,-0.517,0.266,-0.156,-0.294,-0.247,-0.057,,-0.106,0.016,0.095,-0.015,0.066,0.225,-0.310,0.009,-0.101,-0.277,-0.192,-0.263,-0.386,-0.282,-0.063,-0.260,-0.158,0.154,0.230,0.054,-0.301,-0.169,0.072,-0.012,0.201,0.386,0.283,-0.087
JHU_IDD-CovidSP,,0.663,,,1.227,0.615,0.497,0.694,0.453,0.762,0.384,0.100,-0.052,-0.121,-0.121,0.039,0.070,0.173,0.026,0.097,0.030,0.051,0.046,0.041,-0.107,-0.195,-0.298,-0.384,-0.499,-0.610,-0.077,-0.153,-0.386,-0.415,-0.363,0.284,-0.033,-0.176,-0.140,-0.086,-0.179,-0.187,-0.123,-0.094,-0.224
PSI-DRAFT,,,,,0.140,-0.095,0.032,-0.204,0.260,0.056,-0.167,-0.388,-0.292,-0.272,0.030,0.553,0.021,-0.436,0.108,0.132,0.122,-0.206,-0.122,-0.102,-0.275,-0.336,-0.387,-0.346,-0.244,-0.418,-0.191,-0.223,-0.466,-0.254,0.229,-0.015,-0.156,-0.225,-0.105,-0.073,0.125,0.215,0.396,0.214,-0.077
UT-Mobility,-0.533,-0.546,-0.500,-0.047,-0.193,0.184,-0.080,-0.058,0.144,0.156,-0.036,-0.232,0.115,0.100,0.279,0.656,,0.405,0.225,,,-0.203,-0.105,-0.303,-0.124,-0.160,-0.161,-0.183,-0.258,-0.333,-0.285,-0.188,-0.370,-0.144,0.048,0.213,,,-0.073,,0.048,,,,
IHME-CurveFit,-0.297,-0.470,0.255,0.245,0.335,,-0.041,0.007,0.141,0.010,-0.125,-0.300,,-0.152,-0.221,-0.187,-0.071,,0.103,0.185,0.040,,-0.387,0.010,,,-0.295,-0.277,,,,-0.227,,-0.157,-0.387,0.137,0.157,,,0.041,-0.041,-0.174,-0.151,-0.226,-0.239
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,0.023,0.051,-0.016,-0.167,0.018,0.142,0.106,-0.095,-0.058,0.064,-0.034,-0.018,0.096,0.090,0.120,-0.199,0.040,0.126,-0.212,-0.343,-0.094,0.047,-0.126,-0.146,0.004,,-0.226
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,-0.249,-0.172,-0.032,0.266,-0.211,-0.006,-0.123,-0.025,-0.170,-0.194,-0.176,-0.084,-0.246,-0.078,0.061,0.150,-0.180,-0.146,0.016,0.103,-0.010,0.063,0.261,0.260,-0.038
STH-3PU,,,,,,,,,0.226,-0.122,-0.443,-0.599,-0.737,-0.355,0.028,0.702,0.037,0.037,-0.004,0.024,-0.597,0.008,-0.019,,-0.133,-0.151,-0.193,-0.315,-0.272,,,,,,,,,,,,,,,,
CEID-Walk,,,,,,,,,,,,,,,,,0.012,0.094,0.151,0.194,0.106,-0.050,0.114,0.051,-0.070,-0.088,-0.167,-0.164,-0.258,-0.326,-0.303,-0.229,-0.386,-0.180,-0.067,0.040,-0.226,-0.235,-0.034,0.027,-0.003,0.134,0.507,0.656,-0.029
UMich-RidgeTfReg,,,,,,,,,,,,-0.522,-0.366,-0.462,-0.362,-0.303,-0.256,-0.336,0.124,0.235,0.248,0.356,0.470,0.223,0.091,0.010,-0.076,-0.094,-0.202,-0.306,-0.294,-0.234,-0.324,-0.197,0.118,0.223,-0.195,-0.139,0.057,0.066,0.060,0.102,0.280,0.307,-0.108
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,0.173,0.288,0.315,0.276,0.366,0.142,-0.011,-0.042,0.060,-0.061,-0.226,-0.215,-0.212,-0.241,-0.359,-0.319,-0.371,-0.203,-0.124,-0.091,-0.147,-0.337,-0.482,-0.017,0.243,0.132,0.099,0.362,0.379,0.003
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,0.067,-0.299,-0.031,-0.037,-0.055,-0.161,-0.107,-0.222,-0.239,-0.278,-0.217,-0.046,-0.209,-0.159,0.068,0.197,-0.204,-0.272,-0.048,0.173,0.103,0.102,0.326,0.481,-0.094
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,-0.460,0.275,-0.293,-0.214,-0.073,-0.012,-0.086,-0.084,-0.016,-0.200,-0.264,-0.046,-0.344,-0.222,-0.197,-0.137,0.071,-0.345,-0.377,-0.265,,-0.089,0.034,0.050,0.077,-0.163
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.310,-0.493,0.029,0.015,-0.073,-0.091,-0.094,0.003,-0.126,0.000,0.224,0.177,-0.056,-0.272,-0.260,-0.262,-0.100,0.110,0.286,0.292,-0.143
Covid19Sim-Simulator,,,,,,-0.394,-0.596,-0.647,0.189,0.132,-0.285,-0.287,-0.442,-0.450,-0.528,-0.265,,-0.900,-1.025,0.297,-0.010,-0.187,-0.334,-0.223,-0.160,-0.435,-0.506,-0.073,-0.014,-0.148,,0.072,0.108,-0.514,-0.470,-0.319,-0.174,-0.325,-0.514,-0.524,0.324,-0.377,-0.414,-0.466,-0.469
RobertWalraven-ESG,,,,,,,,,,,,-1.458,-1.437,-0.175,-0.428,-0.350,0.459,-0.570,-0.575,-0.224,-0.395,-0.510,-0.444,,-0.318,-0.454,-0.206,-0.253,-0.086,-0.213,-0.215,0.106,-0.642,0.357,0.045,0.157,-0.242,-0.297,0.112,-0.006,-0.075,-0.044,0.150,0.130,-0.187
DDS-NBDS,,,,,,,,,,,,,,,0.270,0.240,0.649,0.065,0.153,0.099,0.044,-0.057,-0.030,-0.114,-0.266,-0.070,-0.126,-0.170,-0.306,-0.271,-0.335,-0.190,-0.447,-0.203,0.303,0.122,-0.142,-0.311,0.161,0.248,0.650,0.081,0.466,,0.340
Auquan-SEIR,,,,,,,1.125,3.854,2.803,3.811,0.041,-0.019,,,,-0.029,0.034,0.105,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,
epiforecasts-ensemble1,,,,,,,,,0.396,0.266,-0.182,-0.547,-0.629,-0.639,-0.238,-0.442,-0.421,-0.429,-0.576,-0.454,-0.501,-0.718,-0.634,-0.593,-0.602,-0.071,-0.153,-0.198,-0.162,-0.253,-0.216,0.237,-0.397,-0.151,-0.143,-0.156,-0.390,-0.414,-0.303,-0.098,-0.026,0.032,0.302,0.750,-0.242
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,-0.507,-0.506,-0.422,-0.259,-0.172,-0.184,-0.226,-0.248,-0.268,-0.276,0.432,0.296,0.266,-0.008,-0.140,-0.328,-0.399,-0.510,-0.473,0.086,0.427,0.819,-0.213,-0.216,-0.021,-0.055,0.006,0.190,0.812,1.214,0.074
NotreDame-mobility,,,,,,,,,,-1.170,-0.056,-0.483,-0.382,-0.418,-0.457,-0.606,-0.107,0.046,-0.007,-0.158,-0.031,-0.147,-0.251,-0.215,-0.225,-0.258,-0.348,-0.338,-0.351,-0.443,-0.277,-0.396,-0.458,-0.396,-0.476,,,,,,,,,,
TTU-squider,,,,,,,,,,,,,,,,,,10.002,1.134,,,1.786,,2.316,0.625,0.891,0.621,0.418,-0.165,-0.139,-0.254,-0.065,0.032,-0.226,0.118,0.209,0.178,-0.056,-0.075,-0.103,-0.148,-0.133,-0.020,-0.096,-0.171
IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,0.542,0.374,0.535,0.542,,0.388,0.301,0.281,0.161,0.070,0.048,0.068,-0.179,-0.003,0.204,0.251,-0.035,-0.009,0.200,0.278,0.231,0.419,0.277,0.523,0.131
USACE-ERDC_SEIR,,,,,-0.299,-0.274,-0.698,-0.688,-0.262,-0.457,-0.927,0.031,0.066,0.288,0.163,0.313,0.350,0.312,0.259,0.251,0.200,0.172,0.230,0.315,,0.297,,0.421,,,0.777,1.018,0.993,,,,,,,,,,,,
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.055,-0.182,-0.009,-0.464,0.086,0.013,0.052,,-0.157,0.154,-0.035,-0.184,0.028,0.374,,-0.265
Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.218,-0.195,-0.174,-0.122,-0.282,-0.182,-0.050,0.053,-0.172,-0.284,-0.243,-0.163,,-0.022,0.165,,-0.163
MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,-0.122,-0.151,-0.139,-0.172,-0.258,-0.183,-0.048,-0.218,-0.139,,,,,,,,,,,
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.273,-0.362,-0.386,-0.200,-0.082,-0.258,-0.133,0.108,0.127,-0.103,,,,0.029,0.153,,0.294,-0.030
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,0.238,-0.022,0.092,0.066,-0.051,-0.136,,-0.186,-0.291,-0.348,-0.322,-0.295,-0.464,,,,,,,,,,,,
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.128,0.136,0.272,-0.106,-0.258,-0.088,0.168,0.091,0.046,0.355,0.346,-0.126
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.213,-0.056,-0.035,-0.041,0.069,0.083,-0.051
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,-0.196,-0.270,-0.246,-0.277,-0.246,-0.230,-0.258,-0.307,-0.365,-0.428,-0.496,-0.607,-0.631,-0.677,-0.727,-0.727,-0.692,-0.705,,-0.663,-0.602,-0.547,-0.495,-0.392,-0.198,-0.056,-0.070
CovidActNow-SEIR_CAN,,,,,,,,14.507,0.532,,,-0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCovAlliance-SIR,,,,,,,,,,,0.100,-0.575,-0.734,-0.800,-0.839,-0.641,,-1.038,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.273,-0.108,-0.200,-0.034,0.157,0.271,-0.123
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026,-0.298,0.125,0.370,0.354,0.020
SWC-TerminusCM,,,,,,,-0.236,,,,-0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.118,0.176,0.125,0.161,-0.133
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442,-0.593,-0.313,-0.013,0.181,0.134,0.194,0.392,0.428,-0.398
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.047,0.167,0.715,-0.131
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.244,-0.302,,,,,,,,,,,,,,,
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266
