,mean_abs_error_2020-06-01_2020-10-17,mean_abs_error_2020-06-08_2020-10-17,mean_abs_error_2020-06-15_2020-10-17,mean_abs_error_2020-06-22_2020-10-17,mean_abs_error_2020-06-29_2020-10-17,mean_abs_error_2020-07-06_2020-10-17,mean_abs_error_2020-07-13_2020-10-17,mean_abs_error_2020-07-20_2020-10-17,mean_abs_error_2020-07-27_2020-10-17,mean_abs_error_2020-08-03_2020-10-17,mean_abs_error_2020-08-10_2020-10-17,mean_abs_error_2020-08-17_2020-10-17,mean_abs_error_2020-08-24_2020-10-17,mean_abs_error_2020-08-31_2020-10-17,mean_abs_error_2020-09-07_2020-10-17,mean_abs_error_2020-09-14_2020-10-17,mean_abs_error_2020-09-21_2020-10-17,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-17,mean_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-06-01_2020-10-17,mean_sq_abs_error_2020-06-08_2020-10-17,mean_sq_abs_error_2020-06-15_2020-10-17,mean_sq_abs_error_2020-06-22_2020-10-17,mean_sq_abs_error_2020-06-29_2020-10-17,mean_sq_abs_error_2020-07-06_2020-10-17,mean_sq_abs_error_2020-07-13_2020-10-17,mean_sq_abs_error_2020-07-20_2020-10-17,mean_sq_abs_error_2020-07-27_2020-10-17,mean_sq_abs_error_2020-08-03_2020-10-17,mean_sq_abs_error_2020-08-10_2020-10-17,mean_sq_abs_error_2020-08-17_2020-10-17,mean_sq_abs_error_2020-08-24_2020-10-17,mean_sq_abs_error_2020-08-31_2020-10-17,mean_sq_abs_error_2020-09-07_2020-10-17,mean_sq_abs_error_2020-09-14_2020-10-17,mean_sq_abs_error_2020-09-21_2020-10-17,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-17,mean_sq_abs_error_2020-10-12_2020-10-17
IowaStateLW-STEM,,,1271.7,1158.3,1187.2,886.7,783.4,554.6,577.3,490.9,,391.2,369.0,228.2,193.8,132.0,140.5,78.7,53.1,27.2,,,6774279.7,5116888.7,6749262.0,3253722.8,2403199.0,711329.1,1152698.0,1307569.5,,700558.4,704770.3,203743.8,111247.2,43729.4,44959.1,15244.5,7104.0,1495.9
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,87.5,89.0,41.3,18.0,,,,,,,,,,,,,,,,,17563.3,25345.8,4167.3,983.2
OliverWyman-Navigator,,,,,,,,,,,,,,,,,97.0,88.1,34.8,22.6,,,,,,,,,,,,,,,,,25172.1,24665.8,2998.5,1526.0
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,87.4,63.8,45.6,27.1,,,,,,,,,,,,,,,,,24751.2,10258.5,5234.9,2470.4
LANL-GrowthRate,,,,,,,,,,,,,,292.0,248.2,195.0,121.6,86.4,63.9,24.4,,,,,,,,,,,,,,292809.7,201366.6,90771.2,34683.1,19715.1,15119.3,1804.2
COVIDhub-baseline,,,,,,,,,,,,,,,,,121.0,79.5,37.7,25.1,,,,,,,,,,,,,,,,,42036.0,13825.7,3523.3,1858.7
GT-DeepCOVID,,,,,,,,,,,,,,,,,113.4,72.0,49.6,24.7,,,,,,,,,,,,,,,,,38808.0,15098.3,6245.5,2104.4
CEID-Walk,,,,,,,,,,,,,,,,,123.9,83.8,38.9,24.6,,,,,,,,,,,,,,,,,42201.2,15625.5,3570.7,1823.2
NotreDame-mobility,,,,,,,,,,,,,,,216.2,207.7,148.4,96.4,50.4,33.2,,,,,,,,,,,,,,,150402.1,118998.4,84788.9,23846.4,5541.1,3415.0
DDS-NBDS,,,,,,,,,,,,,,,,,109.2,86.3,59.9,23.1,,,,,,,,,,,,,,,,,34224.2,25920.1,14145.6,1195.3
UA-EpiCovDA,,,,,,,,,,,,,,,,,142.6,99.1,47.9,24.0,,,,,,,,,,,,,,,,,45468.7,33338.1,6927.9,1724.4
PSI-DRAFT,,,,,,,,,,,,,,,395.5,192.8,121.5,93.4,67.2,35.0,,,,,,,,,,,,,,,860671.7,104228.1,42536.5,20595.8,10657.7,4784.6
UT-Mobility,,,,,,,,,,,,,,,,,160.6,138.3,41.5,24.2,,,,,,,,,,,,,,,,,60232.9,54131.3,4948.5,1777.8
MITCovAlliance-SIR,,,,,,,,,,,,,,,304.7,288.4,243.7,83.1,,,,,,,,,,,,,,,,,414194.8,376488.8,262595.2,18108.0,,
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,396.0,222.8,268.1,141.6,57.0,25.9,,,,,,,,,,,,,,,717918.3,154567.1,596434.6,202720.8,12347.2,1709.1
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,126.5,119.8,60.1,30.9,,,,,,,,,,,,,,,,,54350.9,53177.1,14491.2,2777.8
JHUAPL-Bucky,,,,,,,,,,,,,,,,242.9,157.9,128.9,62.6,34.5,,,,,,,,,,,,,,,,241507.1,113665.5,66329.8,9731.1,2748.8
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,136.9,132.3,60.0,31.0,,,,,,,,,,,,,,,,,57816.2,68473.0,14448.7,2765.2
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,47.0,24.6,,,,,,,,,,,,,,,,,,,5225.8,1718.0
IHME-CurveFit,,1670.8,1230.7,833.6,782.6,704.3,,568.5,456.2,456.8,472.1,,538.5,490.0,332.8,,135.3,140.2,,,,8874246.2,6462026.3,2676418.9,2049385.4,1589117.2,,754129.3,380379.6,759052.7,857562.2,,1555112.3,1203906.9,316164.6,,45245.9,60315.0,,
Google_Harvard-CPF,,,,,,,,,,,,,,,,,178.9,80.4,73.7,32.5,,,,,,,,,,,,,,,,,101544.3,25144.2,14616.1,3039.5
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,269.0,112.9,54.5,31.8,,,,,,,,,,,,,,,,,413133.4,41702.3,8674.0,3148.9
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,330.4,269.7,206.7,156.5,119.7,81.5,,,,,,,,,,,,,,,260856.5,169083.9,105851.4,67392.4,50025.8,36158.1
RobertWalraven-ESG,,,,,,,,,,,,,404.1,341.1,330.8,291.0,230.7,162.8,65.5,35.5,,,,,,,,,,,,,476242.2,335725.6,338472.3,253783.4,179560.1,83013.2,10106.7,4701.8
CU-select,,,,,,,,,,,,,,,,,155.6,130.0,60.4,38.8,,,,,,,,,,,,,,,,,84475.4,44010.9,10176.3,6176.3
MSRA-DeepST,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,,,,,,,,,,,,,1800.0
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,50.4,35.8,,,,,,,,,,,,,,,,,,,6509.1,4216.6
USACE-ERDC_SEIR,,,,,,,,,,,,,423.7,418.2,347.7,278.9,239.5,182.5,,69.0,,,,,,,,,,,,,589241.8,476549.2,413821.8,217023.3,163405.1,97388.2,,14643.3
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,51.4,,,,,,,,,,,,,,,,,,,,6105.3,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,1613.2
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,209.6,165.2,129.6,40.2,,,,,,,,,,,,,,,,,141259.9,80436.2,55099.6,5351.7
TTU-squider,,,,,,,,,,,,,,,,,,605.8,263.6,283.4,,,,,,,,,,,,,,,,,,2391322.6,248731.9,277452.6
Auquan-SEIR,,,,,,,,,,,,,275.9,,,,,,,,,,,,,,,,,,,,228161.0,,,,,,,
