,mean_abs_error_2020-06-15_2020-10-31,mean_abs_error_2020-06-22_2020-10-31,mean_abs_error_2020-06-29_2020-10-31,mean_abs_error_2020-07-06_2020-10-31,mean_abs_error_2020-07-13_2020-10-31,mean_abs_error_2020-07-20_2020-10-31,mean_abs_error_2020-07-27_2020-10-31,mean_abs_error_2020-08-03_2020-10-31,mean_abs_error_2020-08-10_2020-10-31,mean_abs_error_2020-08-17_2020-10-31,mean_abs_error_2020-08-24_2020-10-31,mean_abs_error_2020-08-31_2020-10-31,mean_abs_error_2020-09-07_2020-10-31,mean_abs_error_2020-09-14_2020-10-31,mean_abs_error_2020-09-21_2020-10-31,mean_abs_error_2020-09-28_2020-10-31,mean_abs_error_2020-10-05_2020-10-31,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-10-31,mean_abs_error_2020-10-26_2020-10-31,mean_sq_abs_error_2020-06-15_2020-10-31,mean_sq_abs_error_2020-06-22_2020-10-31,mean_sq_abs_error_2020-06-29_2020-10-31,mean_sq_abs_error_2020-07-06_2020-10-31,mean_sq_abs_error_2020-07-13_2020-10-31,mean_sq_abs_error_2020-07-20_2020-10-31,mean_sq_abs_error_2020-07-27_2020-10-31,mean_sq_abs_error_2020-08-03_2020-10-31,mean_sq_abs_error_2020-08-10_2020-10-31,mean_sq_abs_error_2020-08-17_2020-10-31,mean_sq_abs_error_2020-08-24_2020-10-31,mean_sq_abs_error_2020-08-31_2020-10-31,mean_sq_abs_error_2020-09-07_2020-10-31,mean_sq_abs_error_2020-09-14_2020-10-31,mean_sq_abs_error_2020-09-21_2020-10-31,mean_sq_abs_error_2020-09-28_2020-10-31,mean_sq_abs_error_2020-10-05_2020-10-31,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-10-31,mean_sq_abs_error_2020-10-26_2020-10-31
LNQ-ens1,,,,,,,,,,,,,,,,,104.9,79.1,57.4,21.6,,,,,,,,,,,,,,,,,22968.6,13348.8,8376.4,1109.9
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,112.5,63.3,58.3,27.0,,,,,,,,,,,,,,,,,30779.4,11726.7,12512.3,3095.1
IowaStateLW-STEM,,,1345.3,1006.0,931.3,696.6,745.0,659.8,,557.8,524.8,343.7,299.8,200.4,205.6,170.1,131.1,92.5,70.7,36.5,,,7595814.2,3708186.1,3172079.3,1053440.2,1871781.7,2100658.5,,1250943.3,1239808.7,403534.9,237640.6,104305.9,103872.9,62611.9,40011.4,20054.0,10949.0,3956.6
MSRA-DeepST,,,,,,,,,,,,,,,,,,72.2,51.2,19.1,,,,,,,,,,,,,,,,,,13411.6,6709.1,1005.5
UCLA-SuEIR,,,,,,,540.0,457.9,558.5,422.8,362.0,313.0,259.8,224.5,198.7,165.1,136.4,116.8,84.1,29.5,,,,,,,733016.8,678718.5,874607.4,388793.2,275418.8,186129.1,142925.2,108626.5,85568.9,51848.6,39719.0,28145.7,15943.7,2160.6
CEID-Walk,,,,,,,,,,,,,,,,,103.2,82.8,71.2,25.2,,,,,,,,,,,,,,,,,28130.9,17867.5,14925.6,1632.3
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,111.8,84.5,51.5,34.1,,,,,,,,,,,,,,,,,31957.9,18600.8,7170.0,2512.4
COVIDhub-baseline,,,,,,,,,,,,,,,,,101.2,86.3,72.5,24.9,,,,,,,,,,,,,,,,,27266.6,20321.5,15920.2,1548.0
Covid19Sim-Simulator,1166.9,1069.8,2012.4,1607.2,1167.8,790.8,622.2,404.8,,,596.8,265.5,269.4,216.7,204.3,154.4,126.4,105.4,111.3,40.9,5778404.3,4170206.5,42900801.5,26964521.9,10085184.8,3194665.1,1944794.1,418951.5,,,1253860.3,251029.0,252923.1,125880.8,89046.4,51097.6,41049.5,25199.0,22956.0,6026.7
CMU-TimeSeries,,,,,,,,,,,,,,,,,101.4,77.6,71.9,29.9,,,,,,,,,,,,,,,,,22209.7,15125.8,15818.8,2784.6
UA-EpiCovDA,,,,,,,,,,,,,,,,,115.6,102.0,65.9,23.2,,,,,,,,,,,,,,,,,41304.3,44679.3,12100.5,1372.0
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,136.5,95.8,60.5,24.0,,,,,,,,,,,,,,,,,65616.4,24611.3,8901.8,1591.0
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,140.1,95.4,63.4,23.4,,,,,,,,,,,,,,,,,66075.4,24483.4,9262.6,1545.0
CU-select,,,,,,,,,,,,,,,,,132.7,89.1,51.7,35.6,,,,,,,,,,,,,,,,,55000.6,19086.7,5755.5,2941.7
GT-DeepCOVID,,,,,,,,,,,,,,,,,124.4,82.6,68.0,30.6,,,,,,,,,,,,,,,,,37431.5,16743.3,11261.0,2205.3
CovidAnalytics-DELPHI,,,,,,,,,,,,,,285.3,252.1,213.6,145.1,98.9,97.3,33.8,,,,,,,,,,,,,,165915.4,123170.9,84525.9,44180.6,23956.0,19608.7,2733.9
Google_Harvard-CPF,,,,,,,,,,,,,,,,,169.7,83.5,57.0,36.4,,,,,,,,,,,,,,,,,69084.8,17313.6,7925.7,4713.9
LANL-GrowthRate,,,,,,,,,,,,,,356.5,268.2,218.5,179.2,117.9,76.6,29.0,,,,,,,,,,,,,,255738.6,136506.7,101431.0,78519.4,35304.4,13985.8,2340.6
UT-Mobility,,,,,,,,,,,,,,,,,113.8,104.9,72.6,30.3,,,,,,,,,,,,,,,,,30916.7,35569.2,17415.6,2227.9
DDS-NBDS,,,,,,,,,,,,,,,,,167.9,130.9,59.3,28.7,,,,,,,,,,,,,,,,,75598.6,54192.8,9769.5,1954.4
Columbia_UNC-SurvCon,,,,,,,,,,,,,895.5,476.4,896.8,445.2,182.5,88.6,63.4,36.8,,,,,,,,,,,,,4381624.7,749030.3,12098247.4,2651767.6,140907.5,19838.4,12710.8,5456.9
MITCovAlliance-SIR,,,,,,,,,,,,,508.0,490.6,444.3,141.6,,,71.7,,,,,,,,,,,,,,1139606.6,1097314.0,916010.2,56177.4,,,14905.0,
PSI-DRAFT,,,,,,,,,,,,,,,240.7,186.8,171.9,130.9,94.0,44.2,,,,,,,,,,,,,,,128319.5,78289.5,60709.7,37371.4,18727.3,4658.7
NotreDame-mobility,,,,,,,,,,,,,,,280.6,238.0,151.5,129.2,83.4,38.0,,,,,,,,,,,,,,,233468.4,160907.2,50384.1,37006.3,15829.1,3205.6
BPagano-RtDriven,,,,,,,,,,,,,,,,,130.0,129.2,76.2,29.2,,,,,,,,,,,,,,,,,31363.8,39695.0,20412.8,2258.6
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,138.6,105.9,77.9,32.3,,,,,,,,,,,,,,,,,52551.6,29079.8,14526.1,2545.2
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,96.3,,75.4,50.4,,,,,,,,,,,,,,,,,20527.9,,16048.0,7954.4
RobertWalraven-ESG,,,,,,,,,,,,,509.1,471.4,401.4,338.5,210.8,168.3,67.6,82.6,,,,,,,,,,,,,639054.4,527841.5,430031.5,272958.6,79709.2,53420.1,12794.2,14381.4
IHME-CurveFit,1720.9,1088.9,950.7,763.2,,721.8,583.4,606.0,659.4,,749.0,729.2,559.2,,253.9,281.1,,,88.5,82.6,14142036.0,4541989.8,2428800.8,1511929.1,,1183238.8,623888.6,1363820.4,1606729.0,,3313805.8,2385127.7,1007552.0,,187415.7,307430.2,,,22118.5,24368.8
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,253.1,115.3,83.0,48.9,,,,,,,,,,,,,,,,,194213.0,44898.0,20645.1,11294.3
WalmartLabsML-LogForecasting,,,,,,,,,,,,,498.5,431.7,328.5,295.8,245.8,195.0,131.9,80.7,,,,,,,,,,,,,536577.2,388715.5,233233.2,179950.3,132291.4,90188.4,37238.6,15726.7
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,2109.4
USACE-ERDC_SEIR,,,,,,,,,,,,,486.8,397.7,378.3,288.3,,198.1,,73.8,,,,,,,,,,,,,795405.9,422828.9,389334.4,252344.3,,125791.4,,19141.4
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,30.8,,,,,,,,,,,,,,,,,,,,2407.1
UCSB-ACTS,,,,,,,,,,,,,,,,,,,,38.2,,,,,,,,,,,,,,,,,,,,3426.2
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,38.4,,,,,,,,,,,,,,,,,,,,6246.0
TTU-squider,,,,,,,,,,,,,,,,,356.5,398.2,380.8,208.4,,,,,,,,,,,,,,,,,534428.0,607203.8,524419.9,135534.4
