,perc_error_2020-07-06_2020-11-21,perc_error_2020-07-13_2020-11-21,perc_error_2020-07-20_2020-11-21,perc_error_2020-07-27_2020-11-21,perc_error_2020-08-03_2020-11-21,perc_error_2020-08-10_2020-11-21,perc_error_2020-08-17_2020-11-21,perc_error_2020-08-24_2020-11-21,perc_error_2020-08-31_2020-11-21,perc_error_2020-09-07_2020-11-21,perc_error_2020-09-14_2020-11-21,perc_error_2020-09-21_2020-11-21,perc_error_2020-09-28_2020-11-21,perc_error_2020-10-05_2020-11-21,perc_error_2020-10-12_2020-11-21,perc_error_2020-10-19_2020-11-21,perc_error_2020-10-26_2020-11-21,perc_error_2020-11-02_2020-11-21,perc_error_2020-11-09_2020-11-21,perc_error_2020-11-16_2020-11-21
LNQ-ens1,,,,,,,,,,,,,,,,,-0.164,-0.159,-0.112,-0.136
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.118,-0.184,-0.132,-0.186
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.130,-0.224,-0.137,-0.201
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.122,-0.237,-0.194,-0.223
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.078,-0.175,-0.244,-0.328,-0.412
IHME-CurveFit,-0.209,,-0.113,-0.205,-0.099,0.216,,0.392,0.521,0.604,,0.014,0.169,,,-0.238,-0.228,,,
TTU-squider,,,,,,,,,,,,,,,,,-0.001,-0.243,-0.139,-0.417
LANL-GrowthRate,,,,,,,,,,,,,,-0.643,-0.614,-0.643,-0.566,-0.231,-0.146,-0.143
COVIDhub-baseline,,,,,,,,,,,,,,-0.289,-0.306,-0.353,-0.300,-0.353,-0.322,-0.309
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.164,-0.260,-0.217,-0.250
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.268,-0.275,-0.303,-0.162
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.253,-0.251,-0.260,-0.231
Baseline,-0.441,-0.189,-0.182,-0.018,0.232,0.158,0.127,0.074,-0.002,-0.064,-0.204,-0.172,-0.218,-0.287,-0.306,-0.362,-0.321,-0.356,-0.332,-0.344
MSRA-DeepST,,,,,,,,,,,,,,,,,-0.282,-0.253,-0.258,-0.242
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.349,-0.391,-0.457,-0.544,-0.610,-0.102
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.332,-0.243,-0.253,-0.277
RobertWalraven-ESG,,,,,,,,,,,,,,-0.706,,,-0.383,-0.223,-0.213,-0.302
UCLA-SuEIR,,,,,,,-0.350,-0.365,-0.354,-0.418,-0.470,-0.444,-0.453,-0.388,-0.381,-0.402,-0.414,-0.377,-0.303,-0.300
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.237,-0.294,-0.306,-0.292
STH-3PU,-0.659,-0.672,0.291,0.176,0.843,-0.128,-0.137,-0.159,-0.173,-0.711,-0.266,-0.317,,-0.385,-0.372,-0.389,-0.447,-0.374,,
Caltech-CS156,,,,,,,,,,,,,,,,,,-0.298,-0.195,-0.229
IowaStateLW-STEM,-0.218,-0.238,-0.382,-0.324,-0.247,,-0.292,-0.216,-0.196,-0.288,-0.177,-0.218,-0.560,-0.339,-0.363,-0.451,-0.345,-0.345,-0.386,-0.352
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,-0.055,-0.237
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.382,-0.345,-0.278,-0.268
PSI-DRAFT,,,,,,,,,,,,,,,-0.529,-0.569,-0.455,-0.321,-0.418,-0.271
CEID-Walk,,,,,,,,,,,,,,,,,-0.307,-0.350,-0.326,-0.314
UT-Mobility,,,,,,,,,,,,,,,,,-0.300,-0.341,-0.333,-0.351
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.299,-0.306,-0.359,-0.357
DDS-NBDS,,,,,,,,,,,,,,,,,-0.362,-0.413,-0.271,-0.325
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.212,-0.353,-0.386,-0.371
USACE-ERDC_SEIR,,,,,,,,,,,,,0.092,,0.248,,0.417,,,0.435
NotreDame-mobility,,,,,,,,,,,,,,,-0.514,-0.506,-0.442,-0.414,-0.443,-0.343
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,-0.503,-0.611,-0.434,-0.399,-0.378,-0.353
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,-0.350,-0.302,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.203
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,-0.348,-0.318
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.539,-0.542,-0.543,-0.558,-0.562,-0.577,-0.607,-0.611
