,mean_abs_error_2020-04-27_2020-08-22,mean_abs_error_2020-05-04_2020-08-22,mean_abs_error_2020-05-11_2020-08-22,mean_abs_error_2020-05-18_2020-08-22,mean_abs_error_2020-05-25_2020-08-22,mean_abs_error_2020-06-01_2020-08-22,mean_abs_error_2020-06-08_2020-08-22,mean_abs_error_2020-06-15_2020-08-22,mean_abs_error_2020-06-22_2020-08-22,mean_abs_error_2020-06-29_2020-08-22,mean_abs_error_2020-07-06_2020-08-22,mean_abs_error_2020-07-13_2020-08-22,mean_abs_error_2020-07-20_2020-08-22,mean_abs_error_2020-07-27_2020-08-22,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-04-27_2020-08-22,mean_sq_abs_error_2020-05-04_2020-08-22,mean_sq_abs_error_2020-05-11_2020-08-22,mean_sq_abs_error_2020-05-18_2020-08-22,mean_sq_abs_error_2020-05-25_2020-08-22,mean_sq_abs_error_2020-06-01_2020-08-22,mean_sq_abs_error_2020-06-08_2020-08-22,mean_sq_abs_error_2020-06-15_2020-08-22,mean_sq_abs_error_2020-06-22_2020-08-22,mean_sq_abs_error_2020-06-29_2020-08-22,mean_sq_abs_error_2020-07-06_2020-08-22,mean_sq_abs_error_2020-07-13_2020-08-22,mean_sq_abs_error_2020-07-20_2020-08-22,mean_sq_abs_error_2020-07-27_2020-08-22,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-22
CMU-TimeSeries,,,,,,,,,,,,,,136.9,58.0,50.4,20.7,,,,,,,,,,,,,,133538.8,12625.2,8962.8,1826.1
UA-EpiCovDA,,,,,,,,,,,,,,115.9,94.8,59.5,18.4,,,,,,,,,,,,,,64983.9,43559.4,13473.1,1618.7
COVIDhub-baseline,,,,,,,,,,,,,,160.1,100.1,37.8,23.8,,,,,,,,,,,,,,119361.3,65891.2,6681.8,2738.7
IowaStateLW-STEM,1354.3,1417.5,,1146.5,1003.6,992.8,861.0,701.8,618.6,648.4,470.7,365.3,257.6,161.8,105.5,,43.1,5734097.9,5307223.2,,4842824.1,3914463.4,4302399.7,3520624.2,2455083.7,1917887.8,2577370.4,1233792.1,680321.5,211311.8,94018.6,34767.9,,5580.4
UMass-MechBayes,,,,,,,,,,,,,,193.2,95.4,46.0,22.2,,,,,,,,,,,,,,253835.4,64194.4,8151.8,1589.5
IHME-CurveFit,,1068.3,,,,,671.8,518.8,393.0,440.8,410.3,,237.0,170.9,142.5,88.4,,,4210385.3,,,,,2166454.7,1575458.4,702201.1,1063887.9,883701.3,,161887.2,86266.1,91519.1,42766.6,
LANL-GrowthRate,,,,,,,,,,,493.2,394.3,328.9,276.7,164.4,72.6,32.4,,,,,,,,,,,1831775.5,969549.3,661902.8,559744.5,164848.3,21222.7,4334.5
NotreDame-mobility,,,,,,,,,,,,399.6,303.6,270.6,271.2,126.1,26.6,,,,,,,,,,,,876391.9,363826.1,309646.3,310158.0,75092.5,2437.3
CU-select,,,,,,,,,,,,,,225.6,120.8,66.4,32.5,,,,,,,,,,,,,,135657.0,43628.7,14419.8,3200.1
USACE-ERDC_SEIR,,,,,998.2,,836.5,553.7,460.1,504.3,271.4,254.0,721.0,322.1,219.9,132.3,58.5,,,,,3878039.9,,2753791.2,1654964.4,1040342.2,1680069.4,526442.2,304983.8,2706475.5,338753.6,131479.2,41345.8,9095.0
MOBS-GLEAM_COVID,,,,,,,,,,,,,,226.0,256.7,60.2,28.2,,,,,,,,,,,,,,300827.5,714229.1,17128.8,2936.8
GT-DeepCOVID,,,,,,,,,,,,,,197.9,128.3,77.4,44.2,,,,,,,,,,,,,,220855.8,85806.6,32269.5,9965.3
CEID-Walk,,,,,,,,,,,,,,,,37.9,21.7,,,,,,,,,,,,,,,,7634.4,2038.4
JHU_IDD-CovidSP,,,,,,,,,,,,,357.9,238.9,155.5,105.6,58.6,,,,,,,,,,,,,343415.6,149105.1,62536.3,35154.7,11993.7
Karlen-pypm,,,,,,,,,,,,,1535.7,392.4,252.4,84.2,34.2,,,,,,,,,,,,,55390958.1,1989131.7,1154800.9,27276.6,5661.4
RobertWalraven-ESG,,,,,,,,,,,,,,265.7,150.5,189.0,48.8,,,,,,,,,,,,,,362316.6,97796.4,156195.3,10520.6
PSI-DRAFT,,,,,,,,,,,,549.7,381.6,465.8,421.4,86.9,91.9,,,,,,,,,,,,1816256.8,589870.9,1595949.0,1946311.6,23209.1,52988.4
DDS-NBDS,,,,,,,,,,,,,,775.5,221.7,187.6,25.3,,,,,,,,,,,,,,5786718.2,384658.0,319052.4,2725.9
Auquan-SEIR,,,,,,,,,,,671.6,,,,160.6,125.4,100.3,,,,,,,,,,,2336731.7,,,,123297.5,52468.8,29542.4
UT-Mobility,,,,,,,,,,,,,,454.6,372.5,,42.9,,,,,,,,,,,,,,1284154.0,1122188.5,,9253.9
MITCovAlliance-SIR,,,,,,,,,,,742.7,737.4,538.2,456.4,288.6,,282.5,,,,,,,,,,,2476056.2,2419203.3,1901268.4,1392723.9,658324.7,,625843.5
Geneva-DetGrowth,,,,,,,,,,,,,,,,,40.6,,,,,,,,,,,,,,,,,10157.1
Google_Harvard-CPF,,,,,,,,,,,,,,,,,64.1,,,,,,,,,,,,,,,,,25725.1
UMich-RidgeTfReg,,,,,,,,,,,,,,,,127.1,,,,,,,,,,,,,,,,,181195.1,
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,135.2,,,,,,,,,,,,,,,,,85020.3
TTU-squider,,,,,,,,,,,,,,,,,2333.2,,,,,,,,,,,,,,,,,16734988.7
